Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Trevor Bauer (11030826),Trevor Bauer,11030826,P,13300,LAA@CLE 08/05/2018 01:10PM ET,CLE,25.50
SP,Max Scherzer (11030827),Max Scherzer,11030827,P,13000,CIN@WAS 08/05/2018 01:35PM ET,WAS,26.57
SP,Jacob deGrom (11030828),Jacob deGrom,11030828,P,12400,ATL@NYM 08/05/2018 01:10PM ET,NYM,24.87
SP,Aaron Nola (11030213),Aaron Nola,11030213,P,12400,MIA@PHI 08/05/2018 01:35PM ET,PHI,22.40
SP,Stephen Strasburg (11030829),Stephen Strasburg,11030829,P,12000,CIN@WAS 08/05/2018 01:35PM ET,WAS,20.2
SP,Carlos Carrasco (11030830),Carlos Carrasco,11030830,P,11400,LAA@CLE 08/05/2018 01:10PM ET,CLE,20.16
SP,Jose Berrios (11030831),Jose Berrios,11030831,P,11000,KC@MIN 08/05/2018 02:10PM ET,MIN,20.16
SP,Noah Syndergaard (11030832),Noah Syndergaard,11030832,P,10700,ATL@NYM 08/05/2018 01:10PM ET,NYM,18.95
SP,Mike Foltynewicz (11030833),Mike Foltynewicz,11030833,P,10500,ATL@NYM 08/05/2018 01:10PM ET,ATL,19.69
SP,Corey Kluber (11030834),Corey Kluber,11030834,P,10100,LAA@CLE 08/05/2018 01:10PM ET,CLE,22.88
SP,Tanner Roark (11030214),Tanner Roark,11030214,P,9600,CIN@WAS 08/05/2018 01:35PM ET,WAS,14.16
SP,Andrew Heaney (11030835),Andrew Heaney,11030835,P,9600,LAA@CLE 08/05/2018 01:10PM ET,LAA,17.33
SP,Blake Snell (11030836),Blake Snell,11030836,P,9400,CWS@TB 08/05/2018 01:10PM ET,TB,21.76
SP,Mike Clevinger (11030837),Mike Clevinger,11030837,P,9300,LAA@CLE 08/05/2018 01:10PM ET,CLE,18.79
SP,Freddy Peralta (11030838),Freddy Peralta,11030838,P,9300,COL@MIL 08/05/2018 02:10PM ET,MIL,20.46
SP,Miles Mikolas (11030839),Miles Mikolas,11030839,P,9100,STL@PIT 08/05/2018 01:35PM ET,STL,16.33
SP,Carlos Rodon (11030840),Carlos Rodon,11030840,P,9000,CWS@TB 08/05/2018 01:10PM ET,CWS,17.58
SP,Jon Gray (11030215),Jon Gray,11030215,P,8800,COL@MIL 08/05/2018 02:10PM ET,COL,17.27
SP,Kyle Gibson (11030841),Kyle Gibson,11030841,P,8700,KC@MIN 08/05/2018 02:10PM ET,MIN,17.41
SP,Yu Darvish (11030842),Yu Darvish,11030842,P,8600,SD@CHC 08/05/2018 02:20PM ET,CHC,13.92
SP,Jimmy Nelson (11030843),Jimmy Nelson,11030843,P,8600,COL@MIL 08/05/2018 02:10PM ET,MIL,0
SP,Kyle Freeland (11030844),Kyle Freeland,11030844,P,8600,COL@MIL 08/05/2018 02:10PM ET,COL,15.69
SP,Jack Flaherty (11030216),Jack Flaherty,11030216,P,8500,STL@PIT 08/05/2018 01:35PM ET,STL,16.07
SP,Nick Pivetta (11030845),Nick Pivetta,11030845,P,8500,MIA@PHI 08/05/2018 01:35PM ET,PHI,15.27
SP,Danny Salazar (11030846),Danny Salazar,11030846,P,8400,LAA@CLE 08/05/2018 01:10PM ET,CLE,0
SP,Zack Wheeler (11030847),Zack Wheeler,11030847,P,8400,ATL@NYM 08/05/2018 01:10PM ET,NYM,16.80
SP,Jose Quintana (11030849),Jose Quintana,11030849,P,8200,SD@CHC 08/05/2018 02:20PM ET,CHC,14.24
SP,Chris Archer (11030848),Chris Archer,11030848,P,8200,STL@PIT 08/05/2018 01:35PM ET,PIT,14.69
SP,Jon Lester (11030217),Jon Lester,11030217,P,8100,SD@CHC 08/05/2018 02:20PM ET,CHC,14.16
SP,Kyle Hendricks (11030851),Kyle Hendricks,11030851,P,8100,SD@CHC 08/05/2018 02:20PM ET,CHC,14.39
SP,Kevin Gausman (11030850),Kevin Gausman,11030850,P,8100,ATL@NYM 08/05/2018 01:10PM ET,ATL,12.88
SP,Michael Wacha (11030852),Michael Wacha,11030852,P,8100,STL@PIT 08/05/2018 01:35PM ET,STL,16.01
SP,Jhoulys Chacin (11030854),Jhoulys Chacin,11030854,P,8000,COL@MIL 08/05/2018 02:10PM ET,MIL,13.85
SP,Anibal Sanchez (11030853),Anibal Sanchez,11030853,P,8000,ATL@NYM 08/05/2018 01:10PM ET,ATL,17.99
SP,Danny Duffy (11030218),Danny Duffy,11030218,P,8000,KC@MIN 08/05/2018 02:10PM ET,KC,13.66
SP,Vince Velasquez (11030855),Vince Velasquez,11030855,P,8000,MIA@PHI 08/05/2018 01:35PM ET,PHI,16.65
SP,Zach Eflin (11030856),Zach Eflin,11030856,P,8000,MIA@PHI 08/05/2018 01:35PM ET,PHI,15.81
SP,Luis Castillo (11030219),Luis Castillo,11030219,P,7900,CIN@WAS 08/05/2018 01:35PM ET,CIN,12.85
SP,Cole Hamels (11030857),Cole Hamels,11030857,P,7900,SD@CHC 08/05/2018 02:20PM ET,CHC,14.93
SP,Carlos Martinez (11030858),Carlos Martinez,11030858,P,7900,STL@PIT 08/05/2018 01:35PM ET,STL,14.76
SP,Julio Teheran (11030220),Julio Teheran,11030220,P,7800,ATL@NYM 08/05/2018 01:10PM ET,ATL,14.13
SP,Jake Odorizzi (11030859),Jake Odorizzi,11030859,P,7800,KC@MIN 08/05/2018 02:10PM ET,MIN,12.31
SP,Jameson Taillon (11030860),Jameson Taillon,11030860,P,7800,STL@PIT 08/05/2018 01:35PM ET,PIT,16.00
RP,Tyler Glasnow (11030861),Tyler Glasnow,11030861,P,7700,CWS@TB 08/05/2018 01:10PM ET,TB,5.25
SP,Tyler Skaggs (11030221),Tyler Skaggs,11030221,P,7700,LAA@CLE 08/05/2018 01:10PM ET,LAA,17.57
SP,Dylan Bundy (11030862),Dylan Bundy,11030862,P,7600,BAL@TEX 08/05/2018 03:05PM ET,BAL,16.58
SP,Garrett Richards (11030863),Garrett Richards,11030863,P,7500,LAA@CLE 08/05/2018 01:10PM ET,LAA,15.27
SP,German Marquez (11030865),German Marquez,11030865,P,7500,COL@MIL 08/05/2018 02:10PM ET,COL,15.48
SP,Sean Newcomb (11030866),Sean Newcomb,11030866,P,7500,ATL@NYM 08/05/2018 01:10PM ET,ATL,16.99
SP,Jakob Junis (11030864),Jakob Junis,11030864,P,7500,KC@MIN 08/05/2018 02:10PM ET,KC,13.24
SP,Shane Bieber (11030222),Shane Bieber,11030222,P,7400,LAA@CLE 08/05/2018 01:10PM ET,CLE,15.39
SP,Chase Anderson (11030867),Chase Anderson,11030867,P,7400,COL@MIL 08/05/2018 02:10PM ET,MIL,13.93
SP,Tyler Anderson (11030868),Tyler Anderson,11030868,P,7400,COL@MIL 08/05/2018 02:10PM ET,COL,14.42
SP,Dinelson Lamet (11030871),Dinelson Lamet,11030871,P,7300,SD@CHC 08/05/2018 02:20PM ET,SD,0
SP,Nick Kingham (11030869),Nick Kingham,11030869,P,7300,STL@PIT 08/05/2018 01:35PM ET,PIT,12.67
SP,Joe Musgrove (11030870),Joe Musgrove,11030870,P,7300,STL@PIT 08/05/2018 01:35PM ET,PIT,15.05
SP,Enyel De Los Santos (11030872),Enyel De Los Santos,11030872,P,7300,MIA@PHI 08/05/2018 01:35PM ET,PHI,8.9
SP,Trevor Richards (11030873),Trevor Richards,11030873,P,7300,MIA@PHI 08/05/2018 01:35PM ET,MIA,13.07
SP,Ariel Jurado (11030875),Ariel Jurado,11030875,P,7200,BAL@TEX 08/05/2018 03:05PM ET,TEX,10.62
SP,Tyson Ross (11030874),Tyson Ross,11030874,P,7200,SD@CHC 08/05/2018 02:20PM ET,SD,11.64
SP,Trevor Williams (11030223),Trevor Williams,11030223,P,7200,STL@PIT 08/05/2018 01:35PM ET,PIT,12.58
SP,Chad Kuhl (11030876),Chad Kuhl,11030876,P,7200,STL@PIT 08/05/2018 01:35PM ET,PIT,11.76
SP,Mike Minor (11030878),Mike Minor,11030878,P,7100,BAL@TEX 08/05/2018 03:05PM ET,TEX,13.75
RP,Nick Tropeano (11030879),Nick Tropeano,11030879,P,7100,LAA@CLE 08/05/2018 01:10PM ET,LAA,12.18
SP,Junior Guerra (11030877),Junior Guerra,11030877,P,7100,COL@MIL 08/05/2018 02:10PM ET,MIL,15.63
RP,Max Fried (11030881),Max Fried,11030881,P,7100,ATL@NYM 08/05/2018 01:10PM ET,ATL,9.84
SP,Fernando Romero (11030880),Fernando Romero,11030880,P,7100,KC@MIN 08/05/2018 02:10PM ET,MIN,10.70
SP,Ranger Suarez (11030882),Ranger Suarez,11030882,P,7100,MIA@PHI 08/05/2018 01:35PM ET,PHI,9.05
