Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Gerrit Cole (10861757),Gerrit Cole,10861757,P,14300,HOU@TB 06/28/2018 07:10PM ET,HOU,28.25
SP,Max Scherzer (10861756),Max Scherzer,10861756,P,14300,WAS@PHI 06/28/2018 07:05PM ET,WAS,27.33
SP,Chris Sale (10861758),Chris Sale,10861758,P,13400,LAA@BOS 06/28/2018 07:10PM ET,BOS,26.58
SP,Justin Verlander (10861759),Justin Verlander,10861759,P,13300,HOU@TB 06/28/2018 07:10PM ET,HOU,27.33
SP,Aaron Nola (10861529),Aaron Nola,10861529,P,12100,WAS@PHI 06/28/2018 07:05PM ET,PHI,21.31
SP,Charlie Morton (10861761),Charlie Morton,10861761,P,12000,HOU@TB 06/28/2018 07:10PM ET,HOU,23.52
SP,Stephen Strasburg (10861760),Stephen Strasburg,10861760,P,12000,WAS@PHI 06/28/2018 07:05PM ET,WAS,21.41
SP,Blake Snell (10861762),Blake Snell,10861762,P,11500,HOU@TB 06/28/2018 07:10PM ET,TB,22.26
SP,Lance McCullers Jr. (10861530),Lance McCullers Jr.,10861530,P,11100,HOU@TB 06/28/2018 07:10PM ET,HOU,18.33
SP,Tyler Skaggs (10861763),Tyler Skaggs,10861763,P,10700,LAA@BOS 06/28/2018 07:10PM ET,LAA,19.32
SP,Eduardo Rodriguez (10861764),Eduardo Rodriguez,10861764,P,10200,LAA@BOS 06/28/2018 07:10PM ET,BOS,17.89
SP,Rick Porcello (10861765),Rick Porcello,10861765,P,9100,LAA@BOS 06/28/2018 07:10PM ET,BOS,18.17
SP,Chris Archer (10861766),Chris Archer,10861766,P,9000,HOU@TB 06/28/2018 07:10PM ET,TB,15.44
SP,Andrew Heaney (10861767),Andrew Heaney,10861767,P,8800,LAA@BOS 06/28/2018 07:10PM ET,LAA,15.98
SP,Jimmy Nelson (10861768),Jimmy Nelson,10861768,P,8700,MIL@CIN 06/28/2018 07:10PM ET,MIL,0
SP,Steven Wright (10861770),Steven Wright,10861770,P,8500,LAA@BOS 06/28/2018 07:10PM ET,BOS,9.94
SP,Gio Gonzalez (10861769),Gio Gonzalez,10861769,P,8500,WAS@PHI 06/28/2018 07:05PM ET,WAS,14.85
SP,Dallas Keuchel (10861771),Dallas Keuchel,10861771,P,8400,HOU@TB 06/28/2018 07:10PM ET,HOU,13.53
SP,David Price (10861772),David Price,10861772,P,8300,LAA@BOS 06/28/2018 07:10PM ET,BOS,17.59
SP,Junior Guerra (10861531),Junior Guerra,10861531,P,8200,MIL@CIN 06/28/2018 07:10PM ET,MIL,16.29
SP,Jhoulys Chacin (10861773),Jhoulys Chacin,10861773,P,8200,MIL@CIN 06/28/2018 07:10PM ET,MIL,12.87
SP,Nick Pivetta (10861774),Nick Pivetta,10861774,P,8100,WAS@PHI 06/28/2018 07:05PM ET,PHI,16.72
SP,Freddy Peralta (10861775),Freddy Peralta,10861775,P,7900,MIL@CIN 06/28/2018 07:10PM ET,MIL,28.85
