,Name,Team,Position,Salary,DKFG,DKRoto,Var
0,Madison Bumgarner,Giants,SP,11400,20.64,20.99,120.09394911847242
1,Noah Syndergaard,Mets,SP,11000,18.8,19.86,107.06901646650404
2,Rick Porcello,Red Sox,SP,9800,15.73,17.14,100.56501485109224
3,Walker Buehler,Dodgers,SP,9500,19.26,16.9,163.12531635802475
4,Junior Guerra,Brewers,SP,9200,15.38,16.2,74.0541168368718
5,Cole Hamels,Rangers,SP,9000,16.43,15.87,120.02205143771398
6,Jake Arrieta,Phillies,SP,8900,14.74,17.15,140.45505551794918
7,Tanner Roark,Nationals,SP,8700,16.95,15.66,105.07890216262976
8,Nathan Eovaldi,Rays,SP,8500,14.21,15.97,90.86821863841496
9,Dallas Keuchel,Astros,SP,8400,20.24,20.06,125.09242546841587
10,Shane Bieber,Indians,SP,8100,16.4,13.9,66.18312499999998
11,Carlos Martinez,Cardinals,SP,8100,16.37,16.68,131.30745124252905
12,Nick Kingham,Pirates,SP,7900,15.01,15.12,106.31230468750002
13,Anibal Sanchez,Braves,SP,7800,20.01,14.77,130.23583333812124
14,Zack Godley,Diamondbacks,SP,7700,14.43,15.43,113.02664570949548
15,Jake Odorizzi,Twins,SP,7600,13.32,16.15,92.01556622078158
16,Domingo German,Yankees,SP,7400,13.21,13.36,106.30853190104166
17,Matt Harvey,Reds,SP,7200,9.75,10.38,132.16537482638893
18,Mike Fiers,Tigers,SP,7100,9.98,10.96,116.11558223842331
19,Felix Pena,Angels,SP,6800,17.44,13.95,38.65716695011336
20,James Shields,White Sox,SP,6500,13.9,15.88,125.56283059456524
21,Brad Keller,Royals,SP,6400,12.61,14.04,46.4364947385204
22,Tyler Chatwood,Cubs,SP,6200,15.79,14.64,103.12066326351095
23,Mookie Betts,Red Sox,OF,6100,11.51,11.27,98.48591311921871
24,Edwin Jackson,Athletics,SP,6100,12.9,12.87,123.01610268351791
25,Ryan Borucki,Blue Jays,SP,6000,8.45,10.05,36.77388888888889
26,Francisco Lindor,Indians,SS,5900,9.37,9.32,81.4299926089586
27,J.D. Martinez,Red Sox,OF,5800,11.4,11.02,69.33428461336321
28,Jose Ramirez,Indians,3B,5800,9.66,9.8,66.77551596271634
29,Aaron Judge,Yankees,OF,5700,9.94,9.67,102.18408169563324
30,Nolan Arenado,Rockies,3B,5600,11.5,11.75,78.37974926363208
31,Mitch Haniger,Mariners,OF,5600,11.58,10.64,64.22037286423702
32,Clayton Richard,Padres,SP,5600,11.87,13.47,106.96050031037569
33,Charlie Blackmon,Rockies,OF,5500,12.39,11.9,75.95050645046273
34,Javier Baez,Cubs,2B/SS,5500,9.41,9.13,47.12883252408177
35,Mike Trout,Angels,OF,5500,10.09,10.25,111.22359666594332
36,Trevor Story,Rockies,SS,5300,10.54,10.14,72.37845583738739
37,Michael Brantley,Indians,OF,5200,9.24,8.62,61.475151640083475
38,Jean Segura,Mariners,SS,5200,11.34,10.89,59.95657171619201
39,Jesus Aguilar,Brewers,1B,5200,8.62,6.92,29.91691389794949
40,Ozzie Albies,Braves,2B,5200,9.14,8.87,84.13317479191439
41,Xander Bogaerts,Red Sox,SS,5100,9.07,8.63,58.11045805082552
42,Max Muncy,Dodgers,1B/3B,5100,9.46,8.23,31.03105122511197
43,Aaron Hicks,Yankees,OF,5000,8.73,8.51,40.456358536559016
44,Alex Bregman,Astros,3B,5000,9.6,9.65,74.20675837808244
45,Alex Cobb,Orioles,SP,5000,13.15,11.73,120.82160603985777
46,Manny Machado,Orioles,SS,5000,9.13,9.92,70.11113866296371
47,Bryce Harper,Nationals,OF,5000,7.99,7.79,80.3703871517163
48,Starling Marte,Pirates,OF,5000,8.22,8.56,71.9906050873972
49,Freddie Freeman,Braves,1B,5000,10.09,9.54,71.1034639747431
50,Eugenio Suarez,Reds,3B,4900,8.0,6.03,52.932006771314256
51,Scooter Gennett,Reds,2B,4900,8.98,7.28,44.145615437877424
52,Jeff Hoffman,Rockies,SP,4900,8.21,6.33,133.35156780478394
53,Wil Myers,Padres,OF,4900,8.6,8.11,65.62979206832172
54,Paul Goldschmidt,Diamondbacks,1B,4900,9.67,9.48,93.180050433385
