,Name,ID,Position,Link,Start Year,End Year
5,Andy Abad,506,1B,statss.aspx?playerid=506&position=1B,2001,2006
21,Reggie Abercrombie,2187,OF,statss.aspx?playerid=2187&position=OF,2006,2008
26,Brent Abernathy,1192,2B,statss.aspx?playerid=1192&position=2B,2001,2005
37,Bobby Abreu,945,OF,statss.aspx?playerid=945&position=OF,1996,2014
38,Tony Abreu,5053,2B/3B,statss.aspx?playerid=5053&position=2B/3B,2007,2014
48,Dustin Ackley,10099,2B/OF,statss.aspx?playerid=10099&position=2B/OF,2011,2016
60,Cristhian Adames,6013,SS,statss.aspx?playerid=6013&position=SS,2014,2017
88,Russ Adams,4519,SS,statss.aspx?playerid=4519&position=SS,2004,2009
91,Ryan Adams,6343,2B,statss.aspx?playerid=6343&position=2B,2011,2011
93,David Adams,7389,3B,statss.aspx?playerid=7389&position=3B,2013,2013
118,Benny Agbayani,416,OF,statss.aspx?playerid=416&position=OF,1998,2002
125,Chris Aguila,2143,OF,statss.aspx?playerid=2143&position=OF,2004,2008
160,Izzy Alcantara,1558,1B/OF,statss.aspx?playerid=1558&position=1B/OF,2000,2002
162,Arismendy Alcantara,10711,2B/OF,statss.aspx?playerid=10711&position=2B/OF,2014,2017
171,Cory Aldridge,1405,OF,statss.aspx?playerid=1405&position=OF,2010,2010
175,Manny Alexander,1954,2B/SS,statss.aspx?playerid=1954&position=2B/SS,1992,2006
186,Jason Alfaro,2388,SS,statss.aspx?playerid=2388&position=SS,2004,2004
189,Eliezer Alfonzo,2331,C,statss.aspx?playerid=2331&position=C,2006,2011
190,Edgardo Alfonzo,859,2B/3B,statss.aspx?playerid=859&position=2B/3B,1995,2006
192,Luis Alicea,584,2B,statss.aspx?playerid=584&position=2B,1988,2002
196,Brandon Allen,7436,1B,statss.aspx?playerid=7436&position=1B,2009,2012
197,Luke Allen,1586,OF,statss.aspx?playerid=1586&position=OF,2002,2003
198,Chad Allen,122,OF,statss.aspx?playerid=122&position=OF,1999,2005
246,Erick Almonte,808,SS,statss.aspx?playerid=808&position=SS,2001,2011
248,Zoilo Almonte,6732,OF,statss.aspx?playerid=6732&position=OF,2013,2014
255,Roberto Alomar,860,2B,statss.aspx?playerid=860&position=2B,1988,2004
257,Sandy Alomar Jr.,221,C,statss.aspx?playerid=221&position=C,1988,2007
259,Moises Alou,261,OF,statss.aspx?playerid=261&position=OF,1990,2008
290,Tony Alvarez,1587,OF,statss.aspx?playerid=1587&position=OF,2002,2004
297,Dariel Alvarez,15580,OF,statss.aspx?playerid=15580&position=OF,2015,2016
304,Alexi Amarista,9063,2B/SS/OF,statss.aspx?playerid=9063&position=2B/SS/OF,2011,2017
308,Chip Ambres,2042,OF,statss.aspx?playerid=2042&position=OF,2005,2008
313,Alfredo Amezaga,1,OF,statss.aspx?playerid=1&position=OF,2002,2011
319,Brian Anderson,6144,OF,statss.aspx?playerid=6144&position=OF,2005,2009
320,Garret Anderson,2,OF,statss.aspx?playerid=2&position=OF,1994,2010
355,Lars Anderson,9018,1B,statss.aspx?playerid=9018&position=1B,2010,2012
359,Brady Anderson,364,OF,statss.aspx?playerid=364&position=OF,1988,2002
363,Bryan Anderson,9871,C,statss.aspx?playerid=9871&position=C,2010,2015
364,Josh Anderson,6032,OF,statss.aspx?playerid=6032&position=OF,2007,2009
365,Marlon Anderson,947,2B,statss.aspx?playerid=947&position=2B,1998,2009
366,Drew Anderson,5578,OF,statss.aspx?playerid=5578&position=OF,2006,2006
371,Robert Andino,4900,2B/SS,statss.aspx?playerid=4900&position=2B/SS,2005,2016
377,Shane Andrews,1588,3B,statss.aspx?playerid=1588&position=3B,1995,2002
400,Matt Angle,8136,OF,statss.aspx?playerid=8136&position=OF,2011,2011
403,Rick Ankiel,1142,OF,statss.aspx?playerid=1142&position=OF,1999,2013
404,Dean Anna,8353,SS,statss.aspx?playerid=8353&position=SS,2014,2015
412,Matt Antonelli,9343,2B,statss.aspx?playerid=9343&position=2B,2008,2008
414,Nori Aoki,13075,OF,statss.aspx?playerid=13075&position=OF,2012,2017
438,Oswaldo Arcia,10306,OF,statss.aspx?playerid=10306&position=OF,2013,2016
444,Danny Ardoin,585,C,statss.aspx?playerid=585&position=C,2000,2008
447,J.P. Arencibia,697,C,statss.aspx?playerid=697&position=C,2010,2015
452,Alex Arias,123,3B/SS,statss.aspx?playerid=123&position=3B/SS,1992,2002
453,Joaquin Arias,3817,3B,statss.aspx?playerid=3817&position=3B,2006,2015
491,Erisbel Arruebarrena,15809,SS,statss.aspx?playerid=15809&position=SS,2014,2014
498,Cody Asche,11997,3B/OF,statss.aspx?playerid=11997&position=3B/OF,2013,2017
508,Nevin Ashley,3274,C,statss.aspx?playerid=3274&position=C,2015,2015
528,Garrett Atkins,1790,3B,statss.aspx?playerid=1790&position=3B,2003,2010
537,Michael Aubrey,6049,1B,statss.aspx?playerid=6049&position=1B,2008,2009
550,Rich Aurilia,1106,SS,statss.aspx?playerid=1106&position=SS,1995,2009
552,Brad Ausmus,546,C,statss.aspx?playerid=546&position=C,1993,2010
563,Bruce Aven,366,OF,statss.aspx?playerid=366&position=OF,1997,2002
566,Xavier Avery,8471,OF,statss.aspx?playerid=8471&position=OF,2012,2012
571,Mike Aviles,5986,SS,statss.aspx?playerid=5986&position=SS,2008,2017
580,Willy Aybar,2192,3B/DH,statss.aspx?playerid=2192&position=3B/DH,2005,2010
581,Erick Aybar,4082,SS,statss.aspx?playerid=4082&position=SS,2006,2017
610,Carlos Baerga,175,2B,statss.aspx?playerid=175&position=2B,1990,2005
620,Jeff Bagwell,547,1B,statss.aspx?playerid=547&position=1B,1991,2005
629,Jeff Bailey,2394,1B,statss.aspx?playerid=2394&position=1B,2007,2009
652,Jeff Baisley,9684,1B/3B,statss.aspx?playerid=9684&position=1B/3B,2008,2008
679,Jeff Baker,2073,1B/2B,statss.aspx?playerid=2073&position=1B/2B,2005,2015
681,John Baker,4756,C,statss.aspx?playerid=4756&position=C,2008,2014
688,Paul Bako,676,C,statss.aspx?playerid=676&position=C,1998,2009
693,Rocco Baldelli,1656,OF,statss.aspx?playerid=1656&position=OF,2003,2010
710,Wladimir Balentien,3131,OF,statss.aspx?playerid=3131&position=OF,2007,2009
737,Brian Banks,1589,C/1B/OF,statss.aspx?playerid=1589&position=C/1B/OF,1996,2003
743,Wes Bankston,4661,1B,statss.aspx?playerid=4661&position=1B,2008,2008
752,Brandon Bantz,9442,C,statss.aspx?playerid=9442&position=C,2013,2013
755,Rod Barajas,45,C,statss.aspx?playerid=45&position=C,1999,2012
772,Josh Bard,1578,C,statss.aspx?playerid=1578&position=C,2002,2011
775,Brian Barden,4429,3B,statss.aspx?playerid=4429&position=3B,2007,2010
777,Josh Barfield,3622,2B,statss.aspx?playerid=3622&position=2B,2006,2009
784,Sean Barker,4617,OF,statss.aspx?playerid=4617&position=OF,2007,2007
790,Kevin Barker,1019,1B,statss.aspx?playerid=1019&position=1B,1999,2009
799,Clint Barmes,1830,2B/SS,statss.aspx?playerid=1830&position=2B/SS,2003,2015
803,Larry Barnes,4,1B,statss.aspx?playerid=4&position=1B,2001,2003
813,Brandon Barnes,629,OF,statss.aspx?playerid=629&position=OF,2012,2016
