,Name,ID,Position,Link,Start Year,End Year
0,David Aardsma,1902,P,statss.aspx?playerid=1902&position=P,2004,2015
4,Fernando Abad,4994,P,statss.aspx?playerid=4994&position=P,2010,2017
10,Paul Abbott,1061,P,statss.aspx?playerid=1061&position=P,1990,2004
34,Winston Abreu,582,P,statss.aspx?playerid=582&position=P,2006,2009
36,Juan Abreu,6306,P,statss.aspx?playerid=6306&position=P,2011,2011
40,Jeremy Accardo,6428,P,statss.aspx?playerid=6428&position=P,2005,2012
41,Jose Acevedo,307,P,statss.aspx?playerid=307&position=P,2001,2005
42,Juan Acevedo,458,P,statss.aspx?playerid=458&position=P,1995,2003
43,Alfredo Aceves,5164,P,statss.aspx?playerid=5164&position=P,2008,2014
44,A.J. Achter,11387,P,statss.aspx?playerid=11387&position=P,2014,2016
49,Manny Acosta,8725,P,statss.aspx?playerid=8725&position=P,2007,2012
87,Mike Adams,1937,P,statss.aspx?playerid=1937&position=P,2004,2014
90,Terry Adams,946,P,statss.aspx?playerid=946&position=P,1995,2005
95,Austin Adams,7411,P,statss.aspx?playerid=7411&position=P,2014,2016
99,Nate Adcock,3282,P,statss.aspx?playerid=3282&position=P,2011,2015
104,Nick Adenhart,6879,P,statss.aspx?playerid=6879&position=P,2008,2009
106,Jon Adkins,1799,P,statss.aspx?playerid=1799&position=P,2003,2008
113,Tim Adleman,10968,P,statss.aspx?playerid=10968&position=P,2016,2017
117,Jeremy Affeldt,583,P,statss.aspx?playerid=583&position=P,2002,2015
135,Kurt Ainsworth,1431,P,statss.aspx?playerid=1431&position=P,2001,2004
144,Jonathan Albaladejo,3521,P,statss.aspx?playerid=3521&position=P,2007,2012
147,Andrew Albers,7853,P,statss.aspx?playerid=7853&position=P,2013,2017
157,Al Alburquerque,6324,P,statss.aspx?playerid=6324&position=P,2011,2017
163,Raul Alcantara,12790,P,statss.aspx?playerid=12790&position=P,2016,2017
188,Antonio Alfonseca,260,P,statss.aspx?playerid=260&position=P,1997,2007
242,Armando Almanza,507,P,statss.aspx?playerid=507&position=P,1999,2005
243,Carlos Almanzar,308,P,statss.aspx?playerid=308&position=P,1997,2005
250,Hector Almonte,1729,P,statss.aspx?playerid=1729&position=P,1999,2003
252,Edwin Almonte,1764,P,statss.aspx?playerid=1764&position=P,2003,2003
288,Victor Alvarez,1559,P,statss.aspx?playerid=1559&position=P,2002,2003
289,Henderson Alvarez,5669,P,statss.aspx?playerid=5669&position=P,2011,2017
291,R.J. Alvarez,13401,P,statss.aspx?playerid=13401&position=P,2014,2015
292,Abe Alvarez,6259,P,statss.aspx?playerid=6259&position=P,2004,2006
293,Juan Alvarez,1432,P,statss.aspx?playerid=1432&position=P,1999,2003
294,Dario Alvarez,14239,P,statss.aspx?playerid=14239&position=P,2014,2017
