,Name,ID,Position,Link,Start Year,End Year
0,David Aardsma,1902,P,statss.aspx?playerid=1902&position=P,2004,2015
1,Hank Aaron,1000001,OF,statss.aspx?playerid=1000001&position=OF,1954,1976
2,Tommie Aaron,1000002,1B/OF,statss.aspx?playerid=1000002&position=1B/OF,1962,1971
3,Don Aase,1000003,P,statss.aspx?playerid=1000003&position=P,1977,1990
4,Fernando Abad,4994,P,statss.aspx?playerid=4994&position=P,2010,2017
5,Andy Abad,506,1B,statss.aspx?playerid=506&position=1B,2001,2006
6,John Abadie,1000004,1B,statss.aspx?playerid=1000004&position=1B,1875,?
7,Ed Abbaticchio,1000005,2B/SS,statss.aspx?playerid=1000005&position=2B/SS,1897,1910
8,Bert Abbey,1000006,P,statss.aspx?playerid=1000006&position=P,1892,1896
9,Charlie Abbey,1000007,OF,statss.aspx?playerid=1000007&position=OF,1893,1897
10,Paul Abbott,1061,P,statss.aspx?playerid=1061&position=P,1990,2004
11,Dan Abbott,1000008,P,statss.aspx?playerid=1000008&position=P,1890,1890
12,Fred Abbott,1000009,C,statss.aspx?playerid=1000009&position=C,1903,1905
13,Glenn Abbott,1000010,P,statss.aspx?playerid=1000010&position=P,1973,1984
14,Jeff Abbott,1000011,OF,statss.aspx?playerid=1000011&position=OF,1997,2001
15,Jim Abbott,1000012,P,statss.aspx?playerid=1000012&position=P,1989,1999
16,Kurt Abbott,1000013,2B/SS,statss.aspx?playerid=1000013&position=2B/SS,1993,2001
17,Kyle Abbott,1000014,P,statss.aspx?playerid=1000014&position=P,1991,1996
18,Ody Abbott,1000015,OF,statss.aspx?playerid=1000015&position=OF,1910,1910
19,Al Aber,1000016,P,statss.aspx?playerid=1000016&position=P,1950,1957
20,Francis Abercrombie,1000017,SS,statss.aspx?playerid=1000017&position=SS,1871,1871
21,Reggie Abercrombie,2187,OF,statss.aspx?playerid=2187&position=OF,2006,2008
22,Bill Abernathie,1000018,P,statss.aspx?playerid=1000018&position=P,1952,1952
23,Tal Abernathy,1000019,P,statss.aspx?playerid=1000019&position=P,1942,1944
24,Ted Abernathy,1000020,P,statss.aspx?playerid=1000020&position=P,1955,1972
25,Woody Abernathy,1000021,P,statss.aspx?playerid=1000021&position=P,1946,1947
26,Brent Abernathy,1192,2B,statss.aspx?playerid=1192&position=2B,2001,2005
27,Cliff Aberson,1000022,OF,statss.aspx?playerid=1000022&position=OF,1947,1949
28,Harry Ables,1000023,P,statss.aspx?playerid=1000023&position=P,1905,1911
29,Shawn Abner,1000024,OF,statss.aspx?playerid=1000024&position=OF,1987,1992
30,Cal Abrams,1000025,OF,statss.aspx?playerid=1000025&position=OF,1949,1956
31,George Abrams,1000026,P,statss.aspx?playerid=1000026&position=P,1923,1923
32,Johnny Abrego,1000027,P,statss.aspx?playerid=1000027&position=P,1985,1985
33,Jose Abreu,15676,1B,statss.aspx?playerid=15676&position=1B,2014,2018
34,Winston Abreu,582,P,statss.aspx?playerid=582&position=P,2006,2009
35,Joe Abreu,1000028,2B/3B,statss.aspx?playerid=1000028&position=2B/3B,1942,1942
36,Juan Abreu,6306,P,statss.aspx?playerid=6306&position=P,2011,2011
37,Bobby Abreu,945,OF,statss.aspx?playerid=945&position=OF,1996,2014
38,Tony Abreu,5053,2B/3B,statss.aspx?playerid=5053&position=2B/3B,2007,2014
39,Bill Abstein,1000029,1B,statss.aspx?playerid=1000029&position=1B,1906,1910
40,Jeremy Accardo,6428,P,statss.aspx?playerid=6428&position=P,2005,2012
41,Jose Acevedo,307,P,statss.aspx?playerid=307&position=P,2001,2005
42,Juan Acevedo,458,P,statss.aspx?playerid=458&position=P,1995,2003
43,Alfredo Aceves,5164,P,statss.aspx?playerid=5164&position=P,2008,2014
44,A.J. Achter,11387,P,statss.aspx?playerid=11387&position=P,2014,2016
45,Jim Acker,1000030,P,statss.aspx?playerid=1000030&position=P,1983,1992
46,Tom Acker,1000031,P,statss.aspx?playerid=1000031&position=P,1956,1959
47,Fritz Ackley,1000032,P,statss.aspx?playerid=1000032&position=P,1963,1964
48,Dustin Ackley,10099,2B/OF,statss.aspx?playerid=10099&position=2B/OF,2011,2016
49,Manny Acosta,8725,P,statss.aspx?playerid=8725&position=P,2007,2012
50,Cy Acosta,1000033,P,statss.aspx?playerid=1000033&position=P,1972,1975
51,Ed Acosta,1000034,P,statss.aspx?playerid=1000034&position=P,1970,1972
52,Jose Acosta,1000035,P,statss.aspx?playerid=1000035&position=P,1920,1922
53,Merito Acosta,1000036,OF,statss.aspx?playerid=1000036&position=OF,1913,1918
54,Mark Acre,1000037,P,statss.aspx?playerid=1000037&position=P,1994,1997
55,Ronald Acuna,18401,OF,statss.aspx?playerid=18401&position=OF,2018,2018
56,Jerry Adair,1000038,2B/SS,statss.aspx?playerid=1000038&position=2B/SS,1958,1970
57,Jimmy Adair,1000039,SS,statss.aspx?playerid=1000039&position=SS,1931,1931
58,Jason Adam,11861,P,statss.aspx?playerid=11861&position=P,2018,2018
59,Willy Adames,15986,SS,statss.aspx?playerid=15986&position=SS,2018,2018
60,Cristhian Adames,6013,SS,statss.aspx?playerid=6013&position=SS,2014,2017
61,Lane Adams,10767,OF,statss.aspx?playerid=10767&position=OF,2014,2018
62,Ace Adams,1000040,P,statss.aspx?playerid=1000040&position=P,1941,1946
63,Babe Adams,1000041,P,statss.aspx?playerid=1000041&position=P,1906,1926
64,Bert Adams,1000042,C,statss.aspx?playerid=1000042&position=C,1910,1919
65,Bob Adams,1000043,P,statss.aspx?playerid=1000043&position=P,1925,1925
66,Bob Adams,1000044,P,statss.aspx?playerid=1000044&position=P,1931,1932
67,Bobby Adams,1000045,2B/3B,statss.aspx?playerid=1000045&position=2B/3B,1946,1959
68,Bob Adams,1000046,C/1B,statss.aspx?playerid=1000046&position=C/1B,1977,1977
69,Buster Adams,1000047,OF,statss.aspx?playerid=1000047&position=OF,1939,1947
70,Dan Adams,1000048,P,statss.aspx?playerid=1000048&position=P,1914,1915
71,Dick Adams,1000049,1B,statss.aspx?playerid=1000049&position=1B,1947,1947
72,Doug Adams,1000050,C,statss.aspx?playerid=1000050&position=C,1969,1969
73,George Adams,1000051,1B/OF,statss.aspx?playerid=1000051&position=1B/OF,1879,?
74,Glenn Adams,1000052,DH/OF,statss.aspx?playerid=1000052&position=DH/OF,1975,1982
75,Herb Adams,1000053,OF,statss.aspx?playerid=1000053&position=OF,1948,1950
76,Jim Adams,1000054,C,statss.aspx?playerid=1000054&position=C,1890,1890
77,Joe Adams,1000055,P,statss.aspx?playerid=1000055&position=P,1902,1902
78,Karl Adams,1000057,P,statss.aspx?playerid=1000057&position=P,1914,1915
79,Mike Adams,1000059,OF,statss.aspx?playerid=1000059&position=OF,1972,1978
80,Red Adams,1000060,P,statss.aspx?playerid=1000060&position=P,1946,1946
81,Rick Adams,1000061,P,statss.aspx?playerid=1000061&position=P,1905,1905
82,Ricky Adams,1000062,3B/SS,statss.aspx?playerid=1000062&position=3B/SS,1982,1985
83,Sparky Adams,1000063,2B/3B,statss.aspx?playerid=1000063&position=2B/3B,1922,1934
84,Spencer Adams,1000064,2B,statss.aspx?playerid=1000064&position=2B,1923,1927
85,Willie Adams,1000065,P,statss.aspx?playerid=1000065&position=P,1912,1919
86,Willie Adams,1000066,P,statss.aspx?playerid=1000066&position=P,1996,1997
87,Mike Adams,1937,P,statss.aspx?playerid=1937&position=P,2004,2014
88,Russ Adams,4519,SS,statss.aspx?playerid=4519&position=SS,2004,2009
89,Matt Adams,9393,1B,statss.aspx?playerid=9393&position=1B,2012,2018
90,Terry Adams,946,P,statss.aspx?playerid=946&position=P,1995,2005
91,Ryan Adams,6343,2B,statss.aspx?playerid=6343&position=2B,2011,2011
92,Chance Adams,18135,P,statss.aspx?playerid=18135&position=P,2018,2018
93,David Adams,7389,3B,statss.aspx?playerid=7389&position=3B,2013,2013
94,Austin Adams,13801,P,statss.aspx?playerid=13801&position=P,2017,2018
95,Austin Adams,7411,P,statss.aspx?playerid=7411&position=P,2014,2016
96,Joel Adamson,1000056,P,statss.aspx?playerid=1000056&position=P,1996,1998
97,Mike Adamson,1000058,P,statss.aspx?playerid=1000058&position=P,1967,1969
98,Joe Adcock,1000067,1B,statss.aspx?playerid=1000067&position=1B,1950,1966
99,Nate Adcock,3282,P,statss.aspx?playerid=3282&position=P,2011,2015
100,Bob Addis,1000068,OF,statss.aspx?playerid=1000068&position=OF,1950,1953
101,Jim Adduci,6448,1B/OF,statss.aspx?playerid=6448&position=1B/OF,2013,2018
102,Jim Adduci,1000069,1B/OF,statss.aspx?playerid=1000069&position=1B/OF,1983,1989
103,Bob Addy,1000070,2B/OF,statss.aspx?playerid=1000070&position=2B/OF,1871,?
104,Nick Adenhart,6879,P,statss.aspx?playerid=6879&position=P,2008,2009
105,Morrie Aderholt,1000071,OF,statss.aspx?playerid=1000071&position=OF,1939,1945
106,Jon Adkins,1799,P,statss.aspx?playerid=1799&position=P,2003,2008
107,Dewey Adkins,1000072,P,statss.aspx?playerid=1000072&position=P,1942,1949
108,Dick Adkins,1000073,SS,statss.aspx?playerid=1000073&position=SS,1942,1942
109,Doc Adkins,1000074,P,statss.aspx?playerid=1000074&position=P,1902,1903
110,Grady Adkins,1000075,P,statss.aspx?playerid=1000075&position=P,1928,1929
111,Steve Adkins,1000077,P,statss.aspx?playerid=1000077&position=P,1990,1990
112,Henry Adkinson,1000076,OF,statss.aspx?playerid=1000076&position=OF,1895,1895
113,Tim Adleman,10968,P,statss.aspx?playerid=10968&position=P,2016,2017
114,Dave Adlesh,1000078,C,statss.aspx?playerid=1000078&position=C,1963,1968
115,Ehire Adrianza,8418,SS,statss.aspx?playerid=8418&position=SS,2013,2018
116,Troy Afenir,1000079,C,statss.aspx?playerid=1000079&position=C,1987,1992
117,Jeremy Affeldt,583,P,statss.aspx?playerid=583&position=P,2002,2015
118,Benny Agbayani,416,OF,statss.aspx?playerid=416&position=OF,1998,2002
119,Tommie Agee,1000080,OF,statss.aspx?playerid=1000080&position=OF,1962,1973
120,Harry Agganis,1000081,1B,statss.aspx?playerid=1000081&position=1B,1954,1955
121,Joe Agler,1000082,1B/OF,statss.aspx?playerid=1000082&position=1B/OF,1912,1915
122,Sam Agnew,1000083,C,statss.aspx?playerid=1000083&position=C,1913,1919
123,Juan Agosto,1000084,P,statss.aspx?playerid=1000084&position=P,1981,1993
124,Luis Aguayo,1000085,2B/SS,statss.aspx?playerid=1000085&position=2B/SS,1980,1989
125,Chris Aguila,2143,OF,statss.aspx?playerid=2143&position=OF,2004,2008
126,Jesus Aguilar,11342,1B,statss.aspx?playerid=11342&position=1B,2014,2018
127,Rick Aguilera,1000086,P,statss.aspx?playerid=1000086&position=P,1985,2000
128,Hank Aguirre,1000087,P,statss.aspx?playerid=1000087&position=P,1955,1970
129,Charlie Ahearn,1000088,C,statss.aspx?playerid=1000088&position=C,1880,1880
130,Pat Ahearne,1000089,P,statss.aspx?playerid=1000089&position=P,1995,1995
131,Nick Ahmed,12147,SS,statss.aspx?playerid=12147&position=SS,2014,2018
132,Willie Aikens,1000090,1B,statss.aspx?playerid=1000090&position=1B,1977,1985
133,Danny Ainge,1000091,2B/3B,statss.aspx?playerid=1000091&position=2B/3B,1979,1981
134,Eddie Ainsmith,1000092,C,statss.aspx?playerid=1000092&position=C,1910,1924
135,Kurt Ainsworth,1431,P,statss.aspx?playerid=1431&position=P,2001,2004
136,Raleigh Aitchison,1000093,P,statss.aspx?playerid=1000093&position=P,1911,1915
137,George Aiton,1000094,OF,statss.aspx?playerid=1000094&position=OF,1912,1912
138,John Ake,1000095,3B,statss.aspx?playerid=1000095&position=3B,1884,1884
139,Jack Aker,1000097,P,statss.aspx?playerid=1000097&position=P,1964,1974
140,Darrel Akerfelds,1000096,P,statss.aspx?playerid=1000096&position=P,1986,1991
141,Bill Akers,1000098,3B/SS,statss.aspx?playerid=1000098&position=3B/SS,1929,1932
142,Jerry Akers,1000099,P,statss.aspx?playerid=1000099&position=P,1912,1912
143,Gibson Alba,1000100,P,statss.aspx?playerid=1000100&position=P,1988,1988
144,Jonathan Albaladejo,3521,P,statss.aspx?playerid=3521&position=P,2007,2012
145,Joe Albanese,1000101,P,statss.aspx?playerid=1000101&position=P,1958,1958
146,Jose Alberro,1000105,P,statss.aspx?playerid=1000105&position=P,1995,1997
147,Andrew Albers,7853,P,statss.aspx?playerid=7853&position=P,2013,2017
148,Matt Albers,4300,P,statss.aspx?playerid=4300&position=P,2006,2018
149,Hanser Alberto,11902,2B,statss.aspx?playerid=11902&position=2B,2015,2018
150,Butch Alberts,1000102,DH,statss.aspx?playerid=1000102&position=DH,1978,1978
151,Cy Alberts,1000103,P,statss.aspx?playerid=1000103&position=P,1910,1910
152,Gus Alberts,1000104,3B/SS,statss.aspx?playerid=1000104&position=3B/SS,1884,1891
153,Ozzie Albies,16556,2B,statss.aspx?playerid=16556&position=2B,2017,2018
154,Ed Albosta,1000106,P,statss.aspx?playerid=1000106&position=P,1941,1946
155,Ed Albrecht,1000107,P,statss.aspx?playerid=1000107&position=P,1949,1950
156,Jack Albright,1000108,SS,statss.aspx?playerid=1000108&position=SS,1947,1947
157,Al Alburquerque,6324,P,statss.aspx?playerid=6324&position=P,2011,2017
158,Vic Albury,1000109,P,statss.aspx?playerid=1000109&position=P,1973,1976
159,Santo Alcala,1000110,P,statss.aspx?playerid=1000110&position=P,1976,1977
160,Izzy Alcantara,1558,1B/OF,statss.aspx?playerid=1558&position=1B/OF,2000,2002
161,Victor Alcantara,15028,P,statss.aspx?playerid=15028&position=P,2017,2018
162,Arismendy Alcantara,10711,2B/OF,statss.aspx?playerid=10711&position=2B/OF,2014,2017
163,Raul Alcantara,12790,P,statss.aspx?playerid=12790&position=P,2016,2017
164,Sandy Alcantara,18684,P,statss.aspx?playerid=18684&position=P,2017,2018
165,Luis Alcaraz,1000111,2B,statss.aspx?playerid=1000111&position=2B,1967,1970
166,Scotty Alcock,1000112,3B,statss.aspx?playerid=1000112&position=3B,1914,1914
167,Dale Alderson,1000113,P,statss.aspx?playerid=1000113&position=P,1943,1944
168,Scott Aldred,1000115,P,statss.aspx?playerid=1000115&position=P,1990,2000
169,Mike Aldrete,1000114,1B/OF,statss.aspx?playerid=1000114&position=1B/OF,1986,1996
170,Jay Aldrich,1000117,P,statss.aspx?playerid=1000117&position=P,1987,1990
171,Cory Aldridge,1405,OF,statss.aspx?playerid=1405&position=OF,2010,2010
172,Vic Aldridge,1000118,P,statss.aspx?playerid=1000118&position=P,1917,1928
173,Chuck Aleno,1000119,3B,statss.aspx?playerid=1000119&position=3B,1941,1944
174,Scott Alexander,10591,P,statss.aspx?playerid=10591&position=P,2015,2018
175,Manny Alexander,1954,2B/SS,statss.aspx?playerid=1954&position=2B/SS,1992,2006
176,Bob Alexander,1000120,P,statss.aspx?playerid=1000120&position=P,1955,1957
177,Dale Alexander,1000121,1B,statss.aspx?playerid=1000121&position=1B,1929,1933
178,Doyle Alexander,1000122,P,statss.aspx?playerid=1000122&position=P,1971,1989
179,Gary Alexander,1000123,C/DH,statss.aspx?playerid=1000123&position=C/DH,1975,1981
180,Gerald Alexander,1000124,P,statss.aspx?playerid=1000124&position=P,1990,1992
181,Hugh Alexander,1000125,OF,statss.aspx?playerid=1000125&position=OF,1937,1937
182,Matt Alexander,1000126,OF,statss.aspx?playerid=1000126&position=OF,1973,1981
183,Nin Alexander,1000127,C,statss.aspx?playerid=1000127&position=C,1884,1884
