,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Apr 1, 2011",Away,PHI,-1,L,4.0,5.0,962,Brett Myers,1303,Roy Halladay
1,"Apr 2, 2011",Away,PHI,-1,L,4.0,9.0,2586,Wandy Rodriguez,1636,Cliff Lee
2,"Apr 3, 2011",Away,PHI,-1,L,3.0,7.0,9492,Bud Norris,571,Roy Oswalt
3,"Apr 5, 2011",Away,CIN,-1,L,2.0,8.0,7410,J.A. Happ,10130,Mike Leake
4,"Apr 6, 2011",Away,CIN,-1,L,4.0,12.0,683,Nelson Figueroa,3990,Edinson Volquez
5,"Apr 7, 2011",Away,CIN,-1,W,3.0,2.0,962,Brett Myers,4664,Sam LeCure
6,"Apr 8, 2011",Home,MIA,-1,L,3.0,4.0,2586,Wandy Rodriguez,3830,Ricky Nolasco
7,"Apr 9, 2011",Home,MIA,-1,L,5.0,7.0,9492,Bud Norris,801,Javier Vazquez
8,"Apr 10, 2011",Home,MIA,-1,W,7.0,1.0,7410,J.A. Happ,3284,Anibal Sanchez
9,"Apr 11, 2011",Home,CHC,-1,L,4.0,5.0,683,Nelson Figueroa,517,Ryan Dempster
10,"Apr 12, 2011",Home,CHC,-1,W,11.0,2.0,962,Brett Myers,4089,James Russell
11,"Apr 13, 2011",Home,CHC,-1,L,5.0,9.0,2586,Wandy Rodriguez,305,Carlos Zambrano
12,"Apr 14, 2011",Home,SDP,-1,W,1.0,0.0,9492,Bud Norris,7060,Dustin Moseley
13,"Apr 15, 2011",Home,SDP,-1,L,2.0,4.0,7410,J.A. Happ,1451,Aaron Harang
14,"Apr 16, 2011",Home,SDP,-1,W,5.0,3.0,683,Nelson Figueroa,3815,Mat Latos
15,"Apr 17, 2011",Home,SDP,-1,L,6.0,8.0,962,Brett Myers,3551,Clayton Richard
16,"Apr 19, 2011",Away,NYM,-1,W,6.0,1.0,2586,Wandy Rodriguez,4424,Jon Niese
17,"Apr 20, 2011",Away,NYM,-1,W,4.0,3.0,9492,Bud Norris,1245,R.A. Dickey
18,"Apr 21, 2011",Away,NYM,-1,L,1.0,9.0,7410,J.A. Happ,1701,Chris Capuano
19,"Apr 22, 2011",Away,MIL,-1,L,7.0,14.0,683,Nelson Figueroa,8173,Yovani Gallardo
20,"Apr 23, 2011",Away,MIL,-1,W,9.0,6.0,962,Brett Myers,6204,Shaun Marcum
