,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Apr 6, 2015",Away,MIA,41.2,W,2.0,1.0,6797,Julio Teheran,5669,Henderson Alvarez
1,"Apr 7, 2015",Away,MIA,41.9,W,12.0,2.0,13781,Alex Wood,3815,Mat Latos
2,"Apr 8, 2015",Away,MIA,43.0,W,2.0,0.0,10197,Shelby Miller,6570,Tom Koehler
3,"Apr 10, 2015",Home,NYM,46.3,W,5.0,3.0,8011,Eric Stults,4424,Jon Niese
4,"Apr 11, 2015",Home,NYM,54.1,W,5.0,3.0,6797,Julio Teheran,7396,Dillon Gee
5,"Apr 12, 2015",Home,NYM,55.5,L,3.0,4.0,13781,Alex Wood,375,Bartolo Colon
6,"Apr 13, 2015",Home,MIA,47.3,W,3.0,2.0,10197,Shelby Miller,3815,Mat Latos
7,"Apr 14, 2015",Home,MIA,51.9,L,2.0,8.0,6249,Trevor Cahill,6570,Tom Koehler
8,"Apr 15, 2015",Home,MIA,46.4,L,2.0,6.0,8011,Eric Stults,1757,Dan Haren
9,"Apr 17, 2015",Away,TOR,45.4,W,8.0,7.0,6797,Julio Teheran,10732,Drew Hutchison
10,"Apr 18, 2015",Away,TOR,47.3,L,5.0,6.0,13781,Alex Wood,1245,R.A. Dickey
11,"Apr 19, 2015",Away,TOR,44.5,W,5.0,2.0,10197,Shelby Miller,13475,Daniel Norris
12,"Apr 21, 2015",Away,NYM,42.2,L,1.0,7.0,6249,Trevor Cahill,4424,Jon Niese
13,"Apr 22, 2015",Away,NYM,42.8,L,2.0,3.0,8011,Eric Stults,7396,Dillon Gee
14,"Apr 23, 2015",Away,NYM,45.0,L,3.0,6.0,6797,Julio Teheran,375,Bartolo Colon
15,"Apr 24, 2015",Away,PHI,53.0,L,0.0,1.0,13781,Alex Wood,1451,Aaron Harang
16,"Apr 25, 2015",Away,PHI,50.6,W,5.0,2.0,10197,Shelby Miller,11176,David Buchanan
17,"Apr 26, 2015",Away,PHI,51.8,L,4.0,5.0,6249,Trevor Cahill,1137,Jerome Williams
18,"Apr 27, 2015",Home,WSN,41.2,W,8.0,4.0,8011,Eric Stults,9425,Doug Fister
19,"Apr 28, 2015",Home,WSN,47.6,L,12.0,13.0,6797,Julio Teheran,11467,A.J. Cole
20,"Apr 29, 2015",Home,WSN,46.5,L,4.0,13.0,13781,Alex Wood,4505,Jordan Zimmermann
21,"Apr 30, 2015",Home,CIN,52.0,L,1.0,5.0,10197,Shelby Miller,10130,Mike Leake
22,"May 1, 2015",Home,CIN,55.2,W,4.0,3.0,10811,Mike Foltynewicz,13050,Anthony DeSclafani
23,"May 2, 2015",Home,CIN,52.8,L,4.0,8.0,8011,Eric Stults,105,Jason Marquis
24,"May 3, 2015",Home,CIN,45.7,W,5.0,0.0,6797,Julio Teheran,6893,Johnny Cueto
25,"May 4, 2015",Home,PHI,62.5,L,2.0,5.0,13781,Alex Wood,1451,Aaron Harang
26,"May 5, 2015",Home,PHI,55.8,W,9.0,0.0,10197,Shelby Miller,5842,Chad Billingsley
27,"May 6, 2015",Home,PHI,63.4,W,7.0,5.0,10811,Mike Foltynewicz,1137,Jerome Williams
28,"May 8, 2015",Away,WSN,30.5,L,2.0,9.0,8011,Eric Stults,7448,Gio Gonzalez
29,"May 9, 2015",Away,WSN,39.2,L,6.0,8.0,6797,Julio Teheran,9425,Doug Fister
30,"May 10, 2015",Away,WSN,38.5,L,4.0,5.0,13781,Alex Wood,4505,Jordan Zimmermann
31,"May 11, 2015",Away,CIN,44.0,W,2.0,1.0,10197,Shelby Miller,10130,Mike Leake
32,"May 12, 2015",Away,CIN,48.4,L,3.0,4.0,10811,Mike Foltynewicz,13050,Anthony DeSclafani
33,"May 13, 2015",Away,CIN,43.5,L,1.0,5.0,8011,Eric Stults,17130,Raisel Iglesias
34,"May 15, 2015",Away,MIA,40.7,W,5.0,3.0,6797,Julio Teheran,6316,David Phelps
35,"May 16, 2015",Away,MIA,42.8,W,5.0,3.0,13781,Alex Wood,3815,Mat Latos
36,"May 17, 2015",Away,MIA,40.9,W,6.0,0.0,10197,Shelby Miller,5669,Henderson Alvarez
37,"May 19, 2015",Home,TBR,57.8,L,3.0,5.0,10811,Mike Foltynewicz,10314,Erasmo Ramirez
38,"May 20, 2015",Home,TBR,54.4,W,2.0,1.0,11592,Williams Perez,6397,Jake Odorizzi
39,"May 21, 2015",Home,MIL,53.4,W,10.0,1.0,6797,Julio Teheran,3340,Matt Garza
40,"May 22, 2015",Home,MIL,57.2,L,0.0,11.0,8011,Eric Stults,7738,Wily Peralta
41,"May 23, 2015",Home,MIL,49.6,W,3.0,2.0,10197,Shelby Miller,7754,Mike Fiers
42,"May 24, 2015",Home,MIL,55.1,W,2.0,1.0,10811,Mike Foltynewicz,10547,Jimmy Nelson
43,"May 25, 2015",Away,LAD,36.8,L,3.0,6.0,11592,Williams Perez,8223,Brett Anderson
44,"May 26, 2015",Away,LAD,27.3,L,0.0,8.0,6797,Julio Teheran,2036,Clayton Kershaw
45,"May 27, 2015",Away,LAD,36.5,W,3.0,2.0,13781,Alex Wood,1943,Zack Greinke
46,"May 28, 2015",Away,SFG,40.8,L,0.0,7.0,10197,Shelby Miller,10302,Chris Heston
47,"May 29, 2015",Away,SFG,44.1,L,2.0,4.0,10811,Mike Foltynewicz,921,Tim Hudson
48,"May 30, 2015",Away,SFG,46.2,W,8.0,0.0,11592,Williams Perez,5705,Tim Lincecum
49,"May 31, 2015",Away,SFG,35.4,W,7.0,5.0,6797,Julio Teheran,5524,Madison Bumgarner
50,"Jun 1, 2015",Away,ARI,49.2,W,8.0,1.0,13781,Alex Wood,12918,Archie Bradley
51,"Jun 2, 2015",Away,ARI,46.4,L,6.0,7.0,10197,Shelby Miller,7312,Josh Collmenter
52,"Jun 3, 2015",Away,ARI,46.0,L,8.0,9.0,10811,Mike Foltynewicz,3862,Rubby de la Rosa
53,"Jun 5, 2015",Home,PIT,49.1,L,8.0,10.0,11592,Williams Perez,4676,Charlie Morton
54,"Jun 6, 2015",Home,PIT,49.4,W,5.0,4.0,6797,Julio Teheran,2929,Jeff Locke
55,"Jun 7, 2015",Home,PIT,46.4,L,0.0,3.0,13781,Alex Wood,13125,Gerrit Cole
56,"Jun 8, 2015",Home,SDP,52.0,L,3.0,5.0,10197,Shelby Miller,6986,Ian Kennedy
57,"Jun 9, 2015",Home,SDP,49.7,W,6.0,5.0,10811,Mike Foltynewicz,7059,James Shields
58,"Jun 10, 2015",Home,SDP,49.4,W,4.0,1.0,11592,Williams Perez,7872,Tyson Ross
59,"Jun 11, 2015",Home,SDP,48.2,L,4.0,6.0,6797,Julio Teheran,8782,Andrew Cashner
60,"Jun 12, 2015",Away,NYM,49.7,L,3.0,5.0,13781,Alex Wood,375,Bartolo Colon
61,"Jun 13, 2015",Away,NYM,39.1,W,5.0,3.0,10197,Shelby Miller,10954,Jacob deGrom
62,"Jun 14, 2015",Away,NYM,49.3,L,8.0,10.0,10811,Mike Foltynewicz,7396,Dillon Gee
63,"Jun 15, 2015",Away,BOS,43.6,W,4.0,2.0,11592,Williams Perez,2717,Rick Porcello
64,"Jun 16, 2015",Away,BOS,44.3,L,4.0,9.0,6797,Julio Teheran,8779,Wade Miley
65,"Jun 17, 2015",Home,BOS,54.3,W,5.0,2.0,13781,Alex Wood,9761,Joe Kelly
66,"Jun 18, 2015",Home,BOS,48.5,L,2.0,5.0,10197,Shelby Miller,3543,Clay Buchholz
67,"Jun 19, 2015",Home,NYM,49.9,W,2.0,1.0,12804,Matt Wisler,10954,Jacob deGrom
68,"Jun 20, 2015",Home,NYM,50.2,W,6.0,4.0,11592,Williams Perez,11762,Noah Syndergaard
69,"Jun 21, 2015",Home,NYM,46.7,W,1.0,0.0,6797,Julio Teheran,11713,Matt Harvey
70,"Jun 23, 2015",Away,WSN,36.2,L,1.0,3.0,13781,Alex Wood,10131,Stephen Strasburg
71,"Jun 24, 2015",Away,WSN,34.7,L,1.0,2.0,10197,Shelby Miller,4505,Jordan Zimmermann
72,"Jun 25, 2015",Away,WSN,37.6,L,0.0,7.0,12804,Matt Wisler,9425,Doug Fister
73,"Jun 26, 2015",Away,PIT,35.1,L,2.0,3.0,11592,Williams Perez,3201,Francisco Liriano
74,"Jun 27, 2015",Away,PIT,38.7,L,4.0,8.0,6797,Julio Teheran,4676,Charlie Morton
75,"Jun 28, 2015",Away,PIT,42.6,W,2.0,1.0,13781,Alex Wood,2929,Jeff Locke
76,"Jun 30, 2015",Home,WSN,44.2,L,1.0,6.0,10197,Shelby Miller,4505,Jordan Zimmermann
77,"Jul 1, 2015",Home,WSN,44.0,W,4.0,1.0,12804,Matt Wisler,9425,Doug Fister
78,"Jul 2, 2015",Home,WSN,39.0,W,2.0,1.0,5365,Manny Banuelos,3137,Max Scherzer
79,"Jul 3, 2015",Home,PHI,52.8,W,2.0,1.0,6797,Julio Teheran,12580,Adam Morgan
80,"Jul 4, 2015",Home,PHI,65.7,W,9.0,5.0,13781,Alex Wood,1767,Kevin Correia
81,"Jul 5, 2015",Home,PHI,50.4,L,0.0,4.0,10197,Shelby Miller,4972,Cole Hamels
82,"Jul 6, 2015",Away,MIL,41.5,W,5.0,3.0,12804,Matt Wisler,739,Kyle Lohse
83,"Jul 7, 2015",Away,MIL,41.5,W,4.0,3.0,5365,Manny Banuelos,10770,Tyler Cravy
84,"Jul 8, 2015",Away,MIL,40.0,L,5.0,6.0,6797,Julio Teheran,7754,Mike Fiers
85,"Jul 9, 2015",Away,COL,51.0,L,3.0,5.0,13781,Jacob Brigham,6230,Kyle Kendrick
86,"Jul 10, 2015",Away,COL,51.3,L,3.0,5.0,10197,Shelby Miller,5876,Gonzalez Germen
87,"Jul 11, 2015",Away,COL,38.9,L,2.0,3.0,12804,Matt Wisler,2047,Jorge De La Rosa
88,"Jul 12, 2015",Away,COL,46.1,L,3.0,11.0,13781,Alex Wood,10587,Chad Bettis
89,"Jul 17, 2015",Home,CHC,46.4,W,4.0,2.0,6797,Julio Teheran,12049,Kyle Hendricks
90,"Jul 18, 2015",Home,CHC,44.2,L,0.0,4.0,5365,Manny Banuelos,4930,Jon Lester
91,"Jul 19, 2015",Home,CHC,44.8,L,1.0,4.0,10197,Shelby Miller,4153,Jake Arrieta
92,"Jul 20, 2015",Home,LAD,47.5,W,7.0,5.0,12804,Matt Wisler,8851,Brandon Beachy
93,"Jul 21, 2015",Home,LAD,46.7,W,4.0,3.0,13781,Alex Wood,8223,Brett Anderson
94,"Jul 22, 2015",Home,LAD,45.0,L,1.0,3.0,6797,Julio Teheran,11137,Mike Bolsinger
95,"Jul 24, 2015",Away,STL,37.9,L,2.0,4.0,5365,Manny Banuelos,13762,Tim Cooney
96,"Jul 25, 2015",Away,STL,35.6,L,0.0,1.0,10197,Shelby Miller,11682,Carlos Martinez
97,"Jul 26, 2015",Away,STL,33.4,W,3.0,2.0,12804,Matt Wisler,14078,Michael Wacha
98,"Jul 27, 2015",Away,BAL,43.0,L,1.0,2.0,13781,Alex Wood,14107,Kevin Gausman
99,"Jul 28, 2015",Away,BAL,42.3,L,3.0,7.0,6797,Julio Teheran,3374,Ubaldo Jimenez
100,"Jul 29, 2015",Away,BAL,44.3,L,0.0,2.0,10811,Mike Foltynewicz,5279,Chris Tillman
101,"Jul 30, 2015",Away,PHI,52.3,L,1.0,4.0,10197,Shelby Miller,1451,Aaron Harang
102,"Jul 31, 2015",Away,PHI,49.4,L,3.0,9.0,11592,Williams Perez,11176,David Buchanan
103,"Aug 1, 2015",Away,PHI,47.3,L,2.0,12.0,12804,Matt Wisler,16149,Aaron Nola
104,"Aug 2, 2015",Away,PHI,54.9,W,6.0,2.0,6797,Julio Teheran,12580,Adam Morgan
105,"Aug 3, 2015",Home,SFG,42.8,W,9.0,8.0,10811,Mike Foltynewicz,4732,Matt Cain
106,"Aug 4, 2015",Home,SFG,46.6,L,3.0,8.0,10197,Shelby Miller,1051,Jake Peavy
107,"Aug 5, 2015",Home,SFG,36.8,L,1.0,6.0,11592,Williams Perez,5524,Madison Bumgarner
