,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Mar 31, 2011",Away,CIN,-1,L,6.0,7.0,8173,Yovani Gallardo,3990,Edinson Volquez
1,"Apr 2, 2011",Away,CIN,-1,L,2.0,4.0,6204,Shaun Marcum,9884,Travis Wood
2,"Apr 3, 2011",Away,CIN,-1,L,3.0,12.0,976,Randy Wolf,978,Bronson Arroyo
3,"Apr 4, 2011",Home,ATL,-1,L,1.0,2.0,2141,Chris Narveson,8851,Brandon Beachy
4,"Apr 5, 2011",Home,ATL,-1,W,1.0,0.0,8173,Yovani Gallardo,199,Derek Lowe
5,"Apr 6, 2011",Home,ATL,-1,W,5.0,4.0,1118,Marco Estrada,10021,Mike Minor
6,"Apr 7, 2011",Home,ATL,-1,W,4.0,2.0,6204,Shaun Marcum,9129,Tommy Hanson
7,"Apr 8, 2011",Home,CHC,-1,L,4.0,7.0,976,Randy Wolf,305,Carlos Zambrano
8,"Apr 9, 2011",Home,CHC,-1,W,6.0,0.0,2141,Chris Narveson,3340,Matt Garza
9,"Apr 10, 2011",Home,CHC,-1,W,6.0,5.0,8173,Yovani Gallardo,8270,Casey Coleman
10,"Apr 13, 2011",Away,PIT,-1,W,6.0,0.0,6204,Shaun Marcum,1767,Kevin Correia
11,"Apr 14, 2011",Away,PIT,-1,W,4.0,1.0,976,Randy Wolf,8678,Paul Maholm
12,"Apr 15, 2011",Away,WSN,-1,L,3.0,4.0,2141,Chris Narveson,6244,Tom Gorzelanny
13,"Apr 17, 2011",Away,WSN,-1,L,4.0,8.0,8173,Yovani Gallardo,105,Jason Marquis
14,"Apr 17, 2011",Away,WSN,-1,L,1.0,5.0,1118,Marco Estrada,1116,Livan Hernandez
15,"Apr 18, 2011",Away,PHI,-1,W,6.0,3.0,6204,Shaun Marcum,4849,Joe Blanton
16,"Apr 19, 2011",Away,PHI,-1,W,9.0,0.0,976,Randy Wolf,1303,Roy Halladay
17,"Apr 20, 2011",Away,PHI,-1,L,3.0,4.0,2141,Chris Narveson,1636,Cliff Lee
18,"Apr 22, 2011",Home,HOU,-1,W,14.0,7.0,8173,Yovani Gallardo,683,Nelson Figueroa
19,"Apr 23, 2011",Home,HOU,-1,L,6.0,9.0,6204,Shaun Marcum,962,Brett Myers
20,"Apr 24, 2011",Home,HOU,-1,W,4.0,1.0,976,Randy Wolf,2586,Wandy Rodriguez
21,"Apr 25, 2011",Home,CIN,-1,L,5.0,9.0,2141,Chris Narveson,978,Bronson Arroyo
22,"Apr 26, 2011",Home,CIN,-1,W,3.0,2.0,1118,Marco Estrada,10130,Mike Leake
23,"Apr 27, 2011",Home,CIN,-1,L,6.0,7.0,8173,Yovani Gallardo,4664,Sam LeCure
24,"Apr 29, 2011",Away,HOU,-1,W,5.0,0.0,6204,Shaun Marcum,962,Brett Myers
25,"Apr 30, 2011",Away,HOU,-1,L,1.0,2.0,976,Randy Wolf,2586,Wandy Rodriguez
26,"May 1, 2011",Away,HOU,-1,L,0.0,5.0,2141,Chris Narveson,2586,Bud Norris
27,"May 2, 2011",Away,ATL,-1,L,2.0,6.0,8173,Yovani Gallardo,5556,Jair Jurrjens
28,"May 4, 2011",Away,ATL,-1,L,3.0,8.0,1118,Marco Estrada,9129,Tommy Hanson
29,"May 4, 2011",Away,ATL,-1,L,0.0,8.0,1943,Zack Greinke,921,Tim Hudson
30,"May 5, 2011",Away,ATL,-1,L,1.0,2.0,6204,Shaun Marcum,8851,Brandon Beachy
31,"May 6, 2011",Away,STL,-1,L,0.0,6.0,976,Randy Wolf,8137,Jaime Garcia
32,"May 7, 2011",Away,STL,-1,W,4.0,0.0,8173,Yovani Gallardo,739,Kyle Lohse
33,"May 8, 2011",Away,STL,-1,L,1.0,3.0,2141,Chris Narveson,4845,Kyle McClellan
34,"May 9, 2011",Home,SDP,-1,W,4.0,3.0,1943,Zack Greinke,3815,Mat Latos
35,"May 10, 2011",Home,SDP,-1,W,8.0,6.0,6204,Shaun Marcum,3551,Clayton Richard
36,"May 11, 2011",Home,SDP,-1,L,6.0,13.0,976,Randy Wolf,6432,Tim Stauffer
37,"May 13, 2011",Home,PIT,-1,W,5.0,2.0,8173,Yovani Gallardo,5523,James McDonald
38,"May 14, 2011",Home,PIT,-1,W,8.0,2.0,2141,Chris Narveson,5879,Jeff Karstens
39,"May 15, 2011",Home,PIT,-1,W,9.0,6.0,1943,Zack Greinke,1767,Kevin Correia
40,"May 16, 2011",Away,LAD,-1,W,2.0,1.0,6204,Shaun Marcum,232,Jon Garland
41,"May 17, 2011",Away,LAD,-1,L,0.0,3.0,976,Randy Wolf,3283,Hiroki Kuroda
42,"May 18, 2011",Away,SDP,-1,W,5.0,2.0,8173,Yovani Gallardo,7060,Dustin Moseley
43,"May 19, 2011",Away,SDP,-1,L,0.0,1.0,2141,Chris Narveson,1451,Aaron Harang
44,"May 20, 2011",Home,COL,-1,W,7.0,6.0,1943,Zack Greinke,4538,Jason Hammel
45,"May 21, 2011",Home,COL,-1,W,3.0,2.0,6204,Shaun Marcum,3166,Clayton Mortensen
46,"May 22, 2011",Home,COL,-1,W,3.0,1.0,976,Randy Wolf,3374,Ubaldo Jimenez
47,"May 23, 2011",Home,WSN,-1,W,11.0,3.0,8173,Yovani Gallardo,6244,Tom Gorzelanny
48,"May 24, 2011",Home,WSN,-1,W,7.0,6.0,2141,Chris Narveson,1116,Livan Hernandez
49,"May 25, 2011",Home,WSN,-1,W,6.0,4.0,1943,Zack Greinke,105,Jason Marquis
50,"May 27, 2011",Home,SFG,-1,L,4.0,5.0,6204,Shaun Marcum,5705,Tim Lincecum
51,"May 28, 2011",Home,SFG,-1,W,3.0,2.0,976,Randy Wolf,7507,Jonathan Sanchez
52,"May 29, 2011",Home,SFG,-1,W,6.0,0.0,8173,Yovani Gallardo,4732,Matt Cain
53,"May 30, 2011",Away,CIN,-1,L,3.0,7.0,2141,Chris Narveson,9884,Travis Wood
54,"May 31, 2011",Away,CIN,-1,W,7.0,2.0,1943,Zack Greinke,7641,Chad Reineke
