,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Apr 1, 2013",Away,ARI,-1,L,2.0,6.0,2233,Adam Wainwright,6986,Ian Kennedy
1,"Apr 2, 2013",Away,ARI,-1,W,6.0,1.0,8137,Jaime Garcia,6249,Trevor Cahill
2,"Apr 3, 2013",Away,ARI,-1,L,9.0,10.0,2520,Lance Lynn,4662,Brandon McCarthy
3,"Apr 5, 2013",Away,SFG,-1,L,0.0,1.0,412,Jake Westbrook,944,Barry Zito
4,"Apr 6, 2013",Away,SFG,-1,W,6.0,3.0,10197,Shelby Miller,1011,Ryan Vogelsong
5,"Apr 7, 2013",Away,SFG,-1,W,14.0,3.0,2233,Adam Wainwright,4732,Matt Cain
6,"Apr 8, 2013",Home,CIN,-1,L,4.0,13.0,8137,Jaime Garcia,3815,Mat Latos
7,"Apr 9, 2013",Home,CIN,-1,W,5.0,1.0,2520,Lance Lynn,978,Bronson Arroyo
8,"Apr 10, 2013",Home,CIN,-1,W,10.0,0.0,412,Jake Westbrook,8362,Homer Bailey
9,"Apr 12, 2013",Home,MIL,-1,W,2.0,0.0,10197,Shelby Miller,739,Kyle Lohse
10,"Apr 13, 2013",Home,MIL,-1,W,8.0,0.0,2233,Adam Wainwright,8173,Yovani Gallardo
11,"Apr 14, 2013",Home,MIL,-1,L,3.0,4.0,8137,Jaime Garcia,1118,Marco Estrada
12,"Apr 15, 2013",Away,PIT,-1,W,10.0,6.0,2520,Lance Lynn,5523,James McDonald
13,"Apr 17, 2013",Away,PIT,-1,L,0.0,5.0,10197,Shelby Miller,512,A.J. Burnett
14,"Apr 18, 2013",Away,PHI,-1,W,4.0,3.0,2233,Adam Wainwright,4972,Cole Hamels
15,"Apr 19, 2013",Away,PHI,-1,L,2.0,8.0,8137,Jaime Garcia,1303,Roy Halladay
16,"Apr 20, 2013",Away,PHI,-1,W,5.0,0.0,2520,Lance Lynn,1636,Cliff Lee
17,"Apr 21, 2013",Away,PHI,-1,L,3.0,7.0,412,Jake Westbrook,6230,Kyle Kendrick
18,"Apr 22, 2013",Away,WSN,-1,W,3.0,2.0,10197,Shelby Miller,1757,Dan Haren
19,"Apr 23, 2013",Away,WSN,-1,W,2.0,0.0,2233,Adam Wainwright,2859,Ross Detwiler
20,"Apr 24, 2013",Away,WSN,-1,W,4.0,2.0,8137,Jaime Garcia,10131,Stephen Strasburg
21,"Apr 26, 2013",Home,PIT,-1,W,9.0,1.0,2520,Lance Lynn,7507,Jonathan Sanchez
22,"Apr 27, 2013",Home,PIT,-1,L,3.0,5.0,412,Jake Westbrook,512,A.J. Burnett
23,"Apr 28, 2013",Home,PIT,-1,L,0.0,9.0,10197,Shelby Miller,2929,Jeff Locke
24,"Apr 29, 2013",Home,CIN,-1,L,1.0,2.0,2233,Adam Wainwright,3815,Mat Latos
25,"Apr 30, 2013",Home,CIN,-1,W,2.0,1.0,8137,Jaime Garcia,978,Bronson Arroyo
26,"May 1, 2013",Home,CIN,-1,W,4.0,2.0,2520,Lance Lynn,8362,Homer Bailey
27,"May 2, 2013",Away,MIL,-1,W,6.0,5.0,412,Jake Westbrook,7738,Wily Peralta
28,"May 3, 2013",Away,MIL,-1,W,6.0,1.0,10197,Shelby Miller,739,Kyle Lohse
29,"May 4, 2013",Away,MIL,-1,W,7.0,6.0,2233,Adam Wainwright,8173,Yovani Gallardo
30,"May 5, 2013",Away,MIL,-1,W,10.0,1.0,8137,Jaime Garcia,1118,Marco Estrada
31,"May 7, 2013",Away,CHC,-1,L,1.0,2.0,2520,Lance Lynn,9884,Travis Wood
32,"May 8, 2013",Away,CHC,-1,W,5.0,4.0,412,Jake Westbrook,4138,Carlos Villanueva
33,"May 10, 2013",Home,COL,-1,W,3.0,0.0,10197,Shelby Miller,232,Jon Garland
34,"May 11, 2013",Home,COL,-1,W,3.0,0.0,2233,Adam Wainwright,2608,Jhoulys Chacin
35,"May 12, 2013",Home,COL,-1,L,2.0,8.0,8137,Jaime Garcia,2047,Jorge De La Rosa
36,"May 13, 2013",Home,NYM,-1,W,6.0,3.0,2520,Lance Lynn,1989,Jeremy Hefner
37,"May 14, 2013",Home,NYM,-1,W,10.0,4.0,11133,John Gast,7396,Dillon Gee
38,"May 15, 2013",Home,NYM,-1,W,4.0,2.0,10197,Shelby Miller,6204,Shaun Marcum
39,"May 16, 2013",Home,NYM,-1,L,2.0,5.0,2233,Adam Wainwright,4424,Jon Niese
40,"May 17, 2013",Home,MIL,-1,W,7.0,6.0,8137,Jaime Garcia,7738,Wily Peralta
41,"May 18, 2013",Home,MIL,-1,L,4.0,6.0,2520,Lance Lynn,1118,Marco Estrada
42,"May 19, 2013",Home,MIL,-1,W,4.0,2.0,11133,John Gast,739,Kyle Lohse
43,"May 20, 2013",Away,SDP,-1,L,2.0,4.0,10197,Shelby Miller,105,Jason Marquis
44,"May 21, 2013",Away,SDP,-1,W,10.0,2.0,2233,Adam Wainwright,3990,Edinson Volquez
45,"May 22, 2013",Away,SDP,-1,W,5.0,3.0,11334,Tyler Lyons,12784,Burch Smith
46,"May 24, 2013",Away,LAD,-1,W,7.0,0.0,2520,Lance Lynn,1701,Chris Capuano
47,"May 25, 2013",Away,LAD,-1,L,3.0,5.0,11133,John Gast,833,Ted Lilly
48,"May 26, 2013",Away,LAD,-1,W,5.0,3.0,10197,Shelby Miller,2036,Clayton Kershaw
49,"May 27, 2013",Away,KCR,-1,W,6.0,3.0,2233,Adam Wainwright,7059,James Shields
50,"May 28, 2013",Away,KCR,-1,W,4.0,1.0,11334,Tyler Lyons,3200,Ervin Santana
51,"May 29, 2013",Home,KCR,-1,W,5.0,3.0,2520,Lance Lynn,3126,Luis Mendoza
52,"May 30, 2013",Home,KCR,-1,L,2.0,4.0,14078,Michael Wacha,2072,Jeremy Guthrie
53,"Jun 1, 2013",Home,SFG,-1,W,8.0,0.0,10197,Shelby Miller,4732,Matt Cain
54,"Jun 1, 2013",Home,SFG,-1,W,7.0,1.0,2233,Adam Wainwright,5524,Madison Bumgarner
55,"Jun 2, 2013",Home,SFG,-1,L,2.0,4.0,11334,Tyler Lyons,1783,Chad Gaudin
56,"Jun 3, 2013",Home,ARI,-1,W,7.0,1.0,2520,Lance Lynn,6249,Trevor Cahill
57,"Jun 4, 2013",Home,ARI,-1,L,6.0,7.0,14078,Michael Wacha,10190,Tyler Skaggs
58,"Jun 5, 2013",Home,ARI,-1,L,3.0,10.0,9761,Joe Kelly,8779,Wade Miley
59,"Jun 6, 2013",Home,ARI,-1,W,12.0,8.0,10197,Shelby Miller,6986,Ian Kennedy
60,"Jun 7, 2013",Away,CIN,-1,W,9.0,2.0,2233,Adam Wainwright,10130,Mike Leake
61,"Jun 8, 2013",Away,CIN,-1,L,2.0,4.0,11334,Tyler Lyons,3815,Mat Latos
62,"Jun 9, 2013",Away,CIN,-1,W,11.0,4.0,2520,Lance Lynn,978,Bronson Arroyo
63,"Jun 11, 2013",Away,NYM,-1,W,9.0,2.0,14078,Michael Wacha,1989,Jeremy Hefner
64,"Jun 12, 2013",Away,NYM,-1,L,1.0,5.0,10197,Shelby Miller,7396,Dillon Gee
65,"Jun 13, 2013",Away,NYM,-1,W,2.0,1.0,2233,Adam Wainwright,11713,Matt Harvey
66,"Jun 14, 2013",Away,MIA,-1,L,4.0,5.0,412,Jake Westbrook,11530,Jose Fernandez
