,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Apr 5, 2010",Away,ATL,-1,L,5.0,16.0,,Carlos Zambrano,,Derek Lowe
1,"Apr 7, 2010",Away,ATL,-1,L,2.0,3.0,,Ryan Dempster,,Jair Jurrjens
2,"Apr 8, 2010",Away,ATL,-1,W,2.0,0.0,,Randy Wells,,Tommy Hanson
3,"Apr 9, 2010",Away,CIN,-1,L,4.0,5.0,,Carlos Silva,,Homer Bailey
4,"Apr 10, 2010",Away,CIN,-1,W,4.0,3.0,,Carlos Zambrano,,Aaron Harang
5,"Apr 11, 2010",Away,CIN,-1,L,1.0,3.0,,Tom Gorzelanny,,Mike Leake
6,"Apr 12, 2010",Home,MIL,-1,W,9.0,5.0,,Ryan Dempster,,Doug Davis
7,"Apr 14, 2010",Home,MIL,-1,W,7.0,6.0,,Randy Wells,,Dave Bush
8,"Apr 15, 2010",Home,MIL,-1,L,6.0,8.0,,Carlos Zambrano,,Jeff Suppan
9,"Apr 16, 2010",Home,HOU,-1,W,7.0,2.0,,Carlos Silva,,Felipe Paulino
10,"Apr 17, 2010",Home,HOU,-1,L,3.0,4.0,,Tom Gorzelanny,,Roy Oswalt
11,"Apr 18, 2010",Home,HOU,-1,L,2.0,3.0,,Ryan Dempster,,Wandy Rodriguez
12,"Apr 19, 2010",Away,NYM,-1,L,1.0,6.0,,Randy Wells,,Jon Niese
13,"Apr 20, 2010",Away,NYM,-1,L,0.0,4.0,,Carlos Zambrano,,Mike Pelfrey
14,"Apr 21, 2010",Away,NYM,-1,W,9.0,3.0,,Carlos Silva,,Oliver Perez
15,"Apr 22, 2010",Away,NYM,-1,L,2.0,5.0,,Tom Gorzelanny,,Johan Santana
16,"Apr 23, 2010",Away,MIL,-1,W,8.0,1.0,,Ryan Dempster,,Jeff Suppan
17,"Apr 24, 2010",Away,MIL,-1,W,5.0,1.0,,Ted Lilly,,Doug Davis
18,"Apr 25, 2010",Away,MIL,-1,W,12.0,2.0,,Randy Wells,,Dave Bush
19,"Apr 26, 2010",Home,WSN,-1,W,4.0,3.0,,Carlos Silva,,John Lannan
