,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Apr 5, 2010",Home,SDP,-1,W,6.0,3.0,,Dan Haren,,Jon Garland
1,"Apr 6, 2010",Home,SDP,-1,L,3.0,6.0,,Edwin Jackson,,Chris Young
2,"Apr 7, 2010",Home,SDP,-1,W,5.0,3.0,,Ian Kennedy,,Kevin Correia
3,"Apr 9, 2010",Home,PIT,-1,W,9.0,1.0,,Rodrigo Lopez,,Charlie Morton
4,"Apr 10, 2010",Home,PIT,-1,L,3.0,6.0,,Dan Haren,,Zach Duke
5,"Apr 11, 2010",Home,PIT,-1,W,15.0,6.0,,Edwin Jackson,,Daniel McCutchen
6,"Apr 13, 2010",Away,LAD,-1,L,5.0,9.0,,Ian Kennedy,,Clayton Kershaw
7,"Apr 14, 2010",Away,LAD,-1,W,9.0,7.0,,Rodrigo Lopez,,Chad Billingsley
8,"Apr 15, 2010",Away,LAD,-1,L,5.0,6.0,,Dan Haren,,Hiroki Kuroda
9,"Apr 16, 2010",Away,SDP,-1,L,3.0,6.0,,Edwin Jackson,,Jon Garland
10,"Apr 17, 2010",Away,SDP,-1,L,0.0,5.0,,Kris Benson,,Kevin Correia
11,"Apr 18, 2010",Away,SDP,-1,L,3.0,5.0,,Ian Kennedy,,Wade LeBlanc
12,"Apr 19, 2010",Home,STL,-1,L,2.0,4.0,,Rodrigo Lopez,,Brad Penny
13,"Apr 20, 2010",Home,STL,-1,W,9.0,7.0,,Dan Haren,,Kyle Lohse
14,"Apr 21, 2010",Home,STL,-1,L,4.0,9.0,,Edwin Jackson,,Chris Carpenter
15,"Apr 23, 2010",Home,PHI,-1,W,7.0,4.0,,Kris Benson,,Cole Hamels
16,"Apr 24, 2010",Home,PHI,-1,L,2.0,3.0,,Ian Kennedy,,Nelson Figueroa
17,"Apr 25, 2010",Home,PHI,-1,W,8.0,6.0,,Rodrigo Lopez,,Kyle Kendrick
18,"Apr 26, 2010",Away,COL,-1,W,5.0,3.0,,Dan Haren,,Jason Hammel
19,"Apr 27, 2010",Away,COL,-1,L,1.0,12.0,,Edwin Jackson,,Ubaldo Jimenez
20,"Apr 28, 2010",Away,COL,-1,W,12.0,11.0,,Kris Benson,,Greg Smith
21,"Apr 29, 2010",Away,CHC,-1,W,13.0,5.0,,Ian Kennedy,,Ted Lilly
22,"Apr 30, 2010",Away,CHC,-1,L,5.0,11.0,,Rodrigo Lopez,,Randy Wells
23,"May 1, 2010",Away,CHC,-1,L,5.0,7.0,,Dan Haren,,Carlos Silva
24,"May 2, 2010",Away,CHC,-1,L,5.0,10.0,,Edwin Jackson,,Tom Gorzelanny
25,"May 3, 2010",Away,HOU,-1,W,9.0,1.0,,Cesar Valdez,,Felipe Paulino
26,"May 4, 2010",Away,HOU,-1,W,1.0,0.0,,Ian Kennedy,,Roy Oswalt
27,"May 5, 2010",Away,HOU,-1,L,2.0,4.0,,Rodrigo Lopez,,Brett Myers
28,"May 6, 2010",Away,HOU,-1,W,6.0,3.0,,Dan Haren,,Wandy Rodriguez
29,"May 7, 2010",Home,MIL,-1,L,2.0,3.0,,Edwin Jackson,,Yovani Gallardo
30,"May 8, 2010",Home,MIL,-1,L,3.0,17.0,,Cesar Valdez,,Randy Wolf
31,"May 9, 2010",Home,MIL,-1,L,1.0,6.0,,Ian Kennedy,,Chris Narveson
32,"May 10, 2010",Home,LAD,-1,L,3.0,7.0,,Rodrigo Lopez,,Chad Billingsley
33,"May 11, 2010",Home,LAD,-1,L,3.0,13.0,,Dan Haren,,John Ely
34,"May 12, 2010",Home,LAD,-1,L,3.0,6.0,,Edwin Jackson,,Hiroki Kuroda
35,"May 14, 2010",Away,ATL,-1,L,5.0,6.0,,Ian Kennedy,,Kenshin Kawakami
36,"May 15, 2010",Away,ATL,-1,W,11.0,1.0,,Rodrigo Lopez,,Tommy Hanson
37,"May 16, 2010",Away,ATL,-1,L,1.0,13.0,,Dan Haren,,Tim Hudson
38,"May 17, 2010",Away,MIA,-1,W,5.0,1.0,,Edwin Jackson,,Chris Volstad
39,"May 18, 2010",Away,MIA,-1,L,0.0,8.0,,Billy Buckner,,Josh Johnson
40,"May 19, 2010",Home,SFG,-1,W,13.0,1.0,,Ian Kennedy,,Todd Wellemeyer
41,"May 20, 2010",Home,SFG,-1,W,8.0,7.0,,Rodrigo Lopez,,Tim Lincecum
42,"May 21, 2010",Home,TOR,-1,W,8.0,6.0,,Dan Haren,,Brandon Morrow
43,"May 22, 2010",Home,TOR,-1,W,8.0,5.0,,Edwin Jackson,,Dana Eveland
44,"May 23, 2010",Home,TOR,-1,L,4.0,12.0,,Billy Buckner,,Shaun Marcum
45,"May 25, 2010",Away,COL,-1,L,2.0,3.0,,Ian Kennedy,,Jhoulys Chacin
46,"May 26, 2010",Away,COL,-1,L,3.0,7.0,,Rodrigo Lopez,,Ubaldo Jimenez
47,"May 27, 2010",Away,COL,-1,L,2.0,8.0,,Dan Haren,,Jason Hammel
48,"May 28, 2010",Away,SFG,-1,L,0.0,5.0,,Edwin Jackson,,Matt Cain
49,"May 29, 2010",Away,SFG,-1,L,1.0,12.0,,Billy Buckner,,Jonathan Sanchez
50,"May 30, 2010",Away,SFG,-1,L,5.0,6.0,,Ian Kennedy,,Todd Wellemeyer
51,"May 31, 2010",Away,LAD,-1,L,4.0,5.0,,Rodrigo Lopez,,Chad Billingsley
52,"Jun 1, 2010",Away,LAD,-1,L,0.0,1.0,,Dan Haren,,John Ely
53,"Jun 2, 2010",Away,LAD,-1,L,0.0,1.0,,Edwin Jackson,,Carlos Monasterios
54,"Jun 4, 2010",Home,COL,-1,W,7.0,6.0,,Ian Kennedy,,Aaron Cook
55,"Jun 5, 2010",Home,COL,-1,W,4.0,3.0,,Dontrelle Willis,,Jhoulys Chacin
56,"Jun 6, 2010",Home,COL,-1,L,2.0,3.0,,Rodrigo Lopez,,Ubaldo Jimenez
57,"Jun 7, 2010",Home,ATL,-1,W,7.0,4.0,,Dan Haren,,Derek Lowe
58,"Jun 8, 2010",Home,ATL,-1,L,5.0,7.0,,Edwin Jackson,,Kris Medlen
59,"Jun 9, 2010",Home,ATL,-1,W,2.0,1.0,,Ian Kennedy,,Kenshin Kawakami
60,"Jun 10, 2010",Home,ATL,-1,L,7.0,11.0,,Dontrelle Willis,,Tommy Hanson
61,"Jun 11, 2010",Home,STL,-1,L,2.0,5.0,,Rodrigo Lopez,,Jaime Garcia
62,"Jun 12, 2010",Home,STL,-1,W,7.0,2.0,,Dan Haren,,Adam Ottavino
63,"Jun 13, 2010",Home,STL,-1,W,7.0,5.0,,Edwin Jackson,,Chris Carpenter
64,"Jun 15, 2010",Away,BOS,-1,L,3.0,6.0,,Ian Kennedy,,Clay Buchholz
65,"Jun 16, 2010",Away,BOS,-1,L,2.0,6.0,,Rodrigo Lopez,,Jon Lester
66,"Jun 17, 2010",Away,BOS,-1,L,5.0,8.0,,Dan Haren,,John Lackey
67,"Jun 18, 2010",Away,DET,-1,L,5.0,7.0,,Dontrelle Willis,,Armando Galarraga
68,"Jun 19, 2010",Away,DET,-1,W,6.0,5.0,,Edwin Jackson,,Rick Porcello
69,"Jun 20, 2010",Away,DET,-1,L,1.0,3.0,,Ian Kennedy,,Max Scherzer
70,"Jun 21, 2010",Home,NYY,-1,W,10.0,4.0,,Rodrigo Lopez,,A.J. Burnett
71,"Jun 22, 2010",Home,NYY,-1,L,3.0,9.0,,Dan Haren,,Andy Pettitte
72,"Jun 23, 2010",Home,NYY,-1,L,5.0,6.0,,Dontrelle Willis,,Javier Vazquez
73,"Jun 25, 2010",Away,TBR,-1,W,1.0,0.0,,Edwin Jackson,,Jeff Niemann
74,"Jun 26, 2010",Away,TBR,-1,L,3.0,5.0,,Ian Kennedy,,David Price
75,"Jun 27, 2010",Away,TBR,-1,W,2.0,1.0,,Rodrigo Lopez,,Wade Davis
76,"Jun 28, 2010",Away,STL,-1,L,5.0,6.0,,Dan Haren,,Chris Carpenter
77,"Jun 29, 2010",Away,STL,-1,L,0.0,8.0,,Dontrelle Willis,,Adam Wainwright
78,"Jun 30, 2010",Away,STL,-1,W,4.0,2.0,,Barry Enright,,Jeff Suppan
79,"Jul 2, 2010",Home,LAD,-1,W,12.0,5.0,,Edwin Jackson,,Hiroki Kuroda
