,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Apr 1, 2013",Home,SFG,-1,W,4.0,0.0,2036,Clayton Kershaw,4732,Matt Cain
1,"Apr 2, 2013",Home,SFG,-1,L,0.0,3.0,14444,Hyun-Jin Ryu,5524,Madison Bumgarner
2,"Apr 3, 2013",Home,SFG,-1,L,3.0,5.0,510,Josh Beckett,5705,Tim Lincecum
3,"Apr 5, 2013",Home,PIT,-1,W,3.0,0.0,1943,Zack Greinke,7507,Jonathan Sanchez
4,"Apr 6, 2013",Home,PIT,-1,W,1.0,0.0,2036,Clayton Kershaw,512,A.J. Burnett
5,"Apr 7, 2013",Home,PIT,-1,W,6.0,2.0,14444,Hyun-Jin Ryu,2929,Jeff Locke
6,"Apr 9, 2013",Away,SDP,-1,L,3.0,9.0,510,Josh Beckett,3551,Clayton Richard
7,"Apr 10, 2013",Away,SDP,-1,W,4.0,3.0,5842,Chad Billingsley,8011,Eric Stults
8,"Apr 11, 2013",Away,SDP,-1,W,3.0,2.0,1943,Zack Greinke,105,Jason Marquis
9,"Apr 12, 2013",Away,ARI,-1,L,0.0,3.0,2036,Clayton Kershaw,9323,Patrick Corbin
10,"Apr 13, 2013",Away,ARI,-1,W,7.0,5.0,14444,Hyun-Jin Ryu,6986,Ian Kennedy
11,"Apr 14, 2013",Away,ARI,-1,L,0.0,1.0,510,Josh Beckett,6249,Trevor Cahill
12,"Apr 15, 2013",Home,SDP,-1,L,3.0,6.0,5842,Chad Billingsley,8011,Eric Stults
13,"Apr 16, 2013",Home,SDP,-1,L,2.0,9.0,1701,Chris Capuano,105,Jason Marquis
14,"Apr 17, 2013",Home,SDP,-1,L,2.0,7.0,2036,Clayton Kershaw,7872,Tyson Ross
15,"Apr 20, 2013",Away,BAL,-1,L,5.0,7.0,14444,Hyun-Jin Ryu,4538,Jason Hammel
16,"Apr 20, 2013",Away,BAL,-1,L,1.0,6.0,510,Josh Beckett,13071,Wei-Yin Chen
17,"Apr 21, 2013",Away,BAL,-1,W,7.0,4.0,5842,Stephen Fife,4153,Jake Arrieta
18,"Apr 23, 2013",Away,NYM,-1,W,7.0,2.0,2036,Clayton Kershaw,4424,Jon Niese
19,"Apr 24, 2013",Away,NYM,-1,L,3.0,7.0,833,Ted Lilly,11713,Matt Harvey
20,"Apr 25, 2013",Away,NYM,-1,W,3.0,2.0,14444,Hyun-Jin Ryu,1989,Jeremy Hefner
21,"Apr 26, 2013",Home,MIL,-1,W,7.0,5.0,510,Josh Beckett,9412,Hiram Burgos
