,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Mar 31, 2011",Away,LAD,-1,L,1.0,2.0,5705,Tim Lincecum,2036,Clayton Kershaw
1,"Apr 1, 2011",Away,LAD,-1,L,3.0,4.0,7507,Jonathan Sanchez,5842,Chad Billingsley
2,"Apr 2, 2011",Away,LAD,-1,W,10.0,0.0,4732,Matt Cain,833,Ted Lilly
3,"Apr 3, 2011",Away,LAD,-1,L,5.0,7.0,944,Barry Zito,3283,Hiroki Kuroda
4,"Apr 5, 2011",Away,SDP,-1,L,1.0,3.0,5524,Madison Bumgarner,1451,Aaron Harang
5,"Apr 6, 2011",Away,SDP,-1,W,8.0,4.0,5705,Tim Lincecum,6432,Tim Stauffer
6,"Apr 8, 2011",Home,STL,-1,W,5.0,4.0,7507,Jonathan Sanchez,412,Jake Westbrook
7,"Apr 9, 2011",Home,STL,-1,W,3.0,2.0,4732,Matt Cain,8137,Jaime Garcia
8,"Apr 10, 2011",Home,STL,-1,L,1.0,6.0,944,Barry Zito,739,Kyle Lohse
9,"Apr 11, 2011",Home,LAD,-1,L,1.0,6.0,5524,Madison Bumgarner,2036,Clayton Kershaw
10,"Apr 12, 2011",Home,LAD,-1,W,5.0,4.0,5705,Tim Lincecum,5842,Chad Billingsley
11,"Apr 13, 2011",Home,LAD,-1,W,4.0,3.0,7507,Jonathan Sanchez,833,Ted Lilly
12,"Apr 15, 2011",Away,ARI,-1,W,5.0,2.0,4732,Matt Cain,7146,Daniel Hudson
13,"Apr 16, 2011",Away,ARI,-1,W,5.0,3.0,944,Barry Zito,4366,Joe Saunders
14,"Apr 17, 2011",Away,ARI,-1,L,5.0,6.0,5524,Madison Bumgarner,2412,Barry Enright
15,"Apr 18, 2011",Away,COL,-1,W,8.0,1.0,5705,Tim Lincecum,6317,Esmil Rogers
16,"Apr 19, 2011",Away,COL,-1,W,6.0,3.0,7507,Jonathan Sanchez,3374,Ubaldo Jimenez
17,"Apr 20, 2011",Away,COL,-1,L,2.0,10.0,4732,Matt Cain,2047,Jorge De La Rosa
18,"Apr 22, 2011",Home,ATL,-1,L,1.0,4.0,5524,Madison Bumgarner,9129,Tommy Hanson
19,"Apr 23, 2011",Home,ATL,-1,L,2.0,5.0,5705,Tim Lincecum,921,Tim Hudson
20,"Apr 24, 2011",Home,ATL,-1,L,6.0,9.0,7507,Jonathan Sanchez,8851,Brandon Beachy
21,"Apr 26, 2011",Away,PIT,-1,W,3.0,2.0,4732,Matt Cain,4676,Charlie Morton
22,"Apr 27, 2011",Away,PIT,-1,L,0.0,2.0,5524,Madison Bumgarner,5523,James McDonald
23,"Apr 28, 2011",Away,PIT,-1,W,5.0,2.0,1011,Ryan Vogelsong,5879,Jeff Karstens
24,"Apr 29, 2011",Away,WSN,-1,L,0.0,3.0,5705,Tim Lincecum,105,Jason Marquis
25,"Apr 30, 2011",Away,WSN,-1,W,2.0,1.0,7507,Jonathan Sanchez,7080,John Lannan
26,"May 1, 2011",Away,WSN,-1,L,2.0,5.0,4732,Matt Cain,4505,Jordan Zimmermann
27,"May 2, 2011",Away,WSN,-1,L,0.0,2.0,5524,Madison Bumgarner,6244,Tom Gorzelanny
28,"May 3, 2011",Away,NYM,-1,W,7.0,6.0,1011,Ryan Vogelsong,1245,R.A. Dickey
29,"May 4, 2011",Away,NYM,-1,W,2.0,0.0,5705,Tim Lincecum,1701,Chris Capuano
30,"May 5, 2011",Away,NYM,-1,L,2.0,5.0,7507,Jonathan Sanchez,5203,Mike Pelfrey
31,"May 6, 2011",Home,COL,-1,W,4.0,3.0,4732,Matt Cain,3374,Ubaldo Jimenez
32,"May 7, 2011",Home,COL,-1,W,3.0,2.0,5524,Madison Bumgarner,6317,Clayton Mortensen
33,"May 8, 2011",Home,COL,-1,W,3.0,0.0,1011,Ryan Vogelsong,2047,Jorge De La Rosa
