,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Mar 5, 2010",Away,CIN,-1,,-1.0,-1.0,,,,
1,"Apr 5, 2010",Away,CHW,-1,L,0.0,6.0,,Jake Westbrook,,Mark Buehrle
2,"Apr 7, 2010",Away,CHW,-1,W,5.0,3.0,,Roberto Hernandez,,Jake Peavy
3,"Apr 8, 2010",Away,CHW,-1,W,5.0,3.0,,Justin Masterson,,Gavin Floyd
4,"Apr 9, 2010",Away,DET,-1,L,2.0,5.0,,David Huff,,Rick Porcello
5,"Apr 10, 2010",Away,DET,-1,L,2.0,4.0,,Mitch Talbot,,Jeremy Bonderman
6,"Apr 11, 2010",Away,DET,-1,L,8.0,9.0,,Jake Westbrook,,Justin Verlander
7,"Apr 12, 2010",Home,TEX,-1,L,2.0,4.0,,Roberto Hernandez,,Rich Harden
8,"Apr 14, 2010",Home,TEX,-1,L,2.0,6.0,,Justin Masterson,,Colby Lewis
9,"Apr 15, 2010",Home,TEX,-1,W,3.0,2.0,,David Huff,,Matt Harrison
10,"Apr 16, 2010",Home,CHW,-1,W,6.0,2.0,,Mitch Talbot,,Mark Buehrle
11,"Apr 17, 2010",Home,CHW,-1,W,3.0,2.0,,Jake Westbrook,,Jake Peavy
12,"Apr 18, 2010",Home,CHW,-1,W,7.0,4.0,,Roberto Hernandez,,Gavin Floyd
13,"Apr 20, 2010",Away,MIN,-1,L,1.0,5.0,,Justin Masterson,,Kevin Slowey
14,"Apr 21, 2010",Away,MIN,-1,L,0.0,6.0,,David Huff,,Francisco Liriano
15,"Apr 22, 2010",Away,MIN,-1,W,8.0,1.0,,Mitch Talbot,,Scott Baker
16,"Apr 23, 2010",Away,OAK,-1,L,0.0,10.0,,Jake Westbrook,,Justin Duchscherer
17,"Apr 24, 2010",Away,OAK,-1,W,6.0,1.0,,Roberto Hernandez,,Brett Anderson
18,"Apr 25, 2010",Away,OAK,-1,L,0.0,11.0,,Justin Masterson,,Gio Gonzalez
19,"Apr 26, 2010",Away,LAA,-1,L,2.0,5.0,,David Huff,,Jered Weaver
20,"Apr 27, 2010",Away,LAA,-1,W,9.0,2.0,,Mitch Talbot,,Joe Saunders
21,"Apr 28, 2010",Away,LAA,-1,L,3.0,4.0,,Jake Westbrook,,Ervin Santana
22,"Apr 30, 2010",Home,MIN,-1,L,3.0,9.0,,Roberto Hernandez,,Kevin Slowey
23,"May 1, 2010",Home,MIN,-1,W,5.0,4.0,,Justin Masterson,,Jeff Manship
24,"May 2, 2010",Home,MIN,-1,L,3.0,8.0,,David Huff,,Francisco Liriano
25,"May 3, 2010",Home,TOR,-1,L,1.0,5.0,,Mitch Talbot,,Brett Cecil
26,"May 4, 2010",Home,TOR,-1,L,5.0,8.0,,Jake Westbrook,,Ricky Romero
27,"May 5, 2010",Home,TOR,-1,L,4.0,5.0,,Roberto Hernandez,,Brandon Morrow
28,"May 8, 2010",Home,DET,-1,L,4.0,6.0,,Justin Masterson,,Justin Verlander
29,"May 9, 2010",Home,DET,-1,W,7.0,4.0,,Mitch Talbot,,Max Scherzer
