,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Apr 1, 2011",Home,NYM,-1,W,6.0,2.0,4567,Josh Johnson,5203,Mike Pelfrey
1,"Apr 2, 2011",Home,NYM,-1,L,4.0,6.0,3830,Ricky Nolasco,4424,Jon Niese
2,"Apr 3, 2011",Home,NYM,-1,L,2.0,9.0,801,Javier Vazquez,1245,R.A. Dickey
3,"Apr 5, 2011",Home,WSN,-1,W,3.0,2.0,3284,Anibal Sanchez,105,Jason Marquis
4,"Apr 6, 2011",Home,WSN,-1,W,7.0,4.0,9901,Chris Volstad,1116,Livan Hernandez
5,"Apr 7, 2011",Home,WSN,-1,L,3.0,5.0,4567,Josh Johnson,7080,John Lannan
6,"Apr 8, 2011",Away,HOU,-1,W,4.0,3.0,3830,Ricky Nolasco,2586,Wandy Rodriguez
7,"Apr 9, 2011",Away,HOU,-1,W,7.0,5.0,801,Javier Vazquez,9492,Bud Norris
8,"Apr 10, 2011",Away,HOU,-1,L,1.0,7.0,3284,Anibal Sanchez,7410,J.A. Happ
9,"Apr 12, 2011",Away,ATL,-1,L,0.0,5.0,9901,Chris Volstad,9129,Tommy Hanson
10,"Apr 13, 2011",Away,ATL,-1,W,5.0,1.0,4567,Josh Johnson,921,Tim Hudson
11,"Apr 14, 2011",Away,ATL,-1,W,6.0,5.0,3830,Ricky Nolasco,8851,Brandon Beachy
12,"Apr 15, 2011",Away,PHI,-1,W,4.0,3.0,801,Javier Vazquez,571,Roy Oswalt
13,"Apr 17, 2011",Away,PHI,-1,L,2.0,3.0,3284,Anibal Sanchez,4972,Cole Hamels
14,"Apr 19, 2011",Home,PIT,-1,W,6.0,0.0,4567,Josh Johnson,8678,Paul Maholm
15,"Apr 20, 2011",Home,PIT,-1,W,6.0,0.0,3830,Ricky Nolasco,4676,Charlie Morton
16,"Apr 21, 2011",Home,PIT,-1,W,9.0,5.0,9901,Chris Volstad,5523,James McDonald
17,"Apr 22, 2011",Home,COL,-1,W,4.0,1.0,3284,Anibal Sanchez,2608,Jhoulys Chacin
18,"Apr 23, 2011",Home,COL,-1,L,1.0,3.0,801,Javier Vazquez,6317,Jason Hammel
19,"Apr 24, 2011",Home,COL,-1,W,6.0,3.0,4567,Josh Johnson,3374,Ubaldo Jimenez
20,"Apr 25, 2011",Home,LAD,-1,W,5.0,4.0,3830,Ricky Nolasco,232,Jon Garland
21,"Apr 26, 2011",Home,LAD,-1,W,4.0,2.0,9901,Chris Volstad,2036,Clayton Kershaw
22,"Apr 27, 2011",Home,LAD,-1,L,4.0,5.0,3284,Anibal Sanchez,5842,Chad Billingsley
23,"Apr 29, 2011",Away,CIN,-1,W,7.0,6.0,801,Javier Vazquez,9884,Travis Wood
24,"Apr 30, 2011",Away,CIN,-1,L,3.0,4.0,4567,Josh Johnson,3990,Edinson Volquez
25,"May 1, 2011",Away,CIN,-1,W,9.0,5.0,3830,Ricky Nolasco,978,Bronson Arroyo
26,"May 2, 2011",Away,STL,-1,W,6.0,5.0,9901,Chris Volstad,739,Kyle Lohse
27,"May 3, 2011",Away,STL,-1,L,5.0,7.0,3284,Anibal Sanchez,4845,Kyle McClellan
28,"May 4, 2011",Away,STL,-1,W,8.0,7.0,801,Javier Vazquez,1292,Chris Carpenter
29,"May 5, 2011",Away,STL,-1,L,3.0,6.0,4567,Josh Johnson,412,Jake Westbrook
30,"May 6, 2011",Home,WSN,-1,L,2.0,3.0,3830,Ricky Nolasco,4505,Jordan Zimmermann
31,"May 7, 2011",Home,WSN,-1,L,2.0,5.0,9901,Chris Volstad,6244,Tom Gorzelanny
32,"May 8, 2011",Home,WSN,-1,W,8.0,0.0,3284,Anibal Sanchez,1116,Livan Hernandez
33,"May 9, 2011",Home,PHI,-1,L,4.0,6.0,801,Javier Vazquez,4849,Joe Blanton
34,"May 10, 2011",Home,PHI,-1,W,2.0,1.0,4567,Josh Johnson,1303,Roy Halladay
35,"May 11, 2011",Home,PHI,-1,L,3.0,5.0,3830,Ricky Nolasco,1636,Cliff Lee
36,"May 13, 2011",Away,WSN,-1,W,6.0,5.0,9901,Chris Volstad,6244,Tom Gorzelanny
37,"May 14, 2011",Away,WSN,-1,W,1.0,0.0,3284,Anibal Sanchez,1116,Livan Hernandez
38,"May 15, 2011",Away,WSN,-1,L,4.0,8.0,801,Javier Vazquez,105,Jason Marquis
39,"May 16, 2011",Away,NYM,-1,W,2.0,1.0,4567,Josh Johnson,5203,Mike Pelfrey
40,"May 18, 2011",Home,CHC,-1,L,5.0,7.0,3830,Ricky Nolasco,517,Ryan Dempster
41,"May 19, 2011",Home,CHC,-1,L,1.0,5.0,9901,Chris Volstad,8270,Casey Coleman
42,"May 20, 2011",Home,TBR,-1,W,5.0,3.0,3284,Anibal Sanchez,7667,Andy Sonnanstine
43,"May 21, 2011",Home,TBR,-1,W,5.0,3.0,801,Javier Vazquez,3184,David Price
44,"May 22, 2011",Home,TBR,-1,L,0.0,4.0,9494,Jay Buente,7059,James Shields
45,"May 24, 2011",Away,SFG,-1,W,5.0,1.0,3830,Ricky Nolasco,4732,Matt Cain
46,"May 25, 2011",Away,SFG,-1,W,7.0,6.0,9901,Chris Volstad,5524,Madison Bumgarner
47,"May 26, 2011",Away,SFG,-1,W,1.0,0.0,3284,Anibal Sanchez,1011,Ryan Vogelsong
48,"May 27, 2011",Away,LAD,-1,L,2.0,3.0,801,Javier Vazquez,232,Jon Garland
49,"May 28, 2011",Away,LAD,-1,W,6.0,1.0,2739,Brian Sanches,3283,Hiroki Kuroda
50,"May 29, 2011",Away,LAD,-1,L,0.0,8.0,3830,Ricky Nolasco,2036,Clayton Kershaw
51,"May 30, 2011",Away,ARI,-1,L,4.0,15.0,9901,Chris Volstad,4366,Joe Saunders
52,"May 31, 2011",Away,ARI,-1,W,5.0,2.0,3284,Anibal Sanchez,6986,Ian Kennedy
53,"Jun 1, 2011",Away,ARI,-1,L,5.0,6.0,801,Javier Vazquez,7146,Daniel Hudson
54,"Jun 3, 2011",Home,MIL,-1,L,5.0,6.0,3830,Ricky Nolasco,976,Randy Wolf
55,"Jun 4, 2011",Home,MIL,-1,L,2.0,3.0,9901,Chris Volstad,8173,Yovani Gallardo
56,"Jun 5, 2011",Home,MIL,-1,L,5.0,6.0,3284,Anibal Sanchez,2141,Chris Narveson
57,"Jun 6, 2011",Home,MIL,-1,L,2.0,7.0,801,Javier Vazquez,1943,Zack Greinke
58,"Jun 7, 2011",Home,ATL,-1,L,0.0,1.0,9111,Brad Hand,9129,Tommy Hanson
59,"Jun 8, 2011",Home,ATL,-1,L,2.0,3.0,3830,Ricky Nolasco,199,Derek Lowe
60,"Jun 9, 2011",Home,ATL,-1,L,2.0,3.0,9901,Chris Volstad,5556,Jair Jurrjens
61,"Jun 10, 2011",Home,ARI,-1,W,6.0,4.0,3284,Anibal Sanchez,4366,Joe Saunders
62,"Jun 11, 2011",Home,ARI,-1,L,5.0,9.0,801,Javier Vazquez,6986,Ian Kennedy
63,"Jun 12, 2011",Home,ARI,-1,L,1.0,5.0,9111,Brad Hand,7146,Daniel Hudson
64,"Jun 13, 2011",Home,ARI,-1,L,9.0,12.0,3830,Ricky Nolasco,3840,Zach Duke
65,"Jun 14, 2011",Away,PHI,-1,L,1.0,9.0,9901,Chris Volstad,4972,Cole Hamels
66,"Jun 15, 2011",Away,PHI,-1,L,1.0,8.0,8796,Elih Villanueva,6230,Kyle Kendrick
67,"Jun 15, 2011",Away,PHI,-1,L,4.0,5.0,3284,Anibal Sanchez,1303,Roy Halladay
68,"Jun 16, 2011",Away,PHI,-1,L,0.0,3.0,801,Javier Vazquez,1636,Cliff Lee
69,"Jun 17, 2011",Away,TBR,-1,L,1.0,5.0,9111,Brad Hand,7441,Wade Davis
70,"Jun 18, 2011",Away,TBR,-1,L,4.0,7.0,3830,Ricky Nolasco,6562,Alex Cobb
71,"Jun 19, 2011",Away,TBR,-1,L,1.0,2.0,9901,Chris Volstad,7059,James Shields
72,"Jun 20, 2011",Home,LAA,-1,L,1.0,2.0,3284,Anibal Sanchez,4235,Jered Weaver
73,"Jun 21, 2011",Home,LAA,-1,W,5.0,2.0,801,Javier Vazquez,3200,Ervin Santana
74,"Jun 22, 2011",Home,LAA,-1,L,5.0,6.0,2739,Brian Sanches,1094,Joel Pineiro
75,"Jun 24, 2011",Home,SEA,-1,L,1.0,5.0,3830,Ricky Nolasco,4772,Felix Hernandez
76,"Jun 25, 2011",Home,SEA,-1,W,4.0,2.0,9901,Chris Volstad,8044,Jason Vargas
77,"Jun 26, 2011",Home,SEA,-1,L,1.0,2.0,3284,Anibal Sanchez,9425,Doug Fister
78,"Jun 28, 2011",Away,OAK,-1,L,0.0,1.0,801,Javier Vazquez,7448,Gio Gonzalez
79,"Jun 29, 2011",Away,OAK,-1,W,3.0,0.0,3830,Ricky Nolasco,5106,Guillermo Moscoso
80,"Jun 30, 2011",Away,OAK,-1,W,5.0,4.0,9901,Chris Volstad,6249,Trevor Cahill
81,"Jul 1, 2011",Away,TEX,-1,L,5.0,15.0,3284,Anibal Sanchez,10261,Alexi Ogando
82,"Jul 2, 2011",Away,TEX,-1,W,9.0,5.0,9111,Brad Hand,4141,Derek Holland
83,"Jul 3, 2011",Away,TEX,-1,W,6.0,4.0,801,Javier Vazquez,3580,C.J. Wilson
84,"Jul 4, 2011",Home,PHI,-1,L,0.0,1.0,3830,Ricky Nolasco,6435,Vance Worley
85,"Jul 5, 2011",Home,PHI,-1,L,2.0,14.0,9901,Chris Volstad,4972,Cole Hamels
86,"Jul 6, 2011",Home,PHI,-1,W,7.0,6.0,3284,Anibal Sanchez,6230,Kyle Kendrick
87,"Jul 7, 2011",Home,HOU,-1,W,5.0,0.0,9111,Brad Hand,7410,J.A. Happ
88,"Jul 8, 2011",Home,HOU,-1,W,6.0,3.0,801,Javier Vazquez,7593,Jordan Lyles
89,"Jul 9, 2011",Home,HOU,-1,W,6.0,1.0,3830,Ricky Nolasco,962,Brett Myers
90,"Jul 10, 2011",Home,HOU,-1,W,5.0,4.0,9901,Chris Volstad,2586,Wandy Rodriguez
91,"Jul 14, 2011",Away,CHC,-1,W,6.0,3.0,3284,Anibal Sanchez,3340,Matt Garza
92,"Jul 15, 2011",Away,CHC,-1,L,1.0,2.0,3830,Ricky Nolasco,517,Ryan Dempster
93,"Jul 16, 2011",Away,CHC,-1,W,13.0,3.0,801,Javier Vazquez,305,Carlos Zambrano
94,"Jul 17, 2011",Away,CHC,-1,W,7.0,5.0,9901,Chris Volstad,4535,Randy Wells
