,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Apr 5, 2012",Home,ATL,-1,W,1.0,0.0,755,Johan Santana,9129,Tommy Hanson
1,"Apr 7, 2012",Home,ATL,-1,W,4.0,2.0,1245,R.A. Dickey,5556,Jair Jurrjens
2,"Apr 8, 2012",Home,ATL,-1,W,7.0,5.0,4424,Jon Niese,10021,Mike Minor
3,"Apr 9, 2012",Home,WSN,-1,W,4.0,3.0,5203,Mike Pelfrey,1841,Edwin Jackson
4,"Apr 10, 2012",Home,WSN,-1,L,2.0,6.0,7396,Dillon Gee,2859,Ross Detwiler
5,"Apr 11, 2012",Home,WSN,-1,L,0.0,4.0,755,Johan Santana,10131,Stephen Strasburg
6,"Apr 13, 2012",Away,PHI,-1,W,5.0,2.0,1245,R.A. Dickey,1636,Cliff Lee
7,"Apr 14, 2012",Away,PHI,-1,W,5.0,0.0,4424,Jon Niese,6435,Vance Worley
8,"Apr 15, 2012",Away,PHI,-1,L,2.0,8.0,5203,Mike Pelfrey,4972,Cole Hamels
9,"Apr 16, 2012",Away,ATL,-1,W,6.0,1.0,7396,Dillon Gee,9129,Tommy Hanson
10,"Apr 17, 2012",Away,ATL,-1,L,3.0,9.0,755,Johan Santana,5985,Randall Delgado
11,"Apr 18, 2012",Away,ATL,-1,L,6.0,14.0,1245,R.A. Dickey,5556,Jair Jurrjens
12,"Apr 20, 2012",Home,SFG,-1,L,3.0,4.0,4424,Jon Niese,944,Barry Zito
13,"Apr 21, 2012",Home,SFG,-1,W,5.0,4.0,5203,Mike Pelfrey,1011,Ryan Vogelsong
14,"Apr 23, 2012",Home,SFG,-1,L,1.0,6.0,46,Miguel Batista,5705,Tim Lincecum
15,"Apr 23, 2012",Home,SFG,-1,L,2.0,7.0,7396,Dillon Gee,5524,Madison Bumgarner
16,"Apr 24, 2012",Home,MIA,-1,W,2.0,1.0,755,Johan Santana,4567,Josh Johnson
17,"Apr 25, 2012",Home,MIA,-1,W,5.0,1.0,1245,R.A. Dickey,225,Mark Buehrle
18,"Apr 26, 2012",Home,MIA,-1,W,3.0,2.0,4424,Jon Niese,3830,Ricky Nolasco
19,"Apr 27, 2012",Away,COL,-1,L,9.0,18.0,7851,Chris Schwinden,11426,Drew Pomeranz
20,"Apr 28, 2012",Away,COL,-1,W,7.0,5.0,7396,Dillon Gee,2072,Guillermo Moscoso
21,"Apr 29, 2012",Away,COL,-1,W,6.0,5.0,755,Johan Santana,1091,Jamie Moyer
22,"Apr 30, 2012",Away,HOU,-1,L,3.0,4.0,1245,R.A. Dickey,9492,Bud Norris
23,"May 1, 2012",Away,HOU,-1,L,3.0,6.0,4424,Jon Niese,7410,J.A. Happ
24,"May 2, 2012",Away,HOU,-1,L,1.0,8.0,7851,Chris Schwinden,2586,Wandy Rodriguez
25,"May 4, 2012",Home,ARI,-1,L,4.0,5.0,7396,Dillon Gee,8779,Wade Miley
26,"May 5, 2012",Home,ARI,-1,W,4.0,3.0,755,Johan Santana,9323,Patrick Corbin
27,"May 6, 2012",Home,ARI,-1,W,3.0,1.0,1245,R.A. Dickey,6249,Trevor Cahill
28,"May 7, 2012",Away,PHI,-1,W,5.0,2.0,4424,Jon Niese,1303,Roy Halladay
29,"May 8, 2012",Away,PHI,-1,W,7.0,4.0,46,Miguel Batista,4849,Joe Blanton
30,"May 9, 2012",Away,PHI,-1,W,10.0,6.0,7396,Dillon Gee,1636,Cliff Lee
31,"May 11, 2012",Away,MIA,-1,L,5.0,6.0,755,Johan Santana,225,Mark Buehrle
32,"May 12, 2012",Away,MIA,-1,W,9.0,3.0,1245,R.A. Dickey,3830,Ricky Nolasco
33,"May 13, 2012",Away,MIA,-1,L,4.0,8.0,4424,Jon Niese,305,Carlos Zambrano
34,"May 14, 2012",Home,MIL,-1,W,3.0,1.0,46,Miguel Batista,8173,Yovani Gallardo
35,"May 15, 2012",Home,MIL,-1,L,0.0,8.0,7396,Dillon Gee,1943,Zack Greinke
36,"May 16, 2012",Home,CIN,-1,L,3.0,6.0,755,Johan Santana,10130,Mike Leake
37,"May 17, 2012",Home,CIN,-1,W,9.0,4.0,1245,R.A. Dickey,3815,Mat Latos
