,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Apr 6, 2015",Home,NYM,66.1,L,1.0,3.0,3137,Max Scherzer,375,Bartolo Colon
1,"Apr 8, 2015",Home,NYM,57.5,W,2.0,1.0,7448,Jordan Zimmermann,10954,Jacob deGrom
2,"Apr 9, 2015",Home,NYM,54.3,L,3.0,6.0,9425,Stephen Strasburg,11713,Matt Harvey
3,"Apr 10, 2015",Away,PHI,63.2,L,1.0,4.0,4505,Gio Gonzalez,1137,Jerome Williams
4,"Apr 11, 2015",Away,PHI,52.0,L,2.0,3.0,9425,Doug Fister,4972,Cole Hamels
5,"Apr 12, 2015",Away,PHI,69.1,W,4.0,3.0,3137,Max Scherzer,9137,Sean O'Sullivan
6,"Apr 13, 2015",Away,BOS,49.1,L,4.0,9.0,4505,Jordan Zimmermann,2717,Rick Porcello
7,"Apr 14, 2015",Away,BOS,52.0,L,7.0,8.0,10131,Stephen Strasburg,2038,Justin Masterson
8,"Apr 15, 2015",Away,BOS,51.5,W,10.0,5.0,7448,Gio Gonzalez,8779,Wade Miley
9,"Apr 16, 2015",Home,PHI,60.7,W,5.0,2.0,9425,Doug Fister,4972,Cole Hamels
10,"Apr 17, 2015",Home,PHI,76.9,W,7.0,2.0,3137,Max Scherzer,9137,Sean O'Sullivan
11,"Apr 18, 2015",Home,PHI,68.2,L,3.0,5.0,4505,Jordan Zimmermann,1451,Aaron Harang
12,"Apr 19, 2015",Home,PHI,73.0,W,4.0,1.0,10131,Stephen Strasburg,11176,David Buchanan
13,"Apr 21, 2015",Home,STL,54.8,W,2.0,1.0,7448,Gio Gonzalez,2520,Lance Lynn
14,"Apr 22, 2015",Home,STL,55.1,L,5.0,7.0,9425,Doug Fister,1507,John Lackey
15,"Apr 23, 2015",Home,STL,60.1,L,1.0,4.0,3137,Max Scherzer,14078,Michael Wacha
16,"Apr 24, 2015",Away,MIA,51.0,L,2.0,3.0,4505,Jordan Zimmermann,3815,Mat Latos
17,"Apr 25, 2015",Away,MIA,58.2,L,0.0,8.0,10131,Stephen Strasburg,6570,Tom Koehler
18,"Apr 26, 2015",Away,MIA,54.5,L,2.0,6.0,7448,Gio Gonzalez,1757,Dan Haren
19,"Apr 27, 2015",Away,ATL,58.8,L,4.0,8.0,9425,Doug Fister,8011,Eric Stults
20,"Apr 28, 2015",Away,ATL,52.4,W,13.0,12.0,11467,A.J. Cole,6797,Julio Teheran
21,"Apr 29, 2015",Away,ATL,53.5,W,13.0,4.0,4505,Jordan Zimmermann,13781,Alex Wood
22,"Apr 30, 2015",Away,NYM,54.7,W,8.0,2.0,10131,Stephen Strasburg,10954,Jacob deGrom
23,"May 1, 2015",Away,NYM,52.2,L,0.0,4.0,3137,Max Scherzer,11713,Matt Harvey
24,"May 2, 2015",Away,NYM,56.4,W,1.0,0.0,7448,Gio Gonzalez,4424,Jon Niese
25,"May 3, 2015",Away,NYM,54.4,W,1.0,0.0,9425,Doug Fister,7396,Dillon Gee
26,"May 4, 2015",Home,MIA,60.3,W,6.0,4.0,4505,Jordan Zimmermann,6316,David Phelps
27,"May 5, 2015",Home,MIA,61.3,L,1.0,2.0,10131,Stephen Strasburg,3815,Mat Latos
28,"May 6, 2015",Home,MIA,68.4,W,7.0,5.0,3137,Max Scherzer,6570,Tom Koehler
29,"May 8, 2015",Home,ATL,69.5,W,9.0,2.0,7448,Gio Gonzalez,8011,Eric Stults
30,"May 9, 2015",Home,ATL,60.8,W,8.0,6.0,9425,Doug Fister,6797,Julio Teheran
31,"May 10, 2015",Home,ATL,61.5,W,5.0,4.0,4505,Jordan Zimmermann,13781,Alex Wood
32,"May 11, 2015",Away,ARI,62.0,W,11.0,1.0,3137,Max Scherzer,7312,Josh Collmenter
33,"May 12, 2015",Away,ARI,59.8,L,6.0,14.0,10131,Stephen Strasburg,3862,Rubby de la Rosa
34,"May 13, 2015",Away,ARI,58.3,W,9.0,6.0,7448,Gio Gonzalez,4371,Jeremy Hellickson
35,"May 14, 2015",Away,SDP,46.6,L,3.0,8.0,9425,Doug Fister,7872,Tyson Ross
36,"May 15, 2015",Away,SDP,55.1,W,10.0,0.0,4505,Jordan Zimmermann,16017,Odrisamer Despaigne
37,"May 16, 2015",Away,SDP,58.1,W,4.0,1.0,3137,Max Scherzer,8782,Andrew Cashner
38,"May 17, 2015",Away,SDP,55.1,W,10.0,5.0,10131,Stephen Strasburg,6986,Ian Kennedy
39,"May 19, 2015",Home,NYY,63.8,W,8.0,6.0,7448,Gio Gonzalez,9132,Nathan Eovaldi
40,"May 20, 2015",Home,NYY,59.6,W,3.0,2.0,4505,Jordan Zimmermann,9029,Adam Warren
41,"May 22, 2015",Home,PHI,77.9,W,2.0,1.0,3137,Max Scherzer,9137,Sean O'Sullivan
42,"May 23, 2015",Home,PHI,64.5,L,1.0,8.0,10131,Stephen Strasburg,4972,Cole Hamels
43,"May 24, 2015",Home,PHI,69.2,W,4.0,1.0,7448,Gio Gonzalez,1451,Aaron Harang
44,"May 25, 2015",Away,CHC,50.8,W,2.0,1.0,8753,Tanner Roark,13046,Tsuyoshi Wada
45,"May 26, 2015",Away,CHC,50.9,L,2.0,3.0,4505,Jordan Zimmermann,12049,Kyle Hendricks
46,"May 27, 2015",Away,CHC,55.5,W,3.0,0.0,3137,Max Scherzer,4930,Jon Lester
47,"May 29, 2015",Away,CIN,58.7,L,2.0,5.0,10131,Stephen Strasburg,13050,Anthony DeSclafani
48,"May 30, 2015",Away,CIN,55.6,L,5.0,8.0,7448,Gio Gonzalez,17130,Raisel Iglesias
49,"May 31, 2015",Away,CIN,59.0,L,2.0,8.0,8753,Tanner Roark,14843,Michael Lorenzen
50,"Jun 2, 2015",Home,TOR,64.9,W,2.0,0.0,4505,Jordan Zimmermann,1245,R.A. Dickey
51,"Jun 2, 2015",Home,TOR,67.3,L,3.0,7.0,3137,Max Scherzer,1118,Marco Estrada
52,"Jun 3, 2015",Home,TOR,60.8,L,0.0,8.0,10466,Taylor Jordan,225,Mark Buehrle
53,"Jun 4, 2015",Home,CHC,58.1,L,1.0,2.0,7448,Gio Gonzalez,4153,Jake Arrieta
54,"Jun 5, 2015",Home,CHC,58.6,W,7.0,5.0,8753,Tanner Roark,13046,Tsuyoshi Wada
55,"Jun 6, 2015",Home,CHC,57.7,L,2.0,4.0,12972,Joe Ross,4538,Jason Hammel
56,"Jun 7, 2015",Home,CHC,58.9,L,3.0,6.0,4505,Jordan Zimmermann,12049,Kyle Hendricks
57,"Jun 9, 2015",Away,NYY,55.0,L,1.0,6.0,3137,Max Scherzer,15764,Masahiro Tanaka
58,"Jun 10, 2015",Away,NYY,55.2,W,5.0,4.0,7448,Gio Gonzalez,9132,Nathan Eovaldi
59,"Jun 11, 2015",Away,MIL,50.8,L,5.0,6.0,8753,Tanner Roark,3340,Matt Garza
60,"Jun 12, 2015",Away,MIL,50.5,L,4.0,8.0,4505,Jordan Zimmermann,7754,Mike Fiers
61,"Jun 13, 2015",Away,MIL,45.6,W,7.0,2.0,12972,Joe Ross,10547,Jimmy Nelson
62,"Jun 14, 2015",Away,MIL,62.8,W,4.0,0.0,3137,Max Scherzer,13119,Taylor Jungmann
63,"Jun 15, 2015",Away,TBR,58.3,L,1.0,6.0,7448,Gio Gonzalez,10314,Erasmo Ramirez
64,"Jun 16, 2015",Away,TBR,54.8,W,16.0,4.0,8753,Tanner Roark,6661,Alex Colome
65,"Jun 17, 2015",Home,TBR,65.4,L,0.0,5.0,4505,Jordan Zimmermann,8402,Steve Geltz
66,"Jun 18, 2015",Home,TBR,55.4,L,3.0,5.0,9425,Doug Fister,6345,Chris Archer
67,"Jun 19, 2015",Home,PIT,48.7,W,4.0,1.0,12972,Joe Ross,512,A.J. Burnett
68,"Jun 20, 2015",Home,PIT,58.7,W,6.0,0.0,3137,Max Scherzer,3201,Francisco Liriano
69,"Jun 21, 2015",Home,PIT,56.6,W,9.0,2.0,7448,Gio Gonzalez,4676,Charlie Morton
70,"Jun 23, 2015",Home,ATL,63.9,W,3.0,1.0,10131,Stephen Strasburg,13781,Alex Wood
71,"Jun 24, 2015",Home,ATL,65.3,W,2.0,1.0,4505,Jordan Zimmermann,10197,Shelby Miller
72,"Jun 25, 2015",Home,ATL,62.4,W,7.0,0.0,9425,Doug Fister,12804,Matt Wisler
73,"Jun 26, 2015",Away,PHI,64.8,W,5.0,2.0,3137,Max Scherzer,1451,Aaron Harang
74,"Jun 28, 2015",Away,PHI,65.2,W,3.0,2.0,10131,Stephen Strasburg,1767,Kevin Correia
75,"Jun 28, 2015",Away,PHI,60.1,L,5.0,8.0,8753,Tanner Roark,14697,Severino Gonzalez
76,"Jun 30, 2015",Away,ATL,55.8,W,6.0,1.0,4505,Jordan Zimmermann,10197,Shelby Miller
77,"Jul 1, 2015",Away,ATL,56.0,L,1.0,4.0,9425,Doug Fister,12804,Matt Wisler
78,"Jul 2, 2015",Away,ATL,61.0,L,1.0,2.0,3137,Max Scherzer,5365,Manny Banuelos
79,"Jul 3, 2015",Home,SFG,59.3,W,2.0,1.0,7448,Gio Gonzalez,1051,Jake Peavy
80,"Jul 4, 2015",Home,SFG,54.6,W,9.0,3.0,10131,Stephen Strasburg,5524,Madison Bumgarner
81,"Jul 5, 2015",Home,SFG,64.1,W,3.0,1.0,4505,Jordan Zimmermann,1011,Ryan Vogelsong
82,"Jul 6, 2015",Home,CIN,59.9,L,2.0,3.0,9425,Doug Fister,13050,Anthony DeSclafani
83,"Jul 7, 2015",Home,CIN,61.3,L,0.0,5.0,3137,Max Scherzer,6893,Johnny Cueto
84,"Jul 10, 2015",Away,BAL,53.2,L,2.0,3.0,7448,Gio Gonzalez,5279,Chris Tillman
85,"Jul 11, 2015",Away,BAL,55.6,W,7.0,4.0,4505,Jordan Zimmermann,7024,Miguel Gonzalez
86,"Jul 12, 2015",Away,BAL,59.1,W,3.0,2.0,3137,Max Scherzer,13071,Wei-Yin Chen
87,"Jul 17, 2015",Home,LAD,48.1,W,5.0,3.0,4505,Jordan Zimmermann,11137,Mike Bolsinger
88,"Jul 18, 2015",Home,LAD,41.2,L,2.0,4.0,9425,Doug Fister,2036,Clayton Kershaw
89,"Jul 19, 2015",Home,LAD,55.3,L,0.0,5.0,3137,Max Scherzer,1943,Zack Greinke
90,"Jul 20, 2015",Home,NYM,57.7,W,7.0,2.0,7448,Gio Gonzalez,11713,Matt Harvey
91,"Jul 21, 2015",Home,NYM,53.5,L,2.0,7.0,12972,Joe Ross,10954,Jacob deGrom
92,"Jul 22, 2015",Home,NYM,58.5,W,4.0,3.0,4505,Jordan Zimmermann,11762,Noah Syndergaard
93,"Jul 23, 2015",Away,PIT,39.0,L,3.0,7.0,9425,Doug Fister,3201,Francisco Liriano
94,"Jul 24, 2015",Away,PIT,55.0,L,5.0,7.0,3137,Max Scherzer,2929,Jeff Locke
95,"Jul 25, 2015",Away,PIT,46.8,W,9.0,3.0,7448,Gio Gonzalez,512,A.J. Burnett
96,"Jul 26, 2015",Away,PIT,39.2,L,1.0,3.0,12972,Joe Ross,13125,Gerrit Cole
