,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Apr 6, 2015",Away,LAD,36.6,L,3.0,6.0,7059,James Shields,2036,Clayton Kershaw
1,"Apr 7, 2015",Away,LAD,44.1,W,7.0,3.0,7872,Tyson Ross,1943,Zack Greinke
2,"Apr 8, 2015",Away,LAD,45.8,L,4.0,7.0,8782,Andrew Cashner,4662,Brandon McCarthy
3,"Apr 9, 2015",Home,SFG,57.2,L,0.0,1.0,6986,Ian Kennedy,921,Tim Hudson
4,"Apr 10, 2015",Home,SFG,59.9,W,1.0,0.0,9346,Brandon Morrow,5705,Tim Lincecum
5,"Apr 11, 2015",Home,SFG,54.2,W,10.0,2.0,7059,James Shields,5524,Madison Bumgarner
6,"Apr 12, 2015",Home,SFG,58.5,W,6.0,4.0,7872,Tyson Ross,1051,Jake Peavy
7,"Apr 13, 2015",Home,ARI,61.6,L,4.0,8.0,8782,Andrew Cashner,3862,Rubby de la Rosa
8,"Apr 14, 2015",Home,ARI,59.9,W,5.0,1.0,16017,Odrisamer Despaigne,4371,Jeremy Hellickson
9,"Apr 15, 2015",Home,ARI,59.9,W,3.0,2.0,9346,Brandon Morrow,6895,Chase Anderson
10,"Apr 17, 2015",Away,CHC,48.7,W,5.0,4.0,7059,James Shields,4538,Jason Hammel
11,"Apr 18, 2015",Away,CHC,47.6,L,6.0,7.0,7872,Tyson Ross,12049,Kyle Hendricks
12,"Apr 19, 2015",Away,CHC,42.1,W,5.0,2.0,8782,Andrew Cashner,4930,Jon Lester
13,"Apr 20, 2015",Away,COL,45.6,W,14.0,3.0,16017,Odrisamer Despaigne,2047,Jorge De La Rosa
14,"Apr 21, 2015",Away,COL,49.6,W,7.0,6.0,9346,Brandon Morrow,10058,Tyler Matzek
15,"Apr 22, 2015",Away,COL,54.5,L,4.0,5.0,7059,James Shields,6230,Kyle Kendrick
16,"Apr 23, 2015",Away,COL,51.1,L,1.0,2.0,7872,Tyson Ross,7593,Jordan Lyles
17,"Apr 24, 2015",Home,LAD,48.8,L,0.0,3.0,8782,Andrew Cashner,1943,Zack Greinke
18,"Apr 25, 2015",Home,LAD,51.3,L,8.0,11.0,6986,Ian Kennedy,4662,Brandon McCarthy
19,"Apr 26, 2015",Home,LAD,51.8,W,3.0,1.0,9346,Brandon Morrow,6176,Scott Baker
