,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Apr 5, 2012",Away,PIT,-1,W,1.0,0.0,1303,Roy Halladay,126,Erik Bedard
1,"Apr 7, 2012",Away,PIT,-1,L,1.0,2.0,1636,Cliff Lee,5879,Jeff Karstens
2,"Apr 8, 2012",Away,PIT,-1,L,4.0,5.0,6435,Vance Worley,5523,James McDonald
3,"Apr 9, 2012",Home,MIA,-1,L,2.0,6.0,4972,Cole Hamels,3284,Anibal Sanchez
4,"Apr 11, 2012",Home,MIA,-1,W,7.0,1.0,1303,Roy Halladay,4567,Josh Johnson
5,"Apr 12, 2012",Home,MIA,-1,W,3.0,1.0,4849,Joe Blanton,225,Mark Buehrle
6,"Apr 13, 2012",Home,NYM,-1,L,2.0,5.0,1636,Cliff Lee,1245,R.A. Dickey
7,"Apr 14, 2012",Home,NYM,-1,L,0.0,5.0,6435,Vance Worley,4424,Jon Niese
8,"Apr 15, 2012",Home,NYM,-1,W,8.0,2.0,4972,Cole Hamels,5203,Mike Pelfrey
9,"Apr 16, 2012",Away,SFG,-1,W,5.0,2.0,1303,Roy Halladay,5705,Tim Lincecum
10,"Apr 17, 2012",Away,SFG,-1,L,2.0,4.0,4849,Joe Blanton,5524,Madison Bumgarner
11,"Apr 18, 2012",Away,SFG,-1,L,0.0,1.0,1636,Cliff Lee,4732,Matt Cain
12,"Apr 19, 2012",Away,SDP,-1,W,2.0,0.0,6435,Vance Worley,6109,Joe Wieland
13,"Apr 20, 2012",Away,SDP,-1,W,4.0,1.0,4972,Cole Hamels,3990,Edinson Volquez
14,"Apr 21, 2012",Away,SDP,-1,L,1.0,5.0,1303,Roy Halladay,1984,Cory Luebke
15,"Apr 22, 2012",Away,SDP,-1,L,1.0,6.0,4849,Joe Blanton,7982,Anthony Bass
16,"Apr 23, 2012",Away,ARI,-1,L,5.0,9.0,6230,Kyle Kendrick,8779,Wade Miley
17,"Apr 24, 2012",Away,ARI,-1,W,8.0,5.0,6435,Vance Worley,7312,Josh Collmenter
18,"Apr 25, 2012",Away,ARI,-1,W,7.0,2.0,4972,Cole Hamels,6249,Trevor Cahill
19,"Apr 27, 2012",Home,CHC,-1,L,1.0,5.0,1303,Roy Halladay,8678,Paul Maholm
20,"Apr 28, 2012",Home,CHC,-1,W,5.0,2.0,4849,Joe Blanton,4535,Randy Wells
21,"Apr 29, 2012",Home,CHC,-1,L,1.0,5.0,6230,Kyle Kendrick,3340,Matt Garza
22,"Apr 30, 2012",Home,CHC,-1,W,6.0,4.0,6435,Vance Worley,9901,Chris Volstad
23,"May 1, 2012",Away,ATL,-1,W,4.0,2.0,4972,Cole Hamels,8851,Brandon Beachy
24,"May 2, 2012",Away,ATL,-1,L,13.0,15.0,1303,Roy Halladay,9129,Tommy Hanson
25,"May 3, 2012",Away,ATL,-1,W,4.0,0.0,4849,Joe Blanton,5985,Randall Delgado
26,"May 4, 2012",Away,WSN,-1,L,3.0,4.0,6230,Kyle Kendrick,10131,Stephen Strasburg
27,"May 5, 2012",Away,WSN,-1,L,1.0,7.0,6435,Vance Worley,7448,Gio Gonzalez
28,"May 6, 2012",Away,WSN,-1,W,9.0,3.0,4972,Cole Hamels,4505,Jordan Zimmermann
29,"May 7, 2012",Home,NYM,-1,L,2.0,5.0,1303,Roy Halladay,4424,Jon Niese
30,"May 8, 2012",Home,NYM,-1,L,4.0,7.0,4849,Joe Blanton,46,Miguel Batista
31,"May 9, 2012",Home,NYM,-1,L,6.0,10.0,1636,Cliff Lee,7396,Dillon Gee
32,"May 11, 2012",Home,SDP,-1,W,7.0,3.0,6435,Vance Worley,3551,Clayton Richard
33,"May 12, 2012",Home,SDP,-1,L,1.0,2.0,1303,Roy Halladay,3990,Edinson Volquez
34,"May 13, 2012",Home,SDP,-1,W,3.0,2.0,4972,Cole Hamels,633,Jeff Suppan
35,"May 14, 2012",Home,HOU,-1,W,5.0,1.0,4849,Joe Blanton,7541,Lucas Harrell
36,"May 15, 2012",Home,HOU,-1,W,4.0,3.0,1636,Cliff Lee,7593,Jordan Lyles
37,"May 16, 2012",Away,CHC,-1,W,9.0,2.0,6230,Kyle Kendrick,3340,Matt Garza
38,"May 17, 2012",Away,CHC,-1,W,8.0,7.0,1303,Roy Halladay,9901,Chris Volstad
39,"May 18, 2012",Home,BOS,-1,W,6.0,4.0,4972,Cole Hamels,7115,Daniel Bard
40,"May 19, 2012",Home,BOS,-1,L,5.0,7.0,4849,Joe Blanton,4930,Jon Lester
41,"May 20, 2012",Home,BOS,-1,L,1.0,5.0,1636,Cliff Lee,510,Josh Beckett
42,"May 21, 2012",Home,WSN,-1,L,1.0,2.0,6230,Kyle Kendrick,7448,Gio Gonzalez
43,"May 22, 2012",Home,WSN,-1,L,2.0,5.0,1303,Roy Halladay,4505,Jordan Zimmermann
44,"May 23, 2012",Home,WSN,-1,W,4.0,1.0,4972,Cole Hamels,1841,Edwin Jackson
45,"May 24, 2012",Away,STL,-1,W,10.0,9.0,4849,Joe Blanton,412,Jake Westbrook
46,"May 25, 2012",Away,STL,-1,W,5.0,3.0,1636,Cliff Lee,739,Kyle Lohse
47,"May 26, 2012",Away,STL,-1,W,4.0,0.0,6230,Kyle Kendrick,8137,Jaime Garcia
48,"May 27, 2012",Away,STL,-1,L,3.0,8.0,1303,Roy Halladay,2233,Adam Wainwright
49,"May 28, 2012",Away,NYM,-1,W,8.0,4.0,4972,Cole Hamels,4424,Jon Niese
50,"May 29, 2012",Away,NYM,-1,L,3.0,6.0,4849,Joe Blanton,1989,Jeremy Hefner
51,"May 30, 2012",Away,NYM,-1,W,10.0,6.0,1636,Cliff Lee,7396,Dillon Gee
52,"Jun 1, 2012",Home,MIA,-1,W,6.0,4.0,6230,Kyle Kendrick,225,Mark Buehrle
53,"Jun 2, 2012",Home,MIA,-1,L,4.0,5.0,4972,Cole Hamels,3830,Ricky Nolasco
54,"Jun 3, 2012",Home,MIA,-1,L,1.0,5.0,4849,Joe Blanton,305,Carlos Zambrano
55,"Jun 4, 2012",Home,LAD,-1,L,3.0,4.0,6435,Vance Worley,2036,Clayton Kershaw
56,"Jun 5, 2012",Home,LAD,-1,L,1.0,2.0,1636,Cliff Lee,5842,Chad Billingsley
57,"Jun 6, 2012",Home,LAD,-1,L,5.0,6.0,6230,Kyle Kendrick,1701,Chris Capuano
58,"Jun 7, 2012",Home,LAD,-1,L,3.0,8.0,4972,Cole Hamels,1451,Aaron Harang
59,"Jun 8, 2012",Away,BAL,-1,W,9.0,6.0,4849,Joe Blanton,4153,Jake Arrieta
60,"Jun 9, 2012",Away,BAL,-1,L,4.0,6.0,6435,Vance Worley,1157,Tommy Hunter
61,"Jun 10, 2012",Away,BAL,-1,L,4.0,5.0,1636,Cliff Lee,4538,Jason Hammel
62,"Jun 12, 2012",Away,MIN,-1,L,7.0,11.0,6230,Kyle Kendrick,4270,Nick Blackburn
63,"Jun 13, 2012",Away,MIN,-1,W,9.0,8.0,4972,Cole Hamels,9557,P.J. Walters
64,"Jun 14, 2012",Away,MIN,-1,W,6.0,1.0,4849,Joe Blanton,5089,Scott Diamond
65,"Jun 15, 2012",Away,TOR,-1,L,0.0,3.0,6435,Vance Worley,10732,Drew Hutchison
66,"Jun 16, 2012",Away,TOR,-1,L,5.0,6.0,1636,Cliff Lee,3403,Ricky Romero
67,"Jun 17, 2012",Away,TOR,-1,L,2.0,6.0,6230,Kyle Kendrick,2660,Brett Cecil
68,"Jun 19, 2012",Home,COL,-1,W,7.0,2.0,4972,Cole Hamels,4004,Josh Outman
69,"Jun 20, 2012",Home,COL,-1,W,7.0,6.0,4849,Joe Blanton,10054,Alex White
70,"Jun 21, 2012",Home,COL,-1,L,1.0,4.0,6435,Vance Worley,4684,Jeff Francis
71,"Jun 23, 2012",Home,TBR,-1,W,7.0,6.0,6230,Kyle Kendrick,7059,James Shields
72,"Jun 24, 2012",Home,TBR,-1,L,2.0,3.0,4972,Cole Hamels,3184,David Price
73,"Jun 24, 2012",Home,TBR,-1,L,3.0,7.0,1636,Cliff Lee,3357,Cesar Ramos
74,"Jun 25, 2012",Home,PIT,-1,W,8.0,3.0,4849,Joe Blanton,5879,Jeff Karstens
75,"Jun 26, 2012",Home,PIT,-1,W,5.0,4.0,6435,Vance Worley,126,Erik Bedard
76,"Jun 27, 2012",Home,PIT,-1,L,7.0,11.0,1953,Raul Valdes,5523,James McDonald
77,"Jun 28, 2012",Home,PIT,-1,L,4.0,5.0,6230,Kyle Kendrick,512,A.J. Burnett
78,"Jun 29, 2012",Away,MIA,-1,L,2.0,6.0,1636,Cliff Lee,4567,Josh Johnson
79,"Jun 30, 2012",Away,MIA,-1,L,2.0,3.0,4972,Cole Hamels,225,Mark Buehrle
80,"Jul 1, 2012",Away,MIA,-1,L,2.0,5.0,4849,Joe Blanton,3830,Ricky Nolasco
81,"Jul 3, 2012",Away,NYM,-1,L,1.0,11.0,6435,Vance Worley,4424,Jon Niese
82,"Jul 4, 2012",Away,NYM,-1,W,9.0,2.0,1636,Cliff Lee,3196,Chris Young
83,"Jul 5, 2012",Away,NYM,-1,L,5.0,6.0,4972,Cole Hamels,1245,R.A. Dickey
84,"Jul 6, 2012",Home,ATL,-1,L,0.0,5.0,6230,Kyle Kendrick,921,Tim Hudson
85,"Jul 7, 2012",Home,ATL,-1,L,3.0,6.0,4849,Joe Blanton,9129,Tommy Hanson
86,"Jul 8, 2012",Home,ATL,-1,L,3.0,4.0,6435,Vance Worley,5556,Jair Jurrjens
87,"Jul 13, 2012",Away,COL,-1,L,2.0,6.0,1636,Cliff Lee,7942,Christian Friedrich
88,"Jul 14, 2012",Away,COL,-1,W,8.0,5.0,6435,Vance Worley,2072,Jeremy Guthrie
89,"Jul 15, 2012",Away,COL,-1,W,5.0,1.0,4972,Cole Hamels,11426,Drew Pomeranz
90,"Jul 16, 2012",Away,LAD,-1,W,3.0,2.0,4849,Joe Blanton,9132,Nathan Eovaldi
91,"Jul 17, 2012",Away,LAD,-1,W,3.0,2.0,1303,Roy Halladay,9132,Stephen Fife
92,"Jul 18, 2012",Away,LAD,-1,L,3.0,5.0,1636,Cliff Lee,2036,Clayton Kershaw
93,"Jul 20, 2012",Home,SFG,-1,L,2.0,7.0,6435,Vance Worley,5705,Tim Lincecum
94,"Jul 21, 2012",Home,SFG,-1,L,5.0,6.0,4972,Cole Hamels,4732,Matt Cain
95,"Jul 22, 2012",Home,SFG,-1,W,4.0,3.0,4849,Joe Blanton,944,Barry Zito
96,"Jul 23, 2012",Home,MIL,-1,W,7.0,6.0,1303,Roy Halladay,976,Randy Wolf
97,"Jul 24, 2012",Home,MIL,-1,W,7.0,6.0,1636,Cliff Lee,1943,Zack Greinke
98,"Jul 25, 2012",Home,MIL,-1,W,7.0,6.0,6435,Vance Worley,1118,Marco Estrada
99,"Jul 27, 2012",Away,ATL,-1,L,1.0,6.0,4972,Cole Hamels,710,Ben Sheets
100,"Jul 28, 2012",Away,ATL,-1,L,1.0,2.0,4849,Joe Blanton,10021,Mike Minor
101,"Jul 29, 2012",Away,ATL,-1,L,2.0,6.0,1303,Roy Halladay,921,Tim Hudson
102,"Jul 31, 2012",Away,WSN,-1,W,8.0,0.0,1636,Cliff Lee,10131,Stephen Strasburg
103,"Aug 1, 2012",Away,WSN,-1,W,3.0,2.0,6435,Vance Worley,1841,Edwin Jackson
104,"Aug 2, 2012",Away,WSN,-1,L,0.0,3.0,4972,Cole Hamels,2859,Ross Detwiler
105,"Aug 3, 2012",Home,ARI,-1,L,2.0,4.0,4849,Kyle Kendrick,6986,Ian Kennedy
106,"Aug 4, 2012",Home,ARI,-1,W,3.0,0.0,1303,Roy Halladay,4366,Joe Saunders
107,"Aug 5, 2012",Home,ARI,-1,W,5.0,4.0,1636,Cliff Lee,6249,Trevor Cahill
108,"Aug 6, 2012",Home,ATL,-1,L,1.0,6.0,6435,Vance Worley,710,Ben Sheets
109,"Aug 7, 2012",Home,ATL,-1,W,3.0,0.0,4972,Cole Hamels,10021,Mike Minor
110,"Aug 8, 2012",Home,ATL,-1,L,6.0,12.0,6230,Kyle Kendrick,921,Tim Hudson
111,"Aug 10, 2012",Home,STL,-1,W,3.0,1.0,1303,Roy Halladay,739,Kyle Lohse
112,"Aug 11, 2012",Home,STL,-1,L,1.0,4.0,1636,Cliff Lee,412,Jake Westbrook
113,"Aug 12, 2012",Home,STL,-1,W,8.0,7.0,6435,Vance Worley,2520,Lance Lynn
114,"Aug 13, 2012",Away,MIA,-1,W,4.0,0.0,4972,Cole Hamels,9132,Nathan Eovaldi
115,"Aug 14, 2012",Away,MIA,-1,W,1.0,0.0,6230,Kyle Kendrick,4567,Josh Johnson
116,"Aug 15, 2012",Away,MIA,-1,L,2.0,9.0,1303,Roy Halladay,225,Mark Buehrle
117,"Aug 16, 2012",Away,MIL,-1,L,4.0,7.0,1636,Cliff Lee,1118,Marco Estrada
118,"Aug 17, 2012",Away,MIL,-1,L,2.0,6.0,6435,Vance Worley,8173,Yovani Gallardo
119,"Aug 18, 2012",Away,MIL,-1,W,4.0,3.0,4972,Cole Hamels,7754,Mike Fiers
120,"Aug 19, 2012",Away,MIL,-1,W,8.0,0.0,6230,Kyle Kendrick,976,Randy Wolf
121,"Aug 20, 2012",Home,CIN,-1,W,12.0,5.0,1303,Roy Halladay,10130,Mike Leake
122,"Aug 21, 2012",Home,CIN,-1,L,4.0,5.0,1636,Cliff Lee,8362,Homer Bailey
123,"Aug 22, 2012",Home,CIN,-1,L,2.0,3.0,6435,Vance Worley,978,Bronson Arroyo
124,"Aug 23, 2012",Home,CIN,-1,W,4.0,3.0,4972,Cole Hamels,6893,Johnny Cueto
125,"Aug 24, 2012",Home,WSN,-1,W,4.0,2.0,6230,Kyle Kendrick,1841,Edwin Jackson
126,"Aug 25, 2012",Home,WSN,-1,W,4.0,2.0,1303,Roy Halladay,7448,Gio Gonzalez
127,"Aug 26, 2012",Home,WSN,-1,W,4.0,1.0,1636,Cliff Lee,4505,Jordan Zimmermann
128,"Aug 28, 2012",Home,NYM,-1,L,5.0,9.0,6435,Vance Worley,3196,Chris Young
129,"Aug 29, 2012",Home,NYM,-1,L,2.0,3.0,4972,Tyler Cloyd,11713,Matt Harvey
130,"Aug 30, 2012",Home,NYM,-1,W,3.0,2.0,6230,Kyle Kendrick,4424,Jon Niese
131,"Aug 31, 2012",Away,ATL,-1,W,8.0,5.0,1303,Roy Halladay,10021,Mike Minor
132,"Sep 1, 2012",Away,ATL,-1,W,5.0,1.0,1636,Cliff Lee,921,Tim Hudson
133,"Sep 2, 2012",Away,ATL,-1,L,7.0,8.0,4972,Cole Hamels,8678,Paul Maholm
134,"Sep 3, 2012",Away,CIN,-1,W,4.0,2.0,8536,Tyler Cloyd,6893,Johnny Cueto
135,"Sep 4, 2012",Away,CIN,-1,L,1.0,2.0,6230,Kyle Kendrick,3815,Mat Latos
136,"Sep 5, 2012",Away,CIN,-1,W,6.0,2.0,1303,Roy Halladay,10130,Mike Leake
137,"Sep 7, 2012",Home,COL,-1,W,3.0,2.0,1636,Cliff Lee,4684,Jeff Francis
138,"Sep 9, 2012",Home,COL,-1,W,3.0,2.0,4972,Cole Hamels,4338,Tyler Chatwood
139,"Sep 9, 2012",Home,COL,-1,W,7.0,4.0,8536,Tyler Cloyd,11426,Drew Pomeranz
140,"Sep 10, 2012",Home,MIA,-1,W,3.0,1.0,6230,Kyle Kendrick,5221,Wade LeBlanc
141,"Sep 11, 2012",Home,MIA,-1,W,9.0,7.0,1303,Roy Halladay,9132,Nathan Eovaldi
142,"Sep 12, 2012",Home,MIA,-1,W,3.0,1.0,1636,Cliff Lee,4567,Josh Johnson
143,"Sep 13, 2012",Away,HOU,-1,L,4.0,6.0,8536,Tyler Cloyd,7541,Lucas Harrell
144,"Sep 14, 2012",Away,HOU,-1,W,12.0,6.0,4972,Cole Hamels,1727,Edgar Gonzalez
145,"Sep 15, 2012",Away,HOU,-1,L,0.0,5.0,6230,Kyle Kendrick,9434,Dallas Keuchel
