,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Mar 31, 2014",Home,CHC,61.6,W,1.0,0.0,3201,Francisco Liriano,3254,Jeff Samardzija
1,"Apr 2, 2014",Home,CHC,59.3,W,4.0,3.0,4676,Charlie Morton,1841,Edwin Jackson
2,"Apr 3, 2014",Home,CHC,61.7,L,2.0,3.0,2586,Wandy Rodriguez,4538,Jason Hammel
3,"Apr 4, 2014",Home,STL,53.6,W,12.0,2.0,13125,Gerrit Cole,10197,Shelby Miller
4,"Apr 5, 2014",Home,STL,59.4,L,1.0,6.0,3201,Francisco Liriano,9761,Joe Kelly
5,"Apr 6, 2014",Home,STL,44.6,W,2.0,1.0,3990,Edinson Volquez,2233,Adam Wainwright
6,"Apr 8, 2014",Away,CHC,51.1,W,7.0,6.0,4676,Charlie Morton,1841,Edwin Jackson
7,"Apr 9, 2014",Away,CHC,52.6,L,5.0,7.0,2586,Wandy Rodriguez,4538,Jason Hammel
8,"Apr 10, 2014",Away,CHC,55.4,W,5.0,4.0,13125,Gerrit Cole,9884,Travis Wood
9,"Apr 11, 2014",Away,MIL,54.3,L,2.0,4.0,3201,Francisco Liriano,7738,Wily Peralta
10,"Apr 12, 2014",Away,MIL,43.9,L,2.0,3.0,3990,Edinson Volquez,8173,Yovani Gallardo
11,"Apr 13, 2014",Away,MIL,51.2,L,1.0,4.0,4676,Charlie Morton,739,Kyle Lohse
12,"Apr 14, 2014",Away,CIN,47.6,W,8.0,7.0,2586,Wandy Rodriguez,8362,Homer Bailey
13,"Apr 15, 2014",Away,CIN,54.1,L,5.0,7.0,13125,Gerrit Cole,10130,Mike Leake
14,"Apr 16, 2014",Away,CIN,51.2,L,0.0,4.0,3201,Francisco Liriano,6893,Johnny Cueto
15,"Apr 17, 2014",Home,MIL,52.6,W,11.0,2.0,3990,Edinson Volquez,8173,Yovani Gallardo
16,"Apr 18, 2014",Home,MIL,58.7,L,3.0,5.0,4676,Charlie Morton,739,Kyle Lohse
17,"Apr 19, 2014",Home,MIL,52.9,L,7.0,8.0,2586,Wandy Rodriguez,3340,Matt Garza
18,"Apr 20, 2014",Home,MIL,57.5,L,2.0,3.0,13125,Gerrit Cole,1118,Marco Estrada
19,"Apr 21, 2014",Home,CIN,61.9,W,6.0,5.0,3201,Francisco Liriano,10130,Mike Leake
20,"Apr 22, 2014",Home,CIN,49.6,L,1.0,4.0,3990,Edinson Volquez,6893,Johnny Cueto
21,"Apr 23, 2014",Home,CIN,55.7,L,2.0,5.0,4676,Charlie Morton,2155,Alfredo Simon
22,"Apr 24, 2014",Home,CIN,52.8,L,1.0,2.0,11366,Brandon Cumpton,12555,Tony Cingrani
23,"Apr 25, 2014",Away,STL,47.1,L,0.0,1.0,13125,Gerrit Cole,10197,Shelby Miller
24,"Apr 26, 2014",Away,STL,50.5,W,6.0,1.0,3201,Francisco Liriano,11334,Tyler Lyons
25,"Apr 27, 2014",Away,STL,36.4,L,0.0,7.0,3990,Edinson Volquez,2233,Adam Wainwright
26,"May 1, 2014",Away,BAL,54.3,L,1.0,5.0,4676,Charlie Morton,9492,Bud Norris
27,"May 1, 2014",Away,BAL,47.4,L,5.0,6.0,11366,Brandon Cumpton,5279,Chris Tillman
28,"May 2, 2014",Home,TOR,56.4,W,6.0,5.0,13125,Gerrit Cole,9346,Brandon Morrow
29,"May 3, 2014",Home,TOR,59.4,W,8.0,6.0,3201,Francisco Liriano,1245,R.A. Dickey
30,"May 4, 2014",Home,TOR,54.1,L,2.0,7.0,3990,Edinson Volquez,8600,Dustin McGowan
31,"May 5, 2014",Home,SFG,52.5,L,10.0,11.0,2929,Jeff Locke,4732,Yusmeiro Petit
