,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Apr 5, 2010",Home,TOR,-1,W,5.0,4.0,,Scott Feldman,,Shaun Marcum
1,"Apr 7, 2010",Home,TOR,-1,L,4.0,7.0,,Rich Harden,,Brian Tallet
2,"Apr 8, 2010",Home,TOR,-1,L,1.0,3.0,,C.J. Wilson,,Ricky Romero
3,"Apr 9, 2010",Home,SEA,-1,W,6.0,2.0,,Colby Lewis,,Jason Vargas
4,"Apr 10, 2010",Home,SEA,-1,L,3.0,4.0,,Matt Harrison,,Felix Hernandez
5,"Apr 11, 2010",Home,SEA,-1,W,9.0,2.0,,Scott Feldman,,Ian Snell
6,"Apr 12, 2010",Away,CLE,-1,W,4.0,2.0,,Rich Harden,,Roberto Hernandez
7,"Apr 14, 2010",Away,CLE,-1,W,6.0,2.0,,Colby Lewis,,Justin Masterson
8,"Apr 15, 2010",Away,CLE,-1,L,2.0,3.0,,Matt Harrison,,David Huff
9,"Apr 16, 2010",Away,NYY,-1,L,1.0,5.0,,C.J. Wilson,,CC Sabathia
10,"Apr 17, 2010",Away,NYY,-1,L,3.0,7.0,,Scott Feldman,,A.J. Burnett
11,"Apr 18, 2010",Away,NYY,-1,L,2.0,5.0,,Rich Harden,,Andy Pettitte
12,"Apr 20, 2010",Away,BOS,-1,L,6.0,7.0,,Colby Lewis,,Tim Wakefield
13,"Apr 21, 2010",Away,BOS,-1,L,7.0,8.0,,Matt Harrison,,Josh Beckett
14,"Apr 22, 2010",Away,BOS,-1,W,3.0,0.0,,C.J. Wilson,,Clay Buchholz
15,"Apr 23, 2010",Home,DET,-1,W,5.0,4.0,,Rich Harden,,Max Scherzer
16,"Apr 24, 2010",Home,DET,-1,L,4.0,8.0,,Scott Feldman,,Brad Thomas
17,"Apr 25, 2010",Home,DET,-1,W,8.0,4.0,,Colby Lewis,,Rick Porcello
18,"Apr 26, 2010",Home,DET,-1,L,6.0,8.0,,Matt Harrison,,Jeremy Bonderman
19,"Apr 27, 2010",Home,CHW,-1,W,4.0,2.0,,C.J. Wilson,,Mark Buehrle
20,"Apr 28, 2010",Home,CHW,-1,W,6.0,5.0,,Rich Harden,,Jake Peavy
21,"Apr 29, 2010",Home,CHW,-1,L,5.0,7.0,,Scott Feldman,,Gavin Floyd
22,"Apr 30, 2010",Away,SEA,-1,W,2.0,0.0,,Colby Lewis,,Cliff Lee
23,"May 1, 2010",Away,SEA,-1,W,6.0,3.0,,Matt Harrison,,Felix Hernandez
24,"May 2, 2010",Away,SEA,-1,W,3.0,1.0,,C.J. Wilson,,Doug Fister
25,"May 3, 2010",Away,OAK,-1,W,4.0,2.0,,Rich Harden,,Dallas Braden
26,"May 4, 2010",Away,OAK,-1,L,6.0,7.0,,Scott Feldman,,Vin Mazzaro
27,"May 5, 2010",Away,OAK,-1,L,1.0,4.0,,Colby Lewis,,Trevor Cahill
28,"May 6, 2010",Home,KCR,-1,W,13.0,12.0,,Matt Harrison,,Kyle Davies
29,"May 7, 2010",Home,KCR,-1,W,4.0,1.0,,C.J. Wilson,,Zack Greinke
30,"May 8, 2010",Home,KCR,-1,W,3.0,2.0,,Rich Harden,,Gil Meche
31,"May 9, 2010",Home,KCR,-1,W,6.0,4.0,,Scott Feldman,,Luke Hochevar
32,"May 11, 2010",Home,OAK,-1,L,6.0,7.0,,Colby Lewis,,Trevor Cahill
33,"May 12, 2010",Home,OAK,-1,W,10.0,1.0,,Derek Holland,,Gio Gonzalez
34,"May 13, 2010",Home,OAK,-1,W,2.0,1.0,,C.J. Wilson,,Ben Sheets
35,"May 14, 2010",Away,TOR,-1,L,10.0,16.0,,Rich Harden,,Brett Cecil
36,"May 15, 2010",Away,TOR,-1,L,0.0,6.0,,Scott Feldman,,Ricky Romero
37,"May 16, 2010",Away,TOR,-1,L,2.0,5.0,,Colby Lewis,,Brandon Morrow
38,"May 17, 2010",Home,LAA,-1,W,4.0,3.0,,Derek Holland,,Scott Kazmir
39,"May 18, 2010",Home,LAA,-1,W,8.0,7.0,,C.J. Wilson,,Jered Weaver
40,"May 19, 2010",Home,BAL,-1,W,4.0,3.0,,Rich Harden,,Jeremy Guthrie
41,"May 20, 2010",Home,BAL,-1,W,13.0,7.0,,Scott Feldman,,Brian Matusz
42,"May 21, 2010",Home,CHC,-1,W,2.0,1.0,,Colby Lewis,,Ted Lilly
43,"May 22, 2010",Home,CHC,-1,L,4.0,5.0,,Derek Holland,,Randy Wells
44,"May 23, 2010",Home,CHC,-1,L,4.0,5.0,,C.J. Wilson,,Carlos Silva
45,"May 25, 2010",Away,KCR,-1,W,8.0,7.0,,Rich Harden,,Gil Meche
46,"May 26, 2010",Away,KCR,-1,L,2.0,5.0,,Scott Feldman,,Luke Hochevar
47,"May 28, 2010",Away,MIN,-1,L,1.0,2.0,,Colby Lewis,,Kevin Slowey
48,"May 29, 2010",Away,MIN,-1,L,3.0,8.0,,C.J. Wilson,,Carl Pavano
49,"May 30, 2010",Away,MIN,-1,L,3.0,6.0,,Derek Holland,,Scott Baker
50,"Jun 1, 2010",Away,CHW,-1,W,9.0,6.0,,Rich Harden,,Mark Buehrle
51,"Jun 2, 2010",Away,CHW,-1,W,9.0,5.0,,Scott Feldman,,Gavin Floyd
52,"Jun 3, 2010",Away,CHW,-1,L,3.0,4.0,,Colby Lewis,,Freddy Garcia
53,"Jun 4, 2010",Home,TBR,-1,W,9.0,6.0,,C.J. Wilson,,Wade Davis
54,"Jun 5, 2010",Home,TBR,-1,W,6.0,1.0,,Tommy Hunter,,James Shields
55,"Jun 6, 2010",Home,TBR,-1,L,5.0,9.0,,Rich Harden,,Matt Garza
56,"Jun 7, 2010",Home,SEA,-1,L,2.0,4.0,,Scott Feldman,,Cliff Lee
57,"Jun 8, 2010",Home,SEA,-1,W,7.0,1.0,,Colby Lewis,,Felix Hernandez
58,"Jun 9, 2010",Home,SEA,-1,W,12.0,2.0,,C.J. Wilson,,Ian Snell
59,"Jun 10, 2010",Home,SEA,-1,W,12.0,3.0,,Tommy Hunter,,Ryan Rowland-Smith
60,"Jun 11, 2010",Away,MIL,-1,L,2.0,6.0,,Rich Harden,,Chris Narveson
61,"Jun 12, 2010",Away,MIL,-1,W,4.0,3.0,,Scott Feldman,,Manny Parra
62,"Jun 13, 2010",Away,MIL,-1,W,7.0,2.0,,Colby Lewis,,Yovani Gallardo
63,"Jun 15, 2010",Away,MIA,-1,W,3.0,2.0,,C.J. Wilson,,Josh Johnson
64,"Jun 16, 2010",Away,MIA,-1,W,6.0,3.0,,Tommy Hunter,,Anibal Sanchez
65,"Jun 17, 2010",Away,MIA,-1,W,6.0,4.0,,Dustin Nippert,,Ricky Nolasco
66,"Jun 18, 2010",Away,HOU,-1,W,9.0,3.0,,Scott Feldman,,Wandy Rodriguez
67,"Jun 19, 2010",Away,HOU,-1,W,5.0,1.0,,Colby Lewis,,Brian Moehler
68,"Jun 20, 2010",Away,HOU,-1,W,5.0,4.0,,C.J. Wilson,,Felipe Paulino
69,"Jun 22, 2010",Home,PIT,-1,W,6.0,3.0,,Tommy Hunter,,Ross Ohlendorf
70,"Jun 23, 2010",Home,PIT,-1,W,13.0,3.0,,Dustin Nippert,,Paul Maholm
71,"Jun 24, 2010",Home,PIT,-1,W,6.0,5.0,,Scott Feldman,,Jeff Karstens
72,"Jun 25, 2010",Home,HOU,-1,L,4.0,7.0,,Colby Lewis,,Brian Moehler
73,"Jun 26, 2010",Home,HOU,-1,W,7.0,2.0,,C.J. Wilson,,Josh Banks
74,"Jun 27, 2010",Home,HOU,-1,W,10.0,1.0,,Tommy Hunter,,Roy Oswalt
75,"Jun 29, 2010",Away,LAA,-1,L,5.0,6.0,,Scott Feldman,,Joel Pineiro
76,"Jun 30, 2010",Away,LAA,-1,W,6.0,4.0,,Omar Beltre,,Scott Kazmir
77,"Jul 1, 2010",Away,LAA,-1,L,1.0,2.0,,C.J. Wilson,,Jered Weaver
78,"Jul 2, 2010",Home,CHW,-1,L,3.0,5.0,,Colby Lewis,,Freddy Garcia
79,"Jul 3, 2010",Home,CHW,-1,W,3.0,1.0,,Tommy Hunter,,John Danks
80,"Jul 4, 2010",Home,CHW,-1,L,3.0,5.0,,Scott Feldman,,Mark Buehrle
81,"Jul 5, 2010",Home,CLE,-1,L,3.0,9.0,,Omar Beltre,,Aaron Laffey
82,"Jul 6, 2010",Home,CLE,-1,W,12.0,1.0,,C.J. Wilson,,Justin Masterson
83,"Jul 7, 2010",Home,CLE,-1,W,4.0,3.0,,Colby Lewis,,Mitch Talbot
84,"Jul 8, 2010",Home,BAL,-1,L,4.0,6.0,,Tommy Hunter,,Jeremy Guthrie
85,"Jul 9, 2010",Home,BAL,-1,L,6.0,7.0,,Scott Feldman,,Brian Matusz
86,"Jul 10, 2010",Home,BAL,-1,L,1.0,6.0,,Cliff Lee,,Chris Tillman
87,"Jul 11, 2010",Home,BAL,-1,L,1.0,4.0,,C.J. Wilson,,Jake Arrieta
88,"Jul 15, 2010",Away,BOS,-1,W,7.0,2.0,,Tommy Hunter,,Tim Wakefield
89,"Jul 16, 2010",Away,BOS,-1,W,8.0,4.0,,Colby Lewis,,Felix Doubront
90,"Jul 17, 2010",Away,BOS,-1,L,2.0,3.0,,Cliff Lee,,John Lackey
91,"Jul 18, 2010",Away,BOS,-1,W,4.0,2.0,,C.J. Wilson,,Jon Lester
92,"Jul 19, 2010",Away,DET,-1,W,8.0,6.0,,Scott Feldman,,Jeremy Bonderman
93,"Jul 20, 2010",Away,DET,-1,W,8.0,0.0,,Tommy Hunter,,Armando Galarraga
94,"Jul 21, 2010",Away,DET,-1,L,1.0,4.0,,Colby Lewis,,Max Scherzer
95,"Jul 22, 2010",Home,LAA,-1,W,3.0,2.0,,Cliff Lee,,Jered Weaver
96,"Jul 23, 2010",Home,LAA,-1,W,1.0,0.0,,C.J. Wilson,,Joe Saunders
97,"Jul 24, 2010",Home,LAA,-1,L,2.0,6.0,,Scott Feldman,,Ervin Santana
98,"Jul 25, 2010",Home,LAA,-1,W,6.0,4.0,,Tommy Hunter,,Trevor Bell
99,"Jul 27, 2010",Home,OAK,-1,W,3.0,1.0,,Cliff Lee,,Gio Gonzalez
100,"Jul 28, 2010",Home,OAK,-1,L,1.0,3.0,,Colby Lewis,,Trevor Cahill
