,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Mar 31, 2014",Home,STL,47.3,L,0.0,1.0,6893,Johnny Cueto,2233,Adam Wainwright
1,"Apr 2, 2014",Home,STL,49.3,W,1.0,0.0,12555,Tony Cingrani,14078,Michael Wacha
2,"Apr 3, 2014",Home,STL,49.4,L,6.0,7.0,8362,Homer Bailey,2520,Lance Lynn
3,"Apr 4, 2014",Away,NYM,46.3,L,3.0,4.0,10130,Mike Leake,8476,Jenrry Mejia
4,"Apr 5, 2014",Away,NYM,53.9,L,3.0,6.0,6893,Johnny Cueto,7396,Dillon Gee
5,"Apr 6, 2014",Away,NYM,47.8,W,2.0,1.0,2155,Alfredo Simon,4424,Jon Niese
6,"Apr 7, 2014",Away,STL,41.3,L,3.0,5.0,12555,Tony Cingrani,14078,Michael Wacha
7,"Apr 8, 2014",Away,STL,41.5,L,5.0,7.0,8362,Homer Bailey,2520,Lance Lynn
8,"Apr 9, 2014",Away,STL,38.5,W,4.0,0.0,10130,Mike Leake,10197,Shelby Miller
9,"Apr 11, 2014",Home,TBR,51.2,L,1.0,2.0,6893,Johnny Cueto,3184,David Price
10,"Apr 12, 2014",Home,TBR,50.1,L,0.0,1.0,2155,Alfredo Simon,6562,Alex Cobb
11,"Apr 13, 2014",Home,TBR,56.8,W,12.0,4.0,12555,Tony Cingrani,3357,Cesar Ramos
12,"Apr 14, 2014",Home,PIT,52.4,L,7.0,8.0,8362,Homer Bailey,2586,Wandy Rodriguez
13,"Apr 15, 2014",Home,PIT,45.9,W,7.0,5.0,10130,Mike Leake,13125,Gerrit Cole
14,"Apr 16, 2014",Home,PIT,48.8,W,4.0,0.0,6893,Johnny Cueto,3201,Francisco Liriano
15,"Apr 18, 2014",Away,CHC,45.7,W,4.0,1.0,2155,Alfredo Simon,3254,Jeff Samardzija
16,"Apr 19, 2014",Away,CHC,51.6,L,4.0,8.0,12555,Tony Cingrani,1841,Edwin Jackson
17,"Apr 20, 2014",Away,CHC,51.9,W,8.0,2.0,8362,Homer Bailey,4138,Carlos Villanueva
18,"Apr 21, 2014",Away,PIT,38.1,L,5.0,6.0,10130,Mike Leake,3201,Francisco Liriano
19,"Apr 22, 2014",Away,PIT,50.4,W,4.0,1.0,6893,Johnny Cueto,3990,Edinson Volquez
20,"Apr 23, 2014",Away,PIT,44.4,W,5.0,2.0,2155,Alfredo Simon,4676,Charlie Morton
21,"Apr 24, 2014",Away,PIT,47.3,W,2.0,1.0,12555,Tony Cingrani,11366,Brandon Cumpton
22,"Apr 25, 2014",Away,ATL,41.7,L,4.0,5.0,8362,Homer Bailey,3200,Ervin Santana
23,"Apr 26, 2014",Away,ATL,46.0,L,1.0,4.0,10130,Mike Leake,9756,David Hale
24,"Apr 27, 2014",Away,ATL,46.1,L,0.0,1.0,6893,Johnny Cueto,6797,Julio Teheran
25,"Apr 29, 2014",Home,CHC,53.9,W,3.0,2.0,2155,Alfredo Simon,3254,Jeff Samardzija
26,"Apr 30, 2014",Home,CHC,59.5,L,4.0,9.0,12555,Tony Cingrani,1841,Edwin Jackson
27,"May 1, 2014",Home,MIL,55.2,W,8.0,3.0,8362,Homer Bailey,1118,Marco Estrada
28,"May 2, 2014",Home,MIL,54.2,L,0.0,2.0,10130,Mike Leake,7738,Wily Peralta
29,"May 3, 2014",Home,MIL,60.3,W,6.0,2.0,6893,Johnny Cueto,8173,Yovani Gallardo
30,"May 4, 2014",Home,MIL,56.4,W,4.0,3.0,2155,Alfredo Simon,739,Kyle Lohse
31,"May 6, 2014",Away,BOS,45.9,L,3.0,4.0,8362,Homer Bailey,1478,Felix Doubront
32,"May 7, 2014",Away,BOS,41.0,L,3.0,4.0,10130,Mike Leake,1051,Jake Peavy
33,"May 9, 2014",Home,COL,56.1,W,4.0,3.0,6893,Johnny Cueto,2608,Jhoulys Chacin
34,"May 10, 2014",Home,COL,50.8,L,2.0,11.0,2155,Alfredo Simon,7593,Jordan Lyles
35,"May 11, 2014",Home,COL,53.2,W,4.0,1.0,8362,Homer Bailey,7731,Juan Nicasio
36,"May 13, 2014",Home,SDP,48.4,L,1.0,2.0,10130,Mike Leake,8782,Andrew Cashner
37,"May 15, 2014",Home,SDP,57.0,W,5.0,0.0,6893,Johnny Cueto,6986,Ian Kennedy
38,"May 15, 2014",Home,SDP,49.7,L,1.0,6.0,4684,Jeff Francis,7872,Tyson Ross
39,"May 16, 2014",Away,PHI,47.4,W,3.0,0.0,2155,Alfredo Simon,6230,Kyle Kendrick
40,"May 17, 2014",Away,PHI,43.0,L,1.0,12.0,8362,Homer Bailey,4972,Cole Hamels
41,"May 18, 2014",Away,PHI,43.0,L,3.0,8.0,12555,Tony Cingrani,1636,Cliff Lee
42,"May 19, 2014",Away,WSN,32.7,W,4.0,3.0,10130,Mike Leake,10131,Stephen Strasburg
43,"May 20, 2014",Away,WSN,43.5,L,4.0,9.0,6893,Johnny Cueto,9425,Doug Fister
44,"May 21, 2014",Away,WSN,43.5,W,2.0,1.0,2155,Alfredo Simon,8753,Tanner Roark
45,"May 23, 2014",Home,STL,52.6,W,5.0,3.0,8362,Homer Bailey,10197,Shelby Miller
46,"May 24, 2014",Home,STL,51.4,L,3.0,6.0,12555,Tony Cingrani,8137,Jaime Garcia
47,"May 25, 2014",Home,STL,45.1,L,0.0,4.0,10130,Mike Leake,2233,Adam Wainwright
48,"May 26, 2014",Away,LAD,46.8,L,3.0,4.0,6893,Johnny Cueto,14444,Hyun-Jin Ryu
49,"May 27, 2014",Away,LAD,35.9,L,3.0,6.0,2155,Alfredo Simon,1943,Zack Greinke
50,"May 28, 2014",Away,LAD,33.6,W,3.0,2.0,8362,Homer Bailey,2036,Clayton Kershaw
51,"May 29, 2014",Away,ARI,48.7,L,0.0,4.0,12555,Tony Cingrani,7312,Josh Collmenter
52,"May 30, 2014",Away,ARI,45.9,W,6.0,4.0,10130,Mike Leake,978,Bronson Arroyo
53,"May 31, 2014",Away,ARI,49.0,W,5.0,0.0,6893,Johnny Cueto,4662,Brandon McCarthy
54,"Jun 1, 2014",Away,ARI,41.7,W,4.0,3.0,2155,Alfredo Simon,8779,Wade Miley
55,"Jun 3, 2014",Home,SFG,54.7,W,8.0,3.0,8362,Homer Bailey,5705,Tim Lincecum
56,"Jun 4, 2014",Home,SFG,56.7,L,2.0,3.0,12555,Tony Cingrani,1011,Ryan Vogelsong
57,"Jun 5, 2014",Home,SFG,45.5,L,1.0,6.0,10130,Mike Leake,5524,Madison Bumgarner
58,"Jun 6, 2014",Home,PHI,56.5,L,0.0,8.0,6893,Johnny Cueto,4972,Cole Hamels
59,"Jun 7, 2014",Home,PHI,56.3,W,6.0,5.0,2155,Alfredo Simon,3273,Roberto Hernandez
60,"Jun 8, 2014",Home,PHI,66.7,W,4.0,1.0,8362,Homer Bailey,11176,David Buchanan
61,"Jun 9, 2014",Home,LAD,51.5,L,2.0,6.0,12555,Tony Cingrani,1757,Dan Haren
62,"Jun 10, 2014",Home,LAD,51.7,L,1.0,6.0,10130,Mike Leake,510,Josh Beckett
63,"Jun 11, 2014",Home,LAD,56.8,W,5.0,0.0,6893,Johnny Cueto,14444,Hyun-Jin Ryu
64,"Jun 12, 2014",Home,LAD,42.8,W,4.0,1.0,2155,Alfredo Simon,1943,Zack Greinke
65,"Jun 13, 2014",Away,MIL,47.4,W,6.0,5.0,8362,Homer Bailey,3340,Matt Garza
66,"Jun 14, 2014",Away,MIL,46.2,L,2.0,4.0,3815,Mat Latos,8173,Yovani Gallardo
67,"Jun 15, 2014",Away,MIL,48.3,W,13.0,4.0,10130,Mike Leake,1118,Marco Estrada
68,"Jun 17, 2014",Away,PIT,51.9,W,6.0,5.0,6893,Johnny Cueto,11366,Brandon Cumpton
69,"Jun 18, 2014",Away,PIT,45.2,W,11.0,4.0,2155,Alfredo Simon,3990,Edinson Volquez
70,"Jun 19, 2014",Away,PIT,47.9,L,3.0,4.0,8362,Homer Bailey,2929,Jeff Locke
71,"Jun 20, 2014",Home,TOR,56.1,L,9.0,14.0,3815,Mat Latos,3548,Liam Hendriks
72,"Jun 21, 2014",Home,TOR,56.1,W,11.0,1.0,10130,Mike Leake,7410,J.A. Happ
73,"Jun 22, 2014",Home,TOR,59.7,W,4.0,3.0,6893,Johnny Cueto,1245,R.A. Dickey
74,"Jun 23, 2014",Away,CHC,44.0,W,6.0,1.0,2155,Alfredo Simon,3254,Jeff Samardzija
75,"Jun 24, 2014",Away,CHC,52.8,L,3.0,7.0,8362,Homer Bailey,4153,Jake Arrieta
76,"Jun 25, 2014",Away,CHC,54.9,W,4.0,1.0,3815,Mat Latos,1841,Edwin Jackson
77,"Jun 26, 2014",Away,SFG,49.1,W,3.0,1.0,10130,Mike Leake,1011,Ryan Vogelsong
