,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Apr 6, 2012",Away,HOU,-1,W,5.0,3.0,2072,Jeremy Guthrie,2586,Wandy Rodriguez
1,"Apr 7, 2012",Away,HOU,-1,L,3.0,7.0,1091,Jamie Moyer,7541,Lucas Harrell
2,"Apr 8, 2012",Away,HOU,-1,L,2.0,3.0,7731,Juan Nicasio,9492,Bud Norris
3,"Apr 9, 2012",Home,SFG,-1,L,0.0,7.0,2608,Jhoulys Chacin,944,Barry Zito
4,"Apr 11, 2012",Home,SFG,-1,W,17.0,8.0,2072,Jeremy Guthrie,5705,Tim Lincecum
5,"Apr 12, 2012",Home,SFG,-1,L,2.0,4.0,1091,Jamie Moyer,5524,Madison Bumgarner
6,"Apr 13, 2012",Home,ARI,-1,W,7.0,6.0,7731,Juan Nicasio,7146,Daniel Hudson
7,"Apr 14, 2012",Home,ARI,-1,W,8.0,7.0,2608,Jhoulys Chacin,7312,Josh Collmenter
8,"Apr 15, 2012",Home,ARI,-1,L,2.0,5.0,11426,Drew Pomeranz,6249,Trevor Cahill
9,"Apr 16, 2012",Home,SDP,-1,L,1.0,7.0,2072,Jeremy Guthrie,1984,Cory Luebke
10,"Apr 17, 2012",Home,SDP,-1,W,5.0,3.0,1091,Jamie Moyer,7982,Anthony Bass
11,"Apr 18, 2012",Home,SDP,-1,W,8.0,4.0,7731,Juan Nicasio,3551,Clayton Richard
12,"Apr 20, 2012",Away,MIL,-1,W,4.0,3.0,2608,Jhoulys Chacin,6204,Shaun Marcum
13,"Apr 21, 2012",Away,MIL,-1,L,4.0,9.0,11426,Drew Pomeranz,1118,Marco Estrada
14,"Apr 22, 2012",Away,MIL,-1,W,4.0,1.0,2072,Jeremy Guthrie,8173,Yovani Gallardo
15,"Apr 24, 2012",Away,PIT,-1,L,4.0,5.0,1091,Jamie Moyer,1767,Kevin Correia
16,"Apr 25, 2012",Away,PIT,-1,W,2.0,1.0,7731,Juan Nicasio,5523,James McDonald
17,"Apr 25, 2012",Away,PIT,-1,L,1.0,5.0,2608,Jhoulys Chacin,4676,Charlie Morton
18,"Apr 27, 2012",Home,NYM,-1,W,18.0,9.0,11426,Drew Pomeranz,7851,Chris Schwinden
