,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Apr 3, 2017",Away,MIN,49.1,L,1.0,7.0,3542,Danny Duffy,3200,Ervin Santana
1,"Apr 5, 2017",Away,MIN,49.8,L,1.0,9.0,6986,Ian Kennedy,4026,Hector Santiago
2,"Apr 6, 2017",Away,MIN,46.1,L,3.0,5.0,4538,Jason Hammel,10123,Kyle Gibson
3,"Apr 7, 2017",Away,HOU,37.2,W,5.0,1.0,8044,Jason Vargas,7754,Mike Fiers
4,"Apr 8, 2017",Away,HOU,36.1,W,7.0,3.0,3542,Danny Duffy,9434,Dallas Keuchel
5,"Apr 9, 2017",Away,HOU,33.6,L,4.0,5.0,12638,Nathan Karns,14120,Lance McCullers Jr.
6,"Apr 10, 2017",Home,OAK,50.2,L,0.0,2.0,6986,Ian Kennedy,13654,Jharel Cotton
7,"Apr 12, 2017",Home,OAK,49.2,L,3.0,8.0,4538,Jason Hammel,13533,Andrew Triggs
8,"Apr 13, 2017",Home,OAK,53.9,W,3.0,1.0,8044,Jason Vargas,13287,Jesse Hahn
9,"Apr 14, 2017",Home,LAA,54.5,W,7.0,1.0,3542,Danny Duffy,8302,JC Ramirez
10,"Apr 15, 2017",Home,LAA,49.3,W,3.0,2.0,12638,Nathan Karns,4776,Matt Shoemaker
11,"Apr 16, 2017",Home,LAA,48.8,W,1.0,0.0,6986,Ian Kennedy,10190,Tyler Skaggs
12,"Apr 18, 2017",Home,SFG,51.3,L,1.0,2.0,4538,Jason Hammel,4732,Matt Cain
13,"Apr 19, 2017",Home,SFG,41.7,W,2.0,0.0,8044,Jason Vargas,5524,Madison Bumgarner
14,"Apr 20, 2017",Away,TEX,50.8,L,0.0,1.0,3542,Danny Duffy,8782,Andrew Cashner
15,"Apr 21, 2017",Away,TEX,40.1,L,2.0,6.0,12638,Nathan Karns,4972,Cole Hamels
16,"Apr 22, 2017",Away,TEX,46.1,L,1.0,2.0,6986,Ian Kennedy,12730,Nick Martinez
17,"Apr 23, 2017",Away,TEX,36.2,L,2.0,5.0,4538,Jason Hammel,13074,Yu Darvish
18,"Apr 24, 2017",Away,CHW,53.2,L,1.0,12.0,8044,Jason Vargas,7024,Miguel Gonzalez
19,"Apr 25, 2017",Away,CHW,59.6,L,5.0,10.0,3542,Danny Duffy,14825,Dylan Covey
20,"Apr 26, 2017",Away,CHW,43.0,L,2.0,5.0,12638,Nathan Karns,11423,Jose Quintana
21,"Apr 28, 2017",Home,MIN,54.4,L,4.0,6.0,6986,Ian Kennedy,10123,Kyle Gibson
22,"Apr 30, 2017",Home,MIN,53.5,L,5.0,7.0,4538,Jason Hammel,7450,Phil Hughes
23,"May 1, 2017",Home,CHW,66.7,W,6.0,1.0,8044,Jason Vargas,14825,Dylan Covey
24,"May 2, 2017",Home,CHW,53.3,L,0.0,6.0,3542,Danny Duffy,11423,Jose Quintana
25,"May 3, 2017",Home,CHW,61.0,W,6.0,1.0,12638,Nathan Karns,5203,Mike Pelfrey
26,"May 4, 2017",Home,CHW,58.1,L,3.0,8.0,6986,Ian Kennedy,4141,Derek Holland
27,"May 5, 2017",Home,CLE,40.7,W,3.0,1.0,4538,Jason Hammel,5867,Danny Salazar
28,"May 6, 2017",Home,CLE,49.4,L,1.0,3.0,8044,Jason Vargas,9388,Josh Tomlin
29,"May 7, 2017",Home,CLE,48.7,L,0.0,1.0,3542,Danny Duffy,12808,Mike Clevinger
30,"May 8, 2017",Away,TBR,39.6,W,7.0,3.0,12638,Nathan Karns,13543,Blake Snell
31,"May 9, 2017",Away,TBR,37.9,W,7.0,6.0,3196,Chris Young,12022,Matt Andriese
32,"May 10, 2017",Away,TBR,37.2,L,1.0,12.0,4538,Jason Hammel,6345,Chris Archer
33,"May 11, 2017",Away,TBR,45.2,W,6.0,0.0,8044,Jason Vargas,6397,Jake Odorizzi
34,"May 12, 2017",Home,BAL,54.4,W,3.0,2.0,3542,Danny Duffy,12917,Dylan Bundy
35,"May 13, 2017",Home,BAL,49.8,W,4.0,3.0,12638,Nathan Karns,5279,Chris Tillman
36,"May 14, 2017",Home,BAL,43.7,W,9.0,8.0,3196,Chris Young,14107,Kevin Gausman
37,"May 16, 2017",Home,NYY,48.8,L,1.0,7.0,4538,Jason Hammel,404,CC Sabathia
38,"May 17, 2017",Home,NYY,45.1,L,7.0,11.0,8044,Jason Vargas,5372,Michael Pineda
39,"May 18, 2017",Home,NYY,51.7,W,5.0,1.0,3542,Danny Duffy,16511,Jordan Montgomery
40,"May 19, 2017",Away,MIN,49.0,L,3.0,4.0,12638,Nathan Karns,4026,Hector Santiago
41,"May 21, 2017",Away,MIN,45.1,W,6.0,4.0,13619,Jakob Junis,7450,Phil Hughes
42,"May 21, 2017",Away,MIN,45.8,L,4.0,8.0,6986,Ian Kennedy,13188,Adalberto Mejia
43,"May 22, 2017",Away,NYY,37.4,L,2.0,4.0,8044,Jason Vargas,5372,Michael Pineda
44,"May 23, 2017",Away,NYY,45.8,W,6.0,2.0,3542,Danny Duffy,16511,Jordan Montgomery
45,"May 24, 2017",Away,NYY,35.6,L,0.0,3.0,4538,Jason Hammel,15890,Luis Severino
46,"May 26, 2017",Away,CLE,38.9,W,6.0,4.0,6986,Ian Kennedy,12808,Mike Clevinger
47,"May 27, 2017",Away,CLE,37.0,W,5.0,2.0,8044,Jason Vargas,5867,Danny Salazar
48,"May 28, 2017",Away,CLE,45.3,L,1.0,10.0,3542,Danny Duffy,9388,Josh Tomlin
49,"May 29, 2017",Home,DET,48.8,L,7.0,10.0,4538,Jason Hammel,13475,Daniel Norris
50,"May 30, 2017",Home,DET,48.5,W,1.0,0.0,16155,Eric Skoglund,8700,Justin Verlander
51,"May 31, 2017",Home,DET,51.5,L,5.0,6.0,6986,Ian Kennedy,15440,Matt Boyd
