,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Apr 4, 2016",Away,OAK,50.8,W,4.0,3.0,10603,Chris Sale,4806,Rich Hill
1,"Apr 5, 2016",Away,OAK,44.6,W,5.0,4.0,11423,Jose Quintana,12304,Chris Bassitt
2,"Apr 6, 2016",Away,OAK,43.1,L,1.0,2.0,16137,Carlos Rodon,12768,Sonny Gray
3,"Apr 7, 2016",Away,OAK,45.8,W,6.0,1.0,3815,Mat Latos,15514,Kendall Graveman
4,"Apr 8, 2016",Home,CLE,44.7,L,1.0,7.0,6329,John Danks,5867,Danny Salazar
5,"Apr 9, 2016",Home,CLE,65.4,W,7.0,3.0,10603,Chris Sale,12799,Cody Anderson
6,"Apr 11, 2016",Away,MIN,50.5,W,4.0,1.0,11423,Jose Quintana,10123,Kyle Gibson
7,"Apr 13, 2016",Away,MIN,49.0,W,3.0,0.0,16137,Carlos Rodon,7450,Phil Hughes
8,"Apr 14, 2016",Away,MIN,44.6,W,3.0,1.0,3815,Mat Latos,3200,Ervin Santana
9,"Apr 15, 2016",Away,TBR,54.1,W,1.0,0.0,10603,Chris Sale,6397,Jake Odorizzi
10,"Apr 16, 2016",Away,TBR,42.2,L,2.0,7.0,6329,John Danks,10314,Erasmo Ramirez
11,"Apr 17, 2016",Away,TBR,51.9,L,2.0,3.0,11423,Jose Quintana,1890,Matt Moore
12,"Apr 18, 2016",Home,LAA,56.5,L,0.0,7.0,16137,Carlos Rodon,4026,Hector Santiago
13,"Apr 19, 2016",Home,LAA,51.4,W,5.0,0.0,3815,Mat Latos,4776,Matt Shoemaker
14,"Apr 20, 2016",Home,LAA,57.7,W,2.0,1.0,10603,Chris Sale,9784,Garrett Richards
15,"Apr 21, 2016",Home,LAA,53.6,L,2.0,3.0,6329,John Danks,4235,Jered Weaver
16,"Apr 22, 2016",Home,TEX,60.4,W,5.0,0.0,11423,Jose Quintana,6902,Martin Perez
17,"Apr 23, 2016",Home,TEX,60.9,W,4.0,3.0,16137,Carlos Rodon,1259,Colby Lewis
18,"Apr 24, 2016",Home,TEX,53.1,W,4.0,1.0,3815,Mat Latos,4141,Derek Holland
19,"Apr 25, 2016",Away,TOR,37.6,W,7.0,5.0,7024,Miguel Gonzalez,13431,Marcus Stroman
20,"Apr 26, 2016",Away,TOR,54.1,W,10.0,1.0,10603,Chris Sale,1245,R.A. Dickey
21,"Apr 27, 2016",Away,TOR,47.9,W,4.0,0.0,11423,Jose Quintana,1118,Marco Estrada
22,"Apr 28, 2016",Away,BAL,43.2,L,2.0,10.0,6329,John Danks,12691,Tyler Wilson
23,"Apr 29, 2016",Away,BAL,49.2,L,3.0,6.0,16137,Carlos Rodon,12586,Mike Wright
24,"Apr 30, 2016",Away,BAL,37.1,W,8.0,7.0,3815,Mat Latos,14107,Kevin Gausman
25,"May 1, 2016",Away,BAL,52.1,W,7.0,1.0,10603,Chris Sale,3374,Ubaldo Jimenez
26,"May 3, 2016",Home,BOS,56.1,W,4.0,1.0,11423,Jose Quintana,8185,Steven Wright
27,"May 4, 2016",Home,BOS,49.4,L,2.0,5.0,16137,Carlos Rodon,3543,Clay Buchholz
28,"May 5, 2016",Home,BOS,49.0,L,3.0,7.0,12520,Erik Johnson,13143,Henry Owens
29,"May 6, 2016",Home,MIN,53.2,W,10.0,4.0,3815,Mat Latos,3830,Ricky Nolasco
30,"May 7, 2016",Home,MIN,66.3,W,7.0,2.0,10603,Chris Sale,3200,Ervin Santana
31,"May 8, 2016",Home,MIN,63.1,W,3.0,1.0,11423,Jose Quintana,13758,Tyler Duffey
32,"May 9, 2016",Away,TEX,47.7,W,8.0,4.0,7024,Miguel Gonzalez,1259,Colby Lewis
33,"May 10, 2016",Away,TEX,51.9,L,11.0,13.0,16137,Carlos Rodon,4141,Derek Holland
34,"May 11, 2016",Away,TEX,41.5,L,5.0,6.0,3815,Mat Latos,4972,Cole Hamels
35,"May 13, 2016",Away,NYY,52.8,W,7.0,1.0,10603,Chris Sale,15890,Luis Severino
36,"May 14, 2016",Away,NYY,51.5,L,1.0,2.0,11423,Jose Quintana,1994,Ivan Nova
37,"May 15, 2016",Away,NYY,35.7,L,5.0,7.0,7024,Miguel Gonzalez,15764,Masahiro Tanaka
38,"May 17, 2016",Home,HOU,46.7,L,5.0,6.0,16137,Carlos Rodon,9434,Dallas Keuchel
39,"May 18, 2016",Home,HOU,49.8,L,3.0,5.0,3815,Mat Latos,9425,Doug Fister
40,"May 19, 2016",Home,HOU,58.1,W,2.0,1.0,10603,Chris Sale,7531,Collin McHugh
41,"May 20, 2016",Home,KCR,62.3,L,1.0,4.0,11423,Jose Quintana,7396,Dillon Gee
42,"May 21, 2016",Home,KCR,46.4,L,1.0,2.0,7024,Miguel Gonzalez,3542,Danny Duffy
43,"May 22, 2016",Home,KCR,54.1,W,3.0,2.0,16137,Carlos Rodon,11855,Yordano Ventura
44,"May 23, 2016",Home,CLE,54.5,W,7.0,6.0,3815,Mat Latos,12808,Mike Clevinger
45,"May 23, 2016",Home,CLE,51.8,L,1.0,5.0,12520,Erik Johnson,12799,Cody Anderson
46,"May 24, 2016",Home,CLE,66.0,L,2.0,6.0,10603,Chris Sale,9388,Josh Tomlin
47,"May 25, 2016",Home,CLE,51.2,L,3.0,4.0,11423,Jose Quintana,2429,Corey Kluber
