,Name1,Name2,Team,BAvg1,BAvg2,BO Differance,Corr,Count
0,Juan Graterol,Juan Graterol,Angels,0.222,0.222,0.0,1.0,58
1,Juan Graterol,Andrelton Simmons,Angels,0.222,0.268,2.2798997282712694,0.1287242244881289,56
2,Juan Graterol,Francisco Arcia,Angels,0.222,0.28,0.9400656814449917,0.13137774837254515,0
3,Juan Graterol,David Fletcher,Angels,0.222,0.278,3.3051450465243573,0.12838070106270388,0
4,Juan Graterol,Justin Upton,Angels,0.222,0.26899999999999996,3.933482266926054,0.12683970811271994,16
5,Juan Graterol,Rene Rivera,Angels,0.222,0.221,0.11122917666415333,0.12717777952890794,1
6,Juan Graterol,Eric Young Jr.,Angels,0.222,0.247,3.3323275862068966,0.12562204302206897,21
7,Juan Graterol,Martin Maldonado,Angels,0.222,0.21899999999999997,0.2967668779438277,0.12678057669731346,28
8,Juan Graterol,Jefry Marte,Angels,0.222,0.22,1.9787187995960185,0.1248622201870899,16
9,Juan Graterol,Luis Valbuena,Angels,0.222,0.226,1.904057596078565,0.12547893717709363,40
10,Juan Graterol,Chris Young,Angels,0.222,0.235,3.014793456514064,0.12494549419333176,1
11,Juan Graterol,Kaleb Cowart,Angels,0.222,0.188,0.5354750682212854,0.12376960239962292,28
12,Juan Graterol,Jabari Blash,Angels,0.222,0.192,0.9588626739261947,0.12361634080803388,0
13,Juan Graterol,Mike Trout,Angels,0.222,0.306,5.470429126149149,0.12826026816116426,42
14,Juan Graterol,Jose Briceno,Angels,0.222,0.29100000000000004,0.044827586206896974,0.13341299740206897,0
15,Juan Graterol,Jose  Miguel Fernandez,Angels,0.222,0.27899999999999997,1.6305418719211824,0.13046617773349753,0
16,Juan Graterol,Shohei Ohtani,Angels,0.222,0.275,2.9827586206896557,0.12850142742689655,0
17,Juan Graterol,Albert Pujols,Angels,0.222,0.302,4.542415712366452,0.1290154676016608,49
18,Juan Graterol,Ian Kinsler,Angels,0.222,0.272,5.63350471625174,0.12507568239426625,1
19,Juan Graterol,Kole Calhoun,Angels,0.222,0.256,4.796542961048066,0.12466695553434343,56
20,Juan Graterol,Zack Cozart,Angels,0.222,0.251,3.831094752249344,0.12537886567572687,1
21,Juan Graterol,Ryan Schimpf,Angels,0.222,0.195,2.3346235045742434,0.12223910731880366,0
22,Juan Graterol,Taylor Ward,Angels,0.222,0.182,0.3832891246684351,0.1234234777605305,0
23,Juan Graterol,Michael Hermosillo,Angels,0.222,0.154,0.2139959432048677,0.1211630128791075,0
24,Juan Graterol,Nolan Fontana,Angels,0.222,0.065,1.6448275862068966,0.11162933088206897,4
25,Andrelton Simmons,Andrelton Simmons,Angels,0.268,0.268,0.0,1.0,909
26,Andrelton Simmons,Francisco Arcia,Angels,0.268,0.28,1.3398340468262777,0.14056510963558375,19
27,Andrelton Simmons,David Fletcher,Angels,0.268,0.278,1.0252453182530878,0.140764477614575,59
28,Andrelton Simmons,Justin Upton,Angels,0.268,0.26899999999999996,1.6535825386547844,0.10250265137525712,433
29,Andrelton Simmons,Rene Rivera,Angels,0.268,0.221,2.168670551607116,0.13438780211922097,29
30,Andrelton Simmons,Eric Young Jr.,Angels,0.268,0.247,1.0524278579356272,0.13800581957394006,105
31,Andrelton Simmons,Martin Maldonado,Angels,0.268,0.21899999999999997,1.9831328503274417,0.20520686771784316,206
32,Andrelton Simmons,Jefry Marte,Angels,0.268,0.22,0.3011809286752509,0.13652747542103902,182
33,Andrelton Simmons,Luis Valbuena,Angels,0.268,0.226,0.37584213219270435,0.13696607467103525,199
34,Andrelton Simmons,Chris Young,Angels,0.268,0.235,0.7348937282427945,0.13732927074520285,49
35,Andrelton Simmons,Kaleb Cowart,Angels,0.268,0.188,1.744424660049984,0.131991739928506,94
36,Andrelton Simmons,Jabari Blash,Angels,0.268,0.192,1.3210370543450747,0.13284854568009502,12
37,Andrelton Simmons,Mike Trout,Angels,0.268,0.306,3.1905293978778797,0.10275016488693735,336
38,Andrelton Simmons,Jose Briceno,Angels,0.268,0.29100000000000004,2.2350721420643724,0.14046460704605995,26
39,Andrelton Simmons,Jose  Miguel Fernandez,Angels,0.268,0.27899999999999997,0.649357856350087,0.14130079423463138,7
40,Andrelton Simmons,Shohei Ohtani,Angels,0.268,0.275,0.7028588924183863,0.14088520397876764,83
41,Andrelton Simmons,Albert Pujols,Angels,0.268,0.302,2.2625159840951823,0.052358651187534494,364
42,Andrelton Simmons,Ian Kinsler,Angels,0.268,0.272,3.3536049879804706,0.13745945894613737,80
43,Andrelton Simmons,Kole Calhoun,Angels,0.268,0.256,2.5166432327767962,0.0762389799424872,378
44,Andrelton Simmons,Zack Cozart,Angels,0.268,0.251,1.5511950239780745,0.137762642227598,48
45,Andrelton Simmons,Ryan Schimpf,Angels,0.268,0.195,0.05472377630297398,0.13462288387067478,5
46,Andrelton Simmons,Taylor Ward,Angels,0.268,0.182,1.8966106036028343,0.1312825483275984,13
47,Andrelton Simmons,Michael Hermosillo,Angels,0.268,0.154,2.493895671476137,0.1281076782472364,14
48,Andrelton Simmons,Nolan Fontana,Angels,0.268,0.065,0.6350721420643728,0.12249802852605993,14
49,Francisco Arcia,Francisco Arcia,Angels,0.28,0.28,0.0,1.0,21
50,Francisco Arcia,David Fletcher,Angels,0.28,0.278,2.3650793650793656,0.14168737109015872,21
51,Francisco Arcia,Justin Upton,Angels,0.28,0.26899999999999996,2.993416585481062,0.14014637814017478,15
52,Francisco Arcia,Rene Rivera,Angels,0.28,0.221,0.8288365047808384,0.13850711088363724,4
53,Francisco Arcia,Eric Young Jr.,Angels,0.28,0.247,2.392261904761905,0.1389287130495238,18
54,Francisco Arcia,Martin Maldonado,Angels,0.28,0.21899999999999997,0.643298803501164,0.13855254163523167,0
55,Francisco Arcia,Jefry Marte,Angels,0.28,0.22,1.0386531181510268,0.13816889021454476,16
56,Francisco Arcia,Luis Valbuena,Angels,0.28,0.226,0.9639919146335734,0.1387856072045485,5
57,Francisco Arcia,Chris Young,Angels,0.28,0.235,2.0747277750690722,0.13825216422078662,0
58,Francisco Arcia,Kaleb Cowart,Angels,0.28,0.188,0.40459061322370626,0.13611104869292223,13
59,Francisco Arcia,Jabari Blash,Angels,0.28,0.192,0.018796992481203034,0.13692301083548875,1
60,Francisco Arcia,Mike Trout,Angels,0.28,0.306,4.530363444704157,0.1415669381886191,9
61,Francisco Arcia,Jose Briceno,Angels,0.28,0.29100000000000004,0.8952380952380947,0.1445839158104762,7
62,Francisco Arcia,Jose  Miguel Fernandez,Angels,0.28,0.27899999999999997,0.6904761904761907,0.14377284776095237,2
63,Francisco Arcia,Shohei Ohtani,Angels,0.28,0.275,2.042692939244664,0.1418080974543514,20
64,Francisco Arcia,Albert Pujols,Angels,0.28,0.302,3.60235003092146,0.14232213762911564,19
65,Francisco Arcia,Ian Kinsler,Angels,0.28,0.272,4.693439034806748,0.13838235242172112,3
66,Francisco Arcia,Kole Calhoun,Angels,0.28,0.256,3.856477279603074,0.13797362556179826,21
67,Francisco Arcia,Zack Cozart,Angels,0.28,0.251,2.8910290708043522,0.13868553570318173,0
68,Francisco Arcia,Ryan Schimpf,Angels,0.28,0.195,1.3945578231292517,0.1355457773462585,0
69,Francisco Arcia,Taylor Ward,Angels,0.28,0.182,0.5567765567765566,0.13540185709201463,9
70,Francisco Arcia,Michael Hermosillo,Angels,0.28,0.154,1.1540616246498594,0.13222698701165264,0
71,Francisco Arcia,Nolan Fontana,Angels,0.28,0.065,0.7047619047619049,0.12493600090952381,0
72,David Fletcher,David Fletcher,Angels,0.278,0.278,0.0,1.0,63
73,David Fletcher,Justin Upton,Angels,0.278,0.26899999999999996,0.6283372204016966,0.14254735589001605,54
74,David Fletcher,Rene Rivera,Angels,0.278,0.221,3.193915869860204,0.13526576609379595,8
75,David Fletcher,Eric Young Jr.,Angels,0.278,0.247,0.027182539682539364,0.14132969079936508,26
76,David Fletcher,Martin Maldonado,Angels,0.278,0.21899999999999997,3.0083781685805295,0.1353111968453904,26
77,David Fletcher,Jefry Marte,Angels,0.278,0.22,1.3264262469283388,0.137405439395614,34
78,David Fletcher,Luis Valbuena,Angels,0.278,0.226,1.4010874504457922,0.13784403864561023,36
79,David Fletcher,Chris Young,Angels,0.278,0.235,0.2903515900102933,0.13996045598937212,14
80,David Fletcher,Kaleb Cowart,Angels,0.278,0.188,2.769669978303072,0.13286970390308095,21
81,David Fletcher,Jabari Blash,Angels,0.278,0.192,2.3462823725981625,0.13372650965467003,10
82,David Fletcher,Mike Trout,Angels,0.278,0.306,2.165284079624792,0.14396791593846037,44
83,David Fletcher,Jose Briceno,Angels,0.278,0.29100000000000004,3.2603174603174603,0.1413425710206349,24
84,David Fletcher,Jose  Miguel Fernandez,Angels,0.278,0.27899999999999997,1.6746031746031749,0.14217875820920634,9
85,David Fletcher,Shohei Ohtani,Angels,0.278,0.275,0.32238642583470156,0.14343996435580736,44
86,David Fletcher,Albert Pujols,Angels,0.278,0.302,1.2372706658420944,0.14472311537895693,54
87,David Fletcher,Ian Kinsler,Angels,0.278,0.272,2.3283596697273827,0.14078333017156242,35
88,David Fletcher,Kole Calhoun,Angels,0.278,0.256,1.4913979145237084,0.14037460331163953,58
89,David Fletcher,Zack Cozart,Angels,0.278,0.251,0.5259497057249867,0.14108651345302303,1
90,David Fletcher,Ryan Schimpf,Angels,0.278,0.195,0.9705215419501139,0.13563140126390022,0
91,David Fletcher,Taylor Ward,Angels,0.278,0.182,2.921855921855922,0.1321605123021734,13
92,David Fletcher,Michael Hermosillo,Angels,0.278,0.154,3.519140989729225,0.12898564222181141,5
93,David Fletcher,Nolan Fontana,Angels,0.278,0.065,1.6603174603174606,0.12337599250063491,2
94,Justin Upton,Justin Upton,Angels,0.26899999999999996,0.26899999999999996,0.0,1.0,1639
95,Justin Upton,Rene Rivera,Angels,0.26899999999999996,0.221,3.8222530902619005,0.13262543448381198,25
96,Justin Upton,Eric Young Jr.,Angels,0.26899999999999996,0.247,0.6011546807191572,0.13875420803065094,30
97,Justin Upton,Martin Maldonado,Angels,0.26899999999999996,0.21899999999999997,3.636715388982226,0.13267086523540644,98
98,Justin Upton,Jefry Marte,Angels,0.26899999999999996,0.22,1.9547634673300354,0.13476510778563003,65
99,Justin Upton,Luis Valbuena,Angels,0.26899999999999996,0.226,2.029424670847489,0.13520370703562629,119
100,Justin Upton,Chris Young,Angels,0.26899999999999996,0.235,0.9186888104119899,0.029639170587644377,702
101,Justin Upton,Kaleb Cowart,Angels,0.26899999999999996,0.188,3.3980071987047684,0.130229372293097,37
102,Justin Upton,Jabari Blash,Angels,0.26899999999999996,0.192,2.974619592999859,0.13108617804468603,13
103,Justin Upton,Mike Trout,Angels,0.26899999999999996,0.306,1.5369468592230953,0.14282659586844432,133
104,Justin Upton,Jose Briceno,Angels,0.26899999999999996,0.29100000000000004,3.888654680719157,0.13870223941065096,30
105,Justin Upton,Jose  Miguel Fernandez,Angels,0.26899999999999996,0.27899999999999997,2.3029403950048715,0.1395384265992224,13
106,Justin Upton,Shohei Ohtani,Angels,0.26899999999999996,0.275,0.9507236462363982,0.14079963274582336,77
107,Justin Upton,Albert Pujols,Angels,0.26899999999999996,0.302,0.6089334454403978,0.14358179530894088,133
108,Justin Upton,Ian Kinsler,Angels,0.26899999999999996,0.272,1.7000224493256861,0.054919327112178576,342
109,Justin Upton,Kole Calhoun,Angels,0.26899999999999996,0.256,0.8630606941220118,0.13923328324162348,128
110,Justin Upton,Zack Cozart,Angels,0.26899999999999996,0.251,0.10238751467670992,0.13970092953699303,56
111,Justin Upton,Ryan Schimpf,Angels,0.26899999999999996,0.195,1.5988587623518105,0.13299106965391624,5
112,Justin Upton,Taylor Ward,Angels,0.26899999999999996,0.182,3.5501931422576187,0.1295201806921894,5
113,Justin Upton,Michael Hermosillo,Angels,0.26899999999999996,0.154,4.147478210130922,0.1263453106118274,16
114,Justin Upton,Nolan Fontana,Angels,0.26899999999999996,0.065,2.2886546807191572,0.12073566089065095,12
115,Rene Rivera,Rene Rivera,Angels,0.221,0.221,0.0,1.0,505
116,Rene Rivera,Eric Young Jr.,Angels,0.221,0.247,3.2210984095427433,0.125544629873161,8
117,Rene Rivera,Martin Maldonado,Angels,0.221,0.21899999999999997,0.1855377012796744,0.12670316354840555,8
118,Rene Rivera,Jefry Marte,Angels,0.221,0.22,1.8674896229318652,0.12478480703818196,22
119,Rene Rivera,Luis Valbuena,Angels,0.221,0.226,1.7928284194144117,0.12540152402818572,20
120,Rene Rivera,Chris Young,Angels,0.221,0.235,2.9035642798499106,0.12486808104442383,12
121,Rene Rivera,Kaleb Cowart,Angels,0.221,0.188,0.4242458915571321,0.12369218925071498,3
122,Rene Rivera,Jabari Blash,Angels,0.221,0.192,0.8476334972620414,0.12353892765912594,3
123,Rene Rivera,Mike Trout,Angels,0.221,0.306,5.359199949484996,0.12818285501225632,25
124,Rene Rivera,Jose Briceno,Angels,0.221,0.29100000000000004,0.06640159045725635,0.13317717130683898,0
125,Rene Rivera,Jose  Miguel Fernandez,Angels,0.221,0.27899999999999997,1.519312695257029,0.1303887645845896,0
126,Rene Rivera,Shohei Ohtani,Angels,0.221,0.275,2.8715294440255024,0.1284240142779886,21
127,Rene Rivera,Albert Pujols,Angels,0.221,0.302,4.431186535702299,0.12893805445275286,28
128,Rene Rivera,Ian Kinsler,Angels,0.221,0.272,5.522275539587587,0.12499826924535834,15
129,Rene Rivera,Kole Calhoun,Angels,0.221,0.256,4.685313784383912,0.12458954238543549,24
130,Rene Rivera,Zack Cozart,Angels,0.221,0.251,3.7198655755851906,0.12530145252681896,20
