,Name1,Name2,Team,BAvg1,BAvg2,BO Differance,Corr,Count
0,Lorenzo Cain,Lorenzo Cain,Brewers,0.293,0.293,0.0,1.0,901
1,Lorenzo Cain,Mike Moustakas,Brewers,0.293,0.252,1.4233256334573867,0.10839468959939666,618
2,Lorenzo Cain,Erik Kratz,Brewers,0.293,0.215,3.7152297873947355,0.13726764028040406,52
3,Lorenzo Cain,Jonathan Villar,Brewers,0.293,0.257,0.7718539781445632,0.14447222352071004,72
4,Lorenzo Cain,Ryan Braun,Brewers,0.293,0.299,0.4045588746474471,0.14860395465196552,126
5,Lorenzo Cain,Travis Shaw,Brewers,0.293,0.257,1.3433204467353952,0.14379055545831615,112
6,Lorenzo Cain,Ji-Man Choi,Brewers,0.293,0.223,2.514570446735395,0.13940337892831614,11
7,Lorenzo Cain,Eric Thames,Brewers,0.293,0.244,0.29608943407716737,0.14389647523945537,60
8,Lorenzo Cain,Jonathan Schoop,Brewers,0.293,0.259,2.357928994390463,0.14275617583833128,24
9,Lorenzo Cain,Keon Broxton,Brewers,0.293,0.22399999999999998,2.780820446735395,0.13917372829831615,19
10,Lorenzo Cain,Jett Bandy,Brewers,0.293,0.218,3.502775574940524,0.13778489322318793,21
11,Lorenzo Cain,Christian Yelich,Brewers,0.293,0.295,1.1024334954459452,0.14741972980929224,107
12,Lorenzo Cain,Jesus Aguilar,Brewers,0.293,0.264,1.641006432894565,0.14405106484658603,106
13,Lorenzo Cain,Hernan Perez,Brewers,0.293,0.258,2.100284732449681,0.1429755611997447,94
14,Lorenzo Cain,Tyler Saladino,Brewers,0.293,0.235,1.9046057824244413,0.14118628541849282,32
15,Lorenzo Cain,Manny Pina,Brewers,0.293,0.265,3.1736970842899805,0.14231075314997554,72
16,Lorenzo Cain,Domingo Santana,Brewers,0.293,0.259,1.10732906742505,0.1442479414552127,58
17,Lorenzo Cain,Brad Miller,Brewers,0.293,0.239,1.5775116232059836,0.14192822849537495,16
18,Lorenzo Cain,Orlando Arcia,Brewers,0.293,0.247,3.8529757623500127,0.13991750801163838,81
19,Lorenzo Cain,Jacob Nottingham,Brewers,0.293,0.2,4.374570446735396,0.13516200706831613,8
20,Lorenzo Cain,Brett Phillips,Brewers,0.293,0.226,3.7079037800687282,0.1382437522549828,14
21,Lorenzo Cain,Eric Sogard,Brewers,0.293,0.23800000000000002,3.5697759261874498,0.13946383292420655,44
22,Mike Moustakas,Mike Moustakas,Brewers,0.252,0.252,0.0,1.0,994
23,Mike Moustakas,Erik Kratz,Brewers,0.252,0.215,2.291904153937349,0.13035167786901736,34
24,Mike Moustakas,Jonathan Villar,Brewers,0.252,0.257,0.6514716553128235,0.13600205821067665,0
25,Mike Moustakas,Ryan Braun,Brewers,0.252,0.299,1.8278845081048338,0.13829239274335223,23
26,Mike Moustakas,Travis Shaw,Brewers,0.252,0.257,0.08000518672199153,0.13668372627307052,27
27,Mike Moustakas,Ji-Man Choi,Brewers,0.252,0.223,1.0912448132780082,0.13248741651692947,0
28,Mike Moustakas,Eric Thames,Brewers,0.252,0.244,1.1272361993802194,0.1342912879719313,22
29,Mike Moustakas,Jonathan Schoop,Brewers,0.252,0.259,0.9346033609330764,0.13584021342694458,24
30,Mike Moustakas,Keon Broxton,Brewers,0.252,0.22399999999999998,1.3574948132780085,0.13225776588692945,6
31,Mike Moustakas,Jett Bandy,Brewers,0.252,0.218,2.079449941483137,0.13086893081180123,0
32,Mike Moustakas,Christian Yelich,Brewers,0.252,0.295,2.525759128903332,0.13710816790067892,28
33,Mike Moustakas,Jesus Aguilar,Brewers,0.252,0.264,0.21768079943717833,0.13713510243519936,28
34,Mike Moustakas,Hernan Perez,Brewers,0.252,0.258,0.6769590989922945,0.13605959878835802,25
35,Mike Moustakas,Tyler Saladino,Brewers,0.252,0.235,0.4812801489670546,0.13427032300710615,1
36,Mike Moustakas,Manny Pina,Brewers,0.252,0.265,1.7503714508325938,0.13539479073858884,22
37,Mike Moustakas,Domingo Santana,Brewers,0.252,0.259,0.3159965660323367,0.13657811235617398,0
38,Mike Moustakas,Brad Miller,Brewers,0.252,0.239,0.15418598974859687,0.13501226608398828,0
39,Mike Moustakas,Orlando Arcia,Brewers,0.252,0.247,2.429650128892626,0.1330015456002517,23
40,Mike Moustakas,Jacob Nottingham,Brewers,0.252,0.2,2.9512448132780085,0.12824604465692946,0
41,Mike Moustakas,Brett Phillips,Brewers,0.252,0.226,2.2845781466113415,0.1313277898435961,0
42,Mike Moustakas,Eric Sogard,Brewers,0.252,0.23800000000000002,2.146450292730063,0.13254787051281985,0
43,Erik Kratz,Erik Kratz,Brewers,0.215,0.215,0.0,1.0,273
44,Erik Kratz,Jonathan Villar,Brewers,0.215,0.257,2.9433758092501723,0.125494788139694,21
45,Erik Kratz,Ryan Braun,Brewers,0.215,0.299,4.119788662042183,0.1277851226723696,33
46,Erik Kratz,Travis Shaw,Brewers,0.215,0.257,2.3719093406593403,0.1261764562020879,42
47,Erik Kratz,Ji-Man Choi,Brewers,0.215,0.223,1.2006593406593407,0.12458350737208791,3
48,Erik Kratz,Eric Thames,Brewers,0.215,0.244,3.419140353317568,0.12378401790094867,31
49,Erik Kratz,Jonathan Schoop,Brewers,0.215,0.259,1.3573007930042724,0.1275626079020728,16
50,Erik Kratz,Keon Broxton,Brewers,0.215,0.22399999999999998,0.9344093406593403,0.1249890440420879,20
51,Erik Kratz,Jett Bandy,Brewers,0.215,0.218,0.2124542124542117,0.1253225628772161,0
52,Erik Kratz,Christian Yelich,Brewers,0.215,0.295,4.81766328284068,0.1266008978296963,45
53,Erik Kratz,Jesus Aguilar,Brewers,0.215,0.264,2.0742233545001705,0.12714714909381802,43
54,Erik Kratz,Hernan Perez,Brewers,0.215,0.258,1.6149450549450544,0.12716733650065934,42
55,Erik Kratz,Tyler Saladino,Brewers,0.215,0.235,1.8106240049702942,0.12491123336191123,14
56,Erik Kratz,Manny Pina,Brewers,0.215,0.265,0.541532703104755,0.12906334683042853,18
57,Erik Kratz,Domingo Santana,Brewers,0.215,0.259,2.6079007199696855,0.12607084228519136,4
58,Erik Kratz,Brad Miller,Brewers,0.215,0.239,2.137718164188752,0.12487283444502909,16
59,Erik Kratz,Orlando Arcia,Brewers,0.215,0.247,0.13774597495527718,0.12796202543123436,27
60,Erik Kratz,Jacob Nottingham,Brewers,0.215,0.2,0.6593406593406597,0.12320652448791208,1
61,Erik Kratz,Brett Phillips,Brewers,0.215,0.226,0.0073260073260073,0.12627079216542125,4
62,Erik Kratz,Eric Sogard,Brewers,0.215,0.23800000000000002,0.14545386120728576,0.1271613439761975,12
63,Jonathan Villar,Jonathan Villar,Brewers,0.257,0.257,0.0,1.0,597
64,Jonathan Villar,Ryan Braun,Brewers,0.257,0.299,1.1764128527920104,0.16721297216187106,278
65,Jonathan Villar,Travis Shaw,Brewers,0.257,0.257,0.5714664685908319,0.1371479503976061,189
66,Jonathan Villar,Ji-Man Choi,Brewers,0.257,0.223,1.7427164685908316,0.1327607738676061,12
67,Jonathan Villar,Eric Thames,Brewers,0.257,0.244,0.4757645440673959,0.13611884822125464,146
68,Jonathan Villar,Jonathan Schoop,Brewers,0.257,0.259,1.5860750162458999,0.13611357077762126,0
69,Jonathan Villar,Keon Broxton,Brewers,0.257,0.22399999999999998,2.008966468590832,0.1325311232376061,196
70,Jonathan Villar,Jett Bandy,Brewers,0.257,0.218,2.7309215967959606,0.13114228816247792,70
71,Jonathan Villar,Christian Yelich,Brewers,0.257,0.295,1.8742874735905084,0.1389357281500023,74
72,Jonathan Villar,Jesus Aguilar,Brewers,0.257,0.264,0.8691524547500018,0.137408459785876,181
73,Jonathan Villar,Hernan Perez,Brewers,0.257,0.258,1.328430754305118,0.18833078408196713,291
74,Jonathan Villar,Tyler Saladino,Brewers,0.257,0.235,1.132751804279878,0.13454368035778277,28
75,Jonathan Villar,Manny Pina,Brewers,0.257,0.265,2.4018431061454173,0.1356681480892655,166
76,Jonathan Villar,Domingo Santana,Brewers,0.257,0.259,0.33547508928048675,0.10935808756444179,244
77,Jonathan Villar,Brad Miller,Brewers,0.257,0.239,0.8056576450614203,0.13528562343466494,21
78,Jonathan Villar,Orlando Arcia,Brewers,0.257,0.247,3.0811217842054495,0.057097454672883005,227
79,Jonathan Villar,Jacob Nottingham,Brewers,0.257,0.2,3.602716468590832,0.1285194020076061,6
80,Jonathan Villar,Brett Phillips,Brewers,0.257,0.226,2.936049801924165,0.13160114719427277,31
81,Jonathan Villar,Eric Sogard,Brewers,0.257,0.23800000000000002,2.7979219480428865,0.13282122786349654,105
82,Ryan Braun,Ryan Braun,Brewers,0.299,0.299,0.0,1.0,1598
83,Ryan Braun,Travis Shaw,Brewers,0.299,0.257,1.7478793213828423,0.1445685320102817,186
84,Ryan Braun,Ji-Man Choi,Brewers,0.299,0.223,2.919129321382842,0.14018135548028168,6
85,Ryan Braun,Eric Thames,Brewers,0.299,0.244,0.7006483087246145,0.1446744517914209,143
86,Ryan Braun,Jonathan Schoop,Brewers,0.299,0.259,2.76248786903791,0.14353415239029682,20
87,Ryan Braun,Keon Broxton,Brewers,0.299,0.22399999999999998,3.1853793213828423,0.1399517048502817,170
88,Ryan Braun,Jett Bandy,Brewers,0.299,0.218,3.907334449587971,0.13856286977515347,48
89,Ryan Braun,Christian Yelich,Brewers,0.299,0.295,0.697874620798498,0.1491628543773267,85
90,Ryan Braun,Jesus Aguilar,Brewers,0.299,0.264,2.045565307542012,0.14482904139855157,172
91,Ryan Braun,Hernan Perez,Brewers,0.299,0.258,2.5048436070971283,0.05671930252614223,332
