,Name1,Name2,Team,BAvg1,BAvg2,BO Differance,Corr,Count
0,Daniel Murphy,Daniel Murphy,Cubs,0.3,0.3,0.0,1.0,1312
1,Daniel Murphy,Ben Zobrist,Cubs,0.3,0.266,0.2366732382974419,0.1473727380144293,6
2,Daniel Murphy,Albert Almora Jr.,Cubs,0.3,0.293,1.6886890122133233,0.14801517705867145,7
3,Daniel Murphy,Kris Bryant,Cubs,0.3,0.28600000000000003,1.1478486753265376,0.1480447119061235,0
4,Daniel Murphy,David Bote,Cubs,0.3,0.267,2.8270966029723996,0.1443707204281104,7
5,Daniel Murphy,Tommy La Stella,Cubs,0.3,0.264,2.611157449533246,0.14436447222789878,5
6,Daniel Murphy,Victor Caratini,Cubs,0.3,0.254,2.3769997037475927,0.14376435475338173,3
7,Daniel Murphy,Kyle Schwarber,Cubs,0.3,0.228,0.591679936305733,0.14360743706477708,6
8,Daniel Murphy,Mark Zagunis,Cubs,0.3,0.105,4.847929936305732,0.12771342035477706,0
9,Daniel Murphy,Javier Baez,Cubs,0.3,0.267,1.941303430281636,0.14542732995622287,7
10,Daniel Murphy,Anthony Rizzo,Cubs,0.3,0.27,0.5445119241593837,0.14735730779638573,7
11,Daniel Murphy,Jason Heyward,Cubs,0.3,0.263,0.21104469040409368,0.14713947971149838,5
12,Daniel Murphy,Willson Contreras,Cubs,0.3,0.27399999999999997,1.5474413369571987,0.14651274555562396,6
13,Daniel Murphy,Addison Russell,Cubs,0.3,0.244,3.1251144023251505,0.14199254341633047,0
14,Daniel Murphy,Ian Happ,Cubs,0.3,0.24600000000000002,1.758874142314316,0.1437981354880818,6
15,Daniel Murphy,Efren Navarro,Cubs,0.3,0.24100000000000002,2.429140127388535,0.14255890031044588,0
16,Daniel Murphy,Chris Gimenez,Cubs,0.3,0.21600000000000003,3.4878503607089155,0.139097452895732,0
17,Ben Zobrist,Ben Zobrist,Cubs,0.266,0.266,0.0,1.0,1607
18,Ben Zobrist,Albert Almora Jr.,Cubs,0.266,0.293,1.9253622505107653,0.13447119487101958,251
19,Ben Zobrist,Kris Bryant,Cubs,0.266,0.28600000000000003,0.9111754370290956,0.17692045151626773,340
20,Ben Zobrist,David Bote,Cubs,0.266,0.267,3.0637698412698415,0.13694528728253968,38
21,Ben Zobrist,Tommy La Stella,Cubs,0.266,0.264,2.847830687830688,0.16605909981858216,215
22,Ben Zobrist,Victor Caratini,Cubs,0.266,0.254,2.6136729420450346,0.136338921607811,71
23,Ben Zobrist,Kyle Schwarber,Cubs,0.266,0.228,0.8283531746031749,0.01960677898908999,219
24,Ben Zobrist,Mark Zagunis,Cubs,0.266,0.105,5.084603174603174,0.12028798720920636,4
25,Ben Zobrist,Javier Baez,Cubs,0.266,0.267,2.177976668579078,0.02996696503795706,360
26,Ben Zobrist,Anthony Rizzo,Cubs,0.266,0.27,0.30783868586194174,0.16375856728479027,379
27,Ben Zobrist,Jason Heyward,Cubs,0.266,0.263,0.4477179287015356,0.20484032004091335,339
28,Ben Zobrist,Willson Contreras,Cubs,0.266,0.27399999999999997,1.7841145752546406,0.14327037669971487,254
29,Ben Zobrist,Addison Russell,Cubs,0.266,0.244,3.3617876406225924,0.10494778485513205,321
30,Ben Zobrist,Ian Happ,Cubs,0.266,0.24600000000000002,1.9955473806117578,0.1363727023425111,188
31,Ben Zobrist,Efren Navarro,Cubs,0.266,0.24100000000000002,2.665813365685977,0.13513346716487515,4
32,Ben Zobrist,Chris Gimenez,Cubs,0.266,0.21600000000000003,3.7245235990063574,0.13167201975016124,57
33,Albert Almora Jr.,Albert Almora Jr.,Cubs,0.293,0.293,0.0,1.0,311
34,Albert Almora Jr.,Kris Bryant,Cubs,0.293,0.28600000000000003,2.836537687539861,0.1374099102292123,242
35,Albert Almora Jr.,David Bote,Cubs,0.293,0.267,1.1384075907590763,0.14491441390943893,46
36,Albert Almora Jr.,Tommy La Stella,Cubs,0.293,0.264,0.9224684373199228,0.1449081657092273,186
37,Albert Almora Jr.,Victor Caratini,Cubs,0.293,0.254,0.6883106915342694,0.14430804823471027,82
38,Albert Almora Jr.,Kyle Schwarber,Cubs,0.293,0.228,1.0970090759075903,0.04471833261366476,224
39,Albert Almora Jr.,Mark Zagunis,Cubs,0.293,0.105,3.1592409240924093,0.1282571138361056,10
40,Albert Almora Jr.,Javier Baez,Cubs,0.293,0.267,0.25261441806831275,0.1929931390784329,294
41,Albert Almora Jr.,Anthony Rizzo,Cubs,0.293,0.27,2.233200936372707,0.14779175537544711,294
42,Albert Almora Jr.,Jason Heyward,Cubs,0.293,0.263,1.4776443218092297,0.21064770819666448,252
43,Albert Almora Jr.,Willson Contreras,Cubs,0.293,0.27399999999999997,0.1412476752561247,0.026226945896872526,244
44,Albert Almora Jr.,Addison Russell,Cubs,0.293,0.244,1.4364253901118271,0.23885749280570065,244
45,Albert Almora Jr.,Ian Happ,Cubs,0.293,0.24600000000000002,0.07018513010099259,0.11119006801858522,208
46,Albert Almora Jr.,Efren Navarro,Cubs,0.293,0.24100000000000002,0.7404511151752118,0.1431025937917744,2
47,Albert Almora Jr.,Chris Gimenez,Cubs,0.293,0.21600000000000003,1.7991613484955922,0.1396411463770605,13
48,Kris Bryant,Kris Bryant,Cubs,0.28600000000000003,0.28600000000000003,0.0,1.0,553
49,Kris Bryant,David Bote,Cubs,0.28600000000000003,0.267,3.974945278298937,0.1400602359742339,8
50,Kris Bryant,Tommy La Stella,Cubs,0.28600000000000003,0.264,3.7590061248597837,0.059355676024756755,236
51,Kris Bryant,Victor Caratini,Cubs,0.28600000000000003,0.254,3.5248483790741303,0.13945387029950523,59
52,Kris Bryant,Kyle Schwarber,Cubs,0.28600000000000003,0.228,1.7395286116322706,0.11937421026770771,271
53,Kris Bryant,Mark Zagunis,Cubs,0.28600000000000003,0.105,5.99577861163227,0.12340293590090057,11
54,Kris Bryant,Javier Baez,Cubs,0.28600000000000003,0.267,3.0891521056081737,0.12422303835359999,386
55,Kris Bryant,Anthony Rizzo,Cubs,0.28600000000000003,0.27,0.6033367511671539,0.1556200673426464,534
56,Kris Bryant,Jason Heyward,Cubs,0.28600000000000003,0.263,1.3588933657306312,0.21855056938648126,329
57,Kris Bryant,Willson Contreras,Cubs,0.28600000000000003,0.27399999999999997,2.695290012283736,0.11394769748934624,251
58,Kris Bryant,Addison Russell,Cubs,0.28600000000000003,0.244,4.2729630776516885,0.07895606181706499,472
59,Kris Bryant,Ian Happ,Cubs,0.28600000000000003,0.24600000000000002,2.9067228176408535,0.1394876510342053,177
60,Kris Bryant,Efren Navarro,Cubs,0.28600000000000003,0.24100000000000002,3.5769888027150727,0.13824841585656938,4
61,Kris Bryant,Chris Gimenez,Cubs,0.28600000000000003,0.21600000000000003,4.635699036035453,0.13478696844185548,9
62,David Bote,David Bote,Cubs,0.267,0.267,0.0,1.0,48
63,David Bote,Tommy La Stella,Cubs,0.267,0.264,0.2159391534391535,0.14028855634021165,31
64,David Bote,Victor Caratini,Cubs,0.267,0.254,0.4500968992248069,0.1391298134147287,22
65,David Bote,Kyle Schwarber,Cubs,0.267,0.228,2.2354166666666666,0.13471369406333333,41
66,David Bote,Mark Zagunis,Cubs,0.267,0.105,2.020833333333333,0.12415266618666668,3
67,David Bote,Javier Baez,Cubs,0.267,0.267,0.8857931726907635,0.13975335673188755,47
68,David Bote,Anthony Rizzo,Cubs,0.267,0.27,3.3716085271317833,0.1370520058044961,47
69,David Bote,Jason Heyward,Cubs,0.267,0.263,2.616051912568306,0.13733766281661203,39
70,David Bote,Willson Contreras,Cubs,0.267,0.27399999999999997,1.279655266015201,0.13989914341248644,42
71,David Bote,Addison Russell,Cubs,0.267,0.244,0.29801779935275086,0.13843178924822008,37
72,David Bote,Ian Happ,Cubs,0.267,0.24600000000000002,1.0682224606580837,0.1376889443600286,43
73,David Bote,Efren Navarro,Cubs,0.267,0.24100000000000002,0.3979564755838645,0.13804874933766453,0
74,David Bote,Chris Gimenez,Cubs,0.267,0.21600000000000003,0.6607537577365159,0.13553669872762159,1
75,Tommy La Stella,Tommy La Stella,Cubs,0.264,0.264,0.0,1.0,396
76,Tommy La Stella,Victor Caratini,Cubs,0.264,0.254,0.2341577457856534,0.13875711899451704,68
77,Tommy La Stella,Kyle Schwarber,Cubs,0.264,0.228,2.019477513227513,0.13434099964312168,186
78,Tommy La Stella,Mark Zagunis,Cubs,0.264,0.105,2.2367724867724865,0.12326481004687831,9
79,Tommy La Stella,Javier Baez,Cubs,0.264,0.267,0.66985401925161,0.043552239954331856,263
80,Tommy La Stella,Anthony Rizzo,Cubs,0.264,0.27,3.15566937369263,0.2619290179825112,279
81,Tommy La Stella,Jason Heyward,Cubs,0.264,0.263,2.4001127591291525,0.10407347603770069,293
82,Tommy La Stella,Willson Contreras,Cubs,0.264,0.27399999999999997,1.0637161125760475,0.1395264489922748,171
83,Tommy La Stella,Addison Russell,Cubs,0.264,0.244,0.5139569527919043,-0.041636391934055675,231
84,Tommy La Stella,Ian Happ,Cubs,0.264,0.24600000000000002,0.8522833072189302,0.13731624993981695,160
85,Tommy La Stella,Efren Navarro,Cubs,0.264,0.24100000000000002,0.182017322144711,0.1376760549174529,4
86,Tommy La Stella,Chris Gimenez,Cubs,0.264,0.21600000000000003,0.8766929111756694,0.13464884258783322,14
87,Victor Caratini,Victor Caratini,Cubs,0.254,0.254,0.0,1.0,88
88,Victor Caratini,Kyle Schwarber,Cubs,0.254,0.228,1.7853197674418597,0.13251939476860464,74
89,Victor Caratini,Mark Zagunis,Cubs,0.254,0.105,2.47093023255814,0.12088457972139534,4
90,Victor Caratini,Javier Baez,Cubs,0.254,0.267,0.43569627346595663,0.13755905743715885,82
91,Victor Caratini,Anthony Rizzo,Cubs,0.254,0.27,2.9215116279069764,0.13485770650976744,79
92,Victor Caratini,Jason Heyward,Cubs,0.254,0.263,2.165955013343499,0.13514336352188333,73
93,Victor Caratini,Willson Contreras,Cubs,0.254,0.27399999999999997,0.8295583667903941,0.13770484411775774,55
94,Victor Caratini,Addison Russell,Cubs,0.254,0.244,0.7481146985775577,0.13516370278294876,63
95,Victor Caratini,Ian Happ,Cubs,0.254,0.24600000000000002,0.6181255614332768,0.1354946450652999,83
96,Victor Caratini,Efren Navarro,Cubs,0.254,0.24100000000000002,0.0521404236409424,0.13573005967706414,1
97,Victor Caratini,Chris Gimenez,Cubs,0.254,0.21600000000000003,1.1108506569613228,0.13226861226235026,0
98,Kyle Schwarber,Kyle Schwarber,Cubs,0.228,0.228,0.0,1.0,336
99,Kyle Schwarber,Mark Zagunis,Cubs,0.228,0.105,4.25625,0.11329259313000001,4
100,Kyle Schwarber,Javier Baez,Cubs,0.228,0.267,1.349623493975903,0.1028888473154371,258
101,Kyle Schwarber,Anthony Rizzo,Cubs,0.228,0.27,1.1361918604651167,0.07874964471559905,319
102,Kyle Schwarber,Jason Heyward,Cubs,0.228,0.263,0.38063524590163933,0.11748552709319716,220
103,Kyle Schwarber,Willson Contreras,Cubs,0.228,0.27399999999999997,0.9557614006514656,0.13209191833084688,198
104,Kyle Schwarber,Addison Russell,Cubs,0.228,0.244,2.5334344660194175,0.07600425327150774,262
105,Kyle Schwarber,Ian Happ,Cubs,0.228,0.24600000000000002,1.167194206008583,0.12937730826330474,200
106,Kyle Schwarber,Efren Navarro,Cubs,0.228,0.24100000000000002,1.8374601910828021,0.1281380730856688,4
107,Kyle Schwarber,Chris Gimenez,Cubs,0.228,0.21600000000000003,2.8961704244031825,0.12467662567095492,13
108,Mark Zagunis,Mark Zagunis,Cubs,0.105,0.105,0.0,1.0,12
109,Mark Zagunis,Javier Baez,Cubs,0.105,0.267,2.9066265060240966,0.10330796077855421,12
110,Mark Zagunis,Anthony Rizzo,Cubs,0.105,0.27,5.392441860465116,0.10060660985116279,12
111,Mark Zagunis,Jason Heyward,Cubs,0.105,0.263,4.636885245901639,0.10089226686327869,0
112,Mark Zagunis,Willson Contreras,Cubs,0.105,0.27399999999999997,3.300488599348534,0.10345374745915309,11
113,Mark Zagunis,Addison Russell,Cubs,0.105,0.244,1.7228155339805822,0.10269736839844659,10
114,Mark Zagunis,Ian Happ,Cubs,0.105,0.24600000000000002,3.0890557939914167,0.10124354840669528,11
115,Mark Zagunis,Efren Navarro,Cubs,0.105,0.24100000000000002,2.4187898089171975,0.10160335338433121,0
116,Mark Zagunis,Chris Gimenez,Cubs,0.105,0.21600000000000003,1.3600795755968171,0.10066764979904509,0
117,Javier Baez,Javier Baez,Cubs,0.267,0.267,0.0,1.0,524
118,Javier Baez,Anthony Rizzo,Cubs,0.267,0.27,2.4858153544410198,0.17040255891695275,470
119,Javier Baez,Jason Heyward,Cubs,0.267,0.263,1.7302587398775424,0.14253782119313516,353
120,Javier Baez,Willson Contreras,Cubs,0.267,0.27399999999999997,0.39386209332443745,0.11809782877697421,295
121,Javier Baez,Addison Russell,Cubs,0.267,0.244,1.1838109720435144,0.11190592805587721,376
