,Name1,Name2,Team,BAvg1,BAvg2,BO Differance,Corr,Count
0,Kristopher Negron,Kristopher Negron,Diamondbacks,0.21600000000000003,0.21600000000000003,0.0,1.0,116
1,Kristopher Negron,Paul Goldschmidt,Diamondbacks,0.21600000000000003,0.298,2.6822951533003074,0.12962197116933727,11
2,Kristopher Negron,A.J. Pollock,Diamondbacks,0.21600000000000003,0.284,2.5389239028944908,0.12856178785167133,12
3,Kristopher Negron,Ketel Marte,Diamondbacks,0.21600000000000003,0.26,0.8106003039513672,0.12851276889343466,14
4,Kristopher Negron,Steven Souza Jr.,Diamondbacks,0.21600000000000003,0.23600000000000002,1.4246317706683556,0.12566969511867596,0
5,Kristopher Negron,Jake Lamb,Diamondbacks,0.21600000000000003,0.247,1.321642857142857,0.1267599176342857,13
6,Kristopher Negron,Chris Owings,Diamondbacks,0.21600000000000003,0.25,0.2919832826747717,0.12825196582109422,2
7,Kristopher Negron,Christian Walker,Diamondbacks,0.21600000000000003,0.185,1.395574534161491,0.12121926173267081,6
8,Kristopher Negron,Deven Marrero,Diamondbacks,0.21600000000000003,0.19699999999999998,0.7860533453887886,0.12300163922748644,2
9,Kristopher Negron,Socrates Brito,Diamondbacks,0.21600000000000003,0.2,0.2394480519480524,0.1239174809457143,0
10,Kristopher Negron,David Peralta,Diamondbacks,0.21600000000000003,0.295,2.462147427526769,0.12962074312254895,12
11,Kristopher Negron,Eduardo Escobar,Diamondbacks,0.21600000000000003,0.257,0.026977985002883287,0.12918367588036916,0
12,Kristopher Negron,Jon Jay,Diamondbacks,0.21600000000000003,0.287,1.9865950663403318,0.12948445684106658,0
13,Kristopher Negron,Daniel Descalso,Diamondbacks,0.21600000000000003,0.24100000000000002,0.7731559171165916,0.12688651667582665,9
14,Kristopher Negron,Nick Ahmed,Diamondbacks,0.21600000000000003,0.23199999999999998,0.8350409836065573,0.12602121051311477,2
15,Kristopher Negron,Jeff Mathis,Diamondbacks,0.21600000000000003,0.2,1.8267075078206467,0.12202413437637122,2
16,Kristopher Negron,John Ryan Murphy,Diamondbacks,0.21600000000000003,0.228,0.7896331609566909,0.12572360270028443,6
17,Kristopher Negron,Jarrod Dyson,Diamondbacks,0.21600000000000003,0.251,0.06112637362637319,0.12861528419648352,2
18,Kristopher Negron,Alex Avila,Diamondbacks,0.21600000000000003,0.23800000000000002,0.8444111969111976,0.12653769146787647,1
19,Paul Goldschmidt,Paul Goldschmidt,Diamondbacks,0.298,0.298,0.0,1.0,1087
20,Paul Goldschmidt,A.J. Pollock,Diamondbacks,0.298,0.284,0.14337125040581666,0.11347420550384586,589
21,Paul Goldschmidt,Ketel Marte,Diamondbacks,0.298,0.26,1.8716948493489403,0.14447457719590262,193
22,Paul Goldschmidt,Steven Souza Jr.,Diamondbacks,0.298,0.23600000000000002,1.2576633826319519,0.1430963860106613,52
23,Paul Goldschmidt,Jake Lamb,Diamondbacks,0.298,0.247,1.3606522961574505,0.14783534432710033,451
24,Paul Goldschmidt,Chris Owings,Diamondbacks,0.298,0.25,2.3903118706255357,0.19399255924986403,544
25,Paul Goldschmidt,Christian Walker,Diamondbacks,0.298,0.185,4.077869687461798,0.13524723710200806,32
26,Paul Goldschmidt,Deven Marrero,Diamondbacks,0.298,0.19699999999999998,3.468348498689096,0.13702961459682367,49
27,Paul Goldschmidt,Socrates Brito,Diamondbacks,0.298,0.2,2.92174320524836,0.13794545631505156,63
