,Name1,Name2,Team,BAvg1,BAvg2,BO Differance,Corr,Count
0,Austin Slater,Austin Slater,Giants,0.276,0.276,0.0,1.0,85
1,Austin Slater,Miguel Gomez,Giants,0.276,0.25,0.8956356736242883,0.140137410703074,1
2,Austin Slater,Brandon Crawford,Giants,0.276,0.253,0.28509296509731374,0.14112951952751332,83
3,Austin Slater,Andrew McCutchen,Giants,0.276,0.28800000000000003,3.8891799634833686,0.13990842609235848,49
4,Austin Slater,Gorkys Hernandez,Giants,0.276,0.24,1.0443259456757206,0.13908061679896017,72
5,Austin Slater,Joe Panik,Giants,0.276,0.27699999999999997,2.829480430304417,0.14020510486351567,58
6,Austin Slater,Evan Longoria,Giants,0.276,0.268,3.063805326690937,0.13913410557411,35
7,Austin Slater,Gregor Blanco,Giants,0.276,0.257,1.569877806194941,0.13994874885765846,6
8,Austin Slater,Kelby Tomlinson,Giants,0.276,0.271,0.18362782375307596,0.1428335255667144,41
9,Austin Slater,Mac Williamson,Giants,0.276,0.222,0.3534313725490197,0.13832176912156863,4
10,Austin Slater,Buster Posey,Giants,0.276,0.306,2.670403126285479,0.14294520621484164,68
11,Austin Slater,Alen Hanson,Giants,0.276,0.245,0.36199095022624395,0.14033424837493214,47
12,Austin Slater,Brandon Belt,Giants,0.276,0.267,1.6636451301832205,0.14071632964291225,63
13,Austin Slater,Steven Duggar,Giants,0.276,0.255,0.4662840746054515,0.14108927356444764,32
14,Austin Slater,Ryder Jones,Giants,0.276,0.175,0.541394335511983,0.1339642374408279,9
15,Austin Slater,Pablo Sandoval,Giants,0.276,0.281,1.9594927791475865,0.1415946330133216,28
16,Austin Slater,Chase d'Arnaud,Giants,0.276,0.226,0.85609243697479,0.138073946977479,26
17,Austin Slater,Austin Jackson,Giants,0.276,0.275,3.942249892657793,0.1387018628980421,11
18,Austin Slater,Nick Hundley,Giants,0.276,0.248,0.350961231398097,0.14061123412473908,51
19,Austin Slater,Hunter Pence,Giants,0.276,0.28,2.262052328817962,0.14114578486009277,63
20,Miguel Gomez,Miguel Gomez,Giants,0.25,0.25,0.0,1.0,31
21,Miguel Gomez,Brandon Crawford,Giants,0.25,0.253,1.180728638721602,0.1345987837105873,30
22,Miguel Gomez,Andrew McCutchen,Giants,0.25,0.28800000000000003,4.784815637107657,0.1333776902754325,8
23,Miguel Gomez,Gorkys Hernandez,Giants,0.25,0.24,1.9399616193000089,0.13254988098203419,30
24,Miguel Gomez,Joe Panik,Giants,0.25,0.27699999999999997,3.7251161039287055,0.1336743690465897,18
25,Miguel Gomez,Evan Longoria,Giants,0.25,0.268,3.959441000315225,0.132603369757184,9
26,Miguel Gomez,Gregor Blanco,Giants,0.25,0.257,2.4655134798192293,0.13341801304073242,7
27,Miguel Gomez,Kelby Tomlinson,Giants,0.25,0.271,0.7120078498712124,0.13674086697635962,25
28,Miguel Gomez,Mac Williamson,Giants,0.25,0.222,0.5422043010752686,0.13263420746150537,4
29,Miguel Gomez,Buster Posey,Giants,0.25,0.306,3.566038799909767,0.13641447039791563,28
30,Miguel Gomez,Alen Hanson,Giants,0.25,0.245,1.2576266238505323,0.13380351255800613,0
31,Miguel Gomez,Brandon Belt,Giants,0.25,0.267,2.5592808038075088,0.13418559382598624,24
32,Miguel Gomez,Steven Duggar,Giants,0.25,0.255,1.3619197482297398,0.13455853774752163,0
33,Miguel Gomez,Ryder Jones,Giants,0.25,0.175,0.3542413381123053,0.12872509526224613,5
34,Miguel Gomez,Pablo Sandoval,Giants,0.25,0.281,2.8551284527718748,0.1350638971963956,11
35,Miguel Gomez,Chase d'Arnaud,Giants,0.25,0.226,1.7517281105990783,0.131543211160553,0
36,Miguel Gomez,Austin Jackson,Giants,0.25,0.275,4.837885566282081,0.13217112708111606,8
37,Miguel Gomez,Nick Hundley,Giants,0.25,0.248,0.5446744422261913,0.1349177794983349,17
38,Miguel Gomez,Hunter Pence,Giants,0.25,0.28,3.1576880024422502,0.1346150490431668,20
39,Brandon Crawford,Brandon Crawford,Giants,0.253,0.253,0.0,1.0,1096
40,Brandon Crawford,Andrew McCutchen,Giants,0.253,0.28800000000000003,3.604086998386055,0.13541638590484517,126
41,Brandon Crawford,Gorkys Hernandez,Giants,0.253,0.24,0.7592329805784068,0.10524657980726822,247
42,Brandon Crawford,Joe Panik,Giants,0.253,0.27699999999999997,2.5443874652071035,0.04960347336894904,483
43,Brandon Crawford,Evan Longoria,Giants,0.253,0.268,2.778712361593623,0.13464206538659668,97
44,Brandon Crawford,Gregor Blanco,Giants,0.253,0.257,1.2847848410976273,0.11264203728293139,655
45,Brandon Crawford,Kelby Tomlinson,Giants,0.253,0.271,0.4687207888503897,0.09722245515922046,227
46,Brandon Crawford,Mac Williamson,Giants,0.253,0.222,0.6385243376463334,0.13314958834908194,112
47,Brandon Crawford,Buster Posey,Giants,0.253,0.306,2.385310161188165,0.15629040232188052,906
48,Brandon Crawford,Alen Hanson,Giants,0.253,0.245,0.0768979851289302,0.1358422081874188,85
49,Brandon Crawford,Brandon Belt,Giants,0.253,0.267,1.3785521650859067,0.17280559417347666,811
50,Brandon Crawford,Steven Duggar,Giants,0.253,0.255,0.18119110950813777,0.1365972333769343,40
51,Brandon Crawford,Ryder Jones,Giants,0.253,0.175,0.8264873006092968,0.1287920566683412,54
52,Brandon Crawford,Pablo Sandoval,Giants,0.253,0.281,1.6743998140502727,0.11938012402411945,566
53,Brandon Crawford,Chase d'Arnaud,Giants,0.253,0.226,0.5709994718774762,0.13358190678996568,29
54,Brandon Crawford,Austin Jackson,Giants,0.253,0.275,3.657156927560479,0.13420982271052878,58
55,Brandon Crawford,Nick Hundley,Giants,0.253,0.248,0.6360541964954107,0.13543905335225243,160
56,Brandon Crawford,Hunter Pence,Giants,0.253,0.28,1.9769593637206482,0.15346680374536778,698
57,Andrew McCutchen,Andrew McCutchen,Giants,0.28800000000000003,0.28800000000000003,0.0,1.0,1538
58,Andrew McCutchen,Gorkys Hernandez,Giants,0.28800000000000003,0.24,2.844854017807648,0.13945397601339832,147
59,Andrew McCutchen,Joe Panik,Giants,0.28800000000000003,0.27699999999999997,1.0596995331789514,0.1448372714288428,74
60,Andrew McCutchen,Evan Longoria,Giants,0.28800000000000003,0.268,0.8253746367924317,0.14432529635824853,96
61,Andrew McCutchen,Gregor Blanco,Giants,0.28800000000000003,0.257,2.3193021572884276,0.14157590663470007,41
62,Andrew McCutchen,Kelby Tomlinson,Giants,0.28800000000000003,0.271,4.072807787236444,0.14071545725907286,52
63,Andrew McCutchen,Mac Williamson,Giants,0.28800000000000003,0.222,4.242611336032388,0.13620370081392713,28
64,Andrew McCutchen,Buster Posey,Giants,0.28800000000000003,0.306,1.2187768371978898,0.14719786523751688,102
65,Andrew McCutchen,Alen Hanson,Giants,0.28800000000000003,0.245,3.5271890132571246,0.13907977463742638,149
66,Andrew McCutchen,Brandon Belt,Giants,0.28800000000000003,0.267,2.225534833300148,0.14256718624944625,96
67,Andrew McCutchen,Steven Duggar,Giants,0.28800000000000003,0.255,3.422895888877917,0.14008360984791085,40
68,Andrew McCutchen,Ryder Jones,Giants,0.28800000000000003,0.175,4.430574298995351,0.1318461691331864,1
69,Andrew McCutchen,Pablo Sandoval,Giants,0.28800000000000003,0.281,1.9296871843357821,0.1441512874390369,91
70,Andrew McCutchen,Chase d'Arnaud,Giants,0.28800000000000003,0.226,3.0330875265085786,0.13799824127487953,94
71,Andrew McCutchen,Austin Jackson,Giants,0.28800000000000003,0.275,0.053069929174424324,0.1458621334456836,59
72,Andrew McCutchen,Nick Hundley,Giants,0.28800000000000003,0.248,4.240141194881465,0.13849316581709759,72
73,Andrew McCutchen,Hunter Pence,Giants,0.28800000000000003,0.28,1.6271276346654067,0.14442424955226574,74
74,Gorkys Hernandez,Gorkys Hernandez,Giants,0.24,0.24,0.0,1.0,379
75,Gorkys Hernandez,Joe Panik,Giants,0.24,0.27699999999999997,1.7851544846286966,0.1338875152645555,200
76,Gorkys Hernandez,Evan Longoria,Giants,0.24,0.268,2.0194793810152163,0.13281651597514982,86
77,Gorkys Hernandez,Gregor Blanco,Giants,0.24,0.257,0.5255518605192204,0.13363115925869823,41
78,Gorkys Hernandez,Kelby Tomlinson,Giants,0.24,0.271,1.2279537694287965,0.13402450844567454,146
79,Gorkys Hernandez,Mac Williamson,Giants,0.24,0.222,1.3977573182247403,0.1295127520005288,53
80,Gorkys Hernandez,Buster Posey,Giants,0.24,0.306,1.6260771806097583,0.11334416823561588,229
81,Gorkys Hernandez,Alen Hanson,Giants,0.24,0.245,0.6823349954494766,0.13238882582402806,77
82,Gorkys Hernandez,Brandon Belt,Giants,0.24,0.267,0.6193191845074999,0.13439874004395208,198
83,Gorkys Hernandez,Steven Duggar,Giants,0.24,0.255,0.578041871070269,0.13339266103451253,35
84,Gorkys Hernandez,Ryder Jones,Giants,0.24,0.175,1.5857202811877036,0.12515522031978804,40
85,Gorkys Hernandez,Pablo Sandoval,Giants,0.24,0.281,0.9151668334718659,0.13527704341436142,115
86,Gorkys Hernandez,Chase d'Arnaud,Giants,0.24,0.226,0.18823350870093059,0.13130729246148118,25
87,Gorkys Hernandez,Austin Jackson,Giants,0.24,0.275,2.8979239469820723,0.1323842732990819,50
88,Gorkys Hernandez,Nick Hundley,Giants,0.24,0.248,1.3952871770738176,0.13180221700369926,146
89,Gorkys Hernandez,Hunter Pence,Giants,0.24,0.28,1.2177263831422414,0.1348281952611326,195
90,Joe Panik,Joe Panik,Giants,0.27699999999999997,0.27699999999999997,0.0,1.0,518
91,Joe Panik,Evan Longoria,Giants,0.27699999999999997,0.268,0.23432489638651965,0.1427193147705943,54
92,Joe Panik,Gregor Blanco,Giants,0.27699999999999997,0.257,1.2596026241094762,0.20725297046115176,252
93,Joe Panik,Kelby Tomlinson,Giants,0.27699999999999997,0.271,3.013108254057493,0.13966849989023006,149
94,Joe Panik,Mac Williamson,Giants,0.27699999999999997,0.222,3.182911802853437,0.1351567434450843,75
95,Joe Panik,Buster Posey,Giants,0.27699999999999997,0.306,0.15907730401893838,0.19062159768670633,453
