,Name1,Name2,Team,BAvg1,BAvg2,BO Differance,Corr,Count
0,Zach Vincej,Zach Vincej,Mariners,0.231,0.231,0.0,1.0,10
1,Zach Vincej,Jean Segura,Mariners,0.231,0.28800000000000003,4.464618885096701,0.12976789032910124,1
2,Zach Vincej,Ben Gamel,Mariners,0.231,0.27399999999999997,2.5433198380566795,0.13082849040437247,0
3,Zach Vincej,Robinson Cano,Mariners,0.231,0.304,3.023489278752436,0.13289401568873294,0
4,Zach Vincej,Taylor Motter,Mariners,0.231,0.191,1.3816901408450697,0.12491485811239438,0
5,Zach Vincej,Ryon Healy,Mariners,0.231,0.26899999999999996,1.8839879154078547,0.13117525279498488,0
6,Zach Vincej,Gordon Beckham,Mariners,0.231,0.239,1.4867346938775503,0.1290108217277551,0
7,Zach Vincej,Guillermo Heredia,Mariners,0.231,0.23800000000000002,1.6839416058394159,0.1286876424148905,1
8,Zach Vincej,Andrew Romine,Mariners,0.231,0.235,0.9396880415944535,0.12931158877646448,1
9,Zach Vincej,Cameron Maybin,Mariners,0.231,0.254,2.90544747081712,0.1286376696789105,1
10,Zach Vincej,Mike Zunino,Mariners,0.231,0.20600000000000002,0.12389380530973515,0.1277343531932743,1
11,Zach Vincej,Mike Marjama,Mariners,0.231,0.16699999999999998,0.6666666666666679,0.12365713423333333,0
12,Zach Vincej,Denard Span,Mariners,0.231,0.28300000000000003,5.91469052945563,0.12759847176884415,0
13,Zach Vincej,Mitch Haniger,Mariners,0.231,0.275,3.596153846153846,0.12966057090615385,1
14,Zach Vincej,Dee Gordon,Mariners,0.231,0.29,5.6337349397590355,0.12854920797445785,1
15,Zach Vincej,Nelson Cruz,Mariners,0.231,0.275,2.792083062946139,0.13061969869919532,1
16,Zach Vincej,Chris Herrmann,Mariners,0.231,0.205,0.932335329341317,0.1266820687857485,0
17,Zach Vincej,Kyle Seager,Mariners,0.231,0.258,3.086271036315323,0.12877374817704162,0
