,Name1,Name2,Team,BAvg1,BAvg2,BO Differance,Corr,Count
0,Chris Bostick,Chris Bostick,Marlins,0.3,0.3,0.0,1.0,24
1,Chris Bostick,Starlin Castro,Marlins,0.3,0.282,3.7343060959792473,0.1446077099564721,2
2,Chris Bostick,Brian Anderson,Marlins,0.3,0.27399999999999997,3.671940928270042,0.14397855746312235,3
3,Chris Bostick,Isaac Galloway,Marlins,0.3,0.263,0.9015151515151514,0.14631585892666665,3
4,Chris Bostick,Cameron Maybin,Marlins,0.3,0.254,2.8887808041504535,0.14315388178557717,0
5,Chris Bostick,Justin Bour,Marlins,0.3,0.261,2.3020191649555093,0.14446939567927447,0
6,Chris Bostick,Austin Dean,Marlins,0.3,0.222,1.833333333333333,0.14159868510666668,0
7,Chris Bostick,Tomas Telis,Marlins,0.3,0.23,0.023224043715846854,0.144461400031694,0
8,Chris Bostick,J.B. Shuck,Marlins,0.3,0.244,1.5348344880677445,0.14388949290925326,0
9,Chris Bostick,Lewis Brinson,Marlins,0.3,0.175,0.935714285714285,0.13853607907142856,0
10,Chris Bostick,Braxton Lee,Marlins,0.3,0.17600000000000002,0.20833333333333304,0.13949167118666667,0
11,Chris Bostick,Magneuris Sierra,Marlins,0.3,0.23,0.5633333333333335,0.14381713606666668,2
12,Chris Bostick,J.T. Realmuto,Marlins,0.3,0.281,2.461711711711711,0.1460377684218018,3
13,Chris Bostick,Rafael Ortega,Marlins,0.3,0.25,2.5949612403100772,0.14315258943410852,3
14,Chris Bostick,Derek Dietrich,Marlins,0.3,0.254,2.501422070534698,0.14361593877738338,3
15,Chris Bostick,Miguel Rojas,Marlins,0.3,0.255,0.8153661875427787,0.14571507669685146,2
16,Chris Bostick,Martin Prado,Marlins,0.3,0.29,4.23130381303813,0.14471841535965557,1
17,Chris Bostick,J.T. Riddle,Marlins,0.3,0.237,0.5435982339955849,0.1444562780225607,3
18,Chris Bostick,Garrett Cooper,Marlins,0.3,0.276,0.5092592592592586,0.14792701670518518,0
19,Chris Bostick,Bryan Holaday,Marlins,0.3,0.23399999999999999,0.2530581039755351,0.1445390168512538,2
20,Chris Bostick,Yadiel Rivera,Marlins,0.3,0.185,0.7162004662004655,0.13967735413589744,3
21,Chris Bostick,Chad Wallach,Marlins,0.3,0.11900000000000001,0.583333333333333,0.13403160404666667,0
22,Starlin Castro,Starlin Castro,Marlins,0.282,0.282,0.0,1.0,1309
23,Starlin Castro,Brian Anderson,Marlins,0.282,0.27399999999999997,0.062365167709205416,0.14450255213334973,131
24,Starlin Castro,Isaac Galloway,Marlins,0.282,0.263,2.832790944464096,0.14023050422980543,22
25,Starlin Castro,Cameron Maybin,Marlins,0.282,0.254,0.8455252918287939,0.14180950701089493,97
26,Starlin Castro,Justin Bour,Marlins,0.282,0.261,1.432286931023738,0.14172519539719763,110
27,Starlin Castro,Austin Dean,Marlins,0.282,0.222,1.9009727626459143,0.13773635040980542,12
28,Starlin Castro,Tomas Telis,Marlins,0.282,0.23,3.757530139695094,0.1362253186681661,23
29,Starlin Castro,J.B. Shuck,Marlins,0.282,0.244,2.199471607911503,0.13931503548721882,69
30,Starlin Castro,Lewis Brinson,Marlins,0.282,0.175,2.7985918102649623,0.13253231256504353,83
31,Starlin Castro,Braxton Lee,Marlins,0.282,0.17600000000000002,3.5259727626459143,0.13175260648980544,8
32,Starlin Castro,Magneuris Sierra,Marlins,0.282,0.23,3.170972762645914,0.13692498776980544,27
33,Starlin Castro,J.T. Realmuto,Marlins,0.282,0.281,1.2725943842675362,0.1436745434546703,101
34,Starlin Castro,Rafael Ortega,Marlins,0.282,0.25,1.13934485566917,0.14110725520236356,18
35,Starlin Castro,Derek Dietrich,Marlins,0.282,0.254,1.2328840254445494,0.14134745001908872,125
36,Starlin Castro,Miguel Rojas,Marlins,0.282,0.255,2.9189399084364687,0.13942419813962065,127
37,Starlin Castro,Martin Prado,Marlins,0.282,0.29,0.49699771705888285,0.14539119336318346,52
