,Name1,Name2,Team,BAvg1,BAvg2,BO Differance,Corr,Count
0,Luis Urias,Luis Urias,Padres,0.375,0.375,0.0,1.0,2
1,Luis Urias,A.J. Ellis,Padres,0.375,0.24,5.180030257186082,0.15494646750801816,0
2,Luis Urias,Travis Jankowski,Padres,0.375,0.24100000000000002,2.158620689655172,0.15863846871655174,2
3,Luis Urias,Hunter Renfroe,Padres,0.375,0.24600000000000002,2.9237668161434973,0.15816548691103138,2
4,Luis Urias,Franmil Reyes,Padres,0.375,0.244,4.266666666666667,0.15638773621333335,2
5,Luis Urias,Cory Spangenberg,Padres,0.375,0.26,3.4246575342465757,0.15879920670684933,0
6,Luis Urias,Christian Villanueva,Padres,0.375,0.245,3.1885245901639347,0.15776173022786885,0
7,Luis Urias,Carlos Asuaje,Padres,0.375,0.24,2.645714285714286,0.15796950097142856,0
8,Luis Urias,Raffy Lopez,Padres,0.375,0.184,4.7631578947368425,0.15051892041684212,0
9,Luis Urias,Wil Myers,Padres,0.375,0.255,1.2533112582781456,0.1609495602986755,2
10,Luis Urias,Eric Hosmer,Padres,0.375,0.28,1.7898305084745765,0.16250815417627118,2
11,Luis Urias,Manuel Margot,Padres,0.375,0.258,1.1785714285714284,0.16130254201714284,2
12,Luis Urias,Jose Pirela,Padres,0.375,0.26,2.5318352059925093,0.1598642008928839,1
13,Luis Urias,Freddy Galvis,Padres,0.375,0.244,3.6251604621309372,0.15715295047435174,2
14,Luis Urias,Franchy Cordero,Padres,0.375,0.23399999999999999,2.3285714285714283,0.15782014353714285,0
15,Luis Urias,Austin Hedges,Padres,0.375,0.209,5.019685039370079,0.1524115000776378,2
16,Luis Urias,Matt Szczur,Padres,0.375,0.231,5.0523415977961434,0.15430729246848485,0
17,Luis Urias,Chase Headley,Padres,0.375,0.263,2.8997214484679663,0.15968920052740948,0
18,A.J. Ellis,A.J. Ellis,Padres,0.24,0.24,0.0,1.0,663
19,A.J. Ellis,Travis Jankowski,Padres,0.24,0.24100000000000002,3.0214095675309096,0.12924691203146643,42
20,A.J. Ellis,Hunter Renfroe,Padres,0.24,0.24600000000000002,2.2562634410425844,0.13059932403698676,42
21,A.J. Ellis,Franmil Reyes,Padres,0.24,0.244,0.9133635905194151,0.13202530265468482,28
22,A.J. Ellis,Cory Spangenberg,Padres,0.24,0.26,1.755372722939506,0.13242800880116884,41
23,A.J. Ellis,Christian Villanueva,Padres,0.24,0.245,1.991505667022147,0.1308271946801493,48
24,A.J. Ellis,Carlos Asuaje,Padres,0.24,0.24,2.5343159714717958,0.12973999373658957,33
25,A.J. Ellis,Raffy Lopez,Padres,0.24,0.184,0.4168723624492392,0.12734095605117604,7
26,A.J. Ellis,Wil Myers,Padres,0.24,0.255,3.926718998907936,0.12939822500934267,24
27,A.J. Ellis,Eric Hosmer,Padres,0.24,0.28,3.390199748711505,0.13223678213174694,53
28,A.J. Ellis,Manuel Margot,Padres,0.24,0.258,4.001458828614654,0.1295729014108753,49
29,A.J. Ellis,Jose Pirela,Padres,0.24,0.26,2.6481950511935723,0.13136301461513425,55
30,A.J. Ellis,Freddy Galvis,Padres,0.24,0.244,1.5548697950551444,0.13126008839366643,67
31,A.J. Ellis,Franchy Cordero,Padres,0.24,0.23399999999999999,2.8514588286146534,0.1288340349308753,16
32,A.J. Ellis,Austin Hedges,Padres,0.24,0.209,0.16034521781600297,0.12984552739038036,19
33,A.J. Ellis,Matt Szczur,Padres,0.24,0.231,0.12768865938993823,0.13181922787953332,22
34,A.J. Ellis,Chase Headley,Padres,0.24,0.263,2.2803088087181154,0.13206567310060868,9
35,Travis Jankowski,Travis Jankowski,Padres,0.24100000000000002,0.24100000000000002,0.0,1.0,296
