Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1159494564,mhb1892,0,182.35,P German Márquez P John Gant OF Mookie Betts OF Giancarlo Stanton SS Manny Machado OF Aaron Hicks 3B Johan Camargo 2B Eduardo Núñez C Jonathan Lucroy 1B Victor Martinez,,German Márquez,P,59.84%,38.2
2,1159206388,cjs5555,0,179.35,P German Márquez P Wade LeBlanc OF J.D. Martinez OF Mookie Betts OF Andrew Benintendi SS Xander Bogaerts 3B Kyle Seager 2B Niko Goodrum 1B Victor Martinez C James McCann,,Luke Voit,1B,34.40%,21
3,1159509465,komradeheavy,0,177.6,P Justin Verlander P German Márquez OF Mookie Betts OF Jackie Bradley Jr. 2B Ian Kinsler SS Brock Holt OF Harrison Bader 1B Victor Martinez 3B Ronny Rodriguez C James McCann,,Giancarlo Stanton,OF,29.48%,25
4,1159574871,no2hillary,0,174.6,P German Márquez P Robbie Ray OF Giancarlo Stanton OF Aaron Hicks 3B Miguel Andújar 2B Gleyber Torres 1B Luke Voit SS Andrelton Simmons OF Kole Calhoun C Jonathan Lucroy,,J.A. Happ,P,27.21%,-0.25
5,1159404291,bbaxter29,0,173.6,P German Márquez P Robbie Ray SS Alex Bregman OF Giancarlo Stanton 2B Gleyber Torres OF Nicholas Castellanos 1B Luke Voit 3B Jeimer Candelario OF Steven Souza Jr. C James McCann,,Eduardo Núñez,3B,26.20%,2
6,1159396634,jawish1963,0,172.6,P German Márquez P Robbie Ray OF Ronald Acuña Jr. 3B Justin Turner 2B Gleyber Torres OF Mitch Haniger SS Marwin González C Willson Contreras OF Steven Souza Jr. 1B Victor Martinez,,Sandy Leon,C,22.41%,2
7,1159624891,zachmassey13,0,172.35,P German Márquez P John Gant OF Giancarlo Stanton OF Aaron Hicks 2B Gleyber Torres OF Mitch Haniger 1B Luke Voit SS Marcus Semien C Francisco Cervelli 3B Kyle Seager,,Johan Camargo,3B,20.40%,10
8,1159549701,jganet13,0,171.35,P German Márquez P John Gant OF J.D. Martinez OF Giancarlo Stanton 3B Miguel Andújar 2B Gleyber Torres OF Mitch Haniger 1B Luke Voit C Sandy Leon SS Greg Garcia,,Rick Porcello,P,18.88%,10.65
9,1159505281,Evorscan3,0,170.6,P German Márquez P Robbie Ray OF Mookie Betts OF Giancarlo Stanton 2B Gleyber Torres OF A.J. Pollock 1B Luke Voit 3B Johan Camargo C James McCann SS Greg Garcia,,Miguel Andújar,3B,18.63%,3
10,1159550168,JoshHarrisonHOF,0,170.45,P German Márquez P Lucas Giolito OF Giancarlo Stanton SS Manny Machado OF Aaron Hicks 3B Miguel Andújar 2B Gleyber Torres OF Starling Marte 1B Freddie Freeman C Jonathan Lucroy,,Matt Adams,1B,17.79%,3
11,1159588673,patmygilkey,0,169.6,P German Márquez P Robbie Ray OF Mookie Betts OF Giancarlo Stanton OF Denard Span 2B Robinson Canó 1B Luke Voit SS Marcus Semien 3B Kyle Seager C James McCann,,Joe Musgrove,P,16.82%,12.7
12,1159603877,JoshLucas85,0,168.6,P German Márquez P Robbie Ray OF J.D. Martinez OF Giancarlo Stanton OF Starling Marte 2B Daniel Murphy 1B Luke Voit SS Johan Camargo C Mike Zunino 3B Ronny Rodriguez,,Mookie Betts,OF,16.53%,21
13,1159550458,Gabe57,0,166.6,P German Márquez P Robbie Ray OF Giancarlo Stanton OF Aaron Hicks 3B Miguel Andújar SS Carlos Correa OF Nicholas Castellanos C Kyle Higashioka 1B Victor Martinez 2B Ronny Rodriguez,,Aaron Hicks,OF,15.35%,10
14,1159486822,prada3281,0,163.85,P Rick Porcello P German Márquez OF Ronald Acuña Jr. OF Nicholas Castellanos C Kurt Suzuki SS Johan Camargo 3B Jeimer Candelario OF Mikie Mahtook 2B Niko Goodrum 1B Victor Martinez,,Marcus Semien,SS,14.80%,7
15,1159180766,nrlane24,0,163.35,P German Márquez P John Gant OF Giancarlo Stanton OF Aaron Hicks 3B Miguel Andújar 2B Gleyber Torres 1B Luke Voit SS Marcus Semien OF Matt Adams C Willson Contreras,,James McCann,C,13.88%,3
15,1159213304,brich1,0,163.35,P German Márquez P John Gant OF Giancarlo Stanton OF Aaron Hicks 3B Miguel Andújar 2B Gleyber Torres 1B Luke Voit SS Johan Camargo C Willson Contreras OF Adam Duvall,,Kyle Seager,3B,13.25%,4
15,1159440804,kfoley8486,0,163.35,P German Márquez P John Gant OF Giancarlo Stanton OF Aaron Hicks 3B Miguel Andújar 2B Gleyber Torres 1B Freddie Freeman OF Jackie Bradley Jr. SS Johan Camargo C Sandy Leon,,Marwin González,OF,12.78%,0
15,1159593549,neosable,0,163.35,P German Márquez P John Gant OF Giancarlo Stanton OF Aaron Hicks 3B Miguel Andújar 2B Gleyber Torres 1B Luke Voit OF Matt Holliday SS Johan Camargo C Sandy Leon,,Gleyber Torres,2B,12.74%,22
15,1159605707,mredcooper,0,163.35,P German Márquez P John Gant OF Giancarlo Stanton OF Aaron Hicks 3B Miguel Andújar 2B Gleyber Torres OF Nicholas Castellanos 1B Luke Voit SS Marcus Semien C James McCann,,Alex Bregman,3B,12.15%,5
20,1159491040,kuehnel24,0,162.35,P German Márquez P John Gant OF Mookie Betts 3B Matt Carpenter SS Manny Machado OF Ronald Acuña Jr. OF David Peralta 1B Luke Voit C James McCann 2B Greg Garcia,,Frankie Montas,P,12.11%,7.5
21,1159508872,luxury2017,0,161.6,P German Márquez P Robbie Ray OF Giancarlo Stanton 3B Miguel Andújar 2B Gleyber Torres OF José Martínez 1B Luke Voit OF Matt Adams C Willson Contreras SS Greg Garcia,,J.D. Martinez,OF,11.90%,18
22,1159613261,ryanmitchell81,0,161.35,P German Márquez P John Gant 3B Alex Bregman OF Giancarlo Stanton 2B Gleyber Torres OF Mitch Haniger SS Marwin González 1B Luke Voit OF Steven Souza Jr. C Mike Zunino,,George Springer,OF,11.65%,3
23,1159553913,TripleBar,0,160.7,P German Márquez P Frankie Montas OF J.D. Martinez OF Mookie Betts OF Andrew Benintendi SS Manny Machado 2B Ian Kinsler 3B Eduardo Núñez 1B Victor Martinez C James McCann,,Shane Robinson,OF,11.61%,0
24,1159431428,tannertovy,0,160.6,P German Márquez P Robbie Ray OF Giancarlo Stanton OF Aaron Hicks SS Xander Bogaerts 1B Tyler White OF Daniel Palka 3B Jeimer Candelario C Francisco Arcia 2B Ronny Rodriguez,,Steven Souza Jr.,OF,11.44%,8
24,1159526697,Martymart33,0,160.6,P Justin Verlander P German Márquez 2B Daniel Murphy 1B Freddie Freeman OF José Martínez OF Avisaíl García 3B Jeimer Candelario OF Niko Goodrum SS Jordy Mercer C James McCann,,John Gant,P,11.10%,25.15
26,1159440965,Patsywins123,0,160.45,P German Márquez P Lucas Giolito OF Giancarlo Stanton OF Ronald Acuña Jr. OF Aaron Hicks 3B Miguel Andújar 2B Gleyber Torres SS Kiké Hernández 1B Luke Voit C Jonathan Lucroy,,Justin Verlander,P,10.85%,24.4
27,1159108304,ccon33,0,160.35,P German Márquez P John Gant SS Trevor Story OF Giancarlo Stanton 3B Nolan Arenado 2B Gleyber Torres OF Jackie Bradley Jr. 1B Luke Voit OF Steven Souza Jr. C Sandy Leon,,Carlos Correa,SS,10.81%,0
27,1159385417,postalwolf,0,160.35,P German Márquez P Wade LeBlanc OF J.D. Martinez OF Giancarlo Stanton SS Xander Bogaerts 2B Jose Altuve 1B Matt Adams C Willson Contreras OF Niko Goodrum 3B David Fletcher,,Freddie Freeman,1B,10.56%,19
29,1159275687,AJSuperman,0,159.9,P German Márquez P Joe Musgrove OF Giancarlo Stanton SS Manny Machado OF Aaron Hicks 2B Gleyber Torres OF Daniel Palka 1B Luke Voit 3B Kyle Seager C Austin Barnes,,Jackie Bradley Jr.,OF,10.51%,9
29,1159553250,rip_mrmojorisin,0,159.9,P German Márquez P Joe Musgrove OF J.D. Martinez OF Mookie Betts OF Andrew Benintendi SS Trevor Story 2B Eduardo Núñez 1B Victor Martinez 3B Ronny Rodriguez C Sandy Leon,,Jose Altuve,2B,10.43%,8
31,1159540791,swediballs,0,159.85,P Rick Porcello P German Márquez OF J.D. Martinez 2B Gleyber Torres 1B Luke Voit SS Marcus Semien 3B Eduardo Núñez OF Steven Souza Jr. OF Niko Goodrum C James McCann,,Jonathan Lucroy,C,10.30%,0
31,1159600940,thehatchet0016,0,159.85,P Rick Porcello P German Márquez OF J.D. Martinez OF Mookie Betts OF Aaron Hicks 3B Kyle Seager SS Freddy Galvis 1B Victor Martinez 2B Ronny Rodriguez C James McCann,,Tyler White,1B,10.13%,19
33,1159392048,vetterunner,0,159.65,P German Márquez P Eric Lauer OF J.D. Martinez OF Giancarlo Stanton OF Aaron Hicks 3B Miguel Andújar 2B Gleyber Torres 1B Luke Voit SS Marcus Semien C Sandy Leon,,Greg Garcia,2B,10.01%,0
