Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1157060399,slekim1,0,154.2,P Kevin Gausman P Pablo L?pez 3B Nolan Arenado SS Javier B?ez 1B Anthony Rizzo OF Melky Cabrera OF Matt Holliday OF Jason Heyward C Willson Contreras 2B Jason Kipnis,,Daniel Murphy,1B,71.43%,0
2,1157030822,randlan,0,136.3,P Steven Matz P Pablo L?pez 1B Matt Carpenter OF Tyler O'Neill 2B Jedd Gyorko OF Harrison Bader SS Paul DeJong 3B Eugenio Su?rez OF Kyle Schwarber C Willson Contreras,,Willson Contreras,C,60.71%,0
3,1157050570,abragmania,0,135.45,P Shane Bieber P Kevin Gausman SS Javier B?ez 1B Anthony Rizzo 2B Daniel Murphy OF Kyle Schwarber 3B Matt Davidson OF Daniel Palka OF Avisa?l Garc?a C Omar Narv?ez,,Javier B?ez,2B,57.14%,0
4,1157054970,Xxero420,0,134.75,P Kevin Gausman P Tyler Anderson SS Javier B?ez 1B Anthony Rizzo 3B Matt Chapman OF Melky Cabrera 2B Daniel Murphy OF Kyle Schwarber OF Stephen Piscotty C Willson Contreras,,Kevin Gausman,P,50.00%,0
5,1157048387,Jcmurray5,0,132.2,P Kevin Gausman P Pablo L?pez 3B Matt Carpenter SS Javier B?ez 1B Anthony Rizzo OF Carlos Gonz?lez 2B Daniel Murphy OF Kyle Schwarber C Willson Contreras OF Avisa?l Garc?a,,Anthony Rizzo,1B,46.43%,0
6,1157024935,enok321,0,128.15,P Michael Kopech P Kevin Gausman 2B Javier B?ez OF Rhys Hoskins 1B Daniel Murphy SS Tim Anderson C Willson Contreras OF Avisa?l Garc?a 3B Yolmer S?nchez OF Billy McKinney,,Kyle Schwarber,OF,46.43%,0
6,1157025693,Mikesange77,0,128.15,P Michael Kopech P Kevin Gausman 1B Kendrys Morales 3B Eugenio Su?rez OF Michael Conforto 2B Daniel Murphy OF Kyle Schwarber SS Asdr?bal Cabrera OF Billy McKinney C Omar Narv?ez,,Pablo L?pez,P,35.71%,0
8,1157031774,yawil18,0,126.7,P Kevin Gausman P Vince Velasquez SS Javier B?ez 1B Anthony Rizzo OF Michael Conforto 2B Daniel Murphy OF Jason Heyward 3B Maikel Franco C Willson Contreras OF Jay Bruce,,Nolan Arenado,3B,28.57%,0
9,1157049985,ThePhillyOffensive,0,122.45,P Shane Bieber P Kevin Gausman OF Christian Yelich OF Gregory Polanco OF Lorenzo Cain 1B Carlos Santana 2B Adam Frazier SS Amed Rosario 3B Matt Duffy C Curt Casali,,Avisa?l Garc?a,OF,28.57%,0
10,1157042050,FeartheBrownie,0,121.15,P Michael Kopech P Kevin Gausman OF Christian Yelich 1B Daniel Murphy OF Kyle Schwarber SS Tim Anderson OF Jason Heyward 3B Matt Davidson 2B Yo?n Moncada C James McCann,,Michael Kopech,P,21.43%,0
11,1157033822,castrma1,0,120.2,P Blake Snell P Michael Kopech SS Javier B?ez OF Kyle Schwarber 2B Joey Wendle 3B David Bote OF Jay Bruce 1B Hunter Dozier OF Brandon Lowe C Roberto P?rez,,Shane Bieber,P,21.43%,0
12,1157063085,Chowzor,0,119.3,P Steven Matz P Pablo L?pez SS Trevor Story 3B Nolan Arenado 2B Javier B?ez 1B Anthony Rizzo OF Kyle Schwarber OF Jason Heyward C Willson Contreras OF Avisa?l Garc?a,,Carlos Gonz?lez,OF,17.86%,0
13,1157051778,bards22,0,118.45,P Shane Bieber P Kevin Gausman SS Javier B?ez 1B Anthony Rizzo OF Rhys Hoskins 2B Daniel Murphy C Willson Contreras OF Billy Hamilton 3B Yolmer S?nchez OF Billy McKinney,,Jason Heyward,OF,17.86%,0
14,1157045494,kjs3md,0,116.75,P Kevin Gausman P Tyler Anderson 3B Jos? Ram?rez OF Starling Marte 1B Edwin Encarnacion OF Rhys Hoskins SS Trea Turner 2B Daniel Murphy OF Avisa?l Garc?a C Omar Narv?ez,,Jay Bruce,OF,17.86%,0
15,1157040960,richard694,0,114.2,P Kevin Gausman P Pablo L?pez 1B Matt Carpenter OF Khris Davis SS Javier B?ez 2B Daniel Murphy OF Kyle Schwarber OF Greg Allen C Willson Contreras 3B Colin Moran,,Billy McKinney,OF,17.86%,0
16,1157053879,Creamer221,0,113.75,P Kevin Gausman 3B Jos? Ram?rez SS Francisco Lindor 1B Anthony Rizzo OF Michael Brantley 2B Daniel Murphy OF Kyle Schwarber C Willson Contreras OF Avisa?l Garc?a P Chris Bassitt,,Matt Holliday,OF,14.29%,0
17,1157036303,FHUSlater2000,0,113.15,P Kyle Hendricks P Nathan Eovaldi OF Christian Yelich 1B Ryan Zimmerman OF Lorenzo Cain OF Ryan Braun 3B Anthony Rendon 2B Daniel Murphy C Manny Pi?a SS Adeiny Hechavarria,,Steven Matz,P,10.71%,0
18,1157053382,samiheno,0,108.5,P Jos? Berr?os P Kevin Gausman 3B Nolan Arenado 1B Anthony Rizzo OF Carlos Gonz?lez 2B Daniel Murphy OF Kyle Schwarber C Willson Contreras OF Avisa?l Garc?a SS Alcides Escobar,,Trevor Story,SS,10.71%,0
19,1157071199,bengaltony,0,107.2,P Michael Kopech P Jordan Zimmermann OF Starling Marte OF Gregory Polanco OF Lorenzo Cain 3B Travis Shaw 1B Carlos Santana 2B Adam Frazier SS Marcus Semien C Sandy Leon,,Christian Yelich,OF,10.71%,0
20,1157031014,Goon675,0,100.25,P Blake Snell P Pablo L?pez SS Javier B?ez 1B Edwin Encarnacion 3B Anthony Rendon C Francisco Cervelli 2B Lourdes Gurriel Jr. OF Daniel Palka OF Scott Schebler OF Michael A. Taylor,,Matt Carpenter,1B,10.71%,0
21,1157069978,brettdogs,0,99.8,P Michael Kopech OF Mookie Betts OF Charlie Blackmon OF Starling Marte 1B Freddie Freeman SS Yairo Mu?oz C Willson Contreras 2B Jason Kipnis 3B Eduardo N??ez P Chris Bassitt,,Starling Marte,OF,10.71%,0
