Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1138973326,cel1122,0,152,P Chris Sale P Chase Anderson 3B Nolan Arenado 1B Edwin Encarnacion OF Justin Upton OF Curtis Granderson OF Jordan Luplow SS Paul DeJong 2B Lourdes Gurriel Jr. C Sandy Leon,,Chris Sale,P,56.45%,29.9
2,1138965440,skateboy429,0,149,P Chris Sale P Chase Anderson 3B Nolan Arenado OF Rhys Hoskins OF Curtis Granderson OF Jordan Luplow 1B David Freese 2B Josh Harrison SS Marwin González C Jonathan Lucroy,,Marwin González,SS,38.71%,2
3,1138999297,bhpickard,0,143.85,P Max Scherzer P Ivan Nova OF Bryce Harper OF Matt Adams OF Jason Heyward SS Paul DeJong 3B Yangervis Solarte 1B David Freese 2B Sean Rodríguez C Russell Martin,,Chase Anderson,P,35.48%,19.1
4,1138976427,madmanholleran,0,143.45,P Chris Sale P Anthony DeSclafani SS Marcus Semien 1B Anthony Rizzo OF Joc Pederson 3B Matt Chapman OF Curtis Granderson 2B Lourdes Gurriel Jr. OF Marwin González C Jonathan Lucroy,,Curtis Granderson,OF,35.48%,20
5,1138971210,dexter_dexter,0,143,P Carlos Carrasco P Zack Greinke 1B Paul Goldschmidt OF Justin Upton OF Curtis Granderson SS Paul DeJong 2B Lourdes Gurriel Jr. OF Marwin González 3B David Fletcher C Sandy Leon,,Sandy Leon,C,30.65%,0
5,1138997523,Steele928,0,143,P Chris Sale P Chase Anderson 2B Jed Lowrie OF Stephen Piscotty 3B Matt Chapman OF Curtis Granderson OF Jordan Luplow 1B Ryan Braun SS Lourdes Gurriel Jr. C Jeff Mathis,,Jordan Luplow,OF,25.81%,6
5,1138999983,mrcse13,0,143,P Chris Sale P Chase Anderson 3B Nolan Arenado 1B Edwin Encarnacion OF Curtis Granderson OF Jordan Luplow SS Lourdes Gurriel Jr. OF Noel Cuevas 2B Josh Harrison C Jonathan Lucroy,,Nolan Arenado,3B,24.19%,17
8,1138988392,niqjones,0,140.1,P Max Scherzer P Chase Anderson OF Mark Canha 3B Matt Chapman SS Trea Turner OF Randal Grichuk 1B Yuli Gurriel OF Curtis Granderson 2B Eduardo Núñez C Sandy Leon,,David Fletcher,3B,24.19%,5
9,1138960307,Renodog,0,140.05,P Chris Sale P Zack Greinke OF Curtis Granderson OF Jordan Luplow 2B Yangervis Solarte SS Lourdes Gurriel Jr. 1B Sean Rodríguez OF Mason Williams 3B David Fletcher C Sandy Leon,,Lourdes Gurriel Jr.,SS,24.19%,33
10,1138980207,btmaresca,0,136.25,P Zack Greinke P Chase Anderson OF Khris Davis 3B Nolan Arenado 2B Jed Lowrie 1B Justin Smoak OF Jordan Luplow SS Lourdes Gurriel Jr. OF Noel Cuevas C José Briceño,,Josh Harrison,2B,19.35%,5
