Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1156090219,dwactor (1/2),0,165.6,P Mike Clevinger P Rich Hill OF Carlos González 1B José Martínez 3B Mike Moustakas SS Lourdes Gurriel Jr. 2B Neil Walker OF Marwin González OF Brandon Lowe C René Rivera,,Brian Dozier,2B,51.01%,16
2,1156075252,kartoffeln777,0,162,P Rich Hill P Erasmo Ramírez OF Carlos González OF Tyler O'Neill 1B José Martínez C Yadier Molina 2B Brian Dozier SS Trea Turner 3B Matt Chapman OF Marwin González,,Rich Hill,P,50.89%,31.7
3,1155729982,SUNSET76 (1/3),0,161.75,P Rich Hill P Zack Godley SS Manny Machado 3B Anthony Rendon 2B Brian Dozier OF Starling Marte OF Andrew McCutchen 1B Yonder Alonso OF Alex Gordon C James McCann,,Alex Cobb,P,35.15%,17.9
3,1155729983,SUNSET76 (2/3),0,161.75,P Rich Hill P Zack Godley SS Manny Machado 3B Anthony Rendon 2B Brian Dozier OF Starling Marte OF Andrew McCutchen 1B Yonder Alonso OF Alex Gordon C James McCann,,Gio Gonzalez,P,34.79%,12.95
5,1155842394,Doubleyoke (1/3),0,160.8,P Rich Hill P Andrew Heaney 1B Edwin Encarnacion 3B Matt Chapman OF Starling Marte OF Andrew McCutchen 2B Gleyber Torres OF Randal Grichuk C Yan Gomes SS Aledmys Díaz,,Rhys Hoskins,OF,34.79%,3
5,1155842408,Doubleyoke (2/3),0,160.8,P Rich Hill P Andrew Heaney 1B Edwin Encarnacion 3B Matt Chapman OF Starling Marte OF Andrew McCutchen 2B Gleyber Torres OF Randal Grichuk C Yan Gomes SS Aledmys Díaz,,Matt Carpenter,1B,30.89%,0
5,1155842428,Doubleyoke (3/3),0,160.8,P Rich Hill P Andrew Heaney 1B Edwin Encarnacion 3B Matt Chapman OF Starling Marte OF Andrew McCutchen 2B Gleyber Torres OF Randal Grichuk C Yan Gomes SS Aledmys Díaz,,Trea Turner,SS,30.65%,0
8,1155663125,TrojanMan83 (1/3),0,159.65,P Rich Hill P Gio Gonzalez OF Charlie Blackmon 3B Nolan Arenado SS Manny Machado 2B Brian Dozier 1B Yonder Alonso OF Randal Grichuk C Tony Wolters OF Jay Bruce,,Yadier Molina,C,29.70%,5
8,1155671603,TrojanMan83 (2/3),0,159.65,P Rich Hill P Gio Gonzalez OF Charlie Blackmon 3B Nolan Arenado SS Manny Machado 2B Brian Dozier 1B Yonder Alonso OF Randal Grichuk C Tony Wolters OF Jay Bruce,,Matt Kemp,OF,25.33%,3
8,1155671609,TrojanMan83 (3/3),0,159.65,P Rich Hill P Gio Gonzalez OF Charlie Blackmon 3B Nolan Arenado SS Manny Machado 2B Brian Dozier 1B Yonder Alonso OF Randal Grichuk C Tony Wolters OF Jay Bruce,,Alex Gordon,OF,24.14%,8
8,1155679757,deuces_wild (1/3),0,159.65,P Rich Hill P Gio Gonzalez OF Charlie Blackmon 3B Nolan Arenado SS Manny Machado 2B Brian Dozier 1B Yonder Alonso OF Randal Grichuk C Tony Wolters OF Jay Bruce,,Manny Machado,SS,23.79%,2
8,1155679758,deuces_wild (2/3),0,159.65,P Rich Hill P Gio Gonzalez OF Charlie Blackmon 3B Nolan Arenado SS Manny Machado 2B Brian Dozier 1B Yonder Alonso OF Randal Grichuk C Tony Wolters OF Jay Bruce,,James McCann,C,23.08%,3
8,1155679759,deuces_wild (3/3),0,159.65,P Rich Hill P Gio Gonzalez OF Charlie Blackmon 3B Nolan Arenado SS Manny Machado 2B Brian Dozier 1B Yonder Alonso OF Randal Grichuk C Tony Wolters OF Jay Bruce,,Tyler O'Neill,OF,20.83%,23
