Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1155694429,jstraight419 (6/7),0,175.6,P Mike Clevinger P Rich Hill 2B Brian Dozier 1B Tyler White OF Andrew McCutchen 3B Evan Longoria SS Nick Ahmed OF Billy McKinney C Mike Zunino OF Adam Engel,,Rich Hill,P,28.69%,31.7
2,1155594116,cptnspaulding (2/7),0,169.2,P Mike Clevinger P Erasmo Ramírez 3B Alex Bregman OF Tyler O'Neill 1B José Martínez C Yadier Molina 2B Jose Altuve SS Carlos Correa OF Marwin González OF Josh Reddick,,Alex Cobb,P,19.83%,17.9
3,1155671971,jgAllDay (5/7),0,163.6,P Mike Clevinger P Jason Vargas OF Michael Brantley 3B Justin Turner SS Manny Machado 2B Brian Dozier OF Matt Kemp OF Chris Taylor 1B Yonder Alonso C Yan Gomes,,Zack Godley,P,18.99%,11.05
4,1155594117,cptnspaulding (3/7),0,153,P Rich Hill P Erasmo Ramírez OF Giancarlo Stanton SS Francisco Lindor OF Michael Brantley 3B Miguel Andújar 1B Yonder Alonso 2B Gleyber Torres OF Greg Allen C Yan Gomes,,Yadier Molina,C,17.72%,5
5,1155735547,melmarco (3/3),0,147,P Mike Clevinger 3B Mike Moustakas OF Stephen Piscotty OF Austin Jackson 1B Ji-Man Choi 2B Joe Panik OF Hernán Pérez SS Marwin González C Sandy Leon P Mike Foltynewicz,,Gio Gonzalez,P,17.30%,12.95
6,1155770414,fairwaysandgreen (2/2),0,145.8,P Rich Hill 1B Yonder Alonso 3B Mike Moustakas OF Avisaíl García 2B Jonathan Schoop OF Nomar Mazara C Salvador Perez OF Trey Mancini SS Elvis Andrus P Mike Foltynewicz,,Mike Clevinger,P,16.03%,19.9
7,1155694440,jstraight419 (7/7),0,145.6,P Mike Clevinger P Rich Hill 3B Justin Turner 2B Brian Dozier SS Lourdes Gurriel Jr. OF Marwin González C Alex Avila OF Billy McKinney OF Mikie Mahtook 1B Ronald Guzmán,,Matt Carpenter,1B,14.77%,0
8,1155675299,andrealking2 (3/7),0,144.05,P Gio Gonzalez 3B Alex Bregman OF Tyler O'Neill 1B José Martínez 2B Jose Altuve C Martín Maldonado OF Tony Kemp SS Marwin González OF Alex Gordon P Mike Foltynewicz,,Tyler O'Neill,OF,14.35%,23
9,1155735549,stayeduptolate,0,143.8,P Rich Hill OF Carlos González 1B José Martínez SS Lourdes Gurriel Jr. 2B Neil Walker 3B Evan Longoria OF Alex Gordon OF Brandon Lowe C René Rivera P Mike Foltynewicz,,Trea Turner,SS,13.92%,0
10,1155671970,jgAllDay (4/7),0,143.15,P Zack Godley P Dan Straily 3B José Ramírez SS Alex Bregman OF Michael Brantley 2B Jose Altuve 1B Tyler White C Yan Gomes OF Marwin González OF Josh Reddick,,Rhys Hoskins,OF,13.50%,3
11,1155831976,StealSecond,0,143,P Rich Hill P CC Sabathia OF Mitch Haniger 1B Kendrys Morales OF Starling Marte SS Amed Rosario 2B Joey Wendle 3B Eduardo Núñez OF Tony Kemp C Michael Pérez,,Alex Gordon,OF,13.50%,8
12,1155686096,jstraight419 (5/7),0,141.95,P Mike Clevinger P Zack Godley 3B Justin Turner OF Nicholas Castellanos OF Andrew McCutchen SS Lourdes Gurriel Jr. 1B Neil Walker OF Billy McKinney 2B Devon Travis C Austin Hedges,,Mike Foltynewicz,P,13.08%,25.1
13,1155712537,packmanmatt (1/3),0,140.8,P Rich Hill SS Carlos Correa OF Matt Kemp OF Andrew McCutchen 1B Brandon Belt 3B Evan Longoria 2B Devon Travis OF Mikie Mahtook C James McCann P Mike Foltynewicz,,Matt Chapman,3B,12.66%,18
14,1155700904,signupfree (1/7),0,140.75,P Rich Hill P Zack Godley OF Giancarlo Stanton OF Tyler O'Neill 2B Brian Dozier 3B Matt Chapman 1B Neil Walker C Matt Wieters OF Alex Gordon SS Ronald Torreyes,,Brian Dozier,2B,12.24%,16
14,1155700910,signupfree (2/7),0,140.75,P Rich Hill P Zack Godley OF Giancarlo Stanton OF Tyler O'Neill 2B Brian Dozier 3B Matt Chapman 1B Neil Walker C Matt Wieters OF Alex Gordon SS Ronald Torreyes,,Khris Davis,OF,11.81%,0
14,1155700919,signupfree (3/7),0,140.75,P Rich Hill P Zack Godley OF Giancarlo Stanton OF Tyler O'Neill 2B Brian Dozier 3B Matt Chapman 1B Neil Walker C Matt Wieters OF Alex Gordon SS Ronald Torreyes,,Anthony Rendon,3B,10.97%,5
14,1155700931,signupfree (4/7),0,140.75,P Rich Hill P Zack Godley OF Giancarlo Stanton OF Tyler O'Neill 2B Brian Dozier 3B Matt Chapman 1B Neil Walker C Matt Wieters OF Alex Gordon SS Ronald Torreyes,,José Martínez,1B,10.55%,10
14,1155709388,signupfree (5/7),0,140.75,P Rich Hill P Zack Godley OF Giancarlo Stanton OF Tyler O'Neill 2B Brian Dozier 3B Matt Chapman 1B Neil Walker C Matt Wieters OF Alex Gordon SS Ronald Torreyes,,James McCann,C,10.55%,3
14,1155709393,signupfree (6/7),0,140.75,P Rich Hill P Zack Godley OF Giancarlo Stanton OF Tyler O'Neill 2B Brian Dozier 3B Matt Chapman 1B Neil Walker C Matt Wieters OF Alex Gordon SS Ronald Torreyes,,Matt Kemp,OF,9.70%,3
14,1155709468,signupfree (7/7),0,140.75,P Rich Hill P Zack Godley OF Giancarlo Stanton OF Tyler O'Neill 2B Brian Dozier 3B Matt Chapman 1B Neil Walker C Matt Wieters OF Alex Gordon SS Ronald Torreyes,,Neil Walker,1B,9.70%,22
21,1155820071,jd197305,0,138.65,P Rich Hill P Gio Gonzalez OF Khris Davis SS Trevor Story OF Tyler O'Neill 1B José Martínez 3B Matt Chapman C Yan Gomes OF Alex Gordon 2B Brandon Lowe,,Lourdes Gurriel Jr.,SS,9.70%,5
22,1155821086,aney2888,0,135.65,P Dallas Keuchel OF Adam Jones 2B Jonathan Villar 1B Yonder Alonso 3B Yolmer Sánchez OF Nomar Mazara SS Lourdes Gurriel Jr. C Matt Wieters OF Alex Gordon P Mike Foltynewicz,,Manny Machado,SS,9.28%,2
23,1155724948,melmarco (1/3),0,135.4,P Miles Mikolas OF Nicholas Castellanos 3B Matt Chapman 2B Ozzie Albies OF Cedric Mullins OF Nick Markakis 1B Yonder Alonso SS Marwin González C Jonathan Lucroy P Mike Foltynewicz,,Ronald Acuña Jr.,OF,9.28%,5
24,1155715430,sstone01,0,134.75,P Rich Hill P Zack Godley 2B Jedd Gyorko 3B Anthony Rendon OF Starling Marte SS Carlos Correa 1B Tyler Austin OF Nick Martini OF Alex Gordon C Michael Pérez,,CC Sabathia,P,9.28%,21.3
25,1155656762,sasmallen (3/6),0,134.4,P Erasmo Ramírez SS Paul DeJong OF Rhys Hoskins 1B José Martínez 2B Brian Dozier 3B Matt Chapman OF Matt Kemp OF Andrew McCutchen C James McCann P Mike Foltynewicz,,Francisco Lindor,SS,8.86%,3
26,1155740728,penninop (2/7),0,133.25,P Rich Hill P Dallas Keuchel OF Shin-soo Choo 1B Joey Gallo OF Whit Merrifield 2B Rougned Odor 3B Jurickson Profar SS Adalberto Mondesi C Isiah Kiner-Falefa OF Alex Gordon,,Michael Brantley,OF,8.86%,10
27,1155825492,tcoker002,0,132.6,P Rich Hill P Alex Cobb 1B Matt Carpenter OF Michael Brantley 3B Justin Turner SS Manny Machado OF Tyler O'Neill 2B Brian Dozier OF Alex Gordon C James McCann,,Justin Turner,3B,8.44%,21
28,1155768077,Chunkyblue,0,131.65,P Rich Hill P Gio Gonzalez OF Tyler O'Neill 1B José Martínez C Yadier Molina 2B Brian Dozier SS Trea Turner 3B Matt Chapman OF Avisaíl García OF Alex Gordon,,Yan Gomes,C,8.44%,11
29,1155774657,Keendom,0,130.75,P Rich Hill P Zack Godley OF Nicholas Castellanos 3B Matt Chapman OF Matt Kemp 2B Gleyber Torres OF Greg Allen SS Lourdes Gurriel Jr. 1B Neil Walker C Mitch Garver,,J.D. Martinez,OF,8.44%,11
30,1155594119,cptnspaulding (5/7),0,130.65,P Rich Hill P Gio Gonzalez OF Charlie Blackmon 3B Nolan Arenado OF Aaron Hicks OF Brett Gardner 2B Gleyber Torres 1B Neil Walker C Tony Wolters SS Ronald Torreyes,,Bryce Harper,OF,8.44%,0
31,1155650472,Nycsourdiesel,0,129.8,P Mike Clevinger P Alex Cobb SS Alex Bregman OF Carlos González 3B Justin Turner 1B Kendrys Morales 2B Travis Shaw C Martín Maldonado OF Austin Jackson OF Marwin González,,Dan Straily,P,8.44%,23.1
32,1155594115,cptnspaulding (1/7),0,127.65,P Rich Hill P Gio Gonzalez 3B Justin Turner SS Manny Machado 2B Brian Dozier OF Matt Kemp C Yasmani Grandal 1B Matt Olson OF Stephen Piscotty OF Nick Martini,,José Ramírez,3B,8.02%,7
33,1155686093,jstraight419 (4/7),0,125.2,P Mike Clevinger P Miles Mikolas OF Ronald Acuña Jr. 1B Ryan Zimmerman OF Andrew McCutchen SS Amed Rosario 3B Evan Longoria OF Marwin González C Mike Zunino 2B Devon Travis,,Nolan Arenado,3B,7.59%,19
