Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1141344520,qtpie64 (4/4),0,152.4,P Carlos Carrasco P Sean Manaea OF Giancarlo Stanton OF Brett Gardner 2B Gleyber Torres 1B Greg Bird 3B Tim Beckham SS Marwin González OF Shane Robinson C Curt Casali,,Sonny Gray,P,45.89%,-8
1,1141513942,spookflyer (6/10),0,152.4,P Carlos Carrasco P Sean Manaea OF Giancarlo Stanton 2B Gleyber Torres 3B Jeimer Candelario SS José Peraza OF JaCoby Jones OF Billy Hamilton C Russell Martin 1B Yuli Gurriel,,Sean Manaea,P,33.68%,21.3
3,1141404242,tutigers2001 (3/4),0,145.35,P Carlos Carrasco P Adalberto Mejía SS Didi Gregorius OF Giancarlo Stanton 2B Gleyber Torres OF Adam Jones 1B Chris Davis OF Trey Mancini 3B Danny Valencia C Austin Romine,,Giancarlo Stanton,OF,33.68%,5
4,1141513940,spookflyer (4/10),0,145.3,P Carlos Carrasco P Sal Romano OF Giancarlo Stanton 3B Alex Bregman 1B Edwin Encarnacion 2B Gleyber Torres OF Niko Goodrum SS Tim Beckham OF JaCoby Jones C Russell Martin,,Gleyber Torres,2B,33.68%,34
5,1141427811,sstone01,0,143.45,P Carlos Carrasco P Dallas Keuchel 2B Gleyber Torres OF Adam Jones OF Randal Grichuk SS José Peraza OF Niko Goodrum 3B Tim Beckham C Russell Martin 1B Victor Martinez,,José Ramírez,3B,30.95%,8
6,1141502934,Aondis1 (1/2),0,142.4,P Carlos Carrasco P Alex Cobb 3B José Ramírez SS Didi Gregorius OF Nelson Cruz 2B Dee Gordon C Yan Gomes 1B Chris Davis OF Danny Valencia OF Marwin González,,Didi Gregorius,SS,27.37%,11
6,1141503121,Aondis1 (2/2),0,142.4,P Carlos Carrasco P Alex Cobb 3B José Ramírez SS Didi Gregorius OF Nelson Cruz 2B Dee Gordon C Yan Gomes 1B Chris Davis OF Danny Valencia OF Marwin González,,Niko Goodrum,2B,25.89%,13
8,1141518794,tvand2514 (4/7),0,141.3,P Carlos Carrasco P Sal Romano SS Didi Gregorius OF Aaron Hicks 2B Gleyber Torres 1B Greg Bird 3B Miguel Andújar OF Preston Tucker OF Billy Hamilton C Curt Casali,,Francisco Lindor,SS,25.68%,6
9,1141331195,penninop (1/10),0,140.45,P Carlos Carrasco P Dallas Keuchel OF Nelson Cruz SS Jean Segura 2B Gleyber Torres OF Mitch Haniger 3B Tim Beckham 1B Victor Martinez C Max Stassi OF Guillermo Heredia,,Sal Romano,P,24.63%,5.2
10,1141439228,stormduhamel (2/2),0,139.45,P Carlos Carrasco P Dallas Keuchel 2B Gleyber Torres OF Mark Canha OF Nicholas Castellanos 3B Jeimer Candelario OF Nick Martini SS Tim Beckham 1B John Hicks C Max Stassi,,Brett Gardner,OF,24.00%,3
11,1141486871,sinslappa-pick6 (7/10),0,139.4,P Carlos Carrasco P Sean Manaea OF Giancarlo Stanton 1B Joey Votto 2B Gleyber Torres OF Brandon Guyer SS Tim Beckham 3B Danny Valencia OF Mason Williams C Curt Casali,,Aaron Hicks,OF,23.58%,9
12,1141291693,cptnspaulding (3/10),0,139.35,P Sean Manaea P Marcus Stroman SS Didi Gregorius OF Giancarlo Stanton 3B Alex Bregman 2B Gleyber Torres OF Tony Kemp 1B Yuli Gurriel OF Marwin González C Max Stassi,,Carlos Carrasco,P,23.37%,38.1
13,1141410228,cheetah917 (1/4),0,139.3,P Carlos Carrasco P Sal Romano 3B José Ramírez OF Khris Davis 2B Gleyber Torres OF Mark Canha 1B Chris Davis SS Marcus Semien OF Stephen Piscotty C Jonathan Lucroy,,Dallas Keuchel,P,22.53%,12.35
14,1141428262,legggggggggy (2/3),0,138.45,P Carlos Carrasco P Dallas Keuchel 3B Matt Chapman 2B Gleyber Torres OF Nick Martini 1B Chris Davis SS Marcus Semien OF Rajai Davis OF Stephen Piscotty C Jonathan Lucroy,,Khris Davis,OF,20.84%,7
15,1141486878,sinslappa-pick6 (8/10),0,138.1,P Carlos Carrasco P Sonny Gray OF Giancarlo Stanton 2B Gleyber Torres 3B Jeimer Candelario SS José Peraza C Russell Martin 1B Yuli Gurriel OF Mason Williams OF Marwin González,,Scooter Gennett,2B,20.42%,0
16,1141337696,penninop (4/10),0,137.3,P Carlos Carrasco P Sal Romano SS Didi Gregorius OF Giancarlo Stanton 2B Gleyber Torres 1B Greg Bird OF Nicholas Castellanos 3B Danny Valencia OF JaCoby Jones C Max Stassi,,Nicholas Castellanos,OF,18.95%,0
17,1141488148,metacognition (3/3),0,136.4,P Carlos Carrasco P Alex Cobb OF Khris Davis 2B Scooter Gennett OF Nelson Cruz 3B Eugenio Suárez OF Mitch Haniger 1B Matt Olson SS Marcus Semien C Jonathan Lucroy,,Joey Votto,1B,18.32%,5
18,1141336401,Muzzo,0,135.3,P Carlos Carrasco P Sal Romano SS Francisco Lindor OF Giancarlo Stanton OF Aaron Hicks 3B Eugenio Suárez 2B Gleyber Torres 1B Jim Adduci OF Shane Robinson C Curt Casali,,Wade LeBlanc,P,17.68%,-4.25
19,1141364373,kevinthieleman (2/6),0,134.45,P Carlos Carrasco P Dallas Keuchel OF Aaron Hicks 2B Gleyber Torres SS José Peraza OF Phillip Ervin 1B Chris Davis 3B Tim Beckham OF Danny Valencia C Curt Casali,,Nelson Cruz,OF,17.47%,14
19,1141364439,kevinthieleman (4/6),0,134.45,P Carlos Carrasco P Dallas Keuchel OF Aaron Hicks 2B Gleyber Torres SS José Peraza OF Phillip Ervin 1B Chris Davis 3B Tim Beckham OF Danny Valencia C Curt Casali,,Rajai Davis,OF,17.05%,5
21,1141447087,aanderson61 (8/10),0,134.4,P Carlos Carrasco P Sean Manaea OF Khris Davis 3B Alex Bregman OF Nick Martini 2B Niko Goodrum OF Stephen Piscotty 1B Victor Martinez SS Marwin González C Curt Casali,,Yan Gomes,C,16.42%,5
22,1141447083,aanderson61 (4/10),0,133.4,P Carlos Carrasco P Sean Manaea OF Nelson Cruz 3B Matt Chapman OF Nick Martini 2B Niko Goodrum OF Stephen Piscotty C John Hicks 1B Yuli Gurriel SS Marwin González,,Curt Casali,C,16.42%,11
23,1141463422,crobi31725 (1/3),0,132.4,P Carlos Carrasco P Sean Manaea OF Giancarlo Stanton OF Brett Gardner 2B Gleyber Torres SS Tim Beckham C John Hicks 3B Danny Valencia OF Mason Williams 1B Victor Martinez,,Greg Bird,1B,15.79%,5
24,1141400904,icehole3 (2/2),0,132.3,P Carlos Carrasco P Sal Romano SS Didi Gregorius OF Giancarlo Stanton 2B Gleyber Torres 1B Greg Bird 3B Miguel Andújar OF Phillip Ervin OF Preston Tucker C Curt Casali,,Edwin Encarnacion,1B,15.58%,7
