Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1140094968,Matt_Stubbz13,0,185.45,P Marco Gonzales P Clay Buchholz 1B Paul Goldschmidt SS Nick Ahmed OF Denard Span OF Justin Upton OF Andrew McCutchen 2B Dee Gordon C Buster Posey 3B David Fletcher,,Clay Buchholz,P,64.58%,19.35
2,1140055163,drc303,0,184.45,P Marco Gonzales P Clay Buchholz OF Christian Yelich 1B Paul Goldschmidt SS Nick Ahmed 2B Dee Gordon OF Hernán Pérez C Buster Posey OF Ben Gamel 3B David Fletcher,,Mike Trout,OF,56.31%,11
3,1139881464,Hmm425 (1/3),0,174.45,P Clay Buchholz P Andrew Suárez OF Mike Trout OF A.J. Pollock 1B Paul Goldschmidt SS Nick Ahmed OF Denard Span 2B Dee Gordon C Buster Posey 3B Pablo Sandoval,,Junior Guerra,P,48.19%,4.2
4,1140066166,downhomedogg,0,172.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock SS Nick Ahmed 2B Ketel Marte 3B Mike Moustakas OF Dee Gordon 1B Ryan Braun C Buster Posey OF Ben Gamel,,Paul Goldschmidt,1B,41.79%,19
5,1139730978,AceTurbo (5/8),0,168.45,P Marco Gonzales P Clay Buchholz OF Christian Yelich 1B Paul Goldschmidt SS Ketel Marte 2B Dee Gordon OF Hernán Pérez C Buster Posey OF Ben Gamel 3B David Fletcher,,Dee Gordon,OF,37.10%,16
6,1140078207,maddog8 (3/16),0,167.45,P Marco Gonzales P Clay Buchholz OF Mike Trout 1B Paul Goldschmidt SS Nick Ahmed OF Ryan Braun 2B Hernán Pérez 3B Jefry Marte C Mike Zunino OF Ben Gamel,,Christian Yelich,OF,34.82%,8
6,1140086204,maddog8 (7/16),0,167.45,P Marco Gonzales P Clay Buchholz OF Mike Trout 1B Paul Goldschmidt SS Nick Ahmed OF Ryan Braun 2B Hernán Pérez 3B Jefry Marte C Mike Zunino OF Ben Gamel,,Mike Moustakas,3B,34.16%,3
6,1140096593,mahi1958 (2/2),0,167.45,P Clay Buchholz P Andrew Suárez OF Mike Trout OF A.J. Pollock 1B Paul Goldschmidt SS Jean Segura OF Justin Upton 2B Dee Gordon C Buster Posey 3B Pablo Sandoval,,Jean Segura,SS,32.90%,9
9,1140059699,frasig (2/4),0,166.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock 1B Paul Goldschmidt SS Nick Ahmed 2B Ketel Marte OF Ryan Braun OF Hernán Pérez 3B Pablo Sandoval C Mike Zunino,,Marco Gonzales,P,32.74%,22.1
9,1140062283,tinezthegreat414 (1/3),0,166.45,P Clay Buchholz P Andrew Suárez OF Mike Trout OF A.J. Pollock 1B Paul Goldschmidt SS Nick Ahmed 2B Ketel Marte OF Justin Upton C Buster Posey 3B David Fletcher,,Ketel Marte,2B,32.21%,6
