Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1159388699,sasmallen (1/6),0,172.35,P German Márquez P John Gant OF Mookie Betts OF Giancarlo Stanton 2B Gleyber Torres OF George Springer 1B Luke Voit SS Johan Camargo 3B Kyle Seager C Austin Barnes,,German Márquez,P,51.16%,38.2
1,1159388704,sasmallen (4/6),0,172.35,P German Márquez P John Gant OF Mookie Betts OF Giancarlo Stanton 2B Gleyber Torres OF George Springer 1B Luke Voit SS Johan Camargo 3B Kyle Seager C Austin Barnes,,Luke Voit,1B,29.89%,21
3,1159149205,mikeandretti (3/10),0,168.6,P Justin Verlander P German Márquez OF Nicholas Castellanos OF José Martínez SS Paul DeJong C Yadier Molina 3B Jeimer Candelario OF Mikie Mahtook 2B Niko Goodrum 1B Victor Martinez,,Giancarlo Stanton,OF,28.63%,25
4,1158972911,cptnspaulding (10/10),0,164.6,P Justin Verlander P German Márquez OF Mitch Haniger OF Denard Span SS Kiké Hernández 2B Robinson Canó OF Ben Gamel 1B Victor Martinez 3B Ronny Rodriguez C James McCann,,Miguel Andújar,3B,18.95%,3
5,1159293583,jlabarbara,0,163.65,P German Márquez P Eric Lauer OF J.D. Martinez OF Mookie Betts OF Giancarlo Stanton SS Xander Bogaerts 1B Luke Voit 3B Johan Camargo 2B Ian Kinsler C Sandy Leon,,J.A. Happ,P,18.53%,-0.25
6,1159218003,the_Profhet (10/10),0,163.6,P German Márquez P Robbie Ray OF J.D. Martinez OF Andrew Benintendi SS Xander Bogaerts OF Nicholas Castellanos 2B Ian Kinsler 3B Jeimer Candelario 1B Victor Martinez C Sandy Leon,,Joe Musgrove,P,18.11%,12.7
7,1159130269,nashvillainy,0,162.9,P German Márquez P Joe Musgrove OF Mookie Betts OF Giancarlo Stanton 2B Gleyber Torres OF Starling Marte 1B Luke Voit SS Johan Camargo 3B Eduardo Núñez C Sandy Leon,,Eduardo Núñez,2B,17.89%,2
8,1159299117,westvols (8/10),0,160.6,P German Márquez P Robbie Ray OF Giancarlo Stanton OF Aaron Hicks 2B Gleyber Torres 1B Luke Voit SS Marcus Semien C Kyle Higashioka OF Matt Adams 3B Kyle Seager,,Johan Camargo,3B,16.63%,10
9,1159276117,AJSuperman,0,159.9,P German Márquez P Joe Musgrove OF Giancarlo Stanton SS Manny Machado OF Aaron Hicks 2B Gleyber Torres OF Daniel Palka 1B Luke Voit 3B Kyle Seager C Austin Barnes,,Sandy Leon,C,16.63%,2
10,1158972905,cptnspaulding (4/10),0,157.6,P Justin Verlander P German Márquez OF Andrew Benintendi SS Xander Bogaerts 2B Eduardo Núñez OF Mikie Mahtook OF Niko Goodrum 1B Victor Martinez 3B Ronny Rodriguez C James McCann,,Frankie Montas,P,16.00%,7.5
11,1159217995,the_Profhet (2/10),0,155.8,P Justin Verlander P Robbie Ray OF David Peralta OF A.J. Pollock 3B Eduardo Escobar SS Nick Ahmed OF Steven Souza Jr. 2B Niko Goodrum 1B Victor Martinez C James McCann,,Rick Porcello,P,15.37%,10.65
12,1159254302,scoffman46,0,152.55,P Justin Verlander P Wade LeBlanc OF David Peralta 1B Freddie Freeman 2B Robinson Canó OF José Martínez OF Nick Markakis C Yadier Molina SS Andrelton Simmons 3B Ronny Rodriguez,,Matt Adams,1B,14.74%,3
13,1159098715,BigShotRobTX (2/10),0,150.6,P Justin Verlander P German Márquez OF Giancarlo Stanton 1B Freddie Freeman C Kurt Suzuki SS Johan Camargo OF Steven Souza Jr. 3B Ronny Rodriguez OF Shane Robinson 2B Greg Garcia,,Khris Davis,OF,14.53%,2
14,1159388701,sasmallen (3/6),0,149.9,P German Márquez P Joe Musgrove OF Andrew Benintendi OF Giancarlo Stanton 3B Miguel Andújar 2B Gleyber Torres 1B Luke Voit SS Johan Camargo OF Steven Souza Jr. C James McCann,,Mookie Betts,OF,14.32%,21
14,1159388706,sasmallen (6/6),0,149.9,P German Márquez P Joe Musgrove OF Andrew Benintendi OF Giancarlo Stanton 3B Miguel Andújar 2B Gleyber Torres 1B Luke Voit SS Johan Camargo OF Steven Souza Jr. C James McCann,,Justin Verlander,P,13.68%,24.4
16,1159126674,mirandatx (2/10),0,149.6,P German Márquez P Robbie Ray OF Giancarlo Stanton 2B Jose Altuve OF Gregory Polanco OF George Springer 1B Luke Voit SS Marcus Semien 3B Jeimer Candelario C James McCann,,Gleyber Torres,2B,13.05%,22
17,1159126682,mirandatx (3/10),0,147.6,P Justin Verlander P German Márquez OF Nelson Cruz OF Daniel Palka 1B Luke Voit SS Marcus Semien OF Matt Adams 3B Jeimer Candelario 2B Niko Goodrum C James McCann,,Aaron Hicks,OF,13.05%,10
17,1159134353,mirandatx (10/10),0,147.6,P German Márquez P Robbie Ray OF Mookie Betts OF Giancarlo Stanton 1B Tyler White OF Daniel Palka SS Marcus Semien 2B Eduardo Núñez 3B Colin Moran C Sandy Leon,,Marcus Semien,SS,13.05%,7
17,1159291537,westvols (4/10),0,147.6,P German Márquez P Robbie Ray OF Ronald Acuña Jr. 1B Freddie Freeman 2B Ozzie Albies C Kurt Suzuki OF Jackie Bradley Jr. OF Avisaíl García SS Johan Camargo 3B Eduardo Núñez,,Rich Hill,P,12.21%,14.45
20,1159372150,DailyFool (3/3),0,147.1,P German Márquez P Andrew Heaney SS Alex Bregman 2B Jose Altuve 1B Tyler White OF Mitch Haniger OF Jackie Bradley Jr. OF Nicky Delmonico 3B Yolmer Sánchez C Mike Zunino,,Robbie Ray,P,11.79%,28.4
