,Name,Team,Position,Salary,DKFG,DKRoto,BATPred,Var
0,Cole Hamels,Cubs,SP,10400,19.6,19.19,17.74,119.51838504630464
1,Trevor Cahill,Athletics,SP,9200,14.95,16.7,14.44,107.27531649052959
2,Tyler Glasnow,Rays,SP,8400,20.72,13.62,23.86,49.46331666666667
3,Anthony DeSclafani,Reds,SP,8000,10.2,13.17,9.32,93.84311793725756
4,Sean Newcomb,Braves,SP,7800,15.61,14.65,17.15,95.89293063818279
5,Danny Duffy,Royals,SP,6400,14.69,17.7,13.98,105.46527591149334
6,Khris Davis,Athletics,OF,5700,10.78,9.87,9.96,51.54747100858543
7,Freddie Freeman,Braves,1B,5000,10.45,8.83,8.82,56.92307357859785
8,Jed Lowrie,Athletics,2B,4900,9.07,8.16,8.81,35.99805148696815
9,Eugenio Suarez,Reds,3B,4800,9.48,8.27,10.1,42.93808385597123
10,Anthony Rizzo,Cubs,1B,4700,10.88,9.32,10.46,56.90612223837085
11,Javier Baez,Cubs,2B/SS,4700,11.27,8.31,9.99,39.24572761349438
12,Marcus Semien,Athletics,SS,4600,7.95,7.13,7.37,38.775371081210295
13,Matt Chapman,Athletics,3B,4600,10.49,8.99,9.2,46.7033203125
14,J.T. Realmuto,Marlins,C,4500,8.21,6.94,7.6,40.325776938660624
15,Ozzie Albies,Braves,2B,4500,8.7,7.0,6.93,60.61528925619836
16,Scooter Gennett,Reds,2B,4300,8.48,6.31,8.46,35.674669561107116
17,Jose Peraza,Reds,SS,4300,8.25,7.47,9.27,35.154759084226
18,Eddie Rosario,Twins,OF,4300,9.4,8.22,9.12,45.71593993550121
19,Matt Olson,Athletics,1B,4300,9.98,9.16,9.12,45.932617706451275
20,Kyle Schwarber,Cubs,OF,4200,10.46,6.91,9.5,43.2481591058514
21,C.J. Cron,Rays,1B,4200,8.06,7.06,7.8,35.247938639966435
22,Willy Adames,Rays,2B/SS,4200,6.89,5.4,6.05,35.0
24,Whit Merrifield,Royals,2B/OF,4100,8.31,7.44,7.34,55.074063673469404
25,Joey Wendle,Rays,2B,4100,7.22,6.86,5.49,30.457220461747397
26,Kohl Stewart,Twins,SP,4100,8.03,9.94,7.19,80.0
27,Nick Markakis,Braves,OF,4100,8.15,6.39,6.75,46.169776670547925
28,Elieser Hernandez,Marlins,RP,4100,11.62,9.91,10.25,54.42562130177514
29,Phillip Ervin,Reds,OF,4000,8.32,6.73,8.7,22.40138888888889
30,Mallex Smith,Rays,OF,4000,8.67,8.19,6.03,31.84716553933785
31,Johan Camargo,Braves,3B/SS,4000,8.25,6.57,6.32,31.741044423440446
32,Starlin Castro,Marlins,2B,4000,7.4,6.82,6.57,39.86939583462365
33,Salvador Perez,Royals,C,3900,7.14,6.04,6.89,35.999922601451225
34,Stephen Piscotty,Athletics,OF,3900,8.56,7.9,7.5,40.85743340542183
35,Max Kepler,Twins,OF,3900,7.88,7.17,8.03,36.88953701927031
36,Jorge Polanco,Twins,SS,3900,7.56,6.71,7.74,39.28858754237686
37,Ender Inciarte,Braves,OF,3900,8.43,7.24,6.62,42.97497102070992
38,Joe Mauer,Twins,1B,3800,7.73,6.7,7.3,48.676107601745116
39,Nick Martini,Athletics,OF,3800,8.45,7.83,7.03,35.0
40,Billy Hamilton,Reds,OF,3700,7.85,6.64,9.19,46.45929064361554
41,Tucker Barnhart,Reds,C,3600,6.88,6.22,6.11,22.187686051903448
42,Dilson Herrera,Reds,2B/OF,3600,7.68,6.07,6.34,16.63488
43,David Bote,Cubs,3B,3600,7.73,4.75,6.95,35.0
44,Brett Phillips,Royals,OF,3600,5.46,5.51,4.98,17.605709342560555
45,Lucas Duda,Royals,1B,3500,7.21,6.47,7.1,37.067746929325686
46,Ryan O'Hearn,Royals,1B,3500,6.04,6.69,5.07,35.0
47,Ramon Laureano,Athletics,OF,3500,8.53,4.28,7.01,35.0
48,Rafael Ortega,Marlins,OF,3500,7.37,7.02,6.09,21.461669953977648
49,Brian Anderson,Marlins,3B/OF,3500,7.69,5.86,6.64,38.4568888888889
50,Kevin Kiermaier,Rays,OF,3400,6.84,6.43,5.74,35.92221024943311
51,Matt Duffy,Rays,3B,3400,8.07,5.77,7.05,33.4159122085048
52,Austin Dean,Marlins,OF,3400,7.41,5.7,6.1,35.0
53,Isaac Galloway,Marlins,OF,3300,6.72,4.52,5.04,35.0
54,Tyler Flowers,Braves,C,3300,6.69,5.28,5.76,23.049874318807937
55,Carlos Gomez,Rays,OF,3200,7.6,7.0,6.31,37.78807253204987
56,Alex Gordon,Royals,OF,3200,6.81,7.8,6.47,41.30964898367827
57,Jake Cave,Twins,OF,3200,7.09,5.62,6.08,25.521262002743484
58,Miguel Rojas,Marlins,3B/SS,3200,6.4,5.39,5.43,11.284473132526447
59,Logan Forsythe,Twins,2B/3B,3100,6.67,6.06,7.36,26.909747619945325
60,Alcides Escobar,Royals,SS,2900,5.25,4.62,4.47,28.611413042136288
61,Rosell Herrera,Royals,OF,2800,6.25,5.6,5.68,16.82663495838288
62,Jesus Sucre,Rays,C,2700,5.68,5.18,4.44,10.975002356489773
