,Name,Team,Position,Salary,DKFG,DKRoto,Var
0,Clayton Kershaw,Dodgers,SP,12800,21.92,26.17,136.99996178740085
1,Luis Severino,Yankees,SP,11900,22.76,23.82,143.69833647113225
2,Mike Foltynewicz,Braves,SP,10600,10.46,12.81,125.00236522116415
3,Mike Clevinger,Indians,SP,9500,20.34,16.03,104.79891988062442
4,Jose Quintana,Cubs,SP,8300,16.7,18.07,98.39486639128106
5,Trevor Richards,Marlins,SP,7800,15.78,13.19,110.0
6,Jhoulys Chacin,Brewers,SP,7500,16.44,16.18,99.54356284272644
8,Brian Johnson,Red Sox,SP,7000,10.2,14.09,110.0
9,Tommy Milone,Nationals,SP,6900,14.15,12.29,99.7296903248265
10,John Gant,Cardinals,SP,6300,13.94,11.16,110.0
11,Jose Ramirez,Indians,3B,6000,9.53,10.47,68.23923855890385
12,Mookie Betts,Red Sox,OF,5900,11.33,10.99,79.59966888242275
13,Francisco Lindor,Indians,SS,5800,9.31,9.81,65.38104852398335
14,Javier Baez,Cubs,2B/SS,5700,11.0,9.71,64.13821410917309
15,Christian Yelich,Brewers,OF,5700,9.64,10.19,51.76162162162168
16,J.D. Martinez,Red Sox,OF,5500,10.97,10.49,65.9307705740082
17,Andrew Benintendi,Red Sox,OF,5400,10.31,9.81,69.11054704804795
18,Matt Carpenter,Cardinals,1B/3B,5400,9.14,9.67,54.05122178607035
19,Jake Odorizzi,Twins,SP,5200,11.79,13.05,92.41449575831028
20,Eric Thames,Brewers,1B/OF,5200,8.13,8.16,57.20894044321335
21,Trea Turner,Nationals,SS,5100,10.42,8.76,86.7901341364432
22,Giancarlo Stanton,Yankees,OF,5100,10.64,10.42,75.71120201830604
24,Bryce Harper,Nationals,OF,5000,10.93,9.73,67.88246869827374
25,Freddie Freeman,Braves,1B,5000,10.11,8.18,59.4535777273873
26,Didi Gregorius,Yankees,SS,5000,9.11,9.51,48.586190245371114
27,Andrew Cashner,Orioles,SP,5000,10.66,12.94,96.84360246265936
28,Whit Merrifield,Royals,2B/OF,5000,9.34,7.99,50.65835598128758
29,Aaron Hicks,Yankees,OF,4900,9.22,8.61,48.987771900826274
30,Anthony Rizzo,Cubs,1B,4900,11.32,9.4,63.010214314971506
31,Michael Brantley,Indians,OF,4800,8.5,8.81,46.181346315743895
32,Jesus Aguilar,Brewers,1B,4800,9.22,8.1,65.28386054800623
33,Mallex Smith,Rays,OF,4700,9.3,8.41,49.29571365583278
34,Edwin Encarnacion,Indians,1B,4700,8.04,9.26,64.64203922186535
35,Manny Machado,Dodgers,SS,4700,8.74,9.32,65.81726563265305
36,Juan Soto,Nationals,OF,4600,10.14,7.32,76.78206097253711
37,Brett Gardner,Yankees,OF,4600,8.97,8.38,51.68558713136128
38,Yonder Alonso,Indians,1B,4600,7.8,7.5,42.97883423721503
39,Travis Shaw,Brewers,2B/3B,4600,8.86,7.75,61.9585775047257
40,J.T. Realmuto,Marlins,C,4600,7.95,6.59,52.843523920181035
41,Nick Markakis,Braves,OF,4500,8.07,7.02,42.92855009233165
42,Ozzie Albies,Braves,2B,4500,10.37,8.79,67.08136545231599
43,Heath Fillmyer,Royals,SP,4500,7.05,10.76,110.0
44,Mike Hauschild,Blue Jays,SP,4400,9.79,11.83,110.0
45,Gleyber Torres,Yankees,2B,4400,9.0,8.11,55.580246913580226
46,Eddie Rosario,Twins,OF,4400,8.0,8.7,62.1782121810964
47,Kyle Schwarber,Cubs,OF,4400,10.11,8.41,65.15153596684836
48,Eric Hosmer,Padres,1B,4400,8.09,8.87,48.87387657257425
49,Joc Pederson,Dodgers,OF,4400,9.25,8.29,52.062446145656516
50,Daniel Palka,White Sox,OF,4300,6.98,6.54,73.04155124653744
51,Miguel Andujar,Yankees,3B,4300,7.91,6.29,52.79286812764324
52,Khris Davis,Athletics,OF,4300,7.87,5.99,68.22676623067784
53,Yasmani Grandal,Dodgers,C,4300,8.57,7.03,54.933721729737904
54,Daniel Murphy,Nationals,1B/2B,4200,8.96,7.02,49.943423382282894
55,Matt Adams,Nationals,1B/OF,4200,10.06,8.29,52.62635806231882
56,Xander Bogaerts,Red Sox,SS,4200,8.43,8.09,47.99547361729177
57,Lucas Giolito,White Sox,SP,4200,9.88,9.3,110.0
58,Jose Abreu,White Sox,1B,4200,7.14,6.58,61.96995812907139
59,Kevin Kiermaier,Rays,OF,4200,7.48,7.64,51.96680466144023
60,Jason Heyward,Cubs,OF,4200,9.32,7.75,47.56954930555566
61,Willson Contreras,Cubs,C,4200,9.5,7.52,54.68928844589586
62,Brian Dozier,Dodgers,2B,4200,7.79,7.75,57.65126843807683
63,Derek Dietrich,Marlins,OF,4200,8.39,7.75,40.835398230088494
64,Brian Anderson,Marlins,3B/OF,4200,7.97,6.38,39.50320987654324
65,Anthony Rendon,Nationals,3B,4100,10.23,8.33,57.2977869590676
66,Adam Eaton,Nationals,OF,4100,9.45,8.16,46.13139047790634
67,Johan Camargo,Braves,3B/SS,4100,8.81,7.85,40.12008274060098
68,Mitch Moreland,Red Sox,1B,4100,9.2,7.74,47.280590977359196
69,Teoscar Hernandez,Blue Jays,OF,4100,8.91,8.35,62.692685301635024
70,Mark Trumbo,Orioles,OF,4100,7.22,7.36,60.385395116652404
71,Max Kepler,Twins,OF,4100,6.67,6.99,54.919238835066146
72,Lorenzo Cain,Brewers,OF,4100,8.69,7.8,53.041261654433654
73,Mike Moustakas,Brewers,3B,4100,9.7,8.83,48.237503781280566
74,Austin Hedges,Padres,C,4100,6.85,6.07,41.50896705383885
75,Max Muncy,Dodgers,1B/3B,4100,8.12,7.26,46.68213294375453
76,Cody Bellinger,Dodgers,1B/OF,4100,8.88,8.18,77.08708421555895
77,Matt Chapman,Athletics,3B,4100,7.68,6.52,58.2967447957305
79,Justin Smoak,Blue Jays,1B,4000,8.53,7.59,49.52532251560014
80,Miguel Sano,Twins,1B/3B,4000,6.77,7.42,58.51129533179787
81,Salvador Perez,Royals,C,4000,8.16,6.84,45.9662913580245
83,Starlin Castro,Marlins,2B,4000,7.2,5.85,46.590218340502
84,Justin Bour,Marlins,1B,4000,8.15,7.57,53.06515471843164
85,Russell Martin,Blue Jays,C,3900,7.23,6.56,47.18716067776085
86,Randal Grichuk,Blue Jays,OF,3900,9.94,8.1,58.35968032641606
87,Kevin Pillar,Blue Jays,OF,3900,7.07,5.15,44.32651323259652
88,Aledmys Diaz,Blue Jays,SS,3900,7.49,5.57,50.4054320987654
89,Adam Jones,Orioles,OF,3900,7.56,6.1,56.81180550807965
90,Jonathan Villar,Orioles,2B,3900,7.95,7.59,54.230884172605194
91,Matt Duffy,Rays,3B,3900,8.14,7.4,40.50163257646828
92,Melky Cabrera,Indians,OF,3900,6.71,6.74,45.46955874132465
93,Jason Kipnis,Indians,2B,3900,6.76,6.15,53.028119492460576
94,Jorge Polanco,Twins,SS,3900,6.62,7.17,38.32518889908899
95,Brett Phillips,Royals,OF,3900,5.79,5.84,33.114188981225
96,Adalberto Mondesi,Royals,2B/SS,3900,7.29,6.22,38.86620530565167
97,Manuel Margot,Padres,OF,3900,7.62,6.94,48.3440056444385
98,Yadier Molina,Cardinals,C,3900,7.83,7.49,39.37356606446666
99,Jose Martinez,Cardinals,1B,3900,8.11,8.29,56.22755471837185
100,Kendrys Morales,Blue Jays,1B,3800,8.11,7.34,59.59311235182619
101,Eduardo Nunez,Red Sox,2B/3B,3800,7.86,6.49,49.502666972877435
102,Neil Walker,Yankees,1B/2B,3800,6.94,6.48,48.000034993421096
103,Avisail Garcia,White Sox,OF,3800,6.49,5.99,52.047592912250565
104,Carlos Gomez,Rays,OF,3800,7.85,6.48,54.30347164826674
105,Trey Mancini,Orioles,1B/OF,3800,6.66,5.93,56.56089782714844
106,Logan Morrison,Twins,1B,3800,6.35,7.78,47.49256173413824
107,Ian Happ,Cubs,OF,3800,9.31,7.03,58.83018867924528
108,Hunter Renfroe,Padres,OF,3800,7.73,6.32,59.441599999999895
109,Justin Turner,Dodgers,3B,3800,8.37,8.54,43.00422040367067
110,Chris Taylor,Dodgers,OF/SS,3800,6.9,6.2,55.011714073780425
111,Marcell Ozuna,Cardinals,OF,3800,7.92,6.3,52.50844238917778
112,Devon Travis,Blue Jays,2B,3700,8.41,7.09,44.30587251934504
113,Rafael Devers,Red Sox,3B,3700,8.12,8.34,52.61359419800976
114,Ji-Man Choi,Rays,1B,3700,7.82,6.62,33.923327664399096
115,David Bote,Cubs,2B/3B,3700,9.03,7.54,50.0
116,Christian Villanueva,Padres,3B,3700,6.69,5.24,70.38919282888655
117,Marcus Semien,Athletics,SS,3700,6.94,6.85,43.2620269128927
118,Yairo Munoz,Cardinals,2B/SS,3700,7.04,6.19,41.29408163265305
119,Paul DeJong,Cardinals,SS,3700,7.62,8.14,53.20972969360821
120,Yoan Moncada,White Sox,2B,3600,6.59,6.99,61.45786442846926
121,Chris Davis,Orioles,1B,3600,6.02,7.16,65.80974084639253
122,Willy Adames,Rays,2B/SS,3600,6.77,4.23,50.0
123,Brandon Guyer,Indians,OF,3600,5.92,6.09,36.47514822286367
124,Yan Gomes,Indians,C,3600,6.32,6.06,45.09799796952203
125,Lucas Duda,Royals,1B,3600,7.18,7.44,53.6322520661156
126,Jed Lowrie,Athletics,2B,3600,6.49,6.41,43.07431512437572
127,Mark Canha,Athletics,OF,3600,6.86,6.23,49.619452139119815
128,Chad Pinder,Athletics,2B/OF,3600,5.96,4.79,55.251358024691385
129,Tyler Flowers,Braves,C,3500,7.58,6.72,39.688565197428886
130,Tim Anderson,White Sox,SS,3500,5.66,6.24,51.8677770472641
131,Joe Mauer,Twins,1B,3500,6.89,6.68,45.414627453374656
132,Addison Russell,Cubs,SS,3500,7.89,6.05,44.99863347157981
133,Freddy Galvis,Padres,SS,3500,6.32,7.23,39.617709120685134
134,Matt Olson,Athletics,1B,3500,6.18,5.86,64.48264704984591
135,Miguel Rojas,Marlins,3B/SS,3500,5.89,6.51,25.93019304094752
136,Charlie Culberson,Braves,3B/OF,3400,6.9,5.58,27.198957475994426
137,Renato Nunez,Orioles,3B,3400,6.41,5.52,50.0
138,Alex Gordon,Royals,OF,3400,6.93,7.22,45.671548010654575
139,Yangervis Solarte,Blue Jays,2B/3B,3300,7.56,5.98,49.02216703999986
140,Austin Romine,Yankees,C,3300,6.19,5.49,28.728099390555826
141,Yolmer Sanchez,White Sox,3B,3300,6.64,6.67,35.211597075206825
142,Tim Beckham,Orioles,3B/SS,3300,7.07,7.07,45.148296576349495
143,Kolten Wong,Cardinals,2B,3300,6.66,5.04,39.103850882411216
144,Danny Valencia,Orioles,3B/OF,3200,6.89,6.56,47.02122754507168
145,Jake Cave,Twins,OF,3200,5.76,6.07,50.0
146,Jorge Bonifacio,Royals,OF,3200,7.33,6.99,38.32325141776936
147,Hunter Dozier,Royals,1B/3B,3200,7.05,6.91,24.53909556694141
148,Stephen Piscotty,Athletics,OF,3200,6.13,4.66,49.24725813148793
149,Kevan Smith,White Sox,C,3100,4.98,6.0,25.7900416638208
150,Mitch Garver,Twins,C,3100,5.55,6.8,42.124542936288094
152,Matt Wieters,Nationals,C,3000,6.73,6.05,48.382828128396504
153,Michael Perez,Rays,C,3000,6.23,5.8,50.0
154,Logan Forsythe,Twins,2B/3B,3000,5.72,5.7,41.81315882355629
155,Magneuris Sierra,Marlins,OF,3000,5.79,5.72,50.0
156,Caleb Joseph,Orioles,C,2900,5.19,4.62,36.29837987050529
157,Tommy La Stella,Cubs,2B/3B,2900,8.14,7.04,24.57473305557453
158,Martin Prado,Marlins,3B,2900,6.19,5.46,41.91607294716898
159,Sandy Leon,Red Sox,C,2800,6.32,6.33,37.90457679670509
160,Adam Engel,White Sox,OF,2800,4.77,4.24,33.177409926666
161,Jonathan Lucroy,Athletics,C,2800,4.98,3.77,44.46712264150976
162,Drew Butera,Royals,C,2600,5.87,4.51,20.65186257033388
