,Name,Team,Pos,DKSaberSim,Salary,DKRoto,DKAvg,DKUncert,Var
0,Ryan Yarbrough,Rays,SP,15.98,5600,11.98,13.98,8.0,66.67281462585032
1,Eddie Rosario,Twins,LF,12.24,4800,9.29,10.765,4.351250000000003,63.49481074331005
2,J.D. Martinez,Red Sox,DH,12.01,5800,11.33,11.67,0.2311999999999998,65.60153802374279
3,Mookie Betts,Red Sox,RF,11.92,6000,11.36,11.64,0.15680000000000027,79.09957910876062
4,Paul Goldschmidt,Diamondbacks,1B,11.27,5900,11.28,11.274999999999999,4.999999999999787e-05,70.74859081783673
5,Nolan Arenado,Rockies,3B,11.25,5800,11.42,11.335,0.014449999999999987,71.89885770154187
6,Aaron Judge,Yankees,RF,11.15,5700,10.09,10.620000000000001,0.5618000000000005,78.13427036429188
7,A.J. Pollock,Diamondbacks,CF,11.1,5400,10.59,10.844999999999999,0.1300499999999999,70.11263773468741
8,Brian Dozier,Twins,2B,10.82,4100,8.82,9.82,2.0,57.162501181704464
9,Giancarlo Stanton,Yankees,DH,10.64,5000,10.06,10.350000000000001,0.16820000000000004,76.21848459428648
10,Mike Moustakas,Royals,3B,10.76,4400,8.9,9.83,1.729799999999999,48.17258066988053
11,Andrew Benintendi,Red Sox,LF,10.57,5300,10.12,10.344999999999999,0.10125000000000048,70.15003243944636
12,Trevor Story,Rockies,SS,10.3,5300,10.29,10.295,5.0000000000015635e-05,71.03544144357936
13,Logan Morrison,Twins,DH,10.01,3500,7.36,8.685,3.5112499999999986,47.51004999075922
14,Eduardo Escobar,Twins,SS,10.04,4400,8.66,9.35,0.9521999999999986,46.13147474044418
15,Matt Carpenter,Cardinals,3B,9.97,4800,9.91,9.940000000000001,0.0018000000000000299,51.18995687122757
16,Mike Trout,Angels,CF,10.04,5900,10.76,10.399999999999999,0.2592000000000005,73.54707262539503
17,Francisco Lindor,Indians,SS,10.03,5800,10.3,10.165,0.036450000000000364,65.450723096807
18,Jose Ramirez,Indians,3B,9.96,5900,10.17,10.065000000000001,0.022049999999999806,66.23674323167943
19,Freddie Freeman,Braves,1B,9.96,5200,9.36,9.66,0.18000000000000085,59.875908222566174
20,Tommy Pham,Cardinals,CF,9.83,4400,9.34,9.585,0.1200500000000001,68.30025994734623
21,Charlie Blackmon,Rockies,CF,9.9,5700,8.13,9.015,1.5664499999999992,63.64784455071522
22,Lucas Duda,Royals,1B,9.77,3600,7.52,8.645,2.53125,53.878833554944535
23,Jorge Bonifacio,Royals,RF,9.81,3200,7.54,8.675,2.5764500000000012,37.59453104004301
24,Aaron Hicks,Yankees,CF,9.65,4900,8.73,9.190000000000001,0.4231999999999999,49.13756935717896
25,Mitch Moreland,Red Sox,1B,9.52,4400,8.73,9.125,0.31204999999999933,47.57537404327736
26,Jose Martinez,Cardinals,1B,9.53,4300,9.06,9.295,0.11044999999999947,59.09898269844811
27,Whit Merrifield,Royals,2B,9.66,4300,8.53,9.094999999999999,0.6384500000000009,50.215609846879104
28,Michael Brantley,Indians,LF,9.5,4800,9.04,9.27,0.1058000000000004,46.51165039037359
29,Curtis Granderson,Blue Jays,LF,9.34,4000,8.44,8.89,0.4050000000000003,65.69979687191851
30,Joey Gallo,Rangers,LF,9.1,4100,8.16,8.629999999999999,0.4417999999999995,63.241809787626906
31,Nick Ahmed,Diamondbacks,SS,9.23,4300,10.53,9.879999999999999,0.8449999999999986,40.28168713151568
32,Salvador Perez,Royals,C,9.16,3500,8.85,9.004999999999999,0.048050000000000155,45.23109375000006
33,Bryce Harper,Nationals,RF,9.05,5200,9.89,9.47,0.3527999999999999,67.88895864267629
34,Rhys Hoskins,Phillies,LF,9.05,5100,9.44,9.245000000000001,0.07604999999999953,76.01556396484375
35,Joe Mauer,Twins,1B,9.12,3600,7.57,8.344999999999999,1.2012499999999982,45.42675708111281
36,Nomar Mazara,Rangers,RF,9.12,3800,8.42,8.77,0.2449999999999995,47.79127129440755
37,DJ LeMahieu,Rockies,2B,9.25,4700,10.03,9.64,0.3041999999999995,41.99139255300338
38,Rafael Devers,Red Sox,3B,9.02,4600,8.18,8.6,0.3527999999999999,54.197193816884706
39,Jake Cave,Twins,CF,8.98,3200,6.15,7.565,4.00445,80.44000000000003
40,Edwin Encarnacion,Indians,DH,8.87,4900,8.56,8.715,0.04804999999999961,64.74355124434443
41,Trea Turner,Nationals,SS,9.24,5400,9.72,9.48,0.1152000000000002,83.67349366873468
42,Justin Turner,Dodgers,3B,8.99,4100,7.69,8.34,0.8449999999999998,42.83396334597692
43,Ozzie Albies,Braves,2B,9.08,5100,8.44,8.76,0.20480000000000037,66.00475624256836
44,Eric Thames,Brewers,1B,8.94,4900,9.22,9.08,0.03920000000000032,57.50865686511276
45,Marcell Ozuna,Cardinals,LF,8.92,3500,8.43,8.675,0.1200500000000001,52.76007997884866
46,Brett Gardner,Yankees,LF,8.93,4500,8.53,8.73,0.08000000000000014,51.332161343412544
47,Alex Bregman,Astros,3B,8.84,5300,9.29,9.065,0.10124999999999967,53.069692133863
48,Elvis Andrus,Rangers,SS,8.96,4000,8.06,8.510000000000002,0.4050000000000003,43.61902420866323
49,Jesus Aguilar,Brewers,1B,8.77,5100,8.45,8.61,0.05120000000000009,66.23288367290061
50,George Springer,Astros,CF,8.8,4800,10.15,9.475000000000001,0.9112499999999994,66.50875196677717
51,Joey Votto,Reds,1B,8.73,4500,6.12,7.425000000000001,3.406050000000001,59.06328658584432
52,Jorge Polanco,Twins,SS,8.79,3800,5.89,7.34,4.204999999999998,39.545408635636704
53,Corey Dickerson,Pirates,LF,8.94,3900,8.0,8.469999999999999,0.4417999999999995,58.50671787814202
54,Ian Desmond,Rockies,1B,8.71,4100,9.76,9.235,0.5512499999999989,51.03198989740172
55,Xander Bogaerts,Red Sox,SS,8.74,5000,8.55,8.645,0.018049999999999906,47.93558511464214
56,Chris Taylor,Dodgers,SS,8.8,4200,8.23,8.515,0.16245000000000015,56.15824398508403
57,Matt Kemp,Dodgers,LF,8.71,4500,7.48,8.095,0.7564500000000005,63.96918804058885
58,Yonder Alonso,Indians,1B,8.64,4000,8.2,8.42,0.09680000000000057,41.713798716843684
59,Jose Altuve,Astros,2B,8.78,5000,11.02,9.899999999999999,2.5088000000000004,57.47575155443182
60,Justin Smoak,Blue Jays,1B,8.58,4100,8.24,8.41,0.05779999999999995,49.08720020210321
61,Adrian Beltre,Rangers,3B,8.69,3600,7.22,7.955,1.0804499999999997,58.17480679051719
62,Starling Marte,Pirates,CF,8.81,4900,8.54,8.675,0.036450000000000364,59.52466715695885
63,Didi Gregorius,Yankees,SS,8.59,4500,8.55,8.57,0.0007999999999999659,47.552696128491476
64,Javier Baez,Cubs,2B,8.68,5200,7.54,8.11,0.6497999999999996,62.860105529015684
65,Max Kepler,Twins,RF,8.51,3900,7.53,8.02,0.4801999999999995,56.61225888492537
66,Juan Soto,Nationals,LF,8.56,4800,8.02,8.29,0.14580000000000048,76.99380165289256
67,Anthony Rendon,Nationals,3B,8.55,4700,8.43,8.49,0.0072000000000001195,56.533845098659725
68,Brandon Nimmo,Mets,CF,8.54,4000,7.52,8.03,0.5201999999999996,50.41601439212222
