,Name,Team,Pos,DKSaberSim,Salary,DKRoto,DKAvg,DKUncert
0,Nolan Arenado,Rockies,3B,11.86,5900,10.58,11.219999999999999,0.8191999999999993
1,Andrew McCutchen,Giants,RF,11.43,4700,10.94,11.184999999999999,0.1200500000000001
2,Aaron Judge,Yankees,RF,11.27,5300,10.24,10.754999999999999,0.5304499999999994
3,Giancarlo Stanton,Yankees,DH,11.18,5000,9.8,10.49,0.9521999999999986
4,Alen Hanson,Giants,2B,11.46,3700,9.61,10.535,1.7112500000000026
5,Brandon Belt,Giants,1B,11.18,5400,7.87,9.525,5.478049999999999
6,Buster Posey,Giants,C,11.17,4800,10.72,10.945,0.10124999999999967
7,Joey Votto,Reds,1B,10.79,4800,9.81,10.3,0.4801999999999987
8,Trevor Story,Rockies,SS,10.86,5200,9.88,10.370000000000001,0.4801999999999987
9,Freddie Freeman,Braves,1B,10.53,5100,9.0,9.765,1.1704499999999989
10,Scott Schebler,Reds,RF,10.42,4300,9.47,9.945,0.4512499999999993
11,Charlie Blackmon,Rockies,CF,10.47,5400,8.62,9.545,1.7112500000000026
12,Jose Ramirez,Indians,3B,10.39,5700,9.57,9.98,0.3362000000000002
13,Jose Ramirez,Indians,3B,10.39,4000,9.57,9.98,0.3362000000000002
14,Scooter Gennett,Reds,2B,10.25,5000,9.62,9.934999999999999,0.19845000000000051
15,Francisco Lindor,Indians,SS,10.15,5400,9.14,9.645,0.5100499999999998
16,Austin Slater,Giants,LF,9.92,3900,7.59,8.754999999999999,2.7144500000000003
17,Eugenio Suarez,Reds,3B,9.73,5100,8.98,9.355,0.28125
18,Brandon Crawford,Giants,SS,9.69,4900,6.01,7.85,6.7711999999999986
19,Michael Brantley,Indians,LF,9.73,4500,9.38,9.555,0.061249999999999874
20,Bryce Harper,Nationals,RF,9.44,4900,9.86,9.649999999999999,0.08819999999999997
21,Ozzie Albies,Braves,2B,9.58,5200,8.57,9.075,0.5100499999999998
22,Didi Gregorius,Yankees,SS,9.52,4300,8.02,8.77,1.125
23,J.D. Martinez,Red Sox,DH,9.32,5100,7.26,8.29,2.1218000000000012
24,Aaron Hicks,Yankees,CF,9.19,4300,7.3,8.245,1.7860499999999995
25,DJ LeMahieu,Rockies,2B,9.38,4500,9.17,9.275,0.02205000000000018
26,Jose Martinez,Cardinals,1B,9.2,4500,7.95,8.575,0.7812499999999989
27,Jose Abreu,White Sox,1B,9.24,4400,8.48,8.86,0.28879999999999983
28,Yonder Alonso,Indians,1B,9.12,3800,6.69,7.904999999999999,2.952449999999997
29,Mookie Betts,Red Sox,RF,9.18,5500,7.0,8.09,2.3761999999999994
30,Paul Goldschmidt,Diamondbacks,1B,9.06,5200,9.02,9.04,0.000800000000000037
31,Edwin Encarnacion,Indians,DH,8.98,4800,8.53,8.754999999999999,0.10125000000000048
32,Tommy Pham,Cardinals,CF,9.0,4200,7.81,8.405,0.7080500000000005
33,Ian Desmond,Rockies,1B,9.0,4300,9.36,9.18,0.0647999999999998
34,Trea Turner,Nationals,SS,9.16,4500,9.57,9.365,0.08405000000000006
35,Eric Thames,Brewers,1B,8.77,5000,9.75,9.26,0.4802000000000004
36,Marcell Ozuna,Cardinals,LF,8.8,3800,7.44,8.120000000000001,0.9248000000000004
37,Brett Gardner,Yankees,LF,8.87,3700,8.43,8.649999999999999,0.09679999999999978
38,Cody Bellinger,Dodgers,1B,8.74,4600,8.57,8.655000000000001,0.014449999999999987
39,Max Muncy,Dodgers,1B,8.54,4600,7.44,7.99,0.6049999999999986
40,Yoan Moncada,White Sox,2B,8.63,4300,9.66,9.145,0.5304499999999994
41,Andrew Benintendi,Red Sox,LF,8.55,4800,8.73,8.64,0.01619999999999995
42,Chris Iannetta,Rockies,C,8.42,3400,7.77,8.094999999999999,0.21125000000000022
43,Jesus Aguilar,Brewers,1B,8.42,5300,7.9,8.16,0.13519999999999976
44,Anthony Rendon,Nationals,3B,8.41,4500,7.93,8.17,0.1152000000000002
45,Travis Shaw,Brewers,3B,8.38,4200,8.38,8.38,0.0
46,David Peralta,Diamondbacks,LF,8.4,4800,8.39,8.395,4.999999999999787e-05
47,Wilson Ramos,Rays,C,8.45,3900,7.05,7.75,0.9799999999999993
48,Kurt Suzuki,Braves,C,8.36,3400,6.62,7.49,1.513799999999999
49,Jake Lamb,Diamondbacks,3B,8.28,4300,9.18,8.73,0.4050000000000003
50,Miguel Andujar,Yankees,3B,8.44,3900,7.37,7.904999999999999,0.5724499999999993
51,Tucker Barnhart,Reds,C,8.34,3800,7.58,7.96,0.28879999999999983
52,Brian Dozier,Twins,2B,8.26,4000,9.57,8.915,0.8580500000000006
53,C.J. Cron,Rays,DH,8.22,3600,7.66,7.94,0.15680000000000027
54,Juan Soto,Nationals,LF,8.19,4500,7.58,7.885,0.18604999999999966
55,Matt Duffy,Rays,3B,8.42,4000,7.18,7.8,0.7688000000000003
56,Avisail Garcia,White Sox,RF,8.3,4000,7.47,7.885,0.3444500000000008
57,Austin Jackson,Giants,CF,8.21,3500,6.93,7.57,0.8192000000000015
58,Eddie Rosario,Twins,LF,8.27,5000,6.81,7.539999999999999,1.0657999999999999
59,Ender Inciarte,Braves,CF,8.3,4300,6.93,7.615,0.9384500000000013
60,Jesse Winker,Reds,RF,8.08,4000,6.58,7.33,1.125
61,Yadier Molina,Cardinals,C,8.12,4100,6.31,7.215,1.6380499999999993
62,Gleyber Torres,Yankees,2B,8.04,4200,6.66,7.35,0.9521999999999986
63,Lonnie Chisenhall,Indians,RF,8.06,3400,6.97,7.515000000000001,0.5940500000000009
64,Adam Eaton,Nationals,LF,8.14,4000,8.3,8.22,0.012800000000000023
65,Daniel Murphy,Nationals,2B,8.01,3900,6.99,7.5,0.5201999999999996
66,Ryan Braun,Brewers,1B,7.96,4100,8.06,8.01,0.005000000000000053
67,Carlos Gomez,Rays,RF,7.95,3100,6.09,7.02,1.7298000000000004
68,Yolmer Sanchez,White Sox,3B,8.06,4200,7.36,7.710000000000001,0.2450000000000001
69,Justin Turner,Dodgers,3B,7.92,3900,7.99,7.955,0.00245000000000002
70,Brad Miller,Brewers,1B,7.85,3400,8.46,8.155000000000001,0.18605000000000074
71,Mike Moustakas,Royals,3B,7.87,4100,6.12,6.995,1.53125
72,Jason Kipnis,Indians,2B,7.84,3700,6.22,7.029999999999999,1.3122000000000003
73,Daniel Robertson,Rays,2B,7.79,3000,7.2,7.495,0.17404999999999993
74,Daniel Robertson,Rays,2B,7.79,2000,7.2,7.495,0.17404999999999993
75,Eduardo Escobar,Twins,SS,7.82,4700,8.21,8.015,0.07605000000000023
76,Nick Markakis,Braves,RF,7.74,4500,5.89,6.8149999999999995,1.711250000000001
77,Kevin Kiermaier,Rays,CF,7.87,3600,6.92,7.395,0.45125000000000015
78,Derek Dietrich,Marlins,LF,7.83,4100,7.62,7.725,0.022049999999999993
79,Matt Carpenter,Cardinals,3B,7.6,4800,6.66,7.13,0.4417999999999995
80,Matt Kemp,Dodgers,LF,7.69,3900,6.92,7.305,0.2964500000000003
81,Starling Marte,Pirates,CF,7.77,4400,7.9,7.835,0.008450000000000102
82,Chris Taylor,Dodgers,SS,7.67,3700,6.6,7.135,0.5724500000000003
83,Jedd Gyorko,Cardinals,3B,7.48,3300,6.62,7.050000000000001,0.36980000000000024
84,Jon Jay,Diamondbacks,LF,7.57,3600,7.44,7.505000000000001,0.008449999999999985
85,Mitch Moreland,Red Sox,1B,7.42,4000,7.32,7.37,0.0049999999999999645
86,Tim Anderson,White Sox,SS,7.54,4500,6.56,7.05,0.4802000000000004
87,Daniel Descalso,Diamondbacks,2B,7.29,3500,6.78,7.035,0.1300499999999999
88,Leury Garcia,White Sox,LF,7.51,3400,6.17,6.84,0.8977999999999998
89,Noel Cuevas,Rockies,RF,7.47,2800,6.48,6.975,0.4900499999999993
90,Tyler Naquin,Indians,RF,7.42,3100,5.35,6.385,2.1424500000000006
91,Justin Bour,Marlins,1B,7.31,3300,7.37,7.34,0.0018000000000000299
