,Name,Team,Position,Salary,DKFG,DKRoto,Var
0,Max Scherzer,Nationals,SP,13900,29.46,28.53,140.30153995845717
1,Chris Sale,Red Sox,SP,13500,27.09,28.44,191.32076905054402
2,Clayton Kershaw,Dodgers,SP,12800,23.77,24.07,137.74401301315729
3,Carlos Carrasco,Indians,SP,11400,19.7,21.9,177.46840930226384
4,Zack Greinke,Diamondbacks,SP,10700,22.56,23.9,132.37922073488267
5,Mike Foltynewicz,Braves,SP,9700,14.12,15.06,126.75557640301408
6,Chris Archer,Rays,SP,9500,21.17,20.57,110.4449870794408
7,Madison Bumgarner,Giants,SP,9300,19.49,22.02,119.92278992870321
8,Dallas Keuchel,Astros,SP,9100,19.08,18.73,124.24524074623129
9,Andrew Heaney,Angels,SP,8900,14.34,17.25,109.70248698458977
10,Nick Pivetta,Phillies,SP,8200,16.71,15.81,149.91333691715712
11,Wade LeBlanc,Mariners,SP,7900,10.19,12.95,75.43965535193671
12,Marcus Stroman,Blue Jays,SP,7300,16.79,14.75,121.51107445987655
13,Mike Montgomery,Cubs,SP,7000,10.98,10.98,81.01523389631842
14,CC Sabathia,Yankees,SP,6900,15.6,13.63,125.24256262399688
15,Sean Manaea,Athletics,SP,6600,13.54,8.82,113.18122222222216
16,Luke Weaver,Cardinals,SP,6400,17.7,14.62,144.31372874149656
17,Mike Fiers,Tigers,SP,6300,8.81,10.28,115.61289040527348
18,Mookie Betts,Red Sox,OF,6100,11.52,9.2,87.29069074621958
19,Pablo Lopez,Marlins,SP,6100,13.0,10.76,62.96671875
20,Kyle Freeland,Rockies,SP,6000,10.37,8.25,80.86454966180133
21,Mike Trout,Angels,OF,6000,11.01,11.46,119.66422366253185
22,Andrew Benintendi,Red Sox,OF,5900,10.2,10.64,88.66307823971891
23,Ivan Nova,Pirates,SP,5900,14.29,13.76,104.50945529513893
24,Khris Davis,Athletics,OF,5800,10.76,11.07,59.224832731446476
25,Trevor Story,Rockies,SS,5700,9.85,11.01,74.9515887793413
26,J.D. Martinez,Red Sox,OF,5600,10.81,10.05,73.66736427604356
27,Reynaldo Lopez,White Sox,SP,5600,14.11,11.54,108.47634204470741
28,Jose Ramirez,Indians,3B,5600,10.66,10.82,62.143531792882435
29,Nolan Arenado,Rockies,3B,5500,10.2,11.32,65.57233098972418
30,Chase Anderson,Brewers,SP,5500,14.67,15.1,82.2820705563866
31,Matt Carpenter,Cardinals,1B/3B,5400,8.25,8.46,59.26266587304365
32,Charlie Blackmon,Rockies,OF,5400,9.6,9.22,73.17235111520449
33,Anthony DeSclafani,Reds,SP,5300,15.62,14.27,91.84598564458621
34,Alex Bregman,Astros,3B,5300,9.76,10.28,69.06539099571775
35,A.J. Pollock,Diamondbacks,OF,5300,9.28,8.71,61.8297912975204
36,Starling Marte,Pirates,OF,5200,9.87,9.28,74.51312909617437
37,Ian Desmond,Rockies,1B,5100,9.19,10.54,58.512270135054294
38,Xander Bogaerts,Red Sox,SS,5000,8.49,10.38,53.33306499723279
39,Andrew Cashner,Orioles,SP,5000,11.54,9.28,94.14732619231948
40,Francisco Lindor,Indians,SS,5000,10.48,10.58,86.92820069204153
41,Bryce Harper,Nationals,OF,5000,9.31,9.78,88.03941603742416
42,Jed Lowrie,Athletics,2B/3B,4900,9.29,9.06,47.299696453209975
43,Scooter Gennett,Reds,2B,4800,9.2,8.08,52.57237784822814
44,Rhys Hoskins,Phillies,OF,4800,10.27,8.7,85.07635041551245
45,Marcus Semien,Athletics,SS,4800,9.61,10.65,45.12524245235285
46,Didi Gregorius,Yankees,SS,4800,9.15,9.96,40.13304773148929
47,Eugenio Suarez,Reds,3B,4700,8.95,7.53,56.127916476567385
48,George Springer,Astros,OF,4700,9.31,10.46,81.05845209984821
49,Javier Baez,Cubs,2B/SS,4700,8.51,7.29,41.880891004032
50,Stephen Piscotty,Athletics,OF,4700,9.02,9.85,59.992066115702464
51,C.J. Cron,Rays,1B,4700,8.26,8.36,43.26164471342114
52,Christian Yelich,Brewers,OF,4700,7.04,6.49,69.80472630137722
53,Brett Gardner,Yankees,OF,4700,9.08,8.96,52.399053751411635
54,Brandon Nimmo,Mets,OF,4700,7.64,7.16,28.691402803646703
55,Adam Eaton,Nationals,OF,4700,8.73,7.78,62.45602790083891
56,Paul Goldschmidt,Diamondbacks,1B,4600,9.79,9.6,88.34622764293094
57,Brad Keller,Royals,SP,4600,7.82,8.92,63.67947847222222
58,Whit Merrifield,Royals,2B/OF,4600,8.41,8.34,57.17482302246845
59,Giancarlo Stanton,Yankees,OF,4600,11.21,10.12,80.21519695339626
60,Juan Soto,Nationals,OF,4600,8.37,7.32,87.73444444444445
61,Manny Machado,Dodgers,SS,4500,9.71,7.61,71.60048168772654
62,Max Muncy,Dodgers,1B/3B,4500,9.66,8.14,41.20811654526535
63,Lance Lynn,Twins,SP,4500,8.86,9.46,113.19178519569158
64,Jose Altuve,Astros,2B,4500,9.39,10.87,75.10101044060833
65,Anthony Rizzo,Cubs,1B,4500,8.88,9.26,72.42752827396491
66,David Peralta,Diamondbacks,OF,4500,8.79,8.47,56.46919121956417
67,Gregory Polanco,Pirates,OF,4500,7.92,8.98,60.72898272954829
68,Yasmani Grandal,Dodgers,C,4400,9.08,7.31,45.1249960100865
69,Cesar Hernandez,Phillies,2B,4400,8.14,8.58,42.33078392037344
70,Odubel Herrera,Phillies,OF,4400,8.69,8.02,47.735537190082646
71,Jesus Aguilar,Brewers,1B,4400,7.72,7.72,30.531674569769308
72,Michael Brantley,Indians,OF,4400,9.79,9.44,63.63550145296304
73,Jean Segura,Mariners,SS,4400,8.95,8.34,61.390191516907166
74,Michael Conforto,Mets,OF,4400,8.37,9.3,54.621337890625
75,Ozzie Albies,Braves,2B,4300,8.3,6.81,69.30562499999999
76,Joc Pederson,Dodgers,OF,4300,9.58,8.16,34.52116767532929
77,Justin Smoak,Blue Jays,1B,4300,8.62,8.65,36.127096105932075
78,Joey Votto,Reds,1B,4300,9.13,9.6,82.90700484760822
79,Yovani Gallardo,Rangers,SP,4300,7.54,9.41,120.93265868868635
80,Tommy Pham,Cardinals,OF,4300,8.13,8.47,58.5627700831025
81,Matt Olson,Athletics,1B,4300,9.01,6.99,45.709357277882795
82,Matt Chapman,Athletics,3B,4300,9.11,7.77,51.177514792899416
83,Edwin Encarnacion,Indians,1B,4300,9.41,8.35,64.15543406541615
84,Wil Myers,Padres,OF,4300,7.49,6.85,65.40569327929116
