Name,Team,Pos,DK,Salary
Aaron Hicks,Yankees,CF,9.03,4400.0
Aaron Judge,Yankees,RF,10.16,5400.0
Adam Eaton,Nationals,LF,8.87,4100.0
Adam Jones,Orioles,CF,9.17,3700.0
Adeiny Hechavarria,Rays,SS,5.0,2600.0
Albert Pujols,Angels,1B,8.85,4000.0
Aledmys Diaz,Blue Jays,SS,7.25,3100.0
Alex Bregman,Astros,3B,9.28,5300.0
Amed Rosario,Mets,SS,6.62,2900.0
Andrelton Simmons,Angels,SS,7.54,3800.0
Andrew Benintendi,Red Sox,LF,8.57,5100.0
Andrew Knapp,Phillies,C,5.77,3200.0
Anthony Rendon,Nationals,3B,8.74,4300.0
Asdrubal Cabrera,Mets,2B,8.36,4600.0
Austin Romine,Yankees,C,6.01,3500.0
Billy Hamilton,Reds,CF,6.87,3700.0
Brad Miller,Brewers,1B,9.15,3600.0
Brandon Nimmo,Mets,CF,9.0,4600.0
Brett Gardner,Yankees,LF,5.88,3700.0
Brian Anderson,Marlins,RF,7.81,3400.0
Bryce Harper,Nationals,RF,10.02,4900.0
CC Sabathia,Yankees,SP,10.68,6500.0
Carlos Santana,Phillies,1B,8.55,4700.0
Cesar Hernandez,Phillies,2B,7.97,4700.0
Chance Sisco,Orioles,C,6.3,3100.0
Chase Anderson,Brewers,SP,11.93,7000.0
Chris Davis,Orioles,1B,8.23,3000.0
Christian Vazquez,Red Sox,C,5.92,2700.0
Daniel Robertson,Rays,2B,5.56,3000.0
Danny Valencia,Orioles,3B,7.82,3700.0
David Fletcher,Angels,SS,6.44,3500.0
David Hess,Orioles,SP,9.24,4400.0
Derek Dietrich,Marlins,LF,8.59,4000.0
Devin Mesoraco,Mets,C,6.67,3300.0
Devon Travis,Blue Jays,2B,7.07,3400.0
Didi Gregorius,Yankees,SS,7.48,4400.0
Dixon Machado,Tigers,2B,4.9,2800.0
Dylan Cozens,Phillies,DH,7.82,3500.0
Eduardo Nunez,Red Sox,DH,7.33,3500.0
Eduardo Rodriguez,Red Sox,SP,17.4,8100.0
Eric Thames,Brewers,1B,10.47,5000.0
Erick Fedde,Nationals,SP,15.02,5500.0
Eugenio Suarez,Reds,3B,9.09,5100.0
Evan Gattis,Astros,DH,8.54,4200.0
Felix Pena,Angels,SP,15.25,6600.0
Francisco Liriano,Tigers,SP,11.48,6200.0
Gerrit Cole,Astros,SP,24.19,13000.0
Giancarlo Stanton,Yankees,DH,10.21,5000.0
Gleyber Torres,Yankees,2B,8.54,4000.0
Greg Bird,Yankees,1B,6.46,3700.0
Ian Kinsler,Angels,2B,7.72,3800.0
J.D. Martinez,Red Sox,DH,10.91,5700.0
J.T. Realmuto,Marlins,C,7.89,4300.0
JaCoby Jones,Tigers,LF,5.69,3200.0
Jackie Bradley Jr.,Red Sox,CF,5.56,3200.0
Jake Bauers,Rays,LF,6.71,3600.0
Jake Marisnick,Astros,CF,6.3,2800.0
James McCann,Tigers,C,5.71,2900.0
Jeimer Candelario,Tigers,3B,7.53,3900.0
Jesse Winker,Reds,RF,7.68,3600.0
Jesus Aguilar,Brewers,1B,9.86,5200.0
Joey Votto,Reds,1B,10.34,4900.0
Joey Wendle,Rays,2B,5.65,2800.0
John Hicks,Tigers,C,6.24,3200.0
Jonathan Schoop,Orioles,2B,7.84,3500.0
Jose Altuve,Astros,2B,9.68,5100.0
Jose Bautista,Mets,DH,7.86,3700.0
Jose Iglesias,Tigers,SS,5.93,3200.0
Jose Peraza,Reds,SS,6.74,4200.0
Josh Reddick,Astros,RF,8.34,3500.0
Juan Soto,Nationals,LF,8.54,4500.0
Justin Bour,Marlins,1B,8.08,3500.0
Justin Smoak,Blue Jays,1B,8.36,3600.0
Justin Upton,Angels,LF,10.34,4700.0
Kendrys Morales,Blue Jays,DH,8.13,3500.0
Keon Broxton,Brewers,CF,7.86,3300.0
Kevin Kiermaier,Rays,CF,7.14,3200.0
Kevin Pillar,Blue Jays,CF,7.87,3400.0
Kole Calhoun,Angels,RF,9.02,3400.0
Leonys Martin,Tigers,CF,8.18,4000.0
Lewis Brinson,Marlins,CF,6.26,3000.0
Luis Valbuena,Angels,1B,8.3,3400.0
Maikel Franco,Phillies,3B,7.11,3700.0
Mallex Smith,Rays,LF,5.82,2900.0
Manny Machado,Orioles,SS,9.92,5000.0
Manny Pina,Brewers,C,7.66,3000.0
Marcus Stroman,Blue Jays,SP,17.6,6300.0
Mark Reynolds,Nationals,1B,7.41,3600.0
Mark Trumbo,Orioles,DH,8.39,4400.0
Martin Maldonado,Angels,C,6.34,3100.0
Marwin Gonzalez,Astros,LF,7.96,3400.0
Matt Duffy,Rays,3B,6.94,3300.0
Max Stassi,Astros,C,6.86,3600.0
Michael Conforto,Mets,CF,8.92,4200.0
Miguel Andujar,Yankees,3B,7.92,3900.0
Miguel Rojas,Marlins,SS,5.91,2900.0
Mike Trout,Angels,CF,13.43,6000.0
Mookie Betts,Red Sox,RF,11.03,6100.0
Nicholas Castellanos,Tigers,RF,7.75,4600.0
Nick Pivetta,Phillies,SP,18.04,9500.0
Odubel Herrera,Phillies,CF,8.67,5300.0
Orlando Arcia,Brewers,SS,6.59,2700.0
Rafael Devers,Red Sox,3B,6.71,3900.0
Randal Grichuk,Blue Jays,RF,9.58,3700.0
Rhys Hoskins,Phillies,LF,9.99,4900.0
Russell Martin,Blue Jays,C,7.33,2900.0
Ryan Braun,Brewers,1B,9.35,4300.0
Sal Romano,Reds,SP,15.53,5000.0
Sandy Alcantara,Marlins,SP,13.4,5300.0
Scooter Gennett,Reds,2B,10.16,4800.0
Scott Kingery,Phillies,SS,7.89,3000.0
Scott Schebler,Reds,RF,10.45,4300.0
Spencer Kieboom,Nationals,C,5.56,2600.0
Starlin Castro,Marlins,2B,6.86,3400.0
Steve Pearce,Red Sox,LF,8.38,3400.0
Teoscar Hernandez,Blue Jays,RF,9.6,4400.0
Tim Beckham,Orioles,3B,7.1,3300.0
Todd Frazier,Mets,3B,7.49,3500.0
Tony Kemp,Astros,CF,6.55,3400.0
Travis Shaw,Brewers,3B,9.85,4100.0
