,Name,Team,Position,Salary,DKFG,DKRoto,BATPred,Var
0,Clayton Kershaw,Dodgers,SP,12100,25.98,24.94,23.8,136.30707806849938
1,Patrick Corbin,Diamondbacks,SP,11500,16.69,15.71,16.4,119.80765940267092
2,Blake Snell,Rays,SP,10700,15.55,15.91,14.75,121.72169374459342
3,James Paxton,Mariners,SP,9300,19.94,20.51,18.14,143.21810469596002
4,Stephen Strasburg,Nationals,SP,9000,19.8,19.44,19.89,127.27943849999998
5,Jon Gray,Rockies,SP,8800,24.45,19.55,22.36,152.1181138409058
6,Kyle Hendricks,Cubs,SP,8300,17.42,17.58,16.22,74.26611429722861
7,Eduardo Rodriguez,Red Sox,SP,8200,20.89,19.72,19.68,108.7462910034602
8,Carlos Rodon,White Sox,SP,8100,10.47,16.62,12.48,99.62584218749996
9,Shane Bieber,Indians,SP,8000,16.5,16.53,16.06,80.0
10,Kevin Gausman,Braves,SP,7900,14.69,16.1,16.69,116.61850822060354
11,Jose Berrios,Twins,SP,7800,15.78,15.61,13.41,171.22755040098014
12,Luis Castillo,Reds,SP,7500,16.76,12.51,15.52,101.58804283164784
13,Chase Anderson,Brewers,SP,7400,10.45,13.35,8.43,80.7922220784024
14,Chris Archer,Pirates,SP,7200,15.85,17.82,17.88,109.53379688976848
15,Daniel Poncedeleon,Cardinals,SP,7100,14.07,15.82,13.14,80.0
16,Dylan Bundy,Orioles,SP,7000,18.28,13.56,16.82,149.33010868252626
17,Zach Eflin,Phillies,SP,6900,13.37,11.91,14.11,136.19808596073764
18,Wei-Yin Chen,Marlins,SP,6700,14.34,10.25,16.37,76.50467333076571
19,Felix Pena,Angels,SP,6200,9.56,10.83,7.52,59.47001399999999
20,Mike Trout,Angels,OF,5900,9.5,8.34,10.8,74.20919833889293
21,Christian Yelich,Brewers,OF,5800,9.14,7.42,8.87,53.91096161251298
22,Mookie Betts,Red Sox,OF,5700,11.4,10.03,12.12,80.13935887163052
23,J.D. Martinez,Red Sox,OF,5600,11.35,8.98,11.6,66.23409234081184
24,Matt Carpenter,Cardinals,1B/3B,5500,9.25,8.74,9.65,54.68226765016636
25,Anthony Rizzo,Cubs,1B,5400,10.12,9.05,9.89,63.54446003094753
26,Javier Baez,Cubs,2B/SS,5300,10.1,8.34,8.58,64.88382445444428
27,Trevor Story,Rockies,SS,5200,8.42,6.92,8.9,69.12111781152772
28,Marco Estrada,Blue Jays,SP,5200,17.89,15.31,15.75,102.51891981644735
29,Alex Bregman,Astros,3B/SS,5100,10.08,8.41,9.08,54.48213399943312
30,Heath Fillmyer,Royals,SP,5100,11.48,11.16,9.45,80.0
31,Bryce Harper,Nationals,OF,5000,10.43,9.04,10.11,67.4759832182376
32,Yovani Gallardo,Rangers,SP,5000,10.17,7.94,9.08,120.18636982106581
33,Jose Ramirez,Indians,3B,5000,9.47,8.17,9.25,68.49438143025803
34,Francisco Lindor,Indians,SS,4900,8.93,8.09,8.98,64.45431303822703
35,Robbie Erlin,Padres,SP,4900,16.26,13.58,14.43,79.4132788085938
36,Nolan Arenado,Rockies,3B,4900,8.61,8.02,10.01,71.59348856354534
37,Starling Marte,Pirates,OF,4800,9.7,9.28,9.28,59.28151277745514
38,Gregory Polanco,Pirates,OF,4800,8.93,7.63,7.88,54.01205936920215
39,Joey Gallo,Rangers,1B/OF,4800,8.53,7.88,8.9,67.76047858558182
40,Justin Upton,Angels,OF,4800,7.45,5.75,8.05,63.772749233310996
41,Jose Altuve,Astros,2B,4800,10.09,8.48,8.97,57.03701249400637
42,Eugenio Suarez,Reds,3B,4800,8.14,6.71,8.26,55.37077619718895
43,Daniel Mengden,Athletics,SP,4800,10.27,11.77,11.95,164.47183215027695
44,Trea Turner,Nationals,SS,4700,9.55,9.89,9.38,83.89733633328525
45,Rougned Odor,Rangers,2B,4700,8.48,8.83,9.4,62.546655872137144
46,Scooter Gennett,Reds,2B,4700,8.58,6.98,8.16,51.92850366929999
47,Whit Merrifield,Royals,2B/OF,4700,8.81,7.5,8.74,51.00804618213704
48,Charlie Blackmon,Rockies,OF,4700,7.88,8.35,8.76,63.15343735396107
49,Paul Goldschmidt,Diamondbacks,1B,4700,7.82,6.98,8.19,70.29325887206649
50,J.T. Realmuto,Marlins,C,4700,7.47,8.4,8.08,52.97886137654499
51,Freddie Freeman,Braves,1B,4600,9.75,8.19,8.78,58.717928061831124
