,Name,Team,Position,Salary,DKFG,DKRoto,BATPred,Var
0,Max Scherzer,Nationals,SP,12200,28.98,23.06,34.0,139.45171526255982
1,Jack Flaherty,Cardinals,SP,10200,15.6,16.45,14.43,108.33455038265305
2,Cole Hamels,Cubs,SP,9400,17.28,18.14,15.51,119.52572974008892
3,Trevor Williams,Pirates,SP,8500,13.39,12.51,11.52,94.91029235839844
4,Dallas Keuchel,Astros,SP,7900,18.58,17.8,23.21,120.90174834157142
5,Nathan Eovaldi,Red Sox,SP,7600,13.14,14.49,14.18,97.51504322222227
6,Reynaldo Lopez,White Sox,SP,7300,15.89,14.36,16.76,110.93478851606808
7,Michael Fulmer,Tigers,SP,7100,17.26,14.27,19.4,112.74449640721451
8,Touki Toussaint,Braves,SP,7000,14.06,10.31,10.09,80.0
9,Kyle Gibson,Twins,SP,6700,10.84,13.46,14.01,109.67783237055151
10,Jose Urena,Marlins,SP,6400,13.16,11.5,15.81,77.21904860537191
11,Mookie Betts,Red Sox,OF,6000,10.5,9.54,10.64,80.13935887163052
12,J.D. Martinez,Red Sox,OF,5700,10.25,8.31,10.96,66.23409234081184
13,Javier Baez,Cubs,2B/SS,5700,9.7,8.35,7.99,64.88382445444428
14,Matt Harvey,Reds,SP,5500,10.86,11.44,10.15,132.80112304687503
15,Andrew Benintendi,Red Sox,OF,5400,9.44,8.24,9.17,66.82340270551494
16,Anthony Rizzo,Cubs,1B,5300,9.53,8.1,9.23,63.54446003094753
17,Christian Yelich,Brewers,OF,5300,8.34,7.95,8.69,53.91096161251298
18,Alex Bregman,Astros,3B/SS,5200,9.16,7.44,8.59,54.48213399943312
19,Kris Bryant,Cubs,3B,5100,9.2,8.63,8.2,72.27763834572964
20,Starling Marte,Pirates,OF,5100,9.66,8.88,9.44,59.28151277745514
21,Gregory Polanco,Pirates,OF,5000,9.23,8.75,9.06,54.01205936920215
22,Zach Davies,Brewers,SP,4800,13.61,10.06,13.85,89.66521933333333
23,Kyle Schwarber,Cubs,OF,4800,8.55,9.18,8.34,64.01499999999987
24,Xander Bogaerts,Red Sox,SS,4700,8.19,7.37,8.53,48.95675563222496
25,Lorenzo Cain,Brewers,OF,4700,8.82,8.95,9.42,52.53621106138211
26,Jesus Aguilar,Brewers,1B,4700,8.97,7.78,8.37,65.24809329390222
27,Scooter Gennett,Reds,2B,4700,8.61,6.99,8.43,51.92850366929999
28,Eugenio Suarez,Reds,3B,4700,8.35,6.52,8.16,55.37077619718895
29,J.T. Realmuto,Marlins,C,4700,7.5,7.15,7.05,52.97886137654499
30,Freddie Freeman,Braves,1B,4600,9.43,8.07,9.09,58.717928061831124
31,Juan Soto,Nationals,OF,4600,8.49,7.55,8.49,65.5558641585658
32,Daniel Murphy,Cubs,1B/2B,4600,9.44,7.89,8.42,49.80455026065978
33,Ender Inciarte,Braves,OF,4500,8.09,8.05,6.97,45.477608658473976
34,Ozzie Albies,Braves,2B,4500,7.61,7.08,6.62,63.15751643535424
35,Trea Turner,Nationals,SS,4500,9.13,8.62,8.27,83.89733633328525
36,Matt Carpenter,Cardinals,1B/3B,4500,8.92,7.82,7.99,54.68226765016636
37,Tyler White,Astros,1B,4400,8.13,8.02,6.97,61.33345843497842
38,Jose Altuve,Astros,2B,4400,9.3,8.61,7.9,57.03701249400637
39,Mitch Moreland,Red Sox,1B,4300,8.39,7.64,7.87,47.534107813475906
40,Johan Camargo,Braves,3B/SS,4300,7.65,7.26,6.47,41.69969663615126
41,Bryce Harper,Nationals,OF,4300,9.63,9.09,10.15,67.4759832182376
42,Adam Eaton,Nationals,OF,4300,8.13,7.99,8.05,46.475887096774166
43,Carlos Correa,Astros,SS,4300,8.22,7.74,7.75,69.22533612073532
44,Adam Frazier,Pirates,2B/OF,4300,8.66,7.81,7.13,43.19365616068926
45,Joey Votto,Reds,1B,4300,8.94,6.82,8.95,58.5465893692208
46,Wilson Ramos,Phillies,C,4300,7.99,6.51,6.76,48.68676157844995
47,Nick Markakis,Braves,OF,4200,7.96,6.98,7.02,42.82849870335542
48,Ian Kinsler,Red Sox,2B,4200,7.38,7.44,7.64,58.964040097327455
49,Yoan Moncada,White Sox,2B,4200,6.59,5.95,6.68,56.9891599707816
50,Scott Schebler,Reds,OF,4200,8.06,7.02,7.77,58.05910265807656
51,Roman Quinn,Phillies,OF,4200,9.48,7.2,7.05,35.0
52,Brian Anderson,Marlins,3B/OF,4200,7.15,6.39,6.33,36.86704854991178
53,Eduardo Nunez,Red Sox,2B/3B,4100,7.73,6.15,7.3,49.62111020212762
54,Anthony Rendon,Nationals,3B,4100,8.78,6.62,8.24,56.85060410778779
55,Avisail Garcia,White Sox,OF,4100,7.12,8.05,6.94,52.86025600949854
56,Daniel Palka,White Sox,OF,4100,7.83,7.15,7.21,63.61398660856621
57,Tim Anderson,White Sox,SS,4100,6.28,6.43,6.02,53.496797935728644
58,Mike Moustakas,Brewers,3B,4100,7.14,6.16,7.7,48.62669375527236
59,Ian Happ,Cubs,OF,4100,7.79,6.53,6.53,55.971264897124655
60,Carlos Santana,Phillies,1B,4100,7.9,9.02,7.81,51.99295744000007
