,Park ID,AB,H,2H,3H,HR,RBI,Hits Per AB,Doubles Per AB,Triples Per AB,HR Per AB,Runs Per AB,Hits Factor,Double Factor,Triple Factor,HR Factor,RBI Factor
0,BOS07,155627.0,42655.0,9694.0,775.0,4374.0,21242.0,0.274084831038316,0.062289962538634044,0.004979855680569567,0.028105662899111337,0.1364930249892371,1.0493153309629644,1.2552750212059267,0.824889069049719,0.9756085853782319,1.0784053343244104
1,ANA01,153678.0,40247.0,7404.0,578.0,4540.0,19169.0,0.26189174768021445,0.04817865927458712,0.0037611108942073685,0.029542289722666874,0.12473483517484611,1.0026349318657348,0.9709022943314597,0.6230098748083853,1.0254770217882394,0.9855061212046333
2,CHI10,5360.0,1358.0,224.0,53.0,94.0,610.0,0.2533582089552239,0.041791044776119404,0.009888059701492537,0.01753731343283582,0.11380597014925373,0.9699648531255984,0.8421782977478011,1.6379093863497913,0.608758228224697,0.8991592449255
3,KAN06,154771.0,42262.0,8321.0,1142.0,3929.0,20318.0,0.27306149084776865,0.053763301910564644,0.007378643285886891,0.025385892705997892,0.13127782336484226,1.0453975419096118,1.0834447027324317,1.22223666334223,0.8811994565068689,1.0372010218566619
4,OAK01,151020.0,38144.0,7321.0,664.0,4345.0,18808.0,0.25257581777248045,0.04847702291087273,0.004396768639915243,0.028771023705469474,0.12453979605350285,0.9669695211338467,0.9769149551936845,0.7283035137660588,0.9987047036725172,0.9839651543392928
5,ARL01,22165.0,5752.0,1066.0,139.0,575.0,2745.0,0.2595082337017821,0.04809384164222874,0.006271148206632078,0.02594180013534852,0.12384389803744643,0.9935098089989974,0.9691930389246793,1.038785446378617,0.9004962104278434,0.9784669969593079
6,HOU02,53010.0,13450.0,2662.0,334.0,1072.0,6044.0,0.25372571212978684,0.05021694019996227,0.006300697981512922,0.020222599509526505,0.11401622335408414,0.9713718142981143,1.0119779833758544,1.0436802240299445,0.7019703385392663,0.9008204153601489
7,LOS03,149800.0,37079.0,6456.0,523.0,4003.0,16717.0,0.2475233644859813,0.043097463284379176,0.0034913217623497995,0.026722296395193593,0.11159546061415221,0.9476265437336978,0.8685054049385058,0.5783206066663278,0.9275889303075986,0.8816944310684078
8,NYC17,102086.0,25955.0,4874.0,523.0,2736.0,12184.0,0.2542464196853633,0.047744058930705484,0.005123131477381815,0.026800932547068158,0.11935035166428305,0.9733653081333796,0.9621441745052716,0.8486220135828213,0.9303185618827485,0.9429643448696822
9,STL09,86163.0,22526.0,4407.0,476.0,2379.0,10772.0,0.2614347225607279,0.051147244176734795,0.005524413031115444,0.027610459245847985,0.12501885960331,1.0008852419515002,1.0307255840578549,0.9150923670466187,0.958418991332056,0.9877501439945015
10,MIL05,58865.0,15736.0,2908.0,337.0,1528.0,7811.0,0.2673235369064809,0.0494011721736176,0.005724963900450183,0.025957699821625754,0.13269345111696254,1.0234301713836929,0.9955385253181649,0.948312651029572,0.9010481230616985,1.0483856264870053
11,TOR02,153508.0,40203.0,8635.0,825.0,5110.0,20306.0,0.26189514552987464,0.0562511400057326,0.0053743127394012035,0.033288167391927456,0.13227975089246163,1.002647940304499,1.133579923406741,0.890228977856575,1.1555045691556696,1.0451170599873751
12,CHI11,153041.0,39365.0,7560.0,848.0,4853.0,19381.0,0.25721865382479203,0.049398527192059644,0.005540998817310394,0.03171045667500866,0.1266392666017603,0.9847443065182924,0.9954852233230128,0.9178397225146079,1.100738804469938,1.0005526703583447
13,SAN01,74538.0,18926.0,3154.0,393.0,2063.0,8772.0,0.25391075692935144,0.04231398749631061,0.005272478467358931,0.02767715795969841,0.11768493922562988,0.9720802458605707,0.8527167040563673,0.8733606219742819,0.960734248513491,0.9298062391142018
14,ATL01,36144.0,9324.0,1635.0,169.0,988.0,4385.0,0.25796812749003983,0.04523572377158035,0.004675741478530323,0.02733510402833112,0.12132027445772466,0.9876136160095118,0.9115958944656184,0.7745140186273224,0.9488608138500854,0.958528328808218
15,DET04,53153.0,14119.0,2498.0,296.0,1953.0,7671.0,0.26562940944067126,0.046996406599815625,0.005568829605102252,0.03674298722555641,0.1443192293943898,1.0169443183879427,0.947077392358303,0.9224497582475952,1.2754288670710898,1.1402386813302032
16,NYC16,102920.0,27493.0,5172.0,394.0,3272.0,13855.0,0.26712980956082394,0.05025262339681306,0.00382821609016712,0.03179168286047415,0.13461912164788184,1.0226884992778178,1.0126970755675664,0.6341255267819195,1.103558341734799,1.0635999817469788
17,SEA02,49886.0,13361.0,2866.0,214.0,1631.0,6954.0,0.2678306538908712,0.05745098825321734,0.004289780699995991,0.03269454355931524,0.1393978270456641,1.0253716346317558,1.157759413535205,0.7105814776629071,1.1348985969834238,1.1013556208541024
18,MON02,75867.0,19579.0,4185.0,474.0,1943.0,9262.0,0.2580700436289823,0.055162323539879,0.006247775712760488,0.025610608037750275,0.12208206466579673,0.9880037950889586,1.1116379594600452,1.0349139055252683,0.8889998135989862,0.9645470878186935
19,PHI12,75464.0,19333.0,4135.0,497.0,1938.0,9444.0,0.2561883812148839,0.0547943390225803,0.0065859217640199304,0.025681119474186366,0.12514576486801654,0.9807999771639375,1.1042222900017584,1.0909261675903283,0.8914474186599782,0.9887527982651075
20,PIT07,58760.0,15482.0,3173.0,432.0,1466.0,7395.0,0.2634785568413887,0.053999319264805994,0.007351940095302927,0.024948944860449285,0.1258509189925119,1.0087099239542239,1.0882009536158148,1.2178134086468362,0.8660320480379791,0.9943240863909046
21,SFO02,53002.0,13511.0,2347.0,260.0,1542.0,6441.0,0.25491490887136337,0.044281347873665146,0.004905475265084337,0.02909324176446172,0.12152371608618542,0.9759245739956875,0.8923631934545865,0.8125683120598045,1.0098895921359266,0.9601356822782803
22,CIN08,69402.0,18151.0,3737.0,381.0,2146.0,8980.0,0.2615342497334371,0.05384571049825653,0.005489755338462869,0.030921299098008705,0.12939108383043715,1.0012662750344896,1.0851054107734477,0.9093514874586535,1.073345431465319,1.0222942529683348
23,BAL11,10970.0,2753.0,505.0,34.0,308.0,1314.0,0.2509571558796718,0.04603463992707384,0.003099361896080219,0.028076572470373748,0.11978122151321786,0.96077258300584,0.9276957515398114,0.5133943457601107,0.9745987934323667,0.9463685652943338
24,CLE07,22285.0,6044.0,991.0,113.0,509.0,2689.0,0.2712138209557999,0.044469374018398025,0.0050706753421584025,0.022840475656271033,0.1206641238501234,1.0383238620680213,0.8961523195544848,0.8399329078484483,0.7928425038174458,0.9533442081147746
25,MIN03,110619.0,30330.0,6132.0,742.0,3009.0,14558.0,0.2741843625416972,0.05543351503810376,0.006707708440683789,0.027201475334255418,0.13160487800468273,1.04969638062564,1.1171030440388616,1.111099543041325,0.9442222717291927,1.039785018132276
26,CHI12,147026.0,38603.0,6939.0,692.0,5088.0,19585.0,0.2625590031695074,0.047195734087848405,0.0047066505243970455,0.034606124086896194,0.13320773196577476,1.005189474603222,0.9510942645246988,0.7796339529598972,1.20125370773261,1.0524488612987746
27,BAL12,142373.0,37820.0,6912.0,503.0,5033.0,18828.0,0.26564025482359716,0.048548530971462285,0.0035329732463318187,0.0353508038743301,0.1322441755108061,1.0169858392066295,0.9783559944657385,0.5852199740477009,1.227103160086254,1.0448359856881502
28,MIA01,101897.0,26360.0,5079.0,754.0,2631.0,12626.0,0.258692601352346,0.04984445076891371,0.007399629037164981,0.025820190977163215,0.12390943796186345,0.9903872154375427,1.0044715303390837,1.2257128517993847,0.8962748924958635,0.9789848153907488
29,DEN01,9699.0,2957.0,526.0,150.0,304.0,1593.0,0.3048767914217961,0.054232395092277556,0.01546551190844417,0.031343437467780184,0.1642437364676771,1.1672002791317049,1.0928979264882979,2.5617874369955125,1.0879987708739993,1.2976584081866618
30,CLE08,130696.0,34880.0,7292.0,510.0,4020.0,17347.0,0.26687886392850585,0.05579359735569566,0.003902185223725286,0.030758401175246374,0.13272785701169126,1.0217277708119918,1.1243594673923147,0.646378156904773,1.0676908908640999,1.048657460893273
31,ARL02,133702.0,37221.0,7320.0,835.0,4731.0,19551.0,0.278387757849546,0.05474862006551884,0.00624523193370331,0.03538466141119804,0.14622817908483043,1.065788796692281,1.10330095593033,1.034492540796461,1.2282784287062005,1.155320928421514
32,DEN02,131195.0,39267.0,7809.0,1219.0,4930.0,21305.0,0.2993025648843325,0.05952208544532947,0.00929151263386562,0.03757765158733183,0.16239185944586304,1.1458597279532143,1.1994964200414397,1.5390942425336505,1.3044018793846721,1.2830270813551659
