"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Gerrit Cole","Astros","COL @ HOU",".45","6.54","26.80","5.65","3.49","1.21",".12",".83","2.06","8.19","25.05","41.75","23.45","13125"
"Chris Archer","Pirates","PIT @ MIN",".38","6.02","25.16","5.74","3.69","1.22",".17",".66","1.88","6.61","20.23","34.66","18.83","6345"
"Shane Bieber","Indians","CLE @ CIN",".48","6.08","25.42","6.11","4.15","1.20",".13",".62","1.64","5.85","19.04","33.10","17.66","19427"
"Vince Velasquez","Phillies","BOS @ PHI",".33","5.79","24.51","5.38","3.15","1.07",".09","1.07","2.23","6.73","18.96","32.82","17.70","11189"
"Kevin Gausman","Braves","MIA @ ATL",".46","6.24","26.10","6.56","4.55","1.32",".16",".53","1.40","5.64","18.72","32.83","17.36","14107"
"Jose Berrios","Twins","PIT @ MIN",".35","6.36","26.54","6.08","4.01","1.21",".20",".66","1.97","5.80","18.72","32.85","17.32","14168"
"Felix Pena","Angels","LAA @ SD",".34","5.71","24.42","5.79","3.69","1.04",".17",".89","2.05","6.54","18.22","32.08","17.10","13403"
"Hyun-Jin Ryu","Dodgers","SF @ LAD",".41","5.71","24.16","5.67","3.69","1.19",".06",".72","1.90","5.76","17.66","30.88","16.43","14444"
"Marco Estrada","Blue Jays","TOR @ KC",".46","6.22","25.98","5.92","3.62","1.37",".25",".68","2.00","5.08","17.35","30.68","15.99","1118"
"Dylan Bundy","Orioles","NYM @ BAL",".35","5.98","25.93","6.11","3.92","1.24",".09",".86","2.45","5.79","16.36","30.20","15.39","12917"
"Carlos Rodon","White Sox","CWS @ DET",".40","5.83","25.07","6.13","4.10","1.34",".19",".50","2.14","5.22","15.83","29.13","14.83","16137"
"Nathan Eovaldi","Red Sox","BOS @ PHI",".38","6.01","25.12","6.38","4.07","1.08",".13","1.09","1.23","4.95","15.98","28.27","14.62","9132"
"Zack Wheeler","Mets","NYM @ BAL",".36","5.55","24.15","6.18","4.31","1.04",".07",".76","1.89","5.46","15.20","28.02","14.29","10310"
"Kyle Hendricks","Cubs","MIL @ CHC",".35","5.97","25.42","6.45","3.79","1.29",".11","1.26","1.54","5.13","15.15","27.50","13.97","12049"
"Austin Gomber","Cardinals","WSH @ STL",".33","5.71","24.69","5.63","3.58","1.16",".09",".79","2.53","5.01","14.75","27.40","13.77","16561"
"Robbie Erlin","Padres","LAA @ SD",".37","6.16","25.81","6.76","4.59","1.24",".13",".80","1.06","4.04","14.57","26.67","13.38","10354"
"Junior Guerra","Brewers","MIL @ CHC",".32","5.41","23.67","5.62","3.12","1.16",".13","1.22","2.32","5.25","13.75","25.71","12.90","5702"
"Robert Stephenson","Reds","CLE @ CIN",".22","5.34","23.68","4.99","2.76","1.12",".06","1.05","3.21","5.13","12.98","24.98","12.28","13594"
"Mike Leake","Mariners","SEA @ OAK",".39","6.14","26.50","6.88","4.37","1.62",".14",".75","1.76","3.97","12.96","25.09","12.00","10130"
"Tyler Anderson","Rockies","COL @ HOU",".27","5.62","24.37","5.69","3.52","1.15",".12",".90","2.39","4.55","13.12","24.88","12.18","12880"
"Jeremy Hellickson","Nationals","WSH @ STL",".36","5.87","25.05","6.25","3.85","1.40",".09",".92","1.72","4.06","13.31","24.87","12.17","4371"
"Jordan Zimmermann","Tigers","CWS @ DET",".28","5.46","23.56","6.37","4.05","1.26",".29",".76","1.33","4.49","12.92","24.10","11.92","4505"
"Luis Cessa","Yankees","TB @ NYY",".37","5.45","24.10","6.26","4.07","1.13",".12",".93","2.16","4.47","12.03","23.87","11.34","13345"
"Derek Holland","Giants","SF @ LAD",".25","5.21","23.16","5.58","3.19","1.18",".07","1.14","2.45","4.81","11.94","23.24","11.25","4141"
"Jorge Lopez","Royals","TOR @ KC",".26","5.61","24.66","6.15","3.92","1.36",".13",".73","2.26","3.84","11.04","22.29","10.25","14527"
"Brett Anderson","Athletics","SEA @ OAK",".34","5.76","25.19","6.96","4.75","1.47",".12",".62","1.60","3.21","10.31","21.33","9.49","8223"
"Jose Urena","Marlins","MIA @ ATL",".26","5.54","24.99","6.67","4.32","1.41",".14",".79","2.43","3.84","9.48","20.99","9.04","11589"
"Jake Faria","Rays","TB @ NYY",".24","4.77","21.81","5.24","3.06",".96",".06","1.16","2.79","3.96","8.66","18.58","8.30","13699"
