"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"James Paxton","Mariners","KC @ SEA",".56","6.48","25.68","5.16","3.40","1.03",".08",".66","1.56","7.60","26.10","42.03","24.06","11828"
"Ross Stripling","Dodgers","COL @ LAD",".50","6.82","27.02","5.96","3.76","1.22",".07",".91","1.07","7.16","24.98","40.46","22.99","13273"
"J.A. Happ","Blue Jays","DET @ TOR",".50","6.82","28.08","6.26","3.78","1.53",".12",".83","1.91","7.15","23.12","39.16","21.65","7410"
"Jameson Taillon","Pirates","PIT @ SD",".41","6.72","27.29","5.82","3.82","1.18",".18",".64","1.88","6.79","22.99","38.55","21.34","11674"
"Charlie Morton","Astros","HOU @ TB",".46","6.33","26.50","5.27","3.63","1.00",".15",".49","2.95","7.05","22.07","38.20","20.77","4676"
"Tyson Ross","Padres","PIT @ SD",".35","6.60","27.32","5.55","3.64","1.16",".16",".59","2.59","6.20","20.61","35.70","19.18","7872"
"Zack Godley","Diamondbacks","SF @ ARI",".38","6.21","26.49","5.69","3.45","1.36",".14",".75","2.68","6.89","20.11","35.49","18.93","14862"
"Cole Hamels","Rangers","CWS @ TEX",".42","6.42","27.00","6.10","3.77","1.25",".17",".90","2.24","6.61","20.04","35.13","18.78","4972"
"Mike Clevinger","Indians","CLE @ OAK",".45","6.29","26.57","5.41","3.29","1.27",".14",".70","2.80","6.27","19.73","34.59","18.48","12808"
"Freddy Peralta","Brewers","MIL @ CIN",".43","5.71","25.03","4.59","2.96",".87",".10",".67","3.87","7.04","19.24","34.60","18.38","18679"
"Luis Severino","Yankees","BOS @ NYY",".41","6.10","25.37","5.57","3.45","1.10",".07",".96","1.99","6.47","20.04","34.24","18.56","15890"
"Gio Gonzalez","Nationals","WSH @ PHI",".38","6.10","26.36","5.66","3.52","1.11",".17",".85","2.99","6.87","19.10","34.45","18.14","7448"
"Mike Foltynewicz","Braves","ATL @ STL",".36","6.12","26.20","5.91","3.82","1.09",".10",".90","2.51","6.15","17.93","32.33","16.88","10811"
"Steven Matz","Mets","NYM @ MIA",".43","6.07","25.90","5.78","3.95","1.14",".16",".53","2.50","5.59","17.79","32.00","16.66","13361"
"Blake Snell","Rays","HOU @ TB",".28","5.99","25.41","5.46","3.59","1.09",".07",".71","2.56","6.03","17.93","31.84","16.74","13543"
"Dan Straily","Marlins","NYM @ MIA",".31","6.40","27.40","5.85","3.48","1.25",".14",".98","2.94","5.75","16.99","31.12","15.94","9460"
"John Gant","Cardinals","ATL @ STL",".35","6.13","25.91","6.22","4.19","1.15",".12",".75","1.93","5.40","17.00","30.54","15.77","13684"
"Jon Lester","Cubs","MIN @ CHC",".42","5.96","25.02","5.75","3.09","1.18",".12","1.36","1.86","5.46","16.63","29.17","15.29","4930"
"David Price","Red Sox","BOS @ NYY",".30","5.53","23.79","5.37","3.14",".97",".07","1.19","2.31","5.75","15.73","28.24","14.68","3184"
"Kevin Gausman","Orioles","LAA @ BAL",".38","6.05","25.73","6.23","3.85","1.14",".06","1.19","1.94","4.99","15.22","27.87","14.08","14107"
"Derek Holland","Giants","SF @ ARI",".31","5.60","24.13","5.38","3.09","1.20",".21",".88","2.49","5.34","15.18","27.63","14.15","4141"
"Jake Arrieta","Phillies","WSH @ PHI",".28","5.08","21.66","4.55","2.78",".95",".10",".73","2.37","4.72","14.14","24.77","13.10","4153"
"Reynaldo Lopez","White Sox","CWS @ TEX",".31","5.80","25.54","5.77","3.48","1.25",".19",".86","3.09","4.56","12.57","25.10","11.87","16400"
"Matt Harvey","Reds","MIL @ CIN",".24","5.32","23.01","5.52","3.10","1.08",".09","1.24","2.10","5.08","13.30","24.57","12.37","11713"
"Deck McGuire","Angels","LAA @ BAL",".31","5.24","22.84","5.39","3.09",".99",".05","1.27","2.17","4.96","13.24","24.47","12.34","11596"
"Chad Bettis","Rockies","COL @ LAD",".24","5.67","24.42","5.67","3.24","1.23",".07","1.13","2.25","4.43","12.85","24.17","11.81","10587"
"Frankie Montas","Athletics","CLE @ OAK",".29","5.98","25.82","6.11","3.76","1.40",".10",".85","2.40","4.03","12.50","24.36","11.53","14309"
"Lance Lynn","Twins","MIN @ CHC",".24","5.09","23.44","5.43","2.80","1.02",".17","1.44","3.23","5.12","10.45","22.02","10.13","2520"
"Jordan Zimmermann","Tigers","DET @ TOR",".24","5.28","22.90","5.73","3.07","1.44",".12","1.10","1.80","4.14","11.37","21.56","10.44","4505"
"Brad Keller","Royals","KC @ SEA",".20","5.69","25.35","6.60","4.45","1.20",".14",".82","2.34","4.02","10.38","21.95","9.79","15734"
