"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Aaron Judge","Yankees","NYY @ BAL","RF","4.89","1.15",".61",".19",".01",".35",".90",".82",".05",".04",".85","1.28","10.19","15.87","11.75","15640"
"Charlie Blackmon","Rockies","LAD @ COL","CF","4.70","1.32",".76",".23",".07",".25",".91",".77",".11",".06",".67",".90","10.07","15.67","11.83","7859"
"Bryce Harper","Nationals","WSH @ ATL","RF","4.80","1.13",".56",".24",".01",".32",".90",".74",".06",".04",".90",".92","10.01","15.57","11.53","11579"
"Mike Trout","Angels","TEX @ LAA","CF","4.45","1.23",".64",".23",".04",".32",".85",".72",".12",".05",".63",".70","9.91","15.40","11.63","10155"
"Justin Turner","Dodgers","LAD @ COL","3B","4.81","1.42",".84",".32",".02",".24",".85",".81",".03",".02",".58",".60","9.60","14.98","11.31","5235"
"Nolan Arenado","Rockies","LAD @ COL","3B","4.58","1.26",".66",".28",".05",".27",".79",".92",".02",".02",".59",".88","9.53","14.91","11.12","9777"
"Giancarlo Stanton","Yankees","NYY @ BAL","DH","4.67","1.12",".53",".21",".01",".38",".76",".93",".02",".01",".57","1.14","9.55","14.94","11.07","4949"
"Matt Olson","Athletics","OAK @ KC","1B","4.67","1.12",".54",".24",".01",".33",".76",".85",".02",".01",".52","1.14","9.08","14.20","10.56","14344"
"Yasmani Grandal","Dodgers","LAD @ COL","C","4.71","1.17",".64",".24",".01",".27",".79",".85",".02",".01",".60","1.07","9.05","14.16","10.52","11368"
"Matt Kemp","Dodgers","LAD @ COL","LF","4.61","1.36",".79",".30",".02",".25",".73",".90",".01",".01",".31",".91","8.86","13.88","10.51","5631"
"Chris Taylor","Dodgers","LAD @ COL","SS","5.04","1.30",".72",".32",".09",".16",".79",".57",".11",".06",".57","1.16","8.88","13.76","10.54","13757"
"Greg Bird","Yankees","NYY @ BAL","1B","4.79","1.05",".53",".21",".01",".30",".76",".81",".02",".01",".62","1.06","8.79","13.74","10.16","14131"
"Matt Adams","Nationals","WSH @ ATL","1B","4.60","1.17",".61",".25",".01",".29",".68",".91",".01",".01",".45","1.03","8.73","13.69","10.21","9393"
"Mike Moustakas","Royals","OAK @ KC","3B","4.44","1.21",".65",".22",".01",".32",".70",".88",".01",".01",".34",".63","8.69","13.61","10.24","4892"
"Trea Turner","Nationals","WSH @ ATL","SS","4.90","1.26",".82",".26",".05",".13",".75",".47",".29",".12",".52",".95","8.65","13.37","10.37","16252"
"Michael Brantley","Indians","CLE @ MIN","LF","4.79","1.40",".88",".31",".02",".19",".77",".67",".08",".04",".34",".48","8.49","13.22","10.17","4106"
