"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Aaron Nola","Phillies","COL @ PHI",".41","7.02","28.19","5.75","3.80","1.10",".13",".72","1.94","8.27","26.91","44.16","25.12","16149"
"Jon Gray","Rockies","COL @ PHI",".35","6.37","26.21","5.37","3.41","1.11",".18",".67","2.25","7.88","23.91","40.02","22.37","14916"
"Caleb Ferguson","Dodgers","TEX @ LAD",".48","6.20","26.07","4.84","3.11",".97",".05",".70","3.21","6.57","20.85","36.18","19.51","19349"
"Lance McCullers Jr.","Astros","HOU @ OAK",".42","5.66","23.59","4.85","2.97","1.14",".13",".62","2.24","6.15","19.41","32.80","18.01","14120"
"Miles Mikolas","Cardinals","SD @ STL",".48","6.64","27.06","6.66","4.63","1.19",".13",".71","1.10","5.09","19.14","32.86","17.54","9803"
"Eduardo Rodriguez","Red Sox","BOS @ BAL",".50","6.53","27.93","6.59","4.21","1.29",".06","1.03","2.31","5.92","18.22","32.92","17.21","13164"
"Mike Foltynewicz","Braves","NYM @ ATL",".36","6.13","26.24","5.68","3.49","1.23",".12",".85","2.69","6.24","18.32","32.81","17.21","10811"
"Blaine Hardy","Tigers","MIN @ DET",".37","6.18","26.16","6.30","3.92","1.44",".22",".71","1.87","5.35","16.82","30.26","15.58","6499"
"Trevor Richards","Marlins","SF @ MIA",".36","6.07","25.70","5.89","3.93","1.21",".13",".63","2.13","5.03","16.48","29.65","15.22","19309"
"Chris Stratton","Giants","SF @ MIA",".37","6.21","26.62","6.24","4.28","1.14",".19",".63","2.35","5.09","16.06","29.74","15.04","13761"
"Mike Leake","Mariners","LAA @ SEA",".38","6.55","27.25","6.51","3.94","1.28",".06","1.23","1.62","4.83","16.44","29.15","15.03","10130"
"Chase Anderson","Brewers","CHC @ MIL",".34","6.02","25.34","5.72","3.34","1.13",".12","1.13","2.02","5.24","16.29","28.89","14.97","6895"
"Tyler Chatwood","Cubs","CHC @ MIL",".34","5.39","23.79","4.77","3.00",".96",".10",".71","3.49","5.66","15.27","28.46","14.55","4338"
"Clay Buchholz","Diamondbacks","PIT @ ARI",".37","6.20","26.22","6.29","3.89","1.40",".25",".75","1.90","4.77","15.58","28.38","14.35","3543"
"Ryne Stanek","Rays","TOR @ TB",".27","5.47","24.30","4.92","2.77",".92",".06","1.17","3.49","5.98","14.83","28.04","14.13","15947"
"CC Sabathia","Yankees","WSH @ NYY",".39","5.53","23.32","5.21","3.33",".92",".07",".88","2.07","4.96","15.73","27.59","14.51","404"
"Jake Odorizzi","Twins","MIN @ DET",".37","6.00","25.80","6.22","3.85","1.34",".21",".82","2.15","4.97","15.06","28.02","14.02","6397"
"Zack Wheeler","Mets","NYM @ ATL",".35","5.84","25.35","6.27","4.16","1.29",".13",".70","2.16","4.79","14.31","27.12","13.37","10310"
"Trevor Williams","Pirates","PIT @ ARI",".35","5.68","24.82","5.63","3.50","1.30",".22",".61","2.73","4.91","14.29","27.04","13.44","16977"
"Tanner Roark","Nationals","WSH @ NYY",".28","5.94","26.10","5.91","3.32","1.09",".08","1.42","2.93","5.51","14.04","27.04","13.29","8753"
"Jaime Garcia","Blue Jays","TOR @ TB",".39","5.39","23.16","5.54","3.50","1.15",".11",".77","2.02","4.98","14.70","26.55","13.70","8137"
"Jaime Barria","Angels","LAA @ SEA",".35","5.77","24.57","6.08","3.86","1.11",".12","1.00","1.74","4.79","14.66","26.72","13.52","18356"
"Adam Plutko","Indians","CLE @ CWS",".43","5.76","25.01","6.23","3.64","1.15",".25","1.19","2.12","4.81","13.57","25.88","12.67","15846"
"Sal Romano","Reds","CIN @ KC",".42","6.14","26.48","6.76","4.42","1.39",".16",".78","1.89","4.07","13.32","25.63","12.38","13690"
"Matt Strahm","Padres","SD @ STL",".25","5.51","24.69","5.87","3.76","1.12",".08",".91","2.93","5.15","12.64","25.30","12.09","13799"
"Daniel Mengden","Athletics","HOU @ OAK",".30","6.53","27.45","6.93","4.52","1.48",".11",".82","1.58","3.50","13.27","25.03","12.05","16980"
"Ian Kennedy","Royals","CIN @ KC",".29","5.69","25.01","6.29","3.92","1.22",".16",".99","2.21","4.56","12.41","24.38","11.60","6986"
"Bartolo Colon","Rangers","TEX @ LAD",".25","5.67","24.14","6.41","3.66","1.35",".07","1.33","1.17","3.90","11.81","22.12","10.64","375"
"James Shields","White Sox","CLE @ CWS",".26","5.54","25.17","6.14","3.33","1.25",".12","1.45","2.99","4.02","8.90","19.97","8.48","7059"
"David Hess","Orioles","BOS @ BAL",".23","5.51","24.55","6.55","3.67","1.37",".07","1.43","2.07","3.24","7.95","17.91","7.33","16130"
