"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Jose Ramirez","Indians","CWS @ CLE","3B","4.49","1.24",".67",".32",".03",".23",".77",".78",".10",".05",".56",".49","9.20","14.34","10.79","13510"
"Michael Brantley","Indians","CWS @ CLE","LF","4.61","1.40",".88",".30",".01",".21",".83",".71",".08",".04",".38",".41","8.83","13.77","10.52","4106"
"Francisco Lindor","Indians","CWS @ CLE","SS","4.71","1.25",".70",".29",".02",".23",".80",".67",".08",".05",".48",".67","8.81","13.71","10.40","12916"
"Todd Frazier","Mets","NYM @ COL","3B","4.75","1.12",".60",".25",".01",".25",".76",".73",".04",".03",".68",".95","8.81","13.74","10.23","785"
"Edwin Encarnacion","Indians","CWS @ CLE","DH","4.39","1.03",".53",".20",".00",".31",".73",".86",".01",".00",".59",".94","8.70","13.62","10.05","2151"
"Asdrubal Cabrera","Mets","NYM @ COL","2B","4.87","1.43",".87",".36",".02",".18",".81",".67",".03",".02",".39",".76","8.57","13.36","10.23","4962"
"Joey Gallo","Rangers","TEX @ KC","LF","4.28",".91",".36",".17",".02",".36",".69",".81",".04",".02",".55","1.34","8.65","13.52","9.98","14128"
"George Springer","Astros","TB @ HOU","CF","4.67","1.12",".66",".21",".02",".24",".75",".66",".08",".04",".64","1.00","8.55","13.30","9.99","12856"
"Shin-Soo Choo","Rangers","TEX @ KC","DH","4.93","1.20",".71",".25",".01",".22",".75",".59",".05",".03",".69",".93","8.54","13.25","10.02","3174"
"Justin Turner","Dodgers","LAD @ CHC","3B","4.80","1.14",".69",".25",".01",".19",".71",".72",".03",".02",".79",".60","8.51","13.27","9.88","5235"
"Charlie Blackmon","Rockies","NYM @ COL","CF","4.51","1.25",".75",".21",".08",".21",".74",".57",".10",".06",".44","1.04","8.38","13.01","10.01","7859"
"Kris Bryant","Cubs","LAD @ CHC","3B","4.49","1.09",".59",".23",".02",".24",".71",".68",".04",".03",".67","1.07","8.46","13.17","9.85","15429"
"Wilmer Flores","Mets","NYM @ COL","1B","4.64","1.32",".80",".30",".01",".20",".71",".80",".02",".01",".38",".57","8.35","13.07","9.90","5827"
"Mike Moustakas","Royals","TEX @ KC","3B","4.37","1.26",".69",".26",".01",".30",".68",".79",".01",".01",".23",".49","8.30","12.98","9.87","4892"
"Jose Martinez","Cardinals","STL @ PHI","1B","4.60","1.23",".75",".23",".01",".23",".67",".67",".04",".02",".46",".89","8.09","12.61","9.60","7996"
"Nolan Arenado","Rockies","NYM @ COL","3B","4.41","1.20",".68",".27",".04",".21",".65",".69",".02",".02",".46",".93","8.06","12.57","9.54","9777"
"Max Muncy","Dodgers","LAD @ CHC","1B","4.91",".94",".55",".21",".02",".16",".77",".53",".04",".03","1.04","1.11","8.21","12.73","9.37","13301"
"Cody Bellinger","Dodgers","LAD @ CHC","1B","4.58",".90",".47",".19",".02",".22",".65",".71",".06",".03",".81","1.15","8.15","12.71","9.35","15998"
"Anthony Rizzo","Cubs","LAD @ CHC","1B","4.38","1.01",".54",".23",".02",".22",".68",".70",".03",".02",".69",".72","8.10","12.64","9.37","3473"
"Matt Kemp","Dodgers","LAD @ CHC","LF","4.70","1.10",".64",".22",".01",".23",".65",".83",".01",".01",".48","1.06","7.98","12.52","9.32","5631"
"Rhys Hoskins","Phillies","STL @ PHI","LF","4.42","1.03",".52",".21",".02",".28",".70",".64",".04",".03",".46","1.08","8.00","12.45","9.37","16472"
"Chris Taylor","Dodgers","LAD @ CHC","SS","5.03","1.03",".63",".22",".04",".14",".72",".46",".12",".08",".85","1.18","8.04","12.43","9.37","13757"
"Jose Altuve","Astros","TB @ HOU","2B","4.44","1.26",".86",".23",".03",".14",".65",".63",".10",".05",".49",".70","7.91","12.31","9.44","5417"
"Eric Thames","Brewers","MIL @ PIT","1B","4.83","1.06",".58",".24",".02",".23",".71",".51",".07",".04",".61","1.14","7.98","12.36","9.36","3711"
"Matt Carpenter","Cardinals","STL @ PHI","3B","4.81","1.00",".50",".25",".02",".24",".73",".50",".02",".01",".74","1.28","8.02","12.42","9.30","8090"
"Tommy Pham","Cardinals","STL @ PHI","CF","4.71","1.06",".67",".16",".02",".22",".70",".52",".14",".08",".57","1.41","7.95","12.32","9.39","2967"
"Alex Bregman","Astros","TB @ HOU","3B","4.56","1.04",".60",".25",".03",".17",".71",".59",".09",".05",".66",".80","7.96","12.38","9.28","17678"
"Elvis Andrus","Rangers","TEX @ KC","SS","4.72","1.31",".86",".30",".03",".12",".63",".66",".12",".06",".34",".55","7.84","12.21","9.42","8709"
"Marcell Ozuna","Cardinals","STL @ PHI","LF","4.49","1.21",".74",".20",".02",".25",".60",".77",".02",".01",".32","1.06","7.85","12.28","9.34","10324"
"Yonder Alonso","Indians","CWS @ CLE","1B","4.29","1.08",".62",".23",".00",".23",".64",".73",".01",".01",".56",".76","7.92","12.37","9.24","2530"
"Mike Trout","Angels","ARI @ LAA","CF","4.30","1.01",".55",".18",".03",".25",".63",".51",".12",".05",".56",".99","7.87","12.18","9.28","10155"
"Travis Shaw","Brewers","MIL @ PIT","3B","4.51","1.10",".61",".28",".01",".20",".62",".77",".02",".01",".47",".74","7.81","12.22","9.14","11982"
"Carlos Correa","Astros","TB @ HOU","SS","4.35","1.01",".58",".21",".01",".21",".62",".74",".03",".01",".61","1.08","7.81","12.21","9.08","14162"
"Adrian Beltre","Rangers","TEX @ KC","3B","4.61","1.22",".78",".27",".01",".17",".63",".75",".01",".01",".45",".64","7.71","12.06","9.11","639"
"Nomar Mazara","Rangers","TEX @ KC","RF","4.51","1.14",".70",".22",".02",".21",".63",".75",".02",".01",".42",".83","7.71","12.07","9.10","14553"
"Amed Rosario","Mets","NYM @ COL","SS","4.99","1.43",".99",".25",".09",".10",".66",".49",".13",".09",".23",".97","7.60","11.78","9.34","15518"
"Willson Contreras","Cubs","LAD @ CHC","C","4.28","1.02",".58",".21",".02",".21",".62",".74",".04",".03",".52",".96","7.66","11.98","8.94","11609"
"Christian Yelich","Brewers","MIL @ PIT","LF","4.71","1.25",".83",".27",".02",".13",".69",".49",".09",".04",".50",".81","7.60","11.78","9.08","11477"
"Whit Merrifield","Royals","TEX @ KC","2B","4.58","1.32",".85",".31",".05",".11",".62",".49",".16",".07",".25",".58","7.49","11.60","9.13","11281"
"Devin Mesoraco","Mets","NYM @ COL","C","4.43","1.06",".63",".22",".01",".20",".61",".72",".02",".02",".49",".83","7.53","11.78","8.83","5666"
"Yasiel Puig","Dodgers","LAD @ CHC","RF","4.37",".95",".56",".18",".01",".20",".57",".67",".08",".05",".64",".77","7.54","11.76","8.78","14225"
"Lorenzo Cain","Brewers","MIL @ PIT","CF","4.61","1.24",".90",".23",".02",".09",".61",".53",".13",".06",".48",".67","7.36","11.42","8.85","9077"
"Salvador Perez","Royals","TEX @ KC","C","4.26","1.16",".66",".23",".01",".25",".59",".73",".01",".01",".16",".59","7.32","11.47","8.75","7304"
"Kyle Schwarber","Cubs","LAD @ CHC","LF","4.17",".85",".43",".15",".02",".25",".58",".69",".03",".02",".62","1.28","7.44","11.62","8.59","16478"
"Paul Goldschmidt","Diamondbacks","ARI @ LAA","1B","4.61","1.03",".61",".20",".01",".21",".60",".54",".07",".04",".52","1.25","7.38","11.46","8.70","9218"
"Brandon Nimmo","Mets","NYM @ COL","CF","4.54","1.06",".66",".22",".08",".11",".60",".61",".05",".04",".62","1.19","7.38","11.49","8.67","12927"
"Ryan Braun","Brewers","MIL @ PIT","1B","4.40","1.11",".66",".27",".02",".16",".55",".68",".09",".05",".37",".75","7.32","11.43","8.69","3410"
"Austin Meadows","Pirates","MIL @ PIT","CF","4.53","1.18",".74",".26",".06",".12",".63",".48",".15",".09",".32",".69","7.29","11.30","8.79","15672"
"Jose Abreu","White Sox","CWS @ CLE","1B","4.38","1.16",".64",".30",".01",".21",".55",".60",".01",".01",".33",".99","7.22","11.24","8.62","15676"
"Starling Marte","Pirates","MIL @ PIT","CF","4.41","1.16",".83",".19",".04",".10",".55",".51",".18",".08",".42",".76","7.14","11.08","8.62","9241"
"Michael Conforto","Mets","NYM @ COL","CF","4.33","1.04",".64",".19",".04",".17",".57",".64",".02",".02",".49","1.08","7.15","11.16","8.42","16376"
"Yasmani Grandal","Dodgers","LAD @ CHC","C","4.48",".86",".49",".18",".00",".18",".59",".63",".02",".01",".76","1.09","7.21","11.24","8.27","11368"
"Delino DeShields","Rangers","TEX @ KC","CF","4.83","1.10",".79",".21",".04",".06",".62",".42",".22",".11",".48","1.04","7.09","10.96","8.51","11379"
"Rougned Odor","Rangers","TEX @ KC","2b","4.40","1.00",".55",".23",".03",".19",".58",".63",".08",".05",".31","1.00","7.05","11.00","8.35","12282"
"Jose Bautista","Mets","NYM @ COL","DH","4.22",".91",".51",".22",".01",".17",".55",".60",".04",".03",".67",".89","7.11","11.07","8.23","1887"
"Trevor Story","Rockies","NYM @ COL","SS","4.20",".99",".52",".23",".05",".19",".53",".64",".06",".03",".33","1.48","6.96","10.87","8.24","12564"
"Andrew McCutchen","Giants","MIA @ SF","RF","4.40",".98",".60",".23",".03",".12",".57",".49",".05",".03",".69",".88","6.93","10.75","8.10","9847"
"Evan Gattis","Astros","TB @ HOU","DH","4.03",".88",".47",".18",".01",".22",".58",".66",".02",".01",".43",".94","6.90","10.80","8.04","11003"
"Brandon Belt","Giants","MIA @ SF","1B","4.50",".98",".58",".24",".03",".13",".62",".45",".03",".02",".67","1.09","6.92","10.73","8.08","10264"
"DJ LeMahieu","Rockies","NYM @ COL","2B","4.61","1.35",".99",".23",".04",".08",".63",".35",".08",".05",".35",".79","6.78","10.47","8.33","9874"
"Ben Zobrist","Cubs","LAD @ CHC","RF","4.70","1.06",".67",".24",".02",".13",".62",".42",".03",".02",".61",".76","6.88","10.66","8.12","7435"
"Carlos Santana","Phillies","STL @ PHI","1B","4.22",".94",".51",".22",".02",".19",".54",".63",".02",".01",".48",".60","6.88","10.74","8.04","2396"
"Jake Lamb","Diamondbacks","ARI @ LAA","3B","4.50",".91",".49",".20",".02",".20",".50",".58",".03",".02",".54","1.12","6.82","10.62","7.98","13329"
"Buster Posey","Giants","MIA @ SF","C","4.30","1.13",".78",".26",".01",".08",".53",".56",".03",".02",".58",".50","6.72","10.46","7.96","9166"
"Alex Gordon","Royals","TEX @ KC","LF","4.47","1.11",".74",".20",".02",".15",".63",".50",".04",".03",".34",".75","6.69","10.41","8.00","5209"
"Yadier Molina","Cardinals","STL @ PHI","C","4.38","1.10",".72",".20",".00",".17",".52",".62",".05",".03",".25",".78","6.66","10.40","7.98","7007"
"Josh Reddick","Astros","TB @ HOU","RF","4.14",".95",".60",".19",".02",".13",".56",".54",".04",".03",".61",".79","6.73","10.47","7.87","3892"
"Odubel Herrera","Phillies","STL @ PHI","CF","4.32","1.20",".80",".24",".03",".13",".52",".52",".06",".04",".25",".81","6.60","10.27","8.02","11476"
"Joc Pederson","Dodgers","LAD @ CHC","LF","4.26",".82",".45",".21",".02",".14",".49",".58",".05",".03",".71",".84","6.75","10.50","7.78","11899"
"Jason Heyward","Cubs","LAD @ CHC","RF","4.59","1.08",".72",".22",".04",".10",".64",".46",".06",".03",".43",".72","6.65","10.33","7.93","4940"
"Jason Kipnis","Indians","CWS @ CLE","2B","4.18",".96",".56",".24",".02",".14",".54",".60",".04",".02",".44",".77","6.65","10.38","7.81","9776"
"Brian Anderson","Marlins","MIA @ SF","RF","4.59","1.20",".79",".26",".04",".11",".59",".42",".03",".02",".37",".89","6.58","10.19","7.95","18289"
"Jedd Gyorko","Cardinals","STL @ PHI","3B","4.27",".93",".55",".15",".01",".22",".52",".58",".03",".02",".40","1.16","6.62","10.32","7.81","10816"
"Colin Moran","Pirates","MIL @ PIT","3B","4.30","1.07",".74",".21",".02",".11",".56",".57",".02",".02",".47",".69","6.58","10.27","7.80","16909"
"Daniel Palka","White Sox","CWS @ CLE","DH","4.29",".94",".51",".19",".02",".22",".51",".57",".05",".04",".27","1.50","6.57","10.24","7.80","14897"
"Yulieski Gurriel","Astros","TB @ HOU","1B","4.25","1.14",".74",".28",".01",".11",".53",".66",".02",".02",".25",".57","6.52","10.22","7.81","19198"
"Francisco Cervelli","Pirates","MIL @ PIT","C","4.20",".94",".63",".17",".03",".11",".54",".55",".03",".02",".65",".78","6.61","10.29","7.72","5275"
"Mac Williamson","Giants","MIA @ SF","LF","4.21",".93",".54",".21",".02",".16",".49",".67",".02",".02",".44","1.14","6.57","10.29","7.70","14158"
"Cesar Hernandez","Phillies","STL @ PHI","2B","4.52","1.16",".85",".17",".05",".09",".58",".33",".12",".06",".39",".90","6.47","9.98","7.89","10556"
"Josh Harrison","Pirates","MIL @ PIT","2B","4.64","1.17",".80",".25",".03",".08",".55",".41",".08",".05",".37",".67","6.46","10.01","7.83","8202"
"Nick Williams","Phillies","STL @ PHI","RF","4.00","1.02",".58",".19",".04",".20",".47",".56",".05",".03",".20","1.02","6.44","10.03","7.74","14330"
"Jonathan Villar","Brewers","MIL @ PIT","2B","4.30","1.05",".74",".20",".02",".09",".44",".50",".19",".09",".35","1.05","6.43","9.98","7.78","10071"
"J.T. Realmuto","Marlins","MIA @ SF","C","4.49","1.17",".79",".24",".04",".10",".50",".51",".05",".03",".30",".79","6.41","9.97","7.77","11739"
"Lonnie Chisenhall","Indians","CWS @ CLE","RF","4.07","1.00",".62",".24",".02",".13",".52",".56",".04",".02",".41",".81","6.43","10.03","7.61","7571"
"Starlin Castro","Marlins","MIA @ SF","2B","4.71","1.32",".95",".24",".03",".10",".55",".38",".02",".02",".25",".78","6.28","9.72","7.75","4579"
"Yoan Moncada","White Sox","CWS @ CLE","2B","4.59",".88",".53",".17",".02",".17",".51",".42",".12",".06",".44","1.79","6.38","9.89","7.57","17232"
"Tyler Naquin","Indians","CWS @ CLE","RF","3.84","1.02",".65",".20",".03",".13",".57",".52",".04",".03",".32",".90","6.33","9.87","7.55","13359"
"Robinson Chirinos","Rangers","TEX @ KC","C","4.16",".81",".43",".19",".01",".19",".53",".51",".02",".02",".54","1.37","6.38","9.93","7.40","3142"
"Brian McCann","Astros","TB @ HOU","C","3.92",".79",".46",".12",".01",".20",".54",".58",".01",".00",".54",".76","6.37","9.96","7.37","4810"
"Adalberto Mondesi","Royals","TEX @ KC","SS","3.71",".95",".56",".18",".08",".13",".47",".49",".16",".08",".14",".82","6.21","9.65","7.53","13769"
"Dexter Fowler","Cardinals","STL @ PHI","RF","4.16",".86",".51",".16",".04",".15",".45",".47",".06",".03",".54","1.07","6.29","9.76","7.40","4062"
"Scott Kingery","Phillies","STL @ PHI","SS","4.11","1.04",".67",".21",".03",".12",".46",".55",".10",".05",".19",".89","6.18","9.64","7.49","17975"
"Erik Kratz","Brewers","MIL @ PIT","C","4.19",".96",".61",".19",".01",".16",".46",".57",".04",".02",".36",".73","6.21","9.70","7.38","4403"
"Justin Upton","Angels","ARI @ LAA","LF","4.22",".87",".48",".16",".00",".22",".46",".54",".04",".02",".31","1.38","6.23","9.70","7.37","5222"
