"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Nolan Arenado","Rockies","NYM @ COL","3B","4.61","1.39",".73",".31",".05",".31",".93",".97",".03",".02",".59",".65","10.54","16.49","12.32","9777"
"Bryce Harper","Nationals","BAL @ WSH","RF","4.56","1.12",".56",".20",".01",".35",".89",".86",".04",".03",".88",".80","10.22","15.94","11.75","11579"
"Charlie Blackmon","Rockies","NYM @ COL","CF","4.72","1.41",".89",".22",".07",".23",".95",".77",".10",".06",".51",".82","9.76","15.22","11.57","7859"
"Mike Trout","Angels","ARI @ LAA","CF","4.45","1.24",".66",".23",".03",".32",".82",".70",".12",".06",".63",".57","9.76","15.15","11.47","10155"
"Trevor Story","Rockies","NYM @ COL","SS","4.50","1.22",".58",".31",".05",".27",".77",".98",".07",".03",".51","1.20","9.69","15.19","11.30","12564"
"Aaron Judge","Yankees","SEA @ NYY","RF","4.58","1.06",".54",".20",".01",".31",".85",".73",".05",".03",".80","1.32","9.38","14.60","10.80","15640"
"Giancarlo Stanton","Yankees","SEA @ NYY","DH","4.47","1.07",".51",".20",".01",".35",".76",".88",".01",".01",".56","1.21","9.12","14.27","10.55","4949"
"Matt Adams","Nationals","BAL @ WSH","1B","4.25","1.16",".59",".23",".01",".33",".70",".97",".01",".01",".38",".84","8.95","14.05","10.46","9393"
"Brandon Nimmo","Mets","NYM @ COL","CF","4.97","1.22",".69",".27",".08",".18",".81",".56",".07",".04",".77","1.26","8.91","13.81","10.46","12927"
"Trea Turner","Nationals","BAL @ WSH","SS","4.68","1.25",".82",".23",".04",".16",".83",".54",".28",".12",".45",".80","8.81","13.65","10.54","16252"
"J.D. Martinez","Red Sox","BOS @ MIN","DH","4.48","1.18",".60",".25",".01",".32",".69",".87",".01",".01",".35","1.15","8.71","13.63","10.23","6184"
"Michael Conforto","Mets","NYM @ COL","CF","4.75","1.16",".66",".24",".03",".23",".75",".74",".03",".02",".66","1.13","8.72","13.59","10.17","16376"
"Asdrubal Cabrera","Mets","NYM @ COL","2B","4.87","1.40",".86",".34",".02",".18",".81",".69",".03",".02",".42",".78","8.62","13.43","10.25","4962"
"Jose Martinez","Cardinals","STL @ PHI","1B","4.62","1.25",".74",".26",".01",".24",".72",".72",".04",".02",".50",".89","8.53","13.30","10.07","7996"
"Jay Bruce","Mets","NYM @ COL","RF","4.54","1.14",".59",".26",".03",".25",".68",".86",".02",".02",".45",".93","8.54","13.37","9.99","9892"
"Mookie Betts","Red Sox","BOS @ MIN","RF","4.81","1.23",".69",".32",".02",".20",".71",".57",".15",".06",".47",".68","8.51","13.19","10.11","13611"
"Daniel Murphy","Nationals","BAL @ WSH","2B","4.36","1.25",".72",".31",".02",".20",".73",".79",".02",".01",".49",".51","8.47","13.25","9.96","4316"
"Manny Machado","Orioles","BAL @ WSH","SS","4.64","1.27",".75",".24",".00",".27",".71",".72",".04",".02",".41",".61","8.45","13.17","10.02","11493"
"DJ LeMahieu","Rockies","NYM @ COL","2B","4.84","1.49","1.05",".28",".05",".11",".84",".53",".08",".04",".47",".54","8.37","12.99","10.09","9874"
"Todd Frazier","Mets","NYM @ COL","3B","4.65","1.06",".59",".22",".01",".24",".70",".81",".04",".03",".64","1.02","8.46","13.24","9.81","785"
"Anthony Rendon","Nationals","BAL @ WSH","3B","4.46","1.17",".67",".30",".01",".19",".73",".80",".03",".02",".58",".62","8.44","13.20","9.83","12861"
"Joey Gallo","Rangers","TEX @ KC","LF","4.35",".95",".42",".18",".02",".34",".67",".79",".04",".02",".49","1.32","8.43","13.17","9.78","14128"
"Rhys Hoskins","Phillies","STL @ PHI","LF","4.53",".97",".48",".20",".01",".27",".73",".69",".04",".03",".68","1.24","8.38","13.06","9.68","16472"
"Brandon Belt","Giants","MIA @ SF","1B","4.34","1.09",".57",".28",".04",".20",".64",".76",".02",".01",".70",".79","8.34","13.02","9.69","10264"
"Matt Carpenter","Cardinals","STL @ PHI","3B","4.84",".99",".45",".27",".02",".24",".78",".53",".02",".02",".82","1.35","8.38","13.00","9.65","8090"
"Freddie Freeman","Braves","ATL @ TOR","1B","4.59","1.21",".67",".31",".01",".22",".65",".69",".03",".03",".50",".91","8.25","12.85","9.73","5361"
"Eugenio Suarez","Reds","DET @ CIN","3B","4.27","1.06",".58",".21",".01",".25",".65",".76",".03",".02",".59",".83","8.22","12.83","9.57","12552"
"Tommy Pham","Cardinals","STL @ PHI","CF","4.73","1.07",".65",".18",".02",".22",".72",".56",".14",".08",".61","1.47","8.21","12.74","9.65","2967"
"Adam Eaton","Nationals","BAL @ WSH","LF","4.79","1.32",".86",".25",".04",".17",".73",".51",".09",".05",".48",".58","8.10","12.56","9.72","11205"
"Shin-Soo Choo","Rangers","TEX @ KC","DH","4.87","1.22",".78",".24",".01",".19",".72",".57",".05",".02",".61",".86","8.10","12.58","9.57","3174"
"Marcell Ozuna","Cardinals","STL @ PHI","LF","4.53","1.19",".72",".21",".02",".25",".64",".79",".02",".02",".37","1.11","8.05","12.60","9.53","10324"
"Paul Goldschmidt","Diamondbacks","ARI @ LAA","1B","4.70","1.01",".57",".19",".01",".24",".67",".63",".08",".04",".63","1.36","8.07","12.55","9.41","9218"
"Ozzie Albies","Braves","ATL @ TOR","2B","4.81","1.21",".69",".28",".04",".20",".67",".59",".13",".07",".31",".90","7.97","12.39","9.54","16556"
"Andrew Benintendi","Red Sox","BOS @ MIN","LF","4.69","1.15",".69",".26",".04",".17",".68",".58",".11",".06",".49",".82","7.94","12.33","9.41","17901"
"Justin Upton","Angels","ARI @ LAA","LF","4.36","1.10",".60",".21",".01",".28",".63",".73",".05",".03",".36",".97","7.93","12.38","9.36","5222"
"Gary Sanchez","Yankees","SEA @ NYY","C","4.36","1.01",".54",".20",".00",".26",".65",".77",".02",".01",".48",".94","7.88","12.33","9.16","11442"
"George Springer","Astros","TB @ HOU","CF","4.58","1.11",".65",".23",".02",".20",".71",".51",".07",".04",".59",".99","7.87","12.20","9.26","12856"
"Ian Desmond","Rockies","NYM @ COL","1B","4.39","1.10",".68",".21",".02",".19",".61",".77",".10",".04",".40","1.02","7.81","12.22","9.22","6885"
"Adam Jones","Orioles","BAL @ WSH","CF","4.74","1.33",".88",".21",".01",".23",".72",".65",".01",".01",".23",".71","7.74","12.08","9.32","6368"
"Leonys Martin","Tigers","DET @ CIN","CF","4.75","1.16",".71",".22",".03",".19",".66",".48",".15",".08",".43",".94","7.78","12.04","9.31","11846"
"Nomar Mazara","Rangers","TEX @ KC","RF","4.65","1.23",".77",".24",".02",".20",".63",".73",".02",".01",".36",".79","7.73","12.08","9.19","14553"
"Elvis Andrus","Rangers","TEX @ KC","SS","4.77","1.36",".92",".30",".03",".10",".67",".57",".14",".07",".27",".53","7.67","11.92","9.30","8709"
"Aaron Hicks","Yankees","SEA @ NYY","CF","4.69","1.08",".67",".22",".02",".16",".72",".50",".11",".07",".62",".86","7.77","12.06","9.14","5297"
"Nicholas Castellanos","Tigers","DET @ CIN","RF","4.53","1.26",".74",".31",".03",".20",".61",".66",".02",".02",".29",".88","7.65","11.93","9.17","11737"
"Nelson Cruz","Mariners","SEA @ NYY","DH","4.46",".98",".54",".15",".00",".28",".60",".72",".01",".01",".54","1.23","7.68","12.00","8.94","2434"
"Jose Altuve","Astros","TB @ HOU","2B","4.38","1.26",".85",".25",".03",".12",".63",".58",".10",".05",".44",".72","7.60","11.81","9.12","5417"
