"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Nolan Arenado","Rockies","MIA @ COL","3B","4.58","1.39",".69",".32",".05",".34",".95",".99",".03",".02",".59",".58","10.83","16.93","12.63","9777"
"Trevor Story","Rockies","MIA @ COL","SS","4.47","1.25",".58",".30",".07",".30",".81",".98",".07",".03",".49","1.08","9.99","15.63","11.67","12564"
"Charlie Blackmon","Rockies","MIA @ COL","CF","4.69","1.40",".84",".24",".08",".24",".94",".76",".10",".06",".47",".73","9.78","15.23","11.60","7859"
"Mike Trout","Angels","TOR @ LAA","CF","4.43","1.15",".61",".20",".03",".31",".79",".65",".14",".07",".75",".76","9.60","14.87","11.22","10155"
"J.D. Martinez","Red Sox","SEA @ BOS","DH","4.38","1.28",".63",".29",".01",".34",".73",".89",".02",".01",".37",".94","9.30","14.55","10.95","6184"
"Mookie Betts","Red Sox","SEA @ BOS","RF","4.60","1.29",".67",".36",".02",".25",".76",".63",".14",".05",".41",".53","9.03","14.01","10.72","13611"
"Freddie Freeman","Braves","BAL @ ATL","1B","4.36","1.30",".72",".32",".02",".24",".72",".69",".04",".02",".52",".62","8.77","13.64","10.37","5361"
"George Springer","Astros","KC @ HOU","CF","4.64","1.19",".71",".22",".02",".24",".79",".59",".08",".04",".57",".78","8.57","13.31","10.10","12856"
"Ian Desmond","Rockies","MIA @ COL","1B","4.36","1.16",".68",".21",".03",".24",".70",".81",".11",".05",".39",".93","8.52","13.33","10.06","6885"
"DJ LeMahieu","Rockies","MIA @ COL","2B","4.80","1.49","1.01",".30",".05",".13",".84",".55",".07",".04",".43",".50","8.47","13.15","10.21","9874"
"Aaron Judge","Yankees","NYY @ TB","RF","4.80",".91",".47",".15",".01",".28",".75",".63",".05",".03",".88","1.66","8.58","13.34","9.84","15640"
"Giancarlo Stanton","Yankees","NYY @ TB","DH","4.70",".98",".47",".17",".01",".33",".67",".77",".02",".01",".59","1.54","8.45","13.19","9.78","4949"
"Khris Davis","Athletics","","DH","4.57",".90",".42",".17",".01",".31",".70",".82",".01",".01",".66","1.24","8.45","13.22","9.69","9112"
