"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Clayton Kershaw","Dodgers","LAD @ NYM",".44","6.73","26.34","4.70","2.96",".90",".06",".78","1.85","8.36","28.17","44.68","25.99","2036"
"Jacob deGrom","Mets","LAD @ NYM",".32","6.68","27.00","5.10","3.06","1.05",".06",".93","2.31","8.44","26.09","42.81","24.28","10954"
"Trevor Bauer","Indians","DET @ CLE",".51","6.72","27.70","6.00","3.72","1.44",".11",".73","2.07","8.01","25.04","42.07","23.56","12703"
"Lance McCullers Jr.","Astros","KC @ HOU",".53","5.94","24.10","4.94","3.15","1.14",".13",".51","1.86","6.59","22.31","36.62","20.61","14120"
"Aaron Nola","Phillies","PHI @ WSH",".42","6.50","27.50","6.10","4.05","1.24",".14",".67","2.52","6.28","19.62","34.91","18.50","16149"
"Zack Greinke","Diamondbacks","ARI @ PIT",".43","6.54","26.56","6.16","4.00","1.32",".16",".68","1.31","5.58","20.13","33.99","18.44","1943"
"Sonny Gray","Yankees","NYY @ TB",".51","5.97","25.13","5.43","3.73",".98",".14",".58","2.41","6.09","19.55","34.02","18.27","12768"
"Eduardo Rodriguez","Red Sox","SEA @ BOS",".45","6.55","28.11","6.54","4.27","1.43",".10",".74","2.58","6.06","18.37","33.55","17.45","13164"
"Julio Teheran","Braves","BAL @ ATL",".37","6.44","26.93","5.76","3.53","1.11",".05","1.06","2.35","5.81","18.66","32.71","17.27","6797"
"Miles Mikolas","Cardinals","STL @ MIL",".43","6.29","26.02","6.30","3.97","1.20",".16",".97","1.40","5.54","18.37","31.79","16.89","9803"
"Anthony DeSclafani","Reds","CHC @ CIN",".35","6.05","25.55","5.68","3.33","1.12",".09","1.14","2.20","6.13","18.11","31.77","16.83","13050"
"Daniel Mengden","Athletics","OAK @ CWS",".45","6.48","27.16","6.65","4.45","1.26",".20",".74","1.73","5.17","17.48","31.28","16.24","16980"
"Andrew Suarez","Giants","SD @ SF",".40","6.01","25.52","6.24","4.07","1.26",".20",".72","1.83","5.38","16.77","30.20","15.60","18300"
"Joe Musgrove","Pirates","ARI @ PIT",".31","6.28","26.56","6.27","4.26","1.26",".18",".58","2.05","5.11","16.55","30.06","15.31","12970"
"Erick Fedde","Nationals","PHI @ WSH",".32","6.10","25.92","6.19","3.96","1.21",".11",".92","1.98","5.51","16.59","29.94","15.40","17425"
"Luke Farrell","Cubs","CHC @ CIN",".34","5.68","24.84","5.34","3.15","1.04",".10","1.05","3.01","5.93","15.84","29.38","14.99","15101"
"Marcus Stroman","Blue Jays","TOR @ LAA",".39","6.02","25.58","5.77","3.87","1.05",".06",".79","2.35","4.90","15.82","28.83","14.66","13431"
"Jaime Barria","Angels","TOR @ LAA",".32","5.94","24.76","5.61","3.31","1.16",".07","1.07","1.82","4.97","16.07","28.17","14.63","18356"
"Jake Odorizzi","Twins","TEX @ MIN",".36","5.74","24.93","5.55","3.23","1.16",".09","1.07","2.74","5.49","15.16","28.18","14.25","6397"
"Chase Anderson","Brewers","STL @ MIL",".30","5.83","24.95","5.62","3.33","1.07",".12","1.09","2.36","5.28","15.26","27.80","14.16","6895"
"Dylan Bundy","Orioles","BAL @ ATL",".36","6.08","25.76","6.07","3.83","1.29",".14",".82","2.02","4.68","15.26","27.87","14.08","12917"
"Wilmer Font","Rays","NYY @ TB",".21","5.54","24.30","5.57","3.07","1.01",".09","1.40","2.58","5.69","14.04","26.39","13.18","5257"
"Dylan Covey","White Sox","OAK @ CWS",".27","5.25","22.85","5.21","3.19","1.08",".10",".83","2.45","4.38","12.56","23.51","11.68","14825"
"Tyler Anderson","Rockies","MIA @ COL",".38","5.39","23.87","6.53","4.24","1.41",".19",".69","1.75","4.31","11.83","23.38","11.12","12880"
"Francisco Liriano","Tigers","DET @ CLE",".23","5.45","24.76","5.55","3.38","1.22",".08",".87","3.54","4.74","11.10","23.50","10.70","3201"
"Jordan Lyles","Padres","SD @ SF",".30","5.60","24.88","6.57","4.28","1.35",".18",".76","2.10","4.15","11.16","22.84","10.49","7593"
"Trevor Richards","Marlins","MIA @ COL",".26","5.11","23.43","6.62","4.01","1.40",".23",".99","2.05","4.50","9.48","20.56","9.13","19309"
"Yovani Gallardo","Rangers","TEX @ MIN",".32","5.39","24.20","6.16","3.73","1.35",".16",".92","2.48","3.62","9.40","20.25","8.85","8173"
"Mike Leake","Mariners","SEA @ BOS",".30","6.04","26.57","7.41","4.52","1.88",".12",".88","1.70","3.16","9.39","20.32","8.72","10130"
"Ian Kennedy","Royals","KC @ HOU",".17","5.38","24.23","6.24","3.61","1.31",".13","1.18","2.43","4.01","9.01","19.67","8.49","6986"
