"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Gerrit Cole","Astros","HOU @ TB",".54","6.89","28.22","6.06","4.20","1.09",".20",".56","2.16","7.93","25.64","43.11","24.19","13125"
"Rich Hill","Dodgers","COL @ LAD",".44","6.21","25.16","4.75","2.97",".91",".06",".81","2.25","7.82","24.72","40.40","22.92","4806"
"Trevor Bauer","Indians","CLE @ OAK",".48","6.56","27.29","5.57","3.28","1.26",".14",".89","2.54","7.36","22.82","38.88","21.44","12703"
"Joe Musgrove","Pirates","PIT @ SD",".42","6.64","26.78","5.79","3.74","1.10",".15",".79","1.63","6.77","22.84","37.94","21.09","12970"
"Patrick Corbin","Diamondbacks","SF @ ARI",".38","6.35","26.48","5.83","3.66","1.30",".17",".71","2.12","6.80","21.02","36.19","19.58","9323"
"Nick Pivetta","Phillies","WSH @ PHI",".38","6.05","25.77","5.49","3.49",".95",".13",".92","2.71","6.65","19.19","33.98","18.04","15454"
"Marcus Stroman","Blue Jays","DET @ TOR",".48","6.33","26.26","6.12","3.98","1.48",".09",".56","1.72","5.49","19.08","33.14","17.60","13431"
"Eduardo Rodriguez","Red Sox","BOS @ NYY",".38","6.22","26.92","6.01","3.53","1.06",".07","1.35","2.82","6.84","18.31","33.18","17.40","13164"
"Eric Lauer","Padres","PIT @ SD",".34","6.43","26.72","5.99","3.93","1.29",".12",".65","2.04","5.65","18.82","32.94","17.40","19316"
"Jose Berrios","Twins","MIN @ CHC",".36","5.83","25.08","5.62","3.27","1.14",".15","1.06","2.45","6.33","17.53","31.33","16.47","14168"
"Andrew Suarez","Giants","SF @ ARI",".36","5.99","25.47","5.99","3.84","1.25",".28",".61","2.09","5.55","16.95","30.45","15.79","18300"
"Sal Romano","Reds","MIL @ CIN",".35","5.89","25.45","5.72","3.23","1.28",".09","1.11","2.58","5.96","16.56","30.23","15.53","13690"
"Corey Oswalt","Mets","NYM @ MIA",".39","6.12","26.21","6.07","4.08","1.14",".18",".67","2.34","5.07","16.13","29.67","15.06","13677"
"Felix Pena","Angels","LAA @ BAL",".36","5.58","24.32","5.92","3.39",".91",".05","1.57","2.05","6.37","16.21","29.32","15.25","13403"
"Erick Fedde","Nationals","WSH @ PHI",".34","5.89","25.32","5.95","3.69","1.04",".15","1.07","2.28","5.66","16.03","29.29","15.02","17425"
"Wilmer Font","Rays","HOU @ TB",".23","5.86","25.19","5.87","3.56","1.09",".11","1.10","2.34","5.88","15.99","29.24","14.94","5257"
"Marco Gonzales","Mariners","KC @ SEA",".43","5.55","22.66","5.15","3.36","1.04",".08",".68","1.37","4.76","17.00","28.31","15.45","15467"
"Tyler Anderson","Rockies","COL @ LAD",".29","5.70","24.19","5.34","3.15","1.18",".08",".92","2.22","5.20","15.80","28.04","14.58","12880"
"Miles Mikolas","Cardinals","ATL @ STL",".41","6.52","26.98","6.76","4.64","1.26",".13",".73","1.26","3.95","15.65","28.05","14.20","9803"
"Julio Teheran","Braves","ATL @ STL",".33","6.11","26.39","5.96","3.82","1.06",".11",".97","2.78","5.06","14.91","28.23","13.99","6797"
"Sandy Alcantara","Marlins","NYM @ MIA",".33","5.97","25.80","5.50","3.53","1.05",".12",".79","3.02","4.69","14.39","27.27","13.40","18684"
"Ian Kennedy","Royals","KC @ SEA",".24","5.65","24.63","6.04","3.58","1.12",".10","1.24","2.22","5.08","13.31","25.37","12.44","6986"
"Yovani Gallardo","Rangers","CWS @ TEX",".39","5.71","24.83","6.27","4.04","1.18",".25",".80","2.05","4.41","13.05","25.08","12.14","8173"
"Chase Anderson","Brewers","MIL @ CIN",".34","5.56","24.57","5.76","3.51","1.11",".11","1.03","2.72","4.72","12.67","24.88","11.93","6895"
"Francisco Liriano","Tigers","DET @ TOR",".23","5.51","24.73","5.45","2.96","1.36",".09","1.03","3.33","4.99","12.05","24.35","11.48","3201"
"Mike Montgomery","Cubs","MIN @ CHC",".30","5.51","23.76","5.60","3.41","1.25",".12",".82","2.17","3.91","12.17","22.98","11.16","4869"
"CC Sabathia","Yankees","BOS @ NYY",".30","5.29","22.83","5.69","3.52",".96",".04","1.16","1.81","3.99","11.65","21.95","10.68","404"
"Paul Blackburn","Athletics","CLE @ OAK",".27","6.02","26.08","6.39","3.99","1.47",".11",".83","2.26","3.16","10.55","21.62","9.61","14739"
"David Hess","Orioles","LAA @ BAL",".31","5.66","24.80","6.16","3.58","1.00",".06","1.51","2.23","3.63","10.08","20.70","9.24","16130"
"Dylan Covey","White Sox","CWS @ TEX",".24","4.78","21.85","5.35","3.13","1.11",".14",".97","2.75","3.57","7.88","17.53","7.54","14825"
