"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Mike Trout","Angels","LAA @ BAL","CF","4.71","1.21",".64",".23",".03",".30",".85",".72",".14",".06",".87",".73","10.26","15.92","11.94","10155"
"Bryce Harper","Nationals","WSH @ PHI","RF","4.65","1.02",".47",".17",".01",".37",".81",".81",".05",".03",".89","1.13","9.84","15.33","11.29","11579"
"Eric Thames","Brewers","MIL @ CIN","1B","4.75","1.08",".49",".21",".01",".36",".87",".75",".06",".03",".70","1.27","9.68","15.07","11.19","3711"
"Rhys Hoskins","Phillies","WSH @ PHI","LF","4.50","1.08",".48",".23",".02",".35",".83",".76",".04",".03",".61","1.00","9.39","14.63","10.88","16472"
"Eddie Rosario","Twins","MIN @ CHC","LF","4.67","1.24",".67",".25",".03",".29",".73",".82",".06",".05",".42",".89","9.07","14.17","10.71","12155"
"Jesus Aguilar","Brewers","MIL @ CIN","1B","4.64","1.18",".61",".22",".00",".34",".76",".81",".01",".01",".43","1.11","8.91","13.92","10.44","11342"
"Travis Shaw","Brewers","MIL @ CIN","3B","4.53","1.12",".54",".25",".01",".32",".69",".81",".02",".02",".55",".83","8.93","13.94","10.40","11982"
"Javier Baez","Cubs","MIN @ CHC","2B","4.45","1.21",".65",".23",".04",".30",".73",".76",".07",".04",".31","1.12","8.71","13.59","10.32","12979"
"Jose Abreu","White Sox","CWS @ TEX","1B","4.59","1.36",".75",".34",".02",".25",".72",".76",".01",".01",".30",".61","8.62","13.45","10.27","15676"
"Anthony Rizzo","Cubs","MIN @ CHC","1B","4.35","1.08",".58",".21",".01",".28",".73",".76",".03",".02",".60",".70","8.60","13.43","10.00","3473"
"Joey Votto","Reds","MIL @ CIN","1B","4.54","1.08",".68",".21",".01",".18",".77",".58",".02",".02","1.06",".59","8.60","13.34","9.88","4314"
"Brian Dozier","Twins","MIN @ CHC","2B","4.56",".97",".50",".19",".02",".26",".67",".74",".07",".04",".72",".94","8.54","13.32","9.87","9810"
"Nelson Cruz","Mariners","KC @ SEA","DH","4.28","1.10",".61",".16",".00",".33",".69",".84",".01",".01",".44",".85","8.46","13.26","9.90","2434"
"Scott Schebler","Reds","MIL @ CIN","RF","4.78","1.13",".59",".25",".03",".26",".73",".61",".05",".03",".58",".99","8.48","13.17","9.95","12225"
"Freddie Freeman","Braves","ATL @ STL","1B","4.53","1.27",".76",".28",".02",".21",".68",".63",".05",".03",".57",".76","8.38","13.02","9.93","5361"
"Tommy Pham","Cardinals","ATL @ STL","CF","4.59","1.12",".75",".18",".03",".17",".78",".55",".16",".09",".70",".97","8.41","13.04","9.88","2967"
"Khris Davis","Athletics","CLE @ OAK","DH","4.22","1.00",".44",".18",".01",".36",".70",".81",".01",".01",".36","1.06","8.38","13.11","9.77","9112"
