"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Mike Trout","Angels","KC @ LAA","CF","4.49","1.17",".62",".21",".03",".31",".87",".70",".15",".07",".89",".70","10.25","15.89","11.91","10155"
"Mike Moustakas","Royals","KC @ LAA","3B","4.47","1.08",".59",".20",".00",".29",".58",".73",".01",".01",".36",".77","7.67","11.99","9.05","4892"
"Justin Upton","Angels","KC @ LAA","LF","4.41",".97",".53",".18",".00",".25",".62",".69",".05",".03",".53","1.20","7.67","11.97","8.94","5222"
"Paul Goldschmidt","Diamondbacks","ARI @ SF","1B","4.52","1.01",".60",".21",".03",".17",".58",".53",".08",".04",".80",".96","7.69","11.92","8.98","9218"
"Freddie Freeman","Braves","ATL @ SD","1B","4.53","1.20",".77",".24",".02",".18",".59",".59",".04",".03",".48",".81","7.49","11.64","8.92","5361"
"Eric Hosmer","Padres","ATL @ SD","1B","4.39","1.10",".67",".21",".01",".20",".61",".51",".04",".03",".52",".76","7.33","11.37","8.68","3516"
"Ozzie Albies","Braves","ATL @ SD","2B","4.64","1.16",".74",".20",".05",".16",".62",".49",".13",".08",".29",".74","7.21","11.18","8.71","16556"
"Ian Kinsler","Angels","KC @ LAA","2B","4.61","1.03",".65",".20",".01",".16",".66",".48",".09",".05",".44",".53","7.02","10.90","8.32","6195"
"Christian Villanueva","Padres","ATL @ SD","3B","4.19",".90",".47",".17",".01",".25",".54",".67",".02",".02",".40","1.09","6.95","10.87","8.13","11738"
"Whit Merrifield","Royals","KC @ LAA","2B","4.58","1.09",".72",".23",".01",".12",".56",".46",".16",".08",".34",".91","6.80","10.54","8.19","11281"
"Salvador Perez","Royals","KC @ LAA","C","4.37","1.01",".58",".19",".00",".24",".49",".68",".01",".01",".21",".93","6.68","10.46","7.95","7304"
"Albert Pujols","Angels","KC @ LAA","1B","4.30","1.01",".63",".17",".00",".21",".52",".69",".01",".01",".30",".55","6.64","10.41","7.86","1177"
"Andrew McCutchen","Giants","ARI @ SF","RF","4.37",".96",".61",".22",".03",".10",".53",".48",".05",".03",".63",".88","6.57","10.21","7.72","9847"
"Franmil Reyes","Padres","ATL @ SD","RF","4.08",".84",".45",".12",".02",".25",".49",".61",".02",".02",".37","1.20","6.50","10.15","7.62","14566"
"Jarrod Dyson","Diamondbacks","ARI @ SF","CF","4.73","1.07",".81",".16",".07",".03",".47",".31",".26",".11",".42",".57","6.39","9.83","7.83","4866"
"Zack Cozart","Angels","KC @ LAA","3B","4.09",".94",".57",".19",".02",".17",".51",".54",".02",".01",".45",".65","6.43","10.02","7.58","2616"
"Buster Posey","Giants","ARI @ SF","C","4.46","1.16",".83",".26",".01",".07",".61",".37",".04",".02",".49",".55","6.37","9.87","7.65","9166"
"Joe Panik","Giants","ARI @ SF","2B","4.57","1.14",".79",".22",".05",".08",".56",".36",".03",".02",".43",".37","6.24","9.65","7.55","11936"
"Tyler Flowers","Braves","ATL @ SD","C","4.34",".92",".61",".17",".00",".14",".48",".53",".01",".01",".57","1.08","6.28","9.78","7.36","9134"
"Nick Ahmed","Diamondbacks","ARI @ SF","SS","4.62",".96",".60",".21",".04",".11",".56",".43",".08",".05",".40",".83","6.25","9.70","7.44","12147"
"Brandon Crawford","Giants","ARI @ SF","SS","4.27","1.04",".68",".24",".04",".08",".45",".58",".03",".03",".41",".77","6.20","9.68","7.39","5343"
"Ender Inciarte","Braves","ATL @ SD","CF","4.76","1.20",".95",".16",".04",".05",".51",".33",".18",".08",".29",".67","6.14","9.47","7.60","4922"
