"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Max Scherzer","Nationals","TB @ WSH",".55","7.45","28.73","5.13","3.16","1.07",".12",".77","1.72","10.84","35.29","55.14","33.13","3137"
"Corey Kluber","Indians","MIL @ CLE",".52","7.10","28.18","5.77","3.54","1.38",".05",".79","1.60","8.90","29.18","47.01","27.27","2429"
"Kyle Hendricks","Cubs","PHI @ CHC",".54","7.32","29.12","5.93","4.06","1.17",".14",".57","1.76","7.06","26.15","42.76","24.42","12049"
"Madison Bumgarner","Giants","ARI @ SF",".50","7.03","27.66","5.60","3.82","1.07",".19",".52","1.51","6.93","25.85","41.80","23.82","5524"
"Carlos Martinez","Cardinals","MIA @ STL",".49","6.82","28.24","6.06","4.22","1.09",".09",".66","2.29","6.98","23.09","39.52","21.67","11682"
"Andrew Heaney","Angels","KC @ LAA",".46","6.37","26.18","5.65","3.83","1.05",".06",".71","2.01","6.08","20.60","35.15","19.03","15423"
"Sean Newcomb","Braves","ATL @ SD",".41","6.06","25.89","4.83","3.20",".95",".11",".57","3.50","6.57","19.88","35.21","18.75","16943"
"Anthony DeSclafani","Reds","COL @ CIN",".37","6.21","25.79","5.93","3.50","1.20",".08","1.15","1.70","6.51","19.76","33.84","18.26","13050"
"Ross Stripling","Dodgers","LAD @ PIT",".42","6.60","27.10","6.35","4.15","1.43",".17",".60","1.52","5.45","19.41","33.45","17.90","13273"
"Joe Musgrove","Pirates","LAD @ PIT",".33","6.46","26.63","5.91","3.71","1.31",".10",".79","1.87","5.72","19.18","33.07","17.63","12970"
"Zack Littell","Twins","",".45","6.06","25.78","6.33","4.00","1.28",".19",".86","1.87","6.28","18.51","32.91","17.35","sa737929"
"Fernando Romero","Twins","CWS @ MIN",".40","6.06","25.85","6.03","3.92","1.23",".17",".72","2.30","5.86","17.54","31.67","16.42","15885"
"James Paxton","Mariners","SEA @ HOU",".35","5.58","24.02","5.75","3.43","1.33",".09",".90","2.00","6.25","17.16","30.47","16.11","11828"
"Patrick Corbin","Diamondbacks","ARI @ SF",".26","6.18","26.32","6.29","4.09","1.31",".16",".73","2.01","5.67","16.95","30.64","15.80","9323"
"Jason Vargas","Mets","BAL @ NYM",".32","5.94","25.09","5.80","3.47","1.08",".04","1.21","1.90","5.72","16.99","29.92","15.69","8044"
"Dallas Keuchel","Astros","SEA @ HOU",".38","6.47","27.39","6.81","4.41","1.32",".13",".95","1.78","5.23","16.60","30.16","15.41","9434"
"Alex Cobb","Orioles","BAL @ NYM",".41","6.40","26.94","6.26","3.93","1.26",".12",".94","2.01","4.93","16.58","29.83","15.34","6562"
"Sean Manaea","Athletics","OAK @ TEX",".49","6.12","26.41","6.14","4.09","1.21",".13",".70","2.61","5.16","16.05","29.95","15.09","15873"
"Nathan Eovaldi","Rays","TB @ WSH",".24","6.19","26.13","6.33","4.10","1.23",".14",".86","1.84","5.19","15.94","28.94","14.76","9132"
"Steven Wright","Red Sox","DET @ BOS",".42","6.14","26.31","6.50","4.23","1.52",".10",".65","1.97","4.66","15.17","28.25","14.09","8185"
"Marco Estrada","Blue Jays","NYY @ TOR",".29","5.92","25.29","5.51","2.84","1.37",".09","1.21","2.47","5.30","15.35","27.88","14.19","1118"
"Jordan Lyles","Padres","ATL @ SD",".32","6.14","25.95","5.84","3.90","1.14",".14",".67","2.32","4.49","15.22","27.91","13.99","7593"
"Zach Eflin","Phillies","PHI @ CHC",".24","6.07","25.96","6.05","3.81","1.28",".15",".81","2.27","4.42","13.77","25.97","12.72","13774"
"Reynaldo Lopez","White Sox","CWS @ MIN",".30","5.81","25.52","6.09","3.56","1.38",".14","1.01","2.62","4.84","13.04","25.53","12.28","16400"
"CC Sabathia","Yankees","NYY @ TOR",".40","5.50","23.36","5.33","3.05","1.32",".08",".88","1.98","4.15","13.76","24.71","12.58","404"
"Kyle Freeland","Rockies","COL @ CIN",".33","5.42","23.45","5.44","3.50","1.09",".08",".77","2.26","4.32","13.03","24.25","12.05","16256"
"Junior Guerra","Brewers","MIL @ CLE",".23","5.69","24.95","5.54","3.14","1.45",".07",".87","2.91","4.46","12.41","24.33","11.59","5702"
"Jose Urena","Marlins","MIA @ STL",".27","6.20","27.11","6.63","4.29","1.23",".12",".99","2.56","4.07","11.94","24.29","11.22","11589"
"Brad Keller","Royals","KC @ LAA",".28","5.98","25.89","6.19","4.05","1.13",".07",".94","2.40","3.96","12.23","24.08","11.31","15734"
"Artie Lewicki","Tigers","DET @ BOS",".29","5.76","25.46","7.07","4.47","1.78",".13",".68","1.73","3.98","10.96","22.59","10.26","16731"
"Matt Moore","Rangers","OAK @ TEX",".22","5.13","23.52","6.01","3.46","1.31",".10","1.14","2.61","4.57","9.80","20.98","9.42","1890"
"Lucas Giolito","White Sox","",".24","5.36","24.85","6.10","3.51","1.37",".14","1.07","3.27","4.41","9.07","20.83","8.86","15474"
