"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Charlie Blackmon","Rockies","COL @ CIN","CF","4.76","1.28",".74",".20",".04",".30",".84",".73",".11",".06",".58",".93","9.62","14.97","11.34","7859"
"George Springer","Astros","HOU @ TEX","CF","4.98","1.26",".73",".25",".02",".26",".84",".66",".08",".04",".65",".87","9.25","14.38","10.87","12856"
"Eddie Rosario","Twins","CWS @ MIN","LF","4.55","1.35",".76",".28",".03",".28",".77",".74",".09",".06",".28",".72","9.04","14.09","10.80","12155"
"Brian Dozier","Twins","CWS @ MIN","2B","4.66","1.14",".61",".23",".02",".28",".78",".65",".09",".04",".60",".78","8.91","13.85","10.44","9810"
"Nolan Arenado","Rockies","COL @ CIN","3B","4.66","1.19",".64",".26",".01",".28",".70",".78",".02",".02",".52",".85","8.74","13.64","10.24","9777"
"Jose Altuve","Astros","HOU @ TEX","2B","4.76","1.35",".89",".28",".03",".14",".72",".68",".12",".05",".51",".65","8.53","13.27","10.16","5417"
"Nelson Cruz","Mariners","SEA @ TB","DH","4.56","1.05",".58",".16",".00",".31",".70",".80",".01",".01",".60","1.14","8.53","13.34","9.90","2434"
"Alex Bregman","Astros","HOU @ TEX","3B","4.87","1.13",".65",".29",".03",".16",".77",".57",".10",".07",".70",".70","8.45","13.12","9.88","17678"
"Carlos Correa","Astros","HOU @ TEX","SS","4.65","1.10",".64",".23",".02",".22",".67",".78",".04",".02",".65",".99","8.41","13.14","9.78","14162"
"J.D. Martinez","Red Sox","DET @ BOS","DH","4.34","1.17",".60",".29",".02",".27",".64",".75",".01",".01",".41",".96","8.26","12.90","9.73","6184"
"Logan Morrison","Twins","CWS @ MIN","DH","4.33",".99",".52",".19",".01",".27",".68",".72",".02",".01",".68",".79","8.25","12.87","9.54","9205"
"Manny Machado","Orioles","BAL @ TOR","SS","4.55","1.18",".64",".29",".01",".25",".63",".67",".04",".03",".38",".68","7.98","12.42","9.45","11493"
"Curtis Granderson","Blue Jays","BAL @ TOR","LF","4.63",".93",".42",".23",".03",".25",".69",".56",".04",".03",".73","1.03","8.06","12.51","9.32","4747"
"Tommy Pham","Cardinals","MIA @ STL","CF","4.54","1.11",".73",".17",".03",".18",".71",".53",".14",".09",".59","1.04","7.98","12.38","9.44","2967"
"Matt Carpenter","Cardinals","MIA @ STL","3B","4.64","1.03",".55",".27",".02",".20",".76",".47",".02",".01",".79",".93","7.98","12.36","9.25","8090"
"Joey Votto","Reds","COL @ CIN","1B","4.44","1.09",".73",".18",".01",".17",".68",".57",".02",".02",".82",".69","7.85","12.20","9.15","4314"
"Eugenio Suarez","Reds","COL @ CIN","3B","4.35","1.04",".61",".21",".01",".21",".61",".74",".02",".02",".60",".92","7.82","12.22","9.10","12552"
"Eduardo Escobar","Twins","CWS @ MIN","SS","4.43","1.12",".61",".27",".03",".22",".66",".66",".03",".03",".40",".83","7.75","12.08","9.14","6153"
"Marcell Ozuna","Cardinals","MIA @ STL","LF","4.34","1.22",".80",".21",".02",".20",".63",".75",".02",".01",".37",".80","7.68","12.02","9.14","10324"
"Mitch Haniger","Mariners","SEA @ TB","RF","4.67","1.00",".57",".19",".02",".22",".66",".63",".05",".03",".61","1.21","7.76","12.09","9.05","14274"
"Scott Schebler","Reds","COL @ CIN","RF","4.66","1.05",".58",".19",".04",".24",".67",".56",".05",".03",".49","1.06","7.69","11.94","9.06","12225"
"Teoscar Hernandez","Blue Jays","BAL @ TOR","RF","4.41","1.04",".50",".28",".03",".22",".60",".64",".09",".05",".33","1.03","7.63","11.89","9.02","13066"
"Joey Gallo","Rangers","HOU @ TEX","LF","4.07",".81",".30",".17",".02",".32",".57",".72",".03",".02",".47","1.57","7.61","11.89","8.79","14128"
"Jose Martinez","Cardinals","MIA @ STL","1B","4.44","1.22",".83",".24",".01",".16",".64",".64",".04",".03",".45",".64","7.52","11.72","8.95","7996"
"Jean Segura","Mariners","SEA @ TB","SS","4.78","1.28",".93",".21",".02",".11",".61",".52",".18",".08",".35",".82","7.42","11.52","9.01","5933"
"Anthony Rizzo","Cubs","PHI @ CHC","1B","4.28",".99",".55",".24",".02",".18",".58",".70",".03",".02",".62",".68","7.54","11.77","8.76","3473"
"Kyle Seager","Mariners","SEA @ TB","3B","4.46","1.00",".56",".21",".01",".23",".62",".68",".02",".01",".52",".89","7.51","11.72","8.76","9785"
"Justin Smoak","Blue Jays","BAL @ TOR","1B","4.30",".94",".48",".23",".00",".23",".60",".62",".01",".00",".68",".84","7.54","11.74","8.72","9054"
"Evan Gattis","Astros","HOU @ TEX","DH","4.43",".99",".54",".21",".01",".23",".60",".72",".02",".01",".50",".88","7.49","11.70","8.72","11003"
"Kris Bryant","Cubs","PHI @ CHC","3B","4.37","1.07",".61",".26",".03",".16",".62",".56",".04",".02",".61","1.02","7.47","11.61","8.77","15429"
"Trevor Story","Rockies","COL @ CIN","SS","4.45",".97",".50",".23",".02",".22",".57",".66",".07",".04",".44","1.40","7.45","11.62","8.73","12564"
"Adam Duvall","Reds","COL @ CIN","LF","4.24",".90",".43",".19",".01",".26",".56",".76",".03",".02",".45","1.16","7.43","11.64","8.63","10950"
"Matt Olson","Athletics","KC @ OAK","1B","4.11",".97",".48",".21",".01",".27",".60",".66",".02",".02",".40",".92","7.40","11.54","8.66","14344"
"Justin Bour","Marlins","MIA @ STL","1B","4.44","1.07",".66",".16",".01",".24",".60",".62",".01",".00",".45",".85","7.30","11.37","8.62","9744"
"Adam Jones","Orioles","BAL @ TOR","CF","4.66","1.23",".76",".26",".01",".20",".66",".59",".02",".01",".22",".79","7.23","11.27","8.68","6368"
"Khris Davis","Athletics","KC @ OAK","DH","4.21",".97",".50",".21",".01",".25",".59",".69",".01",".01",".37",".95","7.23","11.31","8.46","9112"
"Jose Abreu","White Sox","CWS @ MIN","1B","4.43","1.19",".71",".28",".01",".19",".56",".58",".01",".01",".36",".83","7.16","11.15","8.56","15676"
"Nicholas Castellanos","Tigers","DET @ BOS","RF","4.64","1.20",".68",".34",".03",".15",".62",".54",".02",".02",".30","1.17","7.10","11.04","8.50","11737"
"Dustin Fowler","Athletics","KC @ OAK","CF","4.53","1.15",".69",".24",".08",".14",".55",".50",".16",".10",".17",".74","7.04","10.92","8.57","17098"
"Yulieski Gurriel","Astros","HOU @ TEX","1B","4.55","1.21",".77",".31",".01",".12",".57",".72",".02",".02",".29",".53","7.06","11.05","8.42","19198"
"Dexter Fowler","Cardinals","MIA @ STL","RF","4.22",".98",".61",".19",".05",".14",".54",".62",".07",".04",".59",".75","7.11","11.09","8.35","4062"
"Yangervis Solarte","Blue Jays","BAL @ TOR","2B","4.52","1.08",".62",".25",".01",".19",".63",".58",".01",".02",".37",".52","7.08","11.05","8.38","5352"
"Trey Mancini","Orioles","BAL @ TOR","LF","4.78","1.14",".66",".26",".03",".18",".62",".50",".02",".01",".38","1.14","7.06","10.97","8.42","15149"
"Shin-Soo Choo","Rangers","HOU @ TEX","DH","4.57","1.02",".62",".22",".01",".17",".58",".47",".05",".04",".62","1.15","7.11","11.01","8.37","3174"
"Derek Dietrich","Marlins","MIA @ STL","LF","4.53","1.22",".79",".22",".03",".17",".66",".47",".02",".01",".33",".81","7.01","10.88","8.45","10542"
"DJ LeMahieu","Rockies","COL @ CIN","2B","4.87","1.31",".95",".24",".02",".09",".66",".42",".06",".04",".41",".72","6.98","10.82","8.47","9874"
"Dee Gordon","Mariners","SEA @ TB","2B","4.89","1.28","1.02",".17",".05",".05",".52",".39",".29",".12",".28",".82","6.88","10.62","8.53","8203"
